Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.102	COMP198	(0.099 COMP2592) (0.097 COMP2585) (0.093 COMP298) (0.092 COMP418) (0.087 COMP269)
AR expression inhibitor	0.884	COMP2460	(0.876 COMP2585) (0.871 COMP418) (0.864 COMP2670) (0.863 COMP2592) (0.862 COMP198) (0.853 COMP298) (0.808 COMP2671) (0.806 COMP269) (0.780 COMP2523) (0.458 COMP2521)
CTGF expression inhibitor	0.905	COMP269	(0.903 COMP418) (0.902 COMP198) (0.889 COMP298) (0.888 COMP2585) (0.882 COMP2592) (0.843 COMP2460) (0.831 COMP2670) (0.748 COMP2523) (0.716 COMP2671) (0.575 COMP2521)
ICAM1 expression inhibitor	0.515	COMP2585	(0.511 COMP418) (0.510 COMP2592) (0.506 COMP2460) (0.504 COMP298) (0.498 COMP2670) (0.485 COMP2671) (0.456 COMP2523) (0.452 COMP198) (0.439 COMP2521) (0.432 COMP269)
LDLR expression enhancer	0.375	COMP269	(0.353 COMP418) (0.349 COMP298) (0.309 COMP2592) (0.303 COMP2585) (0.302 COMP2671) (0.286 COMP198) (0.282 COMP2460) (0.278 COMP2670) (0.235 COMP2523) (0.227 COMP2521)
NOS2 expression inhibitor	0.920	COMP418	(0.908 COMP298) (0.893 COMP269) (0.888 COMP2585/COMP2592) (0.854 COMP2523) (0.852 COMP2460) (0.838 COMP2670) (0.807 COMP198) (0.790 COMP2521) (0.779 COMP2671)
NOS3 expression enhancer	0.562	COMP198	(0.544 COMP418) (0.535 COMP2585) (0.511 COMP2592) (0.497 COMP298) (0.474 COMP269) (0.436 COMP2523) (0.434 COMP2460) (0.374 COMP2670) (0.317 COMP2671) (0.203 COMP2521)
NOS3 expression inhibitor	0.702	COMP198	(0.687 COMP2585) (0.678 COMP418) (0.665 COMP2592) (0.641 COMP298) (0.631 COMP269) (0.602 COMP2460) (0.584 COMP2670) (0.515 COMP2671) (0.465 COMP2523) (0.407 COMP2521)
TNF expression inhibitor	0.860	COMP269	(0.850 COMP418) (0.816 COMP298) (0.799 COMP2585) (0.792 COMP198) (0.784 COMP2592) (0.729 COMP2460) (0.708 COMP2670) (0.647 COMP2671) (0.641 COMP2521) (0.630 COMP2523)
VCAM1 expression inhibitor	0.718	COMP2521	(0.426 COMP269) (0.391 COMP2523) (0.361 COMP198) (0.358 COMP418) (0.354 COMP2592) (0.352 COMP298) (0.348 COMP2585) (0.334 COMP2670) (0.333 COMP2671) (0.319 COMP2460)
VEGF expression inhibitor	0.530	COMP269	(0.469 COMP198) (0.458 COMP418) (0.433 COMP298) (0.411 COMP2585) (0.409 COMP2592) (0.328 COMP2460) (0.323 COMP2670) (0.295 COMP2671) (0.228 COMP2521) (0.219 COMP2523)
