Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.130	COMP2523	(0.125 COMP2521)
Aldehyde dehydrogenase substrate	0.129	COMP2521	(0.100 COMP2523) (0.099 COMP269)
Aldehyde oxidase substrate	0.164	COMP269	(0.162 COMP198) (0.142 COMP298)
Aldose reductase substrate	0.133	COMP2521	(0.130 COMP198)
Arylamine N-Acetyltransferase substrate	0.206	COMP198	(0.135 COMP269) (0.113 COMP2460) (0.101 COMP2670) (0.099 COMP2523) (0.065 COMP2585)
CYP1A2 inhibitor	0.979	COMP418	(0.975 COMP298) (0.964 COMP2592) (0.952 COMP2585) (0.933 COMP2460) (0.923 COMP2670) (0.908 COMP269) (0.886 COMP2671) (0.796 COMP198) (0.786 COMP2521) (0.740 COMP2523)
CYP1A2 substrate	0.810	COMP2592	(0.806 COMP418) (0.802 COMP2585) (0.787 COMP298) (0.755 COMP269) (0.746 COMP198) (0.739 COMP2460) (0.706 COMP2670) (0.577 COMP2671) (0.476 COMP2523) (0.354 COMP2521)
CYP2A6 inhibitor	0.152	COMP2523	(0.143 COMP198) (0.095 COMP2585) (0.093 COMP2671) (0.082 COMP2592) (0.070 COMP2460/COMP2670) (0.066 COMP269)
CYP2B6 inhibitor	0.533	COMP269	(0.506 COMP198) (0.466 COMP2523) (0.378 COMP418) (0.366 COMP2592) (0.364 COMP298) (0.362 COMP2585) (0.325 COMP2460) (0.315 COMP2670) (0.291 COMP2671) (0.207 COMP2521)
CYP2C19 inhibitor	0.657	COMP2592	(0.649 COMP2585) (0.647 COMP298) (0.644 COMP418) (0.610 COMP2460) (0.600 COMP2523) (0.590 COMP2670) (0.575 COMP269) (0.557 COMP2671) (0.544 COMP198) (0.488 COMP2521)
CYP2C19 substrate	0.703	COMP2523	(0.595 COMP269) (0.558 COMP418) (0.554 COMP198) (0.549 COMP298) (0.545 COMP2592) (0.533 COMP2585) (0.515 COMP2460) (0.483 COMP2670) (0.373 COMP2521) (0.281 COMP2671)
CYP2C9 inhibitor	0.592	COMP2592	(0.586 COMP2585) (0.583 COMP418) (0.578 COMP298) (0.565 COMP269) (0.551 COMP2523) (0.548 COMP198) (0.540 COMP2460) (0.489 COMP2670) (0.411 COMP2671) (0.339 COMP2521)
