Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.250	COMP198	(0.147 COMP2523) (0.132 COMP2521/COMP2585) (0.117 COMP2592) (0.114 COMP2671) (0.110 COMP2460/COMP2670/COMP269)
Acetylcholine release stimulant	0.156	COMP2521	(0.134 COMP2671) (0.097 COMP198)
Actinic keratosis treatment	0.167	COMP198	(0.166 COMP2523) (0.106 COMP2585) (0.102 COMP2592/COMP269) (0.091 COMP418) (0.088 COMP298) (0.082 COMP2460/COMP2521)
Alzheimer's disease treatment	0.468	COMP2523	(0.449 COMP198) (0.447 COMP269) (0.381 COMP418) (0.373 COMP298) (0.330 COMP2585) (0.324 COMP2592) (0.312 COMP2460) (0.306 COMP2521) (0.282 COMP2671) (0.236 COMP2670)
Anabolic	0.149	COMP198	(0.122 COMP2523) (0.117 COMP269) (0.111 COMP2585) (0.108 COMP2521/COMP2592) (0.101 COMP418) (0.097 COMP2460/COMP2670) (0.096 COMP298)
Analeptic	0.446	COMP2523	(0.320 COMP198) (0.296 COMP2521) (0.283 COMP269) (0.278 COMP2460) (0.265 COMP2585/COMP2670) (0.257 COMP418) (0.243 COMP2592) (0.238 COMP2671) (0.206 COMP298)
Anesthetic	0.101	COMP2521	
Anesthetic general	0.221	COMP2670	(0.207 COMP2460) (0.190 COMP2521) (0.181 COMP2671) (0.176 COMP2585) (0.170 COMP2592) (0.161 COMP2523) (0.149 COMP198/COMP298) (0.148 COMP418)
Anesthetic inhalation	0.053	COMP198/COMP2521	(0.047 COMP2671)
Anesthetic local	0.098	COMP2521	
Angiogenesis inhibitor	0.326	COMP269	(0.304 COMP2521) (0.270 COMP418) (0.268 COMP298) (0.245 COMP2523) (0.243 COMP2671) (0.210 COMP2585) (0.209 COMP198) (0.207 COMP2592) (0.195 COMP2670)
Angiogenesis stimulant	0.354	COMP198	(0.343 COMP2521) (0.338 COMP269) (0.331 COMP418) (0.327 COMP2585) (0.324 COMP2460) (0.321 COMP2592) (0.318 COMP298) (0.305 COMP2670) (0.245 COMP2523) (0.210 COMP2671)
Antiacne	0.171	COMP2523	(0.112 COMP2521)
Antialcoholic	0.228	COMP198	(0.193 COMP2585) (0.189 COMP2592) (0.178 COMP269) (0.172 COMP418) (0.165 COMP2460) (0.163 COMP298)
Antiallergic	0.300	COMP2670	(0.295 COMP298) (0.290 COMP418) (0.255 COMP2671) (0.252 COMP2460) (0.239 COMP269) (0.215 COMP2585) (0.201 COMP2592)
Antiamyloidogenic	0.634	COMP269	(0.601 COMP2521) (0.587 COMP418) (0.574 COMP298) (0.514 COMP2592) (0.513 COMP2460/COMP2585) (0.511 COMP198) (0.474 COMP2670) (0.464 COMP2523) (0.403 COMP2671)
Antianemic	0.117	COMP198	
Antiarrhythmic	0.145	COMP2671	
Antibacterial	0.530	COMP2523	(0.479 COMP198) (0.475 COMP2585) (0.468 COMP418) (0.463 COMP2592) (0.452 COMP2460/COMP298) (0.447 COMP269) (0.415 COMP2670) (0.372 COMP2521) (0.319 COMP2671)
Antibiotic	0.085	COMP198	(0.081 COMP2523) (0.075 COMP2585) (0.071 COMP269) (0.068 COMP418) (0.067 COMP2460/COMP2592)
Antibiotic Anthracycline-like	0.022	COMP198	(0.021 COMP2585) (0.020 COMP2521/COMP2592) (0.019 COMP269)
Antibiotic Glycopeptide-like	0.086	COMP198	(0.058 COMP269) (0.052 COMP2585) (0.049 COMP2592/COMP418)
Antibiotic Tetracycline-like	0.017	COMP198	(0.015 COMP2585)
Anticataract	0.166	COMP198	(0.138 COMP2585) (0.136 COMP2460) (0.122 COMP2592) (0.115 COMP2670) (0.109 COMP418) (0.098 COMP298) (0.092 COMP269)
Anticholelithogenic	0.112	COMP2521	(0.106 COMP198) (0.092 COMP269) (0.073 COMP2592) (0.072 COMP2585) (0.070 COMP2523) (0.067 COMP418) (0.066 COMP298) (0.064 COMP2460)
Antidiabetic	0.486	COMP2523	(0.423 COMP198) (0.359 COMP2592) (0.344 COMP2585) (0.343 COMP298) (0.327 COMP418) (0.305 COMP269) (0.297 COMP2460) (0.241 COMP2670)
Antidiabetic (type 2)	0.280	COMP2523	
Antidiabetic symptomatic	0.355	COMP198	(0.323 COMP269) (0.290 COMP2460) (0.278 COMP2523) (0.274 COMP418) (0.268 COMP2671) (0.265 COMP298) (0.261 COMP2585) (0.255 COMP2670) (0.249 COMP2592)
Antidiarrheal	0.169	COMP198	(0.160 COMP2460) (0.159 COMP269) (0.146 COMP418) (0.140 COMP2585) (0.139 COMP2670/COMP298) (0.137 COMP2592) (0.129 COMP2521) (0.124 COMP2523)
Antidote	0.366	COMP418	(0.352 COMP298) (0.349 COMP198) (0.341 COMP2585) (0.331 COMP2592) (0.320 COMP269) (0.302 COMP2460) (0.278 COMP2670) (0.199 COMP2671) (0.181 COMP2523) (0.135 COMP2521)
Antidote. heavy metal	0.183	COMP198	(0.149 COMP269) (0.142 COMP2585/COMP298/COMP418) (0.139 COMP2592) (0.110 COMP2460) (0.106 COMP2670) (0.071 COMP2523) (0.070 COMP2671)
Antidote. mercury	0.152	COMP198	(0.100 COMP2521) (0.091 COMP2585) (0.090 COMP2671) (0.083 COMP2460/COMP2592/COMP2670/COMP269)
Antidote. organophosphates	0.088	COMP198	
Antifungal	0.397	COMP2523	(0.394 COMP198) (0.365 COMP2585) (0.356 COMP2592) (0.345 COMP418) (0.340 COMP2460) (0.335 COMP298) (0.328 COMP269) (0.319 COMP2670) (0.288 COMP2521) (0.283 COMP2671)
Antifungal (Aspergillus)	0.121	COMP269	(0.116 COMP198) (0.110 COMP2592) (0.109 COMP2671/COMP298) (0.108 COMP2460/COMP2585) (0.107 COMP418) (0.105 COMP2521/COMP2670) (0.099 COMP2523)
Antifungal (Candida)	0.099	COMP2523	
Antifungal (Cryptococcus)	0.190	COMP2523	(0.151 COMP198) (0.129 COMP2521)
Antifungal (Pneumocystis)	0.186	COMP2670	(0.177 COMP2671) (0.176 COMP2460) (0.160 COMP2592) (0.157 COMP2521) (0.156 COMP2585) (0.155 COMP298) (0.145 COMP269) (0.144 COMP418) (0.140 COMP198)
Antifungal enhancer	0.301	COMP269	(0.289 COMP2521) (0.275 COMP198) (0.221 COMP418) (0.219 COMP2592) (0.214 COMP2585) (0.213 COMP298) (0.174 COMP2523) (0.167 COMP2460) (0.138 COMP2670)
Antiglaucomic	0.227	COMP2521	(0.217 COMP2523)
Antihelmintic	0.452	COMP2523	(0.382 COMP2585) (0.371 COMP198) (0.369 COMP2592) (0.357 COMP418) (0.353 COMP2460) (0.340 COMP298) (0.314 COMP2670) (0.309 COMP269) (0.283 COMP2521) (0.233 COMP2671)
Antihelmintic (Fasciola)	0.178	COMP198	(0.132 COMP2521) (0.104 COMP2585) (0.094 COMP2460/COMP2592/COMP2670/COMP269)
Antihelmintic (Nematodes)	0.387	COMP2521	(0.259 COMP198) (0.181 COMP269) (0.159 COMP2585/COMP2592) (0.149 COMP2523) (0.127 COMP298) (0.126 COMP418)
Antihelmintic (Trematoda)	0.552	COMP418	(0.525 COMP269) (0.511 COMP198) (0.478 COMP298) (0.474 COMP2460) (0.470 COMP2585) (0.434 COMP2592) (0.414 COMP2670) (0.272 COMP2671) (0.224 COMP2523) (0.167 COMP2521)
Antihemorrhagic	0.573	COMP198	(0.528 COMP418) (0.521 COMP2585) (0.509 COMP298) (0.506 COMP2592) (0.501 COMP269) (0.499 COMP2460) (0.464 COMP2670) (0.450 COMP2523) (0.423 COMP2671) (0.178 COMP2521)
Antihypercholesterolemic	0.664	COMP2523	(0.627 COMP269) (0.617 COMP198) (0.491 COMP298/COMP418) (0.480 COMP2592) (0.466 COMP2460) (0.463 COMP2585) (0.454 COMP2670) (0.447 COMP2521) (0.413 COMP2671)
Antihyperlipoproteinemic	0.261	COMP198	(0.182 COMP269) (0.148 COMP2523) (0.138 COMP2592) (0.135 COMP2670) (0.133 COMP2585) (0.119 COMP418) (0.118 COMP2460) (0.117 COMP298) (0.103 COMP2671)
Antihypertriglyceridemic	0.575	COMP2521	(0.568 COMP2460) (0.552 COMP418) (0.549 COMP2592) (0.546 COMP2585) (0.545 COMP2670) (0.543 COMP298) (0.539 COMP198) (0.516 COMP2671) (0.513 COMP2523) (0.512 COMP269)
Antihypotensive	0.504	COMP418	(0.480 COMP298) (0.467 COMP2585) (0.466 COMP2592) (0.462 COMP269) (0.430 COMP2523) (0.418 COMP2460) (0.417 COMP198) (0.405 COMP2670) (0.332 COMP2671) (0.316 COMP2521)
Antihypoxic	0.687	COMP298	(0.658 COMP418) (0.654 COMP2592) (0.651 COMP2523) (0.649 COMP2585) (0.632 COMP198) (0.579 COMP269) (0.540 COMP2460) (0.506 COMP2521) (0.501 COMP2670) (0.465 COMP2671)
Antiinflammatory	0.713	COMP2523	(0.666 COMP198) (0.663 COMP418) (0.651 COMP2460) (0.650 COMP2585) (0.649 COMP298) (0.631 COMP2592) (0.623 COMP269) (0.605 COMP2670) (0.512 COMP2671) (0.498 COMP2521)
Antiischemic	0.256	COMP2460	(0.249 COMP2670) (0.244 COMP298) (0.241 COMP418) (0.225 COMP2585/COMP2592) (0.211 COMP2671) (0.201 COMP198) (0.198 COMP269)
Antiischemic. cerebral	0.219	COMP198	(0.112 COMP269)
Antileukemic	0.814	COMP2671	(0.789 COMP2670) (0.782 COMP2460) (0.760 COMP2521) (0.751 COMP298) (0.748 COMP418) (0.733 COMP2585) (0.722 COMP2592) (0.661 COMP269) (0.609 COMP198) (0.599 COMP2523)
Antimitotic	0.631	COMP2671	(0.531 COMP2670) (0.515 COMP2460) (0.434 COMP269/COMP298) (0.430 COMP418) (0.409 COMP2521) (0.319 COMP2585) (0.316 COMP2592) (0.191 COMP198)
Antimutagenic	0.968	COMP418	(0.964 COMP298) (0.955 COMP2592) (0.953 COMP269) (0.952 COMP2585) (0.936 COMP2460) (0.926 COMP2670) (0.908 COMP198) (0.901 COMP2671) (0.825 COMP2523) (0.523 COMP2521)
Antimycobacterial	0.352	COMP2521	(0.311 COMP2523) (0.291 COMP198) (0.250 COMP269) (0.217 COMP2592) (0.214 COMP2585) (0.209 COMP298) (0.199 COMP418) (0.195 COMP2460) (0.193 COMP2671)
Antimycoplasmal	0.108	COMP2521	(0.085 COMP198) (0.068 COMP269) (0.063 COMP2523) (0.061 COMP2585) (0.059 COMP2592) (0.056 COMP298)
Antineoplastic (bladder cancer)	0.444	COMP198	(0.419 COMP269) (0.371 COMP2585) (0.369 COMP2671) (0.364 COMP2592) (0.362 COMP298/COMP418) (0.331 COMP2670) (0.317 COMP2460) (0.305 COMP2521) (0.258 COMP2523)
Antineoplastic (bone cancer)	0.250	COMP2460	(0.247 COMP269) (0.244 COMP2671) (0.237 COMP2670) (0.232 COMP298/COMP418) (0.201 COMP2521) (0.190 COMP2585) (0.187 COMP198/COMP2592) (0.172 COMP2523)
Antineoplastic (brain cancer)	0.544	COMP2523	(0.516 COMP2671) (0.499 COMP2670) (0.495 COMP2460/COMP298/COMP418) (0.492 COMP2521) (0.472 COMP2585) (0.461 COMP2592) (0.459 COMP269) (0.420 COMP198)
Antineoplastic (breast cancer)	0.856	COMP2671	(0.829 COMP2670) (0.816 COMP2460) (0.802 COMP418) (0.791 COMP298) (0.777 COMP2585) (0.776 COMP2521) (0.775 COMP269) (0.771 COMP2592) (0.729 COMP198) (0.717 COMP2523)
Antineoplastic (carcinoma)	0.664	COMP2671	(0.531 COMP2670) (0.489 COMP2460) (0.469 COMP298) (0.457 COMP418) (0.410 COMP2585) (0.399 COMP2592) (0.374 COMP269) (0.281 COMP198) (0.262 COMP2523) (0.207 COMP2521)
Antineoplastic (cervical cancer)	0.777	COMP2671	(0.745 COMP2670) (0.728 COMP2460) (0.698 COMP418) (0.690 COMP298) (0.666 COMP269) (0.662 COMP2585) (0.652 COMP2592) (0.639 COMP2521) (0.599 COMP198) (0.473 COMP2523)
Antineoplastic (colon cancer)	0.797	COMP2671	(0.711 COMP2670) (0.710 COMP2521) (0.692 COMP269) (0.679 COMP418) (0.677 COMP298) (0.674 COMP2460) (0.609 COMP2585) (0.595 COMP2592) (0.551 COMP198) (0.459 COMP2523)
Antineoplastic (colorectal cancer)	0.802	COMP2671	(0.720 COMP2670) (0.716 COMP2521) (0.701 COMP269) (0.691 COMP418) (0.689 COMP298) (0.686 COMP2460) (0.623 COMP2585) (0.610 COMP2592) (0.565 COMP198) (0.471 COMP2523)
Antineoplastic (endocrine cancer)	0.283	COMP269	(0.261 COMP198) (0.239 COMP2523)
Antineoplastic (gastric cancer)	0.559	COMP2671	(0.425 COMP2670) (0.421 COMP269) (0.381 COMP2460) (0.366 COMP298) (0.363 COMP418) (0.342 COMP198) (0.317 COMP2585/COMP2592) (0.199 COMP2521) (0.183 COMP2523)
Antineoplastic (glioblastoma multiforme)	0.571	COMP2671	(0.545 COMP418) (0.543 COMP298) (0.540 COMP2670) (0.530 COMP2460) (0.521 COMP2585) (0.514 COMP2592) (0.510 COMP2521) (0.460 COMP269) (0.370 COMP2523) (0.338 COMP198)
Antineoplastic (glioma)	0.644	COMP2671	(0.603 COMP298) (0.600 COMP418) (0.582 COMP2670) (0.571 COMP2585) (0.570 COMP2460) (0.564 COMP2592) (0.543 COMP2521) (0.521 COMP269) (0.492 COMP2523) (0.456 COMP198)
Antineoplastic (liver cancer)	0.463	COMP2671	(0.460 COMP418) (0.458 COMP298) (0.451 COMP2585) (0.445 COMP2521) (0.442 COMP2592) (0.435 COMP2460/COMP2670) (0.408 COMP269) (0.382 COMP198) (0.320 COMP2523)
Antineoplastic (lung cancer)	0.842	COMP2671	(0.784 COMP2670) (0.770 COMP2460) (0.766 COMP298) (0.760 COMP418) (0.743 COMP2521) (0.736 COMP2585) (0.730 COMP2592) (0.727 COMP269) (0.670 COMP2523) (0.653 COMP198)
Antineoplastic (lymphocytic leukemia)	0.390	COMP2521	(0.376 COMP2671) (0.342 COMP2670) (0.323 COMP2460) (0.297 COMP298/COMP418) (0.285 COMP269) (0.270 COMP2585) (0.264 COMP2592) (0.241 COMP2523) (0.221 COMP198)
Antineoplastic (lymphoma)	0.355	COMP2521	(0.346 COMP2460) (0.345 COMP2670) (0.335 COMP2671) (0.334 COMP418) (0.329 COMP298) (0.290 COMP2585) (0.273 COMP2592) (0.246 COMP269) (0.240 COMP2523) (0.174 COMP198)
Antineoplastic (melanoma)	0.657	COMP2671	(0.609 COMP2670) (0.601 COMP418) (0.594 COMP2460/COMP298) (0.588 COMP269) (0.554 COMP2585) (0.552 COMP2521) (0.544 COMP2592) (0.503 COMP198) (0.479 COMP2523)
Antineoplastic (multiple myeloma)	0.542	COMP2521	(0.441 COMP2671) (0.429 COMP2523) (0.374 COMP2670) (0.367 COMP269) (0.361 COMP2460) (0.331 COMP418) (0.329 COMP298) (0.299 COMP2585) (0.297 COMP198) (0.293 COMP2592)
Antineoplastic (non-small cell lung cancer)	0.665	COMP2671	(0.631 COMP2670) (0.621 COMP2521) (0.613 COMP2460) (0.571 COMP298/COMP418) (0.547 COMP269) (0.479 COMP2585) (0.470 COMP2592) (0.379 COMP198) (0.353 COMP2523)
