Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.553	COMP1671	(0.362 COMP77) (0.252 COMP2588) (0.250 COMP2574) (0.246 COMP2524) (0.196 COMP2605) (0.184 COMP2582/COMP572/COMP574) (0.180 COMP2549) (0.165 COMP2597/COMP307) (0.155 COMP2522) (0.149 COMP2543) (0.142 COMP2031) (0.141 COMP5) (0.140 COMP2529/COMP2558/COMP2603/COMP2611) (0.136 COMP238) (0.131 COMP272) (0.130 COMP2590) (0.127 COMP2578) (0.126 COMP2525/COMP2567) (0.125 COMP2573) (0.121 COMP2553/COMP2591) (0.119 COMP2177/COMP2545/COMP2559/COMP2586/COMP2600/COMP322) (0.118 COMP2615) (0.114 COMP2563) (0.113 COMP2577) (0.112 COMP2572) (0.111 COMP2163/COMP2622) (0.108 COMP2579) (0.107 COMP2598) (0.106 COMP1881/COMP2171/COMP2618) (0.105 COMP2550) (0.104 COMP2576) (0.103 COMP2414/COMP2566/COMP59/COMP888) (0.099 COMP2530/COMP2565/COMP2592) (0.098 COMP2609) (0.097 COMP2532/COMP2585/COMP2613) (0.096 COMP2561/COMP2580) (0.093 COMP2040) (0.092 COMP2557) (0.090 COMP2556/COMP2589) (0.089 COMP2608) (0.088 COMP2620) (0.087 COMP269) (0.083 COMP2527/COMP2542/COMP2551)
AR expression inhibitor	0.929	COMP2597	(0.928 COMP2608) (0.921 COMP2588) (0.920 COMP2524) (0.914 COMP307) (0.907 COMP2574) (0.905 COMP2598) (0.899 COMP2590/COMP2591) (0.898 COMP2605) (0.884 COMP2545) (0.883 COMP2525) (0.876 COMP2585) (0.874 COMP2615/COMP2618) (0.873 COMP2159) (0.870 COMP2386/COMP357) (0.867 COMP272) (0.863 COMP2592) (0.859 COMP5) (0.856 COMP2600) (0.854 COMP2599) (0.852 COMP1671) (0.847 COMP2567) (0.842 COMP2564/COMP2573) (0.834 COMP2594) (0.827 COMP2529/COMP2558/COMP2603/COMP2611) (0.826 COMP2163) (0.814 COMP2586) (0.812 COMP2177/COMP2559) (0.811 COMP2596) (0.806 COMP269) (0.804 COMP2582/COMP574) (0.802 COMP2549) (0.798 COMP2571) (0.793 COMP2606/COMP46) (0.792 COMP2587) (0.791 COMP572) (0.788 COMP2040) (0.784 COMP2617/COMP348) (0.780 COMP2523/COMP2614) (0.771 COMP2561/COMP56) (0.768 COMP2610) (0.759 COMP2520) (0.758 COMP2543/COMP305) (0.753 COMP2003/COMP2619) (0.751 COMP2530/COMP2565) (0.742 COMP2414) (0.740 COMP2563) (0.739 COMP2622) (0.730 COMP2532) (0.726 COMP1838/COMP2542) (0.725 COMP2547) (0.719 COMP2580) (0.718 COMP2355) (0.707 COMP1881/COMP2171) (0.703 COMP2535) (0.702 COMP2572) (0.700 COMP2566/COMP59/COMP888) (0.692 COMP2522) (0.690 COMP2609) (0.685 COMP2569) (0.667 COMP2612) (0.666 COMP238) (0.661 COMP2539) (0.660 COMP2538) (0.659 COMP2540) (0.658 COMP2589) (0.651 COMP2575/COMP2613) (0.642 COMP2576) (0.630 COMP2531) (0.628 COMP2544) (0.622 COMP215) (0.607 COMP2527/COMP2551/COMP2577) (0.603 COMP2557) (0.601 COMP2552) (0.595 COMP2602) (0.593 COMP2546) (0.592 COMP2578) (0.584 COMP2607) (0.582 COMP2616) (0.576 COMP2554) (0.569 COMP2579) (0.561 COMP2541/COMP2581) (0.555 COMP2526/COMP2534) (0.548 COMP2604) (0.541 COMP2556) (0.538 COMP2623) (0.535 COMP2595) (0.528 COMP2533) (0.526 COMP2550/COMP2555) (0.520 COMP2528) (0.510 COMP2621) (0.500 COMP2601) (0.485 COMP77) (0.461 COMP2031) (0.458 COMP2521) (0.455 COMP118) (0.436 COMP2568/COMP2620) (0.434 COMP2593) (0.431 COMP1429/COMP227/COMP2548) (0.406 COMP2537) (0.390 COMP2553) (0.380 COMP221) (0.367 COMP2570) (0.363 COMP322) (0.326 COMP838) (0.287 COMP2560) (0.278 COMP2536) (0.267 COMP2625) (0.252 COMP2562) (0.231 COMP1107)
CTGF expression inhibitor	0.930	COMP2597	(0.925 COMP272) (0.922 COMP307) (0.908 COMP5) (0.905 COMP269) (0.889 COMP2163) (0.888 COMP2585) (0.884 COMP2040) (0.882 COMP2592) (0.881 COMP2524) (0.878 COMP2591) (0.877 COMP2588) (0.870 COMP2596) (0.869 COMP2590) (0.868 COMP2586) (0.866 COMP2605) (0.864 COMP2177/COMP2559) (0.856 COMP2414) (0.852 COMP2587) (0.846 COMP2545) (0.843 COMP2525) (0.837 COMP2598) (0.811 COMP77) (0.808 COMP2600) (0.802 COMP2574) (0.798 COMP2031) (0.795 COMP2556) (0.790 COMP2609) (0.788 COMP2615) (0.783 COMP2618) (0.779 COMP2567) (0.771 COMP2573) (0.761 COMP1881/COMP2171) (0.760 COMP2526/COMP2534) (0.759 COMP215) (0.755 COMP2566/COMP59/COMP888) (0.749 COMP2599) (0.748 COMP2523/COMP2614) (0.739 COMP2608) (0.719 COMP2610) (0.711 COMP2568) (0.695 COMP2595) (0.691 COMP2541) (0.673 COMP1429/COMP227/COMP2622) (0.664 COMP56) (0.658 COMP2540) (0.630 COMP1838) (0.619 COMP2527/COMP2551) (0.618 COMP305) (0.614 COMP2580) (0.610 COMP2613/COMP322) (0.609 COMP2159/COMP2532) (0.608 COMP2606/COMP46) (0.604 COMP2547) (0.595 COMP2531) (0.593 COMP2571) (0.591 COMP221) (0.588 COMP2582/COMP574) (0.575 COMP2521) (0.569 COMP2003/COMP2563/COMP2619) (0.559 COMP2561) (0.555 COMP2544/COMP2617/COMP348) (0.542 COMP2542) (0.536 COMP572) (0.529 COMP2546) (0.525 COMP2572) (0.523 COMP2564) (0.520 COMP2533) (0.504 COMP2538) (0.503 COMP2601) (0.500 COMP2589) (0.493 COMP2554) (0.462 COMP2548) (0.447 COMP2553) (0.428 COMP2560) (0.424 COMP838) (0.420 COMP2539) (0.410 COMP2576) (0.408 COMP2550) (0.405 COMP2616) (0.403 COMP2386/COMP357) (0.400 COMP2569) (0.391 COMP2530/COMP2565) (0.376 COMP2594) (0.364 COMP2552) (0.362 COMP2604) (0.356 COMP2575) (0.351 COMP1671) (0.347 COMP2543) (0.346 COMP118) (0.344 COMP2602) (0.339 COMP2536) (0.336 COMP2555) (0.331 COMP2607) (0.323 COMP2593) (0.319 COMP2522) (0.313 COMP2620) (0.309 COMP2625) (0.308 COMP2528) (0.303 COMP2577) (0.290 COMP2570) (0.258 COMP2578) (0.247 COMP2535) (0.246 COMP2562) (0.244 COMP2557) (0.234 COMP2624) (0.219 COMP2579) (0.214 COMP2581) (0.198 COMP2520) (0.197 COMP1107) (0.191 COMP238/COMP2549)
GRP78 expression inhibitor	0.058	COMP838	(0.056 COMP2624) (0.049 COMP2536) (0.036 COMP2625) (0.033 COMP2537) (0.030 COMP2570/COMP322) (0.029 COMP2031) (0.025 COMP2581/COMP305) (0.023 COMP2560) (0.022 COMP215/COMP221) (0.021 COMP2617/COMP348) (0.020 COMP1671/COMP2569/COMP2587/COMP56)
ICAM1 expression inhibitor	0.688	COMP238	(0.664 COMP2549) (0.656 COMP2537) (0.639 COMP2612) (0.636 COMP2355) (0.622 COMP2623) (0.619 COMP2529/COMP2558/COMP2603/COMP2611) (0.615 COMP2617/COMP348) (0.611 COMP2606/COMP46) (0.590 COMP2003/COMP2619) (0.581 COMP305) (0.580 COMP2528) (0.578 COMP56) (0.556 COMP1838) (0.554 COMP2598) (0.551 COMP2591) (0.549 COMP2581) (0.523 COMP2569) (0.522 COMP2554) (0.519 COMP2599) (0.516 COMP215) (0.515 COMP2585/COMP2621) (0.510 COMP2592) (0.499 COMP2386/COMP357) (0.498 COMP2531) (0.495 COMP2546) (0.493 COMP2538/COMP2542) (0.492 COMP2552/COMP2563) (0.491 COMP2540) (0.490 COMP2568/COMP2602) (0.489 COMP2547) (0.487 COMP2622) (0.486 COMP2159/COMP221) (0.479 COMP2526/COMP2534) (0.477 COMP2532) (0.473 COMP2574/COMP2605) (0.472 COMP2561) (0.471 COMP2582/COMP574) (0.468 COMP2616) (0.465 COMP2544/COMP2595) (0.464 COMP2570/COMP2576/COMP2589) (0.461 COMP572) (0.460 COMP2545) (0.458 COMP2539) (0.457 COMP2031) (0.456 COMP2523/COMP2590/COMP2614) (0.455 COMP2613) (0.453 COMP2572/COMP2580/COMP2588) (0.452 COMP2524) (0.451 COMP1881/COMP2171/COMP2575/COMP2594/COMP2610) (0.450 COMP2615/COMP2618) (0.445 COMP2564/COMP2567) (0.444 COMP2573/COMP2607) (0.443 COMP2522/COMP2543) (0.442 COMP2566/COMP59/COMP888) (0.439 COMP2521) (0.436 COMP2555) (0.435 COMP2600/COMP2609) (0.433 COMP2593) (0.432 COMP269) (0.428 COMP2577/COMP2578) (0.427 COMP307) (0.426 COMP2550/COMP2597) (0.423 COMP2040) (0.421 COMP1429/COMP227) (0.420 COMP2520) (0.417 COMP2596) (0.416 COMP2527/COMP2551) (0.413 COMP2414/COMP272/COMP77) (0.406 COMP2587) (0.403 COMP2533/COMP2579) (0.402 COMP5) (0.397 COMP2601) (0.381 COMP1671) (0.380 COMP2530/COMP2565/COMP2620) (0.374 COMP2604) (0.372 COMP2556/COMP322) (0.371 COMP2163) (0.364 COMP2608) (0.354 COMP2586) (0.353 COMP2177/COMP2525/COMP2559) (0.351 COMP2571) (0.350 COMP2536) (0.345 COMP2557) (0.336 COMP2553) (0.325 COMP2560) (0.320 COMP1107) (0.309 COMP2535) (0.296 COMP2541) (0.289 COMP838) (0.281 COMP118) (0.192 COMP2625) (0.189 COMP2562)
LDLR expression enhancer	0.375	COMP269	(0.365 COMP77) (0.354 COMP1671) (0.327 COMP2040) (0.314 COMP2414) (0.309 COMP2592) (0.304 COMP2591) (0.303 COMP2585) (0.285 COMP2556) (0.281 COMP2561) (0.277 COMP1107/COMP2605) (0.273 COMP2572) (0.272 COMP2580) (0.270 COMP2563) (0.266 COMP2613) (0.265 COMP1429/COMP227) (0.264 COMP2596/COMP2598) (0.262 COMP272) (0.261 COMP2544/COMP2549) (0.260 COMP2547) (0.259 COMP2600) (0.256 COMP2599) (0.255 COMP1881/COMP2171) (0.254 COMP118) (0.253 COMP2578) (0.252 COMP215/COMP2577) (0.249 COMP2566/COMP59/COMP888) (0.247 COMP2532) (0.242 COMP2587) (0.241 COMP2622) (0.240 COMP2582/COMP574) (0.239 COMP2529/COMP2558/COMP2603/COMP2611) (0.236 COMP2540) (0.235 COMP2523/COMP2601/COMP2614) (0.234 COMP5) (0.232 COMP2576) (0.231 COMP2533/COMP2589) (0.230 COMP2590) (0.228 COMP2610/COMP572) (0.227 COMP2521/COMP2564) (0.220 COMP2163/COMP2568) (0.218 COMP2031) (0.217 COMP2538) (0.213 COMP2527/COMP2551) (0.211 COMP2552) (0.210 COMP2579) (0.208 COMP2526/COMP2534/COMP322) (0.207 COMP2586/COMP2607) (0.206 COMP221) (0.205 COMP2524/COMP2539) (0.204 COMP2560/COMP307) (0.203 COMP2567) (0.201 COMP2543) (0.199 COMP2546/COMP2616) (0.198 COMP2531) (0.197 COMP2595) (0.193 COMP2602) (0.191 COMP2177/COMP2559) (0.189 COMP2588) (0.188 COMP2573) (0.187 COMP2604) (0.185 COMP2594) (0.183 COMP2575/COMP2620) (0.180 COMP2608) (0.168 COMP2522) (0.161 COMP2609) (0.159 COMP2554) (0.158 COMP238/COMP2545) (0.157 COMP2618) (0.150 COMP2553) (0.149 COMP1838) (0.147 COMP2548) (0.146 COMP2615) (0.145 COMP2555) (0.144 COMP2542) (0.140 COMP2597) (0.139 COMP2593) (0.138 COMP2574) (0.136 COMP2159)
NOS2 expression inhibitor	0.972	COMP2003/COMP2619	(0.967 COMP2606/COMP46) (0.966 COMP2542) (0.965 COMP1838) (0.963 COMP2386/COMP357) (0.962 COMP2567) (0.961 COMP2597) (0.960 COMP2617/COMP348) (0.958 COMP56) (0.951 COMP2582/COMP574) (0.950 COMP2524/COMP2573) (0.949 COMP2159/COMP2599/COMP305) (0.948 COMP2574) (0.945 COMP2545/COMP2588) (0.944 COMP2598/COMP2605) (0.941 COMP2581/COMP2615) (0.940 COMP572) (0.935 COMP2525/COMP2528/COMP2532) (0.930 COMP2561) (0.929 COMP2569) (0.928 COMP2609/COMP2621) (0.926 COMP2591) (0.922 COMP272) (0.920 COMP2590) (0.919 COMP2537/COMP2608) (0.916 COMP2576/COMP2589/COMP2618) (0.914 COMP2539) (0.913 COMP2612) (0.911 COMP2580) (0.910 COMP2572) (0.904 COMP2552/COMP2600) (0.902 COMP2520) (0.901 COMP2522) (0.896 COMP2571) (0.894 COMP1881/COMP2171) (0.893 COMP269) (0.892 COMP2163) (0.891 COMP5) (0.890 COMP2355/COMP2602) (0.888 COMP2585/COMP2592) (0.885 COMP2622) (0.879 COMP2566/COMP59/COMP888) (0.878 COMP2594) (0.873 COMP307) (0.862 COMP2531) (0.860 COMP2554) (0.855 COMP2586) (0.854 COMP2523/COMP2614) (0.852 COMP2577) (0.850 COMP2578) (0.839 COMP2527/COMP2551) (0.836 COMP2040) (0.834 COMP2177/COMP2559) (0.833 COMP2575) (0.832 COMP2623) (0.831 COMP2414) (0.822 COMP2610) (0.820 COMP2543) (0.809 COMP2613) (0.791 COMP2563) (0.790 COMP2521/COMP2596) (0.788 COMP2526/COMP2534/COMP2620) (0.787 COMP2579) (0.775 COMP2530/COMP2565) (0.767 COMP2564) (0.764 COMP2607) (0.758 COMP2595) (0.742 COMP2556) (0.741 COMP2587) (0.733 COMP215) (0.731 COMP2535) (0.719 COMP2593) (0.712 COMP2529/COMP2533/COMP2558/COMP2603/COMP2611) (0.707 COMP2601) (0.699 COMP2604) (0.694 COMP2553) (0.673 COMP2549) (0.664 COMP2540) (0.663 COMP2544) (0.660 COMP1107) (0.633 COMP2541) (0.629 COMP2546) (0.625 COMP2555) (0.621 COMP2547/COMP2616) (0.606 COMP1429/COMP227/COMP2538) (0.603 COMP77) (0.596 COMP238) (0.574 COMP2568) (0.567 COMP2550) (0.559 COMP1671) (0.545 COMP221) (0.531 COMP2548) (0.523 COMP2031) (0.519 COMP118) (0.512 COMP2557) (0.363 COMP838) (0.361 COMP322) (0.360 COMP2570) (0.353 COMP2560) (0.283 COMP2536) (0.209 COMP2625) (0.186 COMP2624)
NOS3 expression enhancer	0.743	COMP2588	(0.742 COMP2524) (0.736 COMP2574) (0.730 COMP2597) (0.728 COMP307) (0.722 COMP2606/COMP46) (0.721 COMP56) (0.720 COMP2617/COMP348) (0.718 COMP305) (0.715 COMP2608) (0.705 COMP2590) (0.704 COMP2159) (0.701 COMP2525) (0.700 COMP2386/COMP357) (0.694 COMP2003/COMP2619) (0.691 COMP2545) (0.690 COMP1838) (0.685 COMP272) (0.681 COMP2605) (0.677 COMP5) (0.675 COMP2615) (0.664 COMP2569) (0.663 COMP2618) (0.661 COMP2591) (0.657 COMP2567) (0.656 COMP2598) (0.653 COMP2573) (0.649 COMP2600) (0.646 COMP2582/COMP574) (0.641 COMP2163) (0.637 COMP2530/COMP2565) (0.633 COMP572) (0.625 COMP2586) (0.623 COMP2177/COMP2559) (0.608 COMP2543) (0.604 COMP2520) (0.564 COMP2581) (0.561 COMP2571) (0.557 COMP2535) (0.553 COMP2528) (0.535 COMP2585) (0.531 COMP2561) (0.526 COMP2537) (0.511 COMP2592) (0.510 COMP2522) (0.507 COMP2599) (0.505 COMP2542/COMP2609) (0.496 COMP2532) (0.485 COMP1881/COMP2171) (0.483 COMP2566/COMP59/COMP888) (0.474 COMP269) (0.471 COMP2547) (0.460 COMP2596) (0.442 COMP2414) (0.437 COMP2622) (0.436 COMP2523/COMP2614) (0.429 COMP2040) (0.412 COMP2563) (0.406 COMP2610) (0.405 COMP2540) (0.401 COMP2539/COMP2587) (0.400 COMP2577/COMP2578) (0.399 COMP2572/COMP2580) (0.398 COMP2531) (0.388 COMP2621) (0.383 COMP2575) (0.378 COMP2544) (0.359 COMP2527/COMP2551) (0.357 COMP2579) (0.348 COMP118) (0.346 COMP2564) (0.344 COMP2526/COMP2534) (0.330 COMP2538) (0.325 COMP2554) (0.313 COMP2546) (0.310 COMP2552/COMP2613) (0.308 COMP2594) (0.298 COMP2602) (0.292 COMP1671) (0.288 COMP2576/COMP2589) (0.277 COMP2607) (0.272 COMP2595) (0.271 COMP1429/COMP215/COMP227) (0.270 COMP2616) (0.263 COMP77) (0.259 COMP2557) (0.254 COMP2541) (0.247 COMP2533) (0.245 COMP2031) (0.244 COMP2556) (0.241 COMP2555) (0.216 COMP2601) (0.203 COMP2521/COMP2604) (0.199 COMP322) (0.183 COMP2568) (0.178 COMP2593) (0.158 COMP2570) (0.154 COMP2612) (0.147 COMP2620) (0.129 COMP2548) (0.121 COMP2355/COMP2550/COMP2553) (0.119 COMP2536)
NOS3 expression inhibitor	0.910	COMP77	(0.841 COMP305) (0.840 COMP2597) (0.837 COMP56) (0.829 COMP2608) (0.818 COMP307) (0.798 COMP1838/COMP2525) (0.786 COMP2569) (0.778 COMP2568) (0.759 COMP2617/COMP348) (0.757 COMP2606/COMP46) (0.751 COMP272) (0.748 COMP2528) (0.744 COMP5) (0.732 COMP2581) (0.719 COMP2003/COMP2619) (0.704 COMP2530/COMP2565) (0.688 COMP2163/COMP2591) (0.687 COMP2585) (0.684 COMP2571) (0.676 COMP2177/COMP2559) (0.674 COMP2537) (0.673 COMP2590) (0.667 COMP215) (0.665 COMP2592/COMP2609) (0.663 COMP2586) (0.656 COMP2588) (0.652 COMP2159) (0.648 COMP2535) (0.647 COMP2598) (0.645 COMP2524) (0.644 COMP838) (0.639 COMP2545) (0.632 COMP2031) (0.631 COMP269) (0.628 COMP1881/COMP2171) (0.622 COMP2566/COMP59/COMP888) (0.619 COMP2386/COMP357) (0.615 COMP2615) (0.613 COMP2621) (0.612 COMP2040) (0.607 COMP2414) (0.606 COMP2600) (0.603 COMP2567) (0.599 COMP2618) (0.598 COMP2596) (0.585 COMP2587) (0.573 COMP2573) (0.563 COMP221) (0.560 COMP2520) (0.551 COMP2574) (0.547 COMP2605) (0.543 COMP2526/COMP2534) (0.527 COMP2527/COMP2551) (0.523 COMP2532) (0.518 COMP2599) (0.517 COMP2542) (0.516 COMP2561) (0.512 COMP2612) (0.510 COMP2623) (0.507 COMP2575) (0.500 COMP2355) (0.497 COMP2595) (0.494 COMP2570) (0.489 COMP2582/COMP574) (0.470 COMP238/COMP2541/COMP2549) (0.465 COMP2523/COMP2580/COMP2614/COMP2622) (0.462 COMP572) (0.453 COMP2556) (0.445 COMP2560) (0.442 COMP2539) (0.439 COMP2610) (0.433 COMP2563/COMP2616) (0.432 COMP2572) (0.427 COMP2540) (0.426 COMP2613) (0.423 COMP2564) (0.419 COMP2531) (0.417 COMP2536) (0.415 COMP2555) (0.411 COMP1671) (0.409 COMP2589/COMP2624) (0.407 COMP2521) (0.403 COMP2547) (0.400 COMP2529/COMP2558/COMP2603/COMP2611) (0.395 COMP2577) (0.394 COMP2620) (0.388 COMP2543) (0.382 COMP2550) (0.378 COMP2576/COMP2594) (0.374 COMP2544) (0.373 COMP2604) (0.372 COMP2625) (0.368 COMP322) (0.364 COMP2578) (0.362 COMP2593) (0.357 COMP2533) (0.346 COMP2522) (0.330 COMP2548) (0.323 COMP2553) (0.322 COMP2601) (0.320 COMP2538) (0.318 COMP2546) (0.309 COMP2554) (0.305 COMP2602) (0.296 COMP2579) (0.295 COMP2552) (0.276 COMP1429/COMP227) (0.273 COMP2607) (0.255 COMP2557) (0.243 COMP118)
TNF expression inhibitor	0.967	COMP2355	(0.963 COMP2529/COMP2558/COMP2603/COMP2611) (0.959 COMP1838) (0.953 COMP2612) (0.951 COMP56) (0.939 COMP2528) (0.937 COMP305) (0.932 COMP2581) (0.901 COMP1671) (0.899 COMP2621/COMP77) (0.888 COMP2003/COMP2619) (0.886 COMP2582/COMP574) (0.882 COMP1881/COMP2171) (0.869 COMP2566/COMP2606/COMP46/COMP59/COMP888) (0.867 COMP2549/COMP2623) (0.860 COMP269) (0.859 COMP2532) (0.855 COMP572) (0.847 COMP2561) (0.836 COMP2617/COMP348) (0.827 COMP2598) (0.821 COMP2605) (0.819 COMP2591) (0.809 COMP238) (0.799 COMP2040/COMP2585) (0.786 COMP2527/COMP2551) (0.785 COMP2526/COMP2534) (0.784 COMP2592) (0.773 COMP2599) (0.751 COMP2556) (0.746 COMP2539) (0.739 COMP2537) (0.737 COMP215) (0.726 COMP2531) (0.718 COMP2414) (0.712 COMP2596) (0.694 COMP1429/COMP227) (0.692 COMP2569/COMP2609) (0.691 COMP272) (0.690 COMP2593) (0.684 COMP2604) (0.679 COMP2522) (0.663 COMP2587) (0.660 COMP2554/COMP838) (0.657 COMP2542) (0.649 COMP2552) (0.643 COMP2568) (0.642 COMP2595) (0.641 COMP2521) (0.639 COMP2524) (0.636 COMP2563/COMP2567/COMP2622) (0.632 COMP2031) (0.630 COMP2523/COMP2614) (0.623 COMP2602) (0.622 COMP2588) (0.619 COMP2589) (0.618 COMP5) (0.615 COMP2159) (0.613 COMP307) (0.609 COMP2616) (0.606 COMP2610) (0.600 COMP2576) (0.598 COMP2580) (0.593 COMP2540/COMP2545) (0.591 COMP2573/COMP2620) (0.589 COMP2555) (0.587 COMP2613) (0.586 COMP2536/COMP2544) (0.584 COMP2597) (0.581 COMP2533) (0.580 COMP2572) (0.579 COMP2163) (0.578 COMP2601) (0.574 COMP2594) (0.573 COMP2600) (0.572 COMP2574) (0.571 COMP2590) (0.569 COMP2615/COMP2624) (0.568 COMP2547) (0.565 COMP221) (0.559 COMP2564) (0.546 COMP2386/COMP357) (0.545 COMP2571) (0.541 COMP2543) (0.538 COMP2625) (0.536 COMP2575) (0.531 COMP2586) (0.528 COMP2607) (0.517 COMP322) (0.514 COMP2177/COMP2546/COMP2559) (0.508 COMP2608) (0.505 COMP2538) (0.504 COMP2618) (0.494 COMP118) (0.483 COMP2577) (0.482 COMP2560) (0.462 COMP2578) (0.431 COMP1107) (0.428 COMP2541) (0.427 COMP2579) (0.423 COMP2525) (0.413 COMP2550) (0.393 COMP2570) (0.378 COMP2553) (0.353 COMP2530/COMP2565) (0.332 COMP2548) (0.298 COMP2520) (0.278 COMP2557)
