Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.456	COMP1671	(0.332 COMP77) (0.184 COMP2555) (0.172 COMP2031) (0.169 COMP2536) (0.164 COMP2526/COMP2534) (0.160 COMP2531) (0.159 COMP2546) (0.158 COMP2538/COMP2540) (0.154 COMP2547/COMP2563) (0.153 COMP1429/COMP227) (0.152 COMP2554) (0.146 COMP2595/COMP2625) (0.144 COMP2524/COMP838) (0.143 COMP2544/COMP2552) (0.141 COMP2528/COMP2616) (0.140 COMP2602) (0.138 COMP118/COMP2545/COMP2588) (0.137 COMP2607) (0.136 COMP2570) (0.134 COMP2615/COMP2618) (0.133 COMP2609) (0.132 COMP2590) (0.131 COMP2574) (0.130 COMP2523/COMP2533/COMP2542/COMP2614/COMP2620) (0.129 COMP2593/COMP2610) (0.128 COMP2601) (0.127 COMP2600) (0.126 COMP2573) (0.125 COMP2521) (0.123 COMP2586) (0.122 COMP2163/COMP238/COMP2549) (0.121 COMP2539/COMP2543/COMP2575) (0.120 COMP2522) (0.119 COMP2624) (0.117 COMP2568/COMP2582/COMP322/COMP574) (0.116 COMP2177/COMP2559/COMP572) (0.115 COMP2537/COMP2569/COMP2598/COMP2605) (0.114 COMP2520/COMP2529/COMP2558/COMP2567/COMP2580/COMP2603/COMP2611) (0.113 COMP2525) (0.112 COMP2532/COMP2553/COMP2561/COMP2596) (0.111 COMP2579/COMP2599/COMP272) (0.109 COMP2591/COMP307) (0.108 COMP2577) (0.107 COMP1107) (0.106 COMP2572) (0.105 COMP5)
Aldehyde dehydrogenase substrate	0.229	COMP2625	(0.224 COMP2031) (0.186 COMP1671) (0.179 COMP2624/COMP838) (0.160 COMP1429/COMP227/COMP2526/COMP2534) (0.158 COMP2563) (0.152 COMP2163) (0.149 COMP2568/COMP322) (0.147 COMP2586) (0.145 COMP2540) (0.141 COMP2538/COMP2595) (0.140 COMP2546) (0.138 COMP2547) (0.137 COMP2177/COMP2544/COMP2559) (0.135 COMP2528) (0.134 COMP2533) (0.133 COMP2601/COMP272) (0.131 COMP2531) (0.130 COMP118) (0.129 COMP2521/COMP2552) (0.126 COMP2524) (0.125 COMP2609) (0.124 COMP2545) (0.122 COMP2555) (0.120 COMP2569/COMP2602) (0.119 COMP2554/COMP2600/COMP2607/COMP2618/COMP5) (0.118 COMP2573/COMP2588/COMP2590) (0.116 COMP307) (0.114 COMP2615) (0.112 COMP2536/COMP2596) (0.110 COMP2525/COMP2616) (0.108 COMP2620) (0.106 COMP2593) (0.105 COMP215/COMP2574) (0.101 COMP2542/COMP2567) (0.100 COMP2523/COMP2614) (0.099 COMP269) (0.098 COMP1838)
Aldehyde oxidase substrate	0.279	COMP322	(0.253 COMP2031) (0.244 COMP838) (0.228 COMP2560) (0.216 COMP2596) (0.208 COMP118) (0.202 COMP2587) (0.199 COMP2536) (0.196 COMP2625) (0.195 COMP221) (0.193 COMP215) (0.167 COMP2414) (0.166 COMP1429/COMP227) (0.164 COMP269) (0.162 COMP2562) (0.161 COMP2624) (0.157 COMP2586) (0.151 COMP2163) (0.150 COMP2527/COMP2551) (0.148 COMP2568) (0.143 COMP2040)
Aldose reductase substrate	0.532	COMP2569	(0.482 COMP305) (0.470 COMP2537) (0.461 COMP2528/COMP2581) (0.442 COMP56) (0.404 COMP2617/COMP348) (0.402 COMP1838) (0.379 COMP2606/COMP46) (0.360 COMP2621) (0.353 COMP2003/COMP2619) (0.344 COMP2159) (0.330 COMP2570) (0.309 COMP2386/COMP357) (0.280 COMP2612) (0.263 COMP2536) (0.245 COMP2355) (0.231 COMP2031) (0.222 COMP2623) (0.216 COMP2525) (0.197 COMP2177/COMP2559) (0.196 COMP838) (0.187 COMP2586) (0.186 COMP307) (0.180 COMP1671) (0.177 COMP2163/COMP5) (0.172 COMP2625) (0.166 COMP2535/COMP2541) (0.162 COMP2414) (0.161 COMP322) (0.160 COMP272) (0.159 COMP2556) (0.157 COMP2573) (0.154 COMP2587) (0.150 COMP221) (0.148 COMP2560/COMP2567/COMP2615) (0.144 COMP2555) (0.142 COMP2548) (0.138 COMP215/COMP2624) (0.136 COMP2545/COMP2550) (0.135 COMP2527/COMP2551) (0.133 COMP2521/COMP2553) (0.131 COMP2563) (0.130 COMP2040/COMP2596) (0.127 COMP2600) (0.125 COMP2568)
Arylamine N-Acetyltransferase substrate	0.623	COMP838	(0.387 COMP2624) (0.295 COMP2031) (0.285 COMP2587) (0.282 COMP2625) (0.271 COMP2596) (0.234 COMP322) (0.200 COMP2541) (0.151 COMP215) (0.140 COMP2040) (0.135 COMP269) (0.121 COMP1671) (0.114 COMP2560) (0.111 COMP2568) (0.102 COMP307) (0.099 COMP2523/COMP2526/COMP2534/COMP2595/COMP2614) (0.094 COMP2536) (0.093 COMP221) (0.087 COMP2414) (0.086 COMP2177/COMP2559) (0.084 COMP118) (0.083 COMP2610) (0.082 COMP2556) (0.079 COMP2163) (0.077 COMP2548) (0.072 COMP2527/COMP2551) (0.065 COMP2585)
CYP1A2 inhibitor	0.985	COMP2567	(0.981 COMP2597) (0.973 COMP2599) (0.964 COMP2592) (0.962 COMP2573) (0.955 COMP272) (0.952 COMP2585) (0.944 COMP2594) (0.940 COMP2598) (0.934 COMP5) (0.928 COMP2591) (0.908 COMP269) (0.906 COMP2600) (0.901 COMP2163) (0.900 COMP2545) (0.895 COMP2605) (0.890 COMP2586) (0.883 COMP2040/COMP2542) (0.880 COMP2524) (0.875 COMP2177/COMP2559) (0.867 COMP2609) (0.866 COMP2572/COMP307) (0.865 COMP2588) (0.862 COMP2590) (0.848 COMP2576) (0.842 COMP2615) (0.840 COMP2580) (0.823 COMP2574) (0.821 COMP2589) (0.810 COMP2552) (0.801 COMP2564) (0.800 COMP2602/COMP2608) (0.794 COMP2618) (0.791 COMP2414) (0.786 COMP2521) (0.778 COMP2622) (0.772 COMP2533) (0.767 COMP2596) (0.763 COMP2601) (0.760 COMP2525) (0.740 COMP2523/COMP2614) (0.735 COMP2532) (0.732 COMP2571) (0.717 COMP2587) (0.710 COMP2582/COMP574) (0.706 COMP2561/COMP2610) (0.703 COMP2607) (0.701 COMP1881/COMP2171) (0.695 COMP2566/COMP59/COMP888) (0.693 COMP2578) (0.688 COMP2520) (0.679 COMP2526/COMP2534) (0.672 COMP2595) (0.667 COMP572) (0.664 COMP2530/COMP2565) (0.661 COMP2577) (0.650 COMP2556) (0.641 COMP2539) (0.631 COMP2531) (0.613 COMP215) (0.611 COMP2548) (0.609 COMP2527/COMP2551) (0.597 COMP2554) (0.582 COMP2613) (0.570 COMP2541) (0.553 COMP2535) (0.551 COMP2579) (0.532 COMP221) (0.527 COMP2522) (0.526 COMP2575) (0.524 COMP1429/COMP227) (0.491 COMP2553) (0.472 COMP2593) (0.463 COMP2620) (0.455 COMP1838) (0.419 COMP2563) (0.413 COMP2616) (0.400 COMP2544) (0.397 COMP56) (0.392 COMP2550) (0.389 COMP2569) (0.380 COMP118) (0.355 COMP305) (0.353 COMP2604) (0.340 COMP2568) (0.339 COMP2003/COMP2619) (0.336 COMP1107) (0.334 COMP2562) (0.320 COMP2560) (0.290 COMP2540) (0.280 COMP2606/COMP46) (0.278 COMP2528) (0.269 COMP2547) (0.264 COMP2546) (0.252 COMP2617/COMP348) (0.251 COMP2538) (0.250 COMP2581) (0.224 COMP2543) (0.194 COMP2031) (0.187 COMP1671) (0.180 COMP2555) (0.178 COMP322)
CYP1A2 substrate	0.932	COMP2566/COMP59/COMP888	(0.928 COMP1881/COMP2171) (0.925 COMP5) (0.923 COMP272) (0.920 COMP307) (0.909 COMP2597) (0.908 COMP2527/COMP2551) (0.901 COMP2177/COMP2559) (0.898 COMP2163) (0.888 COMP2586) (0.849 COMP2567) (0.835 COMP2414) (0.821 COMP2573) (0.810 COMP2592) (0.802 COMP2585) (0.798 COMP215/COMP2532) (0.776 COMP2545) (0.760 COMP2561) (0.759 COMP2040) (0.755 COMP269) (0.751 COMP2539/COMP2582/COMP574) (0.746 COMP2598) (0.743 COMP2591) (0.730 COMP2590) (0.729 COMP572) (0.727 COMP2615) (0.717 COMP2588) (0.712 COMP2600) (0.706 COMP2525) (0.698 COMP2596) (0.694 COMP2524) (0.692 COMP221) (0.685 COMP2587) (0.675 COMP2574) (0.652 COMP2576) (0.644 COMP2581) (0.642 COMP1429/COMP227) (0.625 COMP118) (0.624 COMP2543) (0.614 COMP2541) (0.613 COMP2604) (0.597 COMP2569) (0.596 COMP2589) (0.594 COMP2599) (0.572 COMP56) (0.569 COMP1838) (0.567 COMP2605) (0.559 COMP305) (0.557 COMP2606/COMP46) (0.554 COMP2003/COMP2522/COMP2619) (0.546 COMP2618) (0.544 COMP2617/COMP348) (0.529 COMP2568) (0.524 COMP2548) (0.514 COMP2608) (0.509 COMP2622) (0.505 COMP2625) (0.504 COMP2031) (0.499 COMP2556) (0.495 COMP2571) (0.494 COMP2572) (0.476 COMP2523/COMP2614) (0.457 COMP2550) (0.443 COMP2580/COMP2610) (0.440 COMP2613) (0.399 COMP2526/COMP2534) (0.381 COMP2560) (0.354 COMP2521) (0.348 COMP2563) (0.333 COMP2609) (0.330 COMP2159) (0.321 COMP2621) (0.319 COMP1671) (0.316 COMP2562) (0.315 COMP2533) (0.313 COMP2594) (0.312 COMP2624) (0.311 COMP2575/COMP2595) (0.309 COMP2540) (0.302 COMP2544) (0.301 COMP2547) (0.298 COMP2601) (0.275 COMP322) (0.273 COMP2616) (0.269 COMP77) (0.261 COMP2531) (0.259 COMP2570) (0.256 COMP2564/COMP838) (0.253 COMP2386/COMP357) (0.252 COMP2620) (0.247 COMP2555) (0.237 COMP2546) (0.233 COMP2602) (0.232 COMP2542) (0.231 COMP2552) (0.228 COMP1107) (0.217 COMP2528/COMP2593) (0.214 COMP2538) (0.212 COMP2536) (0.208 COMP2554) (0.190 COMP2607) (0.185 COMP2578)
CYP24 inhibitor	0.060	COMP77	(0.033 COMP1429/COMP227) (0.025 COMP2526/COMP2534) (0.021 COMP2556)
CYP2A6 inhibitor	0.428	COMP221	(0.255 COMP215) (0.213 COMP2587) (0.192 COMP2525) (0.179 COMP2177/COMP2559) (0.172 COMP2596) (0.171 COMP118) (0.161 COMP307) (0.155 COMP2610) (0.153 COMP2608) (0.152 COMP2523/COMP2614) (0.148 COMP2560) (0.147 COMP2564) (0.144 COMP2586) (0.138 COMP2541) (0.137 COMP2548) (0.136 COMP2613) (0.135 COMP2163) (0.134 COMP1671) (0.131 COMP2597) (0.122 COMP322) (0.115 COMP5) (0.111 COMP2545) (0.109 COMP2571) (0.106 COMP2604) (0.105 COMP2615) (0.098 COMP1429/COMP227) (0.097 COMP2040) (0.095 COMP2527/COMP2551/COMP2585) (0.094 COMP2556) (0.089 COMP2550) (0.087 COMP2573/COMP2594) (0.083 COMP2576) (0.082 COMP2592) (0.081 COMP2590) (0.079 COMP2598) (0.077 COMP2589/COMP2591) (0.076 COMP272) (0.075 COMP2563) (0.072 COMP2588) (0.070 COMP2605) (0.067 COMP2031) (0.066 COMP2574/COMP269)
CYP2B6 inhibitor	0.569	COMP2596	(0.542 COMP2587) (0.533 COMP269) (0.518 COMP2040) (0.513 COMP2163) (0.500 COMP2177/COMP2559/COMP2586) (0.482 COMP1671/COMP272) (0.469 COMP5) (0.466 COMP2523/COMP2614) (0.458 COMP307) (0.446 COMP2610) (0.443 COMP215) (0.408 COMP2605) (0.403 COMP2600) (0.402 COMP2590) (0.398 COMP221) (0.388 COMP2414) (0.387 COMP2608) (0.374 COMP2545) (0.370 COMP2541) (0.366 COMP2592) (0.364 COMP2573) (0.362 COMP2585) (0.349 COMP2580) (0.345 COMP2548) (0.344 COMP2571) (0.336 COMP2572/COMP2618) (0.319 COMP2622) (0.318 COMP2524/COMP2588) (0.317 COMP2615) (0.315 COMP2031) (0.313 COMP2567) (0.309 COMP118) (0.305 COMP2599) (0.304 COMP2591) (0.300 COMP2598) (0.298 COMP2594) (0.295 COMP1429/COMP227) (0.285 COMP2575) (0.282 COMP2597) (0.281 COMP2525) (0.263 COMP2589) (0.262 COMP2547/COMP2577) (0.257 COMP2527/COMP2551) (0.255 COMP2538) (0.252 COMP2550/COMP2576) (0.251 COMP2578) (0.249 COMP2530/COMP2565/COMP2574) (0.247 COMP2564) (0.245 COMP2540) (0.239 COMP2568/COMP322) (0.236 COMP1881/COMP2171/COMP2535/COMP2556) (0.235 COMP2566/COMP2579/COMP59/COMP888) (0.231 COMP2546) (0.227 COMP2544) (0.226 COMP2526/COMP2534) (0.222 COMP2560) (0.214 COMP838) (0.211 COMP2595) (0.208 COMP2539) (0.207 COMP2521) (0.205 COMP2604) (0.200 COMP2561) (0.197 COMP2625) (0.195 COMP2533) (0.191 COMP2613) (0.187 COMP2532) (0.185 COMP2601) (0.180 COMP2520) (0.175 COMP1107) (0.172 COMP2602) (0.170 COMP2552) (0.165 COMP2609) (0.160 COMP2531) (0.152 COMP77) (0.151 COMP2582/COMP574) (0.147 COMP2536)
