Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.385	COMP197	(0.359 COMP1672) (0.354 COMP506) (0.301 COMP502)
Acetylcholine release stimulant	0.153	COMP197	(0.107 COMP1672) (0.102 COMP502)
Actinic keratosis treatment	0.207	COMP197	(0.202 COMP2928) (0.150 COMP502) (0.129 COMP506) (0.096 COMP1672)
Acute neurologic disorders treatment	0.535	COMP2928	(0.413 COMP1672) (0.311 COMP506)
Acute respiratory distress syndrome (ARDS) treatment	0.355	COMP197	(0.196 COMP502)
Alzheimer's disease treatment	0.501	COMP2928	(0.300 COMP197)
Amyotrophic lateral sclerosis treatment	0.268	COMP197	(0.242 COMP2928)
Anabolic	0.175	COMP502	(0.174 COMP197) (0.159 COMP1672) (0.152 COMP506) (0.143 COMP2928)
Analeptic	0.637	COMP502	(0.434 COMP1672) (0.412 COMP197) (0.409 COMP506) (0.244 COMP2928)
Andropause treatment	0.069	COMP502	
Anesthetic	0.313	COMP502	(0.274 COMP197) (0.165 COMP1672)
Anesthetic general	0.453	COMP502	(0.406 COMP197) (0.231 COMP1672) (0.196 COMP2928) (0.171 COMP506)
Anesthetic inhalation	0.179	COMP502	(0.169 COMP506) (0.149 COMP1672) (0.113 COMP197)
Anesthetic local	0.296	COMP502	(0.178 COMP1672) (0.144 COMP197) (0.102 COMP506)
Angiogenesis inhibitor	0.197	COMP197	
Angiogenesis stimulant	0.589	COMP197	(0.349 COMP1672) (0.254 COMP502) (0.179 COMP2928)
Antiacne	0.326	COMP506	(0.261 COMP1672) (0.234 COMP2928) (0.223 COMP197) (0.222 COMP502)
Antialcoholic	0.161	COMP1672	(0.154 COMP502)
Antiallergic	0.610	COMP502	(0.553 COMP197) (0.331 COMP2928)
Antiamyloidogenic	0.437	COMP2928	(0.180 COMP197)
Antianemic	0.170	COMP197	
Antianginal	0.592	COMP2928	(0.167 COMP502)
Antianorexic	0.174	COMP502	
Antiarrhythmic	0.175	COMP197	
Antiarthritic	0.493	COMP502	(0.387 COMP197) (0.372 COMP2928)
Antibacterial	0.503	COMP1672	(0.500 COMP506) (0.452 COMP502) (0.444 COMP2928) (0.407 COMP197)
Antibiotic	0.144	COMP506	(0.130 COMP1672) (0.110 COMP502) (0.095 COMP197) (0.065 COMP2928)
Anticataract	0.294	COMP2928	(0.122 COMP1672)
Anticholelithogenic	0.101	COMP197	(0.070 COMP502)
Anticonvulsant	0.181	COMP197	
Antidiabetic	0.692	COMP197	(0.373 COMP2928) (0.361 COMP506) (0.271 COMP502)
Antidiabetic (type 1)	0.147	COMP502	(0.131 COMP197)
Antidiabetic (type 2)	0.699	COMP197	(0.271 COMP506) (0.200 COMP2928)
Antidiabetic symptomatic	0.598	COMP197	(0.457 COMP2928) (0.217 COMP502)
Antidiarrheal	0.180	COMP2928	
Antidote	0.253	COMP502	(0.175 COMP197)
Antidote. heavy metal	0.100	COMP502	(0.095 COMP197)
Antidote. mercury	0.178	COMP506	(0.165 COMP1672) (0.164 COMP502) (0.110 COMP197)
Antidote. organophosphates	0.097	COMP506	(0.092 COMP1672) (0.088 COMP502) (0.083 COMP197)
Antieczematic	0.442	COMP197	(0.209 COMP502) (0.169 COMP506)
Antiemphysemic	0.101	COMP502	(0.081 COMP197) (0.057 COMP1672)
Antiepileptic	0.254	COMP197	
Antifungal	0.583	COMP502	(0.487 COMP1672) (0.481 COMP197) (0.471 COMP506) (0.444 COMP2928)
Antifungal (Candida)	0.146	COMP502	(0.118 COMP197) (0.102 COMP1672) (0.089 COMP2928)
Antifungal (Cryptococcus)	0.454	COMP502	(0.157 COMP197) (0.153 COMP1672) (0.145 COMP2928)
Antifungal (Pneumocystis)	0.149	COMP197	(0.122 COMP1672) (0.120 COMP502) (0.117 COMP506)
Antifungal enhancer	0.503	COMP2928	(0.263 COMP502) (0.207 COMP197) (0.174 COMP1672) (0.112 COMP506)
Antiglaucomic	0.674	COMP502	(0.671 COMP197) (0.491 COMP1672) (0.232 COMP2928) (0.188 COMP506)
Antihelmintic	0.408	COMP197	(0.304 COMP506) (0.297 COMP502) (0.272 COMP1672) (0.213 COMP2928)
Antihelmintic (Fasciola)	0.115	COMP506	(0.104 COMP1672)
Antihelmintic (Nematodes)	0.416	COMP197	(0.307 COMP502) (0.280 COMP1672) (0.228 COMP506)
Antihelmintic (Trematoda)	0.120	COMP197	(0.119 COMP1672)
Antihemorrhagic	0.197	COMP2928	(0.110 COMP1672)
Antihypercholesterolemic	0.893	COMP2928	(0.702 COMP197) (0.661 COMP502) (0.354 COMP1672) (0.318 COMP506)
Antihyperlipoproteinemic	0.592	COMP2928	(0.403 COMP197) (0.177 COMP1672) (0.161 COMP502) (0.154 COMP506)
Antihypermotility	0.128	COMP2928	
Antihypertensive	0.474	COMP502	(0.369 COMP197) (0.320 COMP2928)
Antihypertriglyceridemic	0.664	COMP197	(0.630 COMP506) (0.515 COMP1672) (0.363 COMP2928) (0.293 COMP502)
Antihypotensive	0.441	COMP502	(0.317 COMP2928) (0.234 COMP1672) (0.229 COMP197) (0.190 COMP506)
Antihypoxic	0.422	COMP197	(0.315 COMP502) (0.298 COMP1672) (0.286 COMP506)
Antiinfertility. female	0.159	COMP502	
Antiinflammatory	0.866	COMP197	(0.795 COMP506) (0.776 COMP502) (0.734 COMP2928) (0.597 COMP1672)
Antiischemic	0.714	COMP2928	(0.356 COMP197) (0.214 COMP502)
Antiischemic. cerebral	0.234	COMP2928	(0.158 COMP197)
Antileprosy	0.112	COMP197	(0.081 COMP1672)
Antileukemic	0.373	COMP506	(0.353 COMP2928) (0.292 COMP197) (0.267 COMP1672) (0.201 COMP502)
Antimetabolite	0.106	COMP197	(0.067 COMP502) (0.064 COMP1672) (0.061 COMP506)
Antimitotic	0.138	COMP197	
Antimutagenic	0.575	COMP197	(0.478 COMP1672) (0.460 COMP502) (0.294 COMP506)
Antimycobacterial	0.261	COMP197	
Antimycoplasmal	0.129	COMP502	(0.120 COMP1672) (0.101 COMP506) (0.099 COMP197)
Antineoplastic (bone cancer)	0.393	COMP502	(0.314 COMP2928) (0.192 COMP1672)
Antineoplastic (brain cancer)	0.517	COMP506	(0.315 COMP1672) (0.287 COMP197) (0.248 COMP2928)
Antineoplastic (breast cancer)	0.513	COMP2928	(0.332 COMP197) (0.275 COMP502)
Antineoplastic (carcinoma)	0.173	COMP502	
Antineoplastic (cervical cancer)	0.314	COMP506	(0.261 COMP2928) (0.216 COMP197) (0.208 COMP1672)
Antineoplastic (colon cancer)	0.171	COMP2928	
Antineoplastic (colorectal cancer)	0.178	COMP2928	
Antineoplastic (endocrine cancer)	0.329	COMP502	(0.252 COMP1672)
Antineoplastic (glioblastoma multiforme)	0.475	COMP2928	(0.193 COMP506) (0.180 COMP197) (0.155 COMP1672)
Antineoplastic (glioma)	0.482	COMP2928	(0.174 COMP197) (0.141 COMP506)
Antineoplastic (insulinoma)	0.012	COMP1672	
Antineoplastic (liver cancer)	0.422	COMP197	
Antineoplastic (lung cancer)	0.429	COMP2928	(0.287 COMP197)
Antineoplastic (lymphocytic leukemia)	0.301	COMP2928	(0.275 COMP197)
Antineoplastic (lymphoma)	0.237	COMP197	(0.173 COMP502)
Antineoplastic (melanoma)	0.474	COMP2928	(0.209 COMP197)
Antineoplastic (multiple myeloma)	0.575	COMP2928	(0.469 COMP506) (0.436 COMP197) (0.421 COMP1672)
Antineoplastic (non-small cell lung cancer)	0.323	COMP2928	(0.177 COMP197)
Antineoplastic (ovarian cancer)	0.416	COMP2928	(0.410 COMP506) (0.272 COMP197) (0.266 COMP1672)
Antineoplastic (pancreatic cancer)	0.367	COMP197	(0.318 COMP2928) (0.216 COMP502) (0.172 COMP506)
Antineoplastic (renal cancer)	0.383	COMP2928	(0.244 COMP197) (0.235 COMP506) (0.214 COMP1672)
Antineoplastic (sarcoma)	0.255	COMP1672	(0.185 COMP506)
Antineoplastic (solid tumors)	0.469	COMP197	
Antineoplastic (squamous cell carcinoma)	0.149	COMP2928	(0.128 COMP1672/COMP502)
Antineoplastic alkaloid	0.119	COMP197	
