Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.051	COMP197	(0.031 COMP1672)
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.013	COMP1672	
1.3-Beta-glucan synthase inhibitor	0.033	COMP2928	(0.031 COMP502)
12-Lipoxygenase inhibitor	0.321	COMP197	(0.197 COMP506) (0.190 COMP1672)
15-Lipoxygenase inhibitor	0.503	COMP197	(0.309 COMP2928) (0.210 COMP1672)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.067	COMP2928/COMP502	(0.047 COMP1672) (0.037 COMP197) (0.035 COMP506)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.057	COMP502	
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.041	COMP1672/COMP506	(0.040 COMP502)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.078	COMP502	(0.075 COMP197) (0.054 COMP1672)
3C-Like protease (MERS coronavirus) inhibitor	0.025	COMP506	(0.023 COMP1672)
3C-Like protease (SARS coronavirus) inhibitor	0.189	COMP506	(0.176 COMP1672)
3C-like protease (Human coronavirus) inhibitor	0.174	COMP506	(0.153 COMP1672)
5 Hydroxytryptamine 1E antagonist	0.220	COMP502	(0.185 COMP1672)
5 Hydroxytryptamine 3E antagonist	0.207	COMP506	(0.197 COMP1672)
5 Hydroxytryptamine release inhibitor	0.538	COMP2928	(0.461 COMP502) (0.376 COMP1672) (0.375 COMP197) (0.327 COMP506)
5 Hydroxytryptamine release stimulant	0.750	COMP502	(0.475 COMP1672) (0.364 COMP506) (0.324 COMP197) (0.186 COMP2928)
5 Hydroxytryptamine uptake stimulant	0.416	COMP502	(0.371 COMP197) (0.353 COMP1672) (0.300 COMP506)
5-Lipoxygenase inhibitor	0.336	COMP506	(0.334 COMP197) (0.315 COMP1672) (0.242 COMP2928) (0.108 COMP502)
ABCA1 expression enhancer	0.167	COMP506	(0.114 COMP2928) (0.112 COMP1672) (0.107 COMP502)
AICAR transformylase inhibitor	0.041	COMP506	(0.040 COMP1672)
AMP-activated protein kinase stimulant	0.144	COMP197	
AR expression inhibitor	0.790	COMP2928	(0.750 COMP506) (0.706 COMP1672) (0.445 COMP502) (0.354 COMP197)
ATP citrate lysase inhibitor	0.097	COMP502	(0.042 COMP2928) (0.031 COMP197) (0.030 COMP1672)
ATPase (Vacuolar H+) inhibitor	0.156	COMP506	(0.152 COMP197) (0.118 COMP502)
ATPase inhibitor	0.321	COMP506	(0.283 COMP1672) (0.271 COMP197) (0.248 COMP502)
Abortion inducer	0.519	COMP502	(0.494 COMP197) (0.449 COMP2928) (0.417 COMP1672) (0.358 COMP506)
Acaricide	0.385	COMP197	(0.359 COMP1672) (0.354 COMP506) (0.301 COMP502)
Acetyl-CoA transferase 1 inhibitor	0.132	COMP197	(0.082 COMP1672) (0.051 COMP506)
Acetyl-CoA transferase 2 inhibitor	0.081	COMP197	(0.070 COMP1672) (0.052 COMP502)
Acetyl-CoA transferase inhibitor	0.235	COMP197	(0.151 COMP1672) (0.081 COMP506)
Acetylcholine M1 receptor antagonist	0.154	COMP502	
Acetylcholine release stimulant	0.153	COMP197	(0.107 COMP1672) (0.102 COMP502)
Acid ceramidase inhibitor	0.027	COMP1672	(0.024 COMP502)
Aconitate hydratase inhibitor	0.151	COMP502	(0.119 COMP197) (0.086 COMP1672) (0.081 COMP506)
Actinic keratosis treatment	0.207	COMP197	(0.202 COMP2928) (0.150 COMP502) (0.129 COMP506) (0.096 COMP1672)
Acute neurologic disorders treatment	0.535	COMP2928	(0.413 COMP1672) (0.311 COMP506)
Acute respiratory distress syndrome (ARDS) treatment	0.355	COMP197	(0.196 COMP502)
Acyl-CoA dehydrogenase inhibitor	0.266	COMP502	(0.214 COMP1672) (0.166 COMP197) (0.153 COMP506)
Adenine nucleotide translocase inhibitor	0.071	COMP2928	(0.062 COMP502)
Adenosine deaminase inhibitor	0.107	COMP502	(0.077 COMP1672) (0.070 COMP197) (0.060 COMP506)
Adenylate cyclase 1 inhibitor	0.078	COMP502	
Adenylate cyclase inhibitor	0.261	COMP502	
Adenylate cyclase stimulant	0.303	COMP502	(0.218 COMP197) (0.190 COMP1672) (0.184 COMP506) (0.170 COMP2928)
Adenylate kinase inhibitor	0.392	COMP1672	(0.361 COMP502) (0.324 COMP506) (0.305 COMP197)
Adrenaline agonist	0.079	COMP502	
Alcohol dehydrogenase inhibitor	0.129	COMP1672	(0.107 COMP502) (0.101 COMP506)
Alcohol dehydrogenase substrate	0.951	COMP506	(0.933 COMP1672) (0.790 COMP502) (0.399 COMP197) (0.149 COMP2928)
Alcohol oxidase inhibitor	0.446	COMP506	(0.329 COMP1672) (0.219 COMP502) (0.101 COMP197)
Aldehyde dehydrogenase inhibitor	0.529	COMP1672	(0.385 COMP506) (0.345 COMP197) (0.343 COMP502)
Aldehyde dehydrogenase substrate	0.837	COMP506	(0.809 COMP1672) (0.321 COMP502) (0.300 COMP197) (0.141 COMP2928)
Aldehyde oxidase inhibitor	0.563	COMP502	(0.338 COMP506) (0.337 COMP1672) (0.216 COMP197) (0.198 COMP2928)
Aldehyde oxidase substrate	0.222	COMP506	(0.198 COMP1672) (0.156 COMP502)
Aldose reductase substrate	0.826	COMP506	(0.797 COMP1672) (0.187 COMP2928) (0.165 COMP502)
Alkylator	0.303	COMP197	(0.283 COMP1672) (0.259 COMP506) (0.179 COMP502)
Alpha-N-acetylglucosaminidase inhibitor	0.552	COMP506	(0.503 COMP1672) (0.472 COMP502) (0.236 COMP197)
