Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.519	COMP502	(0.494 COMP197) (0.449 COMP2928) (0.417 COMP1672) (0.358 COMP506)
Carcinogenic	0.827	COMP506	(0.812 COMP1672) (0.736 COMP502) (0.643 COMP197) (0.636 COMP2928)
Carcinogenic. group 1	0.357	COMP502	(0.317 COMP197) (0.285 COMP506) (0.257 COMP1672)
Carcinogenic. group 2A	0.183	COMP502	(0.140 COMP506) (0.122 COMP1672) (0.107 COMP197)
Carcinogenic. group 2B	0.313	COMP502	(0.206 COMP506) (0.199 COMP1672)
Carcinogenic. group 3	0.739	COMP1672	(0.577 COMP506) (0.388 COMP502) (0.302 COMP197) (0.098 COMP2928)
Cardiodepressant	0.509	COMP502	(0.194 COMP197) (0.166 COMP2928)
Cytotoxic	0.499	COMP2928	(0.495 COMP506) (0.479 COMP1672) (0.411 COMP197) (0.410 COMP502)
DNA damaging	0.288	COMP2928	(0.238 COMP197) (0.182 COMP502)
Embryotoxic	0.804	COMP502	(0.636 COMP1672) (0.631 COMP506) (0.550 COMP197) (0.236 COMP2928)
Eye irritation. high	0.976	COMP502	(0.942 COMP1672) (0.932 COMP506) (0.808 COMP197) (0.261 COMP2928)
Genotoxic	0.695	COMP506	(0.672 COMP502) (0.653 COMP1672) (0.254 COMP197) (0.144 COMP2928)
Hypoglycemic	0.549	COMP197	(0.517 COMP506) (0.416 COMP2928) (0.322 COMP1672) (0.208 COMP502)
Mutagenic	0.795	COMP506	(0.744 COMP1672) (0.726 COMP502) (0.530 COMP197) (0.222 COMP2928)
Pneumotoxic	0.291	COMP502	(0.235 COMP2928) (0.230 COMP1672) (0.229 COMP506) (0.194 COMP197)
Sedative	0.431	COMP197	(0.366 COMP1672) (0.312 COMP502) (0.292 COMP506)
Sensitization	0.641	COMP502	(0.583 COMP1672) (0.571 COMP2928) (0.558 COMP506) (0.389 COMP197)
Skin irritative effect	0.928	COMP502	(0.925 COMP1672) (0.906 COMP506) (0.853 COMP197) (0.302 COMP2928)
Teratogen	0.806	COMP502	(0.648 COMP506) (0.635 COMP1672) (0.565 COMP197) (0.277 COMP2928)
Toxic. respiratory center	0.152	COMP2928	
Ulceration	0.470	COMP197	(0.390 COMP502) (0.342 COMP1672) (0.304 COMP2928) (0.281 COMP506)
