Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake stimulant	0.575	COMP1064/COMP1242	(0.558 COMP1356) (0.507 COMP264) (0.478 COMP2925) (0.472 COMP2927) (0.459 COMP2923) (0.452 COMP494) (0.444 COMP488) (0.439 COMP499/COMP513) (0.416 COMP502) (0.394 COMP32) (0.382 COMP9) (0.355 COMP1254) (0.352 COMP2805) (0.341 COMP259) (0.335 COMP2921) (0.333 COMP2) (0.332 COMP2926) (0.329 COMP2922) (0.320 COMP500) (0.315 COMP2228) (0.303 COMP2924) (0.301 COMP2204) (0.285 COMP1156) (0.272 COMP1119) (0.212 COMP2919)
Adenosine uptake inhibitor	0.095	COMP264	(0.072 COMP2923) (0.057 COMP1064/COMP1242) (0.053 COMP2927) (0.048 COMP494) (0.047 COMP488) (0.042 COMP1356) (0.040 COMP9) (0.037 COMP499/COMP513) (0.034 COMP2921) (0.033 COMP2925/COMP2926)
Antiviral (CMV)	0.291	COMP259	(0.172 COMP2) (0.162 COMP488) (0.161 COMP2921) (0.146 COMP1064/COMP1242) (0.125 COMP2204) (0.122 COMP264) (0.118 COMP2926)
Apical sodium codependent bile acid transporter inhibitor	0.047	COMP1064/COMP1242	(0.038 COMP2925) (0.032 COMP488) (0.030 COMP2923) (0.021 COMP2927/COMP499/COMP513) (0.018 COMP259)
Dopamine transporter inhibitor	0.044	COMP2925	
Dopamine uptake inhibitor	0.075	COMP2925	(0.058 COMP1064/COMP1242) (0.056 COMP9)
Electron transport complex I inhibitor	0.619	COMP2927	(0.559 COMP2923) (0.535 COMP1064/COMP1242) (0.520 COMP1119) (0.475 COMP502) (0.317 COMP488) (0.295 COMP1254/COMP494) (0.237 COMP259) (0.174 COMP1356) (0.165 COMP2805) (0.162 COMP499/COMP513) (0.154 COMP2) (0.141 COMP2922) (0.133 COMP2926) (0.122 COMP264/COMP9) (0.115 COMP500)
Endocannabinoid uptake inhibitor	0.216	COMP502	(0.190 COMP259) (0.185 COMP488) (0.179 COMP2) (0.163 COMP1064/COMP1242) (0.125 COMP2204) (0.123 COMP1156) (0.116 COMP499/COMP513) (0.113 COMP2927) (0.111 COMP1356) (0.104 COMP2923) (0.101 COMP2926) (0.096 COMP2922) (0.095 COMP1254/COMP2921) (0.093 COMP500) (0.090 COMP494) (0.086 COMP1119) (0.084 COMP2805) (0.081 COMP32) (0.076 COMP2924) (0.074 COMP2925) (0.070 COMP9) (0.068 COMP2228)
Equilibrative nucleoside transport protein inhibitor	0.065	COMP2925	(0.061 COMP488) (0.052 COMP500) (0.046 COMP2) (0.045 COMP2921)
Excitatory amino acid transporter 1 inhibitor	0.030	COMP2921	(0.022 COMP2926)
Excitatory amino acid transporter 2 inhibitor	0.064	COMP2921	(0.044 COMP2926)
Excitatory amino acid transporter 3 inhibitor	0.033	COMP2921	(0.030 COMP2926) (0.027 COMP2228) (0.026 COMP9) (0.025 COMP500) (0.024 COMP1064/COMP1242/COMP2805/COMP499/COMP513) (0.022 COMP488) (0.021 COMP1156/COMP2204/COMP2924/COMP494) (0.020 COMP2)
