Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.510	COMP67	(0.488 COMP20) (0.421 COMP28/COMP40) (0.405 COMP72) (0.401 COMP69) (0.375 COMP64) (0.373 COMP68) (0.360 COMP61) (0.332 COMP77) (0.280 COMP65) (0.274 COMP74) (0.269 COMP62) (0.237 COMP70) (0.230 COMP76) (0.220 COMP80/COMP82) (0.205 COMP75) (0.195 COMP73) (0.189 COMP83/COMP85) (0.152 COMP60) (0.145 COMP84) (0.132 COMP78/COMP81)
Aldehyde dehydrogenase substrate	0.499	COMP67	(0.336 COMP20) (0.311 COMP28/COMP40) (0.259 COMP72) (0.234 COMP69) (0.232 COMP61) (0.226 COMP64) (0.217 COMP60) (0.198 COMP68) (0.154 COMP74) (0.146 COMP65) (0.109 COMP70) (0.099 COMP80/COMP82)
Aldehyde oxidase substrate	0.322	COMP60	(0.186 COMP28/COMP40) (0.169 COMP63) (0.166 COMP20/COMP79) (0.156 COMP83/COMP85) (0.134 COMP66)
Aldose reductase substrate	0.768	COMP67	(0.356 COMP62) (0.194 COMP28/COMP40) (0.180 COMP76) (0.179 COMP20) (0.170 COMP78/COMP81) (0.165 COMP60) (0.145 COMP83/COMP85) (0.142 COMP79) (0.133 COMP63)
Arylamine N-Acetyltransferase substrate	0.390	COMP20	(0.381 COMP28/COMP40) (0.350 COMP60) (0.204 COMP63) (0.127 COMP79)
CYP1A2 inhibitor	0.970	COMP71	(0.951 COMP66) (0.852 COMP79) (0.792 COMP63) (0.695 COMP59) (0.217 COMP60)
CYP1A2 substrate	0.932	COMP59	(0.912 COMP71) (0.902 COMP66) (0.759 COMP63) (0.740 COMP79) (0.532 COMP28/COMP40) (0.513 COMP20) (0.434 COMP78/COMP81) (0.391 COMP75) (0.388 COMP83/COMP85) (0.359 COMP60) (0.295 COMP64) (0.269 COMP77) (0.268 COMP72) (0.258 COMP69) (0.242 COMP74) (0.238 COMP68) (0.232 COMP76) (0.227 COMP65) (0.193 COMP80/COMP82) (0.191 COMP62) (0.183 COMP61)
CYP24 inhibitor	0.129	COMP73	(0.060 COMP77) (0.041 COMP67) (0.032 COMP80/COMP82) (0.024 COMP62)
CYP2A6 inhibitor	0.385	COMP69	(0.158 COMP63/COMP68) (0.126 COMP72) (0.115 COMP79) (0.099 COMP66) (0.082 COMP71) (0.069 COMP61) (0.066 COMP28/COMP40)
CYP2B6 inhibitor	0.503	COMP63	(0.495 COMP79) (0.391 COMP28/COMP40) (0.375 COMP20) (0.366 COMP71) (0.347 COMP66) (0.238 COMP60) (0.235 COMP59/COMP74) (0.206 COMP80/COMP82) (0.200 COMP73) (0.183 COMP64) (0.180 COMP69) (0.168 COMP75) (0.166 COMP65) (0.156 COMP76) (0.152 COMP77) (0.149 COMP72)
CYP2C19 inhibitor	0.679	COMP66/COMP71	(0.618 COMP59) (0.592 COMP79) (0.556 COMP69) (0.548 COMP63) (0.532 COMP68) (0.437 COMP20) (0.384 COMP28/COMP40) (0.319 COMP60) (0.310 COMP75) (0.305 COMP80/COMP82) (0.301 COMP83/COMP85) (0.297 COMP72) (0.274 COMP61) (0.261 COMP77) (0.246 COMP64)
CYP2C19 substrate	0.917	COMP62	(0.897 COMP77) (0.784 COMP64) (0.781 COMP59) (0.744 COMP65) (0.737 COMP69) (0.687 COMP74) (0.657 COMP72) (0.632 COMP28/COMP40) (0.607 COMP68) (0.604 COMP75) (0.603 COMP61) (0.601 COMP20) (0.590 COMP76) (0.582 COMP83/COMP85) (0.567 COMP78/COMP81) (0.564 COMP73) (0.555 COMP79) (0.552 COMP63) (0.545 COMP71) (0.520 COMP66) (0.459 COMP60) (0.437 COMP80/COMP82) (0.304 COMP70) (0.286 COMP67) (0.251 COMP84)
CYP2C9 inhibitor	0.657	COMP71	(0.651 COMP66) (0.566 COMP79) (0.551 COMP63) (0.491 COMP59) (0.367 COMP60) (0.339 COMP20) (0.279 COMP28/COMP40)
CYP2C9 substrate	0.838	COMP64	(0.793 COMP62) (0.763 COMP72) (0.737 COMP28/COMP40) (0.723 COMP74) (0.717 COMP77) (0.713 COMP71) (0.702 COMP20) (0.699 COMP78/COMP81) (0.698 COMP66) (0.677 COMP69) (0.670 COMP75) (0.659 COMP61) (0.658 COMP83/COMP85) (0.651 COMP76) (0.607 COMP73) (0.604 COMP65) (0.592 COMP63) (0.575 COMP79) (0.574 COMP60) (0.502 COMP68) (0.497 COMP80/COMP82) (0.456 COMP59) (0.375 COMP70) (0.318 COMP67) (0.210 COMP84)
