Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.362	COMP77	(0.256 COMP1364) (0.214 COMP860) (0.140 COMP292) (0.116 COMP990) (0.096 COMP1360/COMP1363) (0.089 COMP1358)
AR expression inhibitor	0.755	COMP860	(0.681 COMP292) (0.548 COMP1364) (0.517 COMP1358) (0.497 COMP1363) (0.485 COMP77) (0.450 COMP1361/COMP1362) (0.446 COMP990) (0.273 COMP1359) (0.270 COMP1360) (0.222 COMP1357)
CTGF expression inhibitor	0.811	COMP77	(0.786 COMP1359) (0.721 COMP1361/COMP1362) (0.716 COMP1358) (0.708 COMP1363) (0.673 COMP990) (0.589 COMP1360) (0.509 COMP1364) (0.271 COMP292) (0.248 COMP860) (0.221 COMP1357)
GRP78 expression inhibitor	0.033	COMP990	(0.022 COMP860)
ICAM1 expression inhibitor	0.687	COMP292	(0.598 COMP860) (0.413 COMP77) (0.396 COMP1361/COMP1362) (0.375 COMP1364) (0.358 COMP1358) (0.346 COMP1363) (0.337 COMP990) (0.329 COMP1360) (0.211 COMP1357) (0.210 COMP1359)
LDLR expression enhancer	0.373	COMP1364	(0.365 COMP77) (0.308 COMP1363) (0.294 COMP1358) (0.283 COMP1361/COMP1362) (0.271 COMP860) (0.258 COMP1360) (0.228 COMP1357) (0.218 COMP990) (0.192 COMP292) (0.187 COMP1359)
NOS2 expression inhibitor	0.714	COMP1364	(0.660 COMP1363) (0.653 COMP1358) (0.603 COMP77) (0.595 COMP292) (0.573 COMP1361/COMP1362) (0.526 COMP860) (0.400 COMP1360) (0.392 COMP990) (0.371 COMP1359) (0.295 COMP1357)
NOS3 expression enhancer	0.399	COMP1358	(0.386 COMP1363) (0.263 COMP77) (0.222 COMP1361/COMP1362) (0.215 COMP1357) (0.198 COMP1360) (0.168 COMP1364)
NOS3 expression inhibitor	0.910	COMP77	(0.871 COMP1364) (0.622 COMP860) (0.528 COMP292) (0.510 COMP990) (0.446 COMP1363) (0.442 COMP1361/COMP1362) (0.436 COMP1358) (0.331 COMP1360) (0.213 COMP1357) (0.194 COMP1359)
TNF expression inhibitor	0.944	COMP1364	(0.899 COMP77) (0.772 COMP860) (0.758 COMP292) (0.743 COMP1358) (0.695 COMP1363) (0.592 COMP990) (0.585 COMP1361/COMP1362) (0.529 COMP1360) (0.423 COMP1359) (0.385 COMP1357)
VCAM1 expression inhibitor	0.431	COMP1358	(0.422 COMP1361/COMP1362) (0.361 COMP1363) (0.331 COMP1360) (0.318 COMP990) (0.288 COMP1359) (0.287 COMP1357) (0.204 COMP77) (0.186 COMP1364)
VEGF expression inhibitor	0.328	COMP1360	(0.309 COMP1363) (0.302 COMP1358) (0.278 COMP1361/COMP1362) (0.250 COMP990) (0.222 COMP1359) (0.214 COMP1364) (0.179 COMP860) (0.174 COMP1357)
