Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.476	COMP994	(0.295 COMP891) (0.279 COMP2318) (0.273 COMP2320) (0.184 COMP2319) (0.169 COMP1757)
Carcinogenic	0.857	COMP2320	(0.843 COMP1562) (0.789 COMP891) (0.784 COMP2314) (0.717 COMP2313) (0.561 COMP994) (0.512 COMP2318) (0.426 COMP2319)
Carcinogenic. group 1	0.856	COMP2318	(0.435 COMP994) (0.294 COMP2319) (0.167 COMP1562) (0.135 COMP1757)
Carcinogenic. group 2A	0.712	COMP2318	(0.235 COMP994) (0.188 COMP1562) (0.093 COMP2319)
Carcinogenic. group 2B	0.596	COMP2318	(0.402 COMP994) (0.288 COMP1562) (0.136 COMP891) (0.106 COMP2319)
Carcinogenic. group 3	0.679	COMP2318	(0.449 COMP994) (0.255 COMP2320) (0.227 COMP891) (0.171 COMP2319)
Cardiodepressant	0.604	COMP1757	(0.414 COMP2319) (0.264 COMP994) (0.237 COMP2318) (0.205 COMP891)
Cytotoxic	0.870	COMP2313/COMP2320	(0.855 COMP2314) (0.749 COMP1562) (0.480 COMP891) (0.384 COMP2319) (0.307 COMP994) (0.263 COMP2318) (0.189 COMP1757)
DNA damaging	0.710	COMP1562	(0.561 COMP2319) (0.388 COMP2318) (0.369 COMP994) (0.307 COMP891) (0.291 COMP2320) (0.289 COMP1757) (0.279 COMP2314) (0.271 COMP2313)
Embryotoxic	0.847	COMP1562	(0.841 COMP2313) (0.822 COMP2314) (0.806 COMP891) (0.573 COMP2320) (0.563 COMP994) (0.329 COMP2318) (0.215 COMP2319) (0.177 COMP1757)
Eye irritation. high	0.720	COMP994	(0.259 COMP2318) (0.187 COMP891) (0.163 COMP1562)
Genotoxic	0.878	COMP1562	(0.601 COMP2319) (0.535 COMP2318) (0.279 COMP891) (0.225 COMP994) (0.183 COMP1757)
Hypoglycemic	0.788	COMP1562	(0.730 COMP2313) (0.725 COMP2314) (0.553 COMP994) (0.440 COMP2319) (0.381 COMP891) (0.308 COMP2320) (0.255 COMP1757)
Mutagenic	0.945	COMP1562	(0.803 COMP2320) (0.740 COMP891) (0.517 COMP2318) (0.478 COMP994) (0.451 COMP2319) (0.442 COMP2313) (0.419 COMP2314)
Pneumotoxic	0.598	COMP1757	(0.431 COMP2318) (0.394 COMP2319) (0.344 COMP994) (0.260 COMP891)
Sedative	0.518	COMP1757	(0.266 COMP2320) (0.207 COMP2318) (0.136 COMP1562) (0.133 COMP2319)
Sensitization	0.898	COMP2320	(0.868 COMP891) (0.777 COMP1562) (0.626 COMP994) (0.539 COMP2314) (0.474 COMP2313) (0.309 COMP2319) (0.302 COMP2318)
Skin irritative effect	0.640	COMP994	(0.267 COMP891) (0.257 COMP2318)
Teratogen	0.872	COMP1562	(0.834 COMP891) (0.809 COMP2313) (0.787 COMP2314) (0.604 COMP2320) (0.591 COMP994) (0.347 COMP2318) (0.245 COMP2319) (0.220 COMP1757)
Toxic. respiratory center	0.244	COMP1757	
Ulceration	0.585	COMP994	(0.493 COMP2319) (0.461 COMP891) (0.440 COMP2318) (0.396 COMP1757) (0.267 COMP1562)
