Name	Activation_Prob	Compound	Another_Probs
Acetylcholinesterase inhibitor	0.473	COMP1881	
Alcohol dehydrogenase inhibitor	0.151	COMP1881	
Alkaline phosphatase inhibitor	0.311	COMP1881	
Androgen agonist	0.056	COMP1881	
Androgen antagonist	0.288	COMP1881	
Arginase inhibitor	0.065	COMP1881	
Aryl hydrocarbon receptor agonist	0.157	COMP1881	
Butyrylcholinesterase inhibitor	0.190	COMP1881	
CYP1A2 inhibitor	0.701	COMP1881	
CYP2C9 inhibitor	0.488	COMP1881	
CYP3A4 inhibitor	0.299	COMP1881	
Ca2+-transporting ATPase inhibitor	0.160	COMP1881	
Cyclooxygenase 1 inhibitor	0.299	COMP1881	
Cyclooxygenase 2 inhibitor	0.172	COMP1881	
Cyclooxygenase inhibitor	0.217	COMP1881	
Cystathionine beta-synthase inhibitor	0.718	COMP1881	
DNA polymerase beta inhibitor	0.246	COMP1881	
DOPA decarboxylase inhibitor	0.241	COMP1881	
Dopamine D2 agonist	0.044	COMP1881	
Electron transport complex I inhibitor	0.181	COMP1881	
Estrogen agonist	0.547	COMP1881	
Glucose-6-phosphate isomerase inhibitor	0.046	COMP1881	
Glutamate dehydrogenase inhibitor	0.065	COMP1881	
Heat shock protein 70 antagonist	0.153	COMP1881	
Hexokinase inhibitor	0.127	COMP1881	
MAO A inhibitor	0.348	COMP1881	
MAO inhibitor	0.618	COMP1881	
Na+ K+ transporting ATPase inhibitor	0.106	COMP1881	
Opioid delta receptor agonist	0.035	COMP1881	
Opioid delta receptor antagonist	0.122	COMP1881	
Opioid kappa receptor agonist	0.164	COMP1881	
Opioid mu receptor agonist	0.080	COMP1881	
Peroxidase inhibitor	0.614	COMP1881	
Phosphodiesterase 4D inhibitor	0.094	COMP1881	
Phosphofructokinase-1 inhibitor	0.087	COMP1881	
Phospholipase A2 inhibitor	0.215	COMP1881	
Phospholipase C inhibitor	0.161	COMP1881	
Prostaglandin F2 alpha agonist	0.021	COMP1881	
Pyruvate kinase inhibitor	0.179	COMP1881	
Retinoic acid alpha receptor agonist	0.037	COMP1881	
Succinate dehydrogenase inhibitor	0.255	COMP1881	
Superoxide dismutase inhibitor	0.289	COMP1881	
Topoisomerase I inhibitor	0.233	COMP1881	
Topoisomerase II alpha inhibitor	0.345	COMP1881	
Triose-phosphate isomerase inhibitor	0.089	COMP1881	
Tyrosine 3 hydroxylase inhibitor	0.288	COMP1881	
UDP-glucose 4-epimerase inhibitor	0.148	COMP1881	
