Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.106	COMP1881	
AR expression inhibitor	0.707	COMP1881	
CTGF expression inhibitor	0.761	COMP1881	
ICAM1 expression inhibitor	0.451	COMP1881	
LDLR expression enhancer	0.255	COMP1881	
NOS2 expression inhibitor	0.894	COMP1881	
NOS3 expression enhancer	0.485	COMP1881	
NOS3 expression inhibitor	0.628	COMP1881	
TNF expression inhibitor	0.882	COMP1881	
VCAM1 expression inhibitor	0.554	COMP1881	
VEGF expression inhibitor	0.322	COMP1881	
