Name	Activation_Prob	Compound	Another_Probs
12-Lipoxygenase inhibitor	0.422	COMP1881	
15-Lipoxygenase inhibitor	0.628	COMP1881	
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.075	COMP1881	
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.198	COMP1881	
5 Hydroxytryptamine release inhibitor	0.465	COMP1881	
5 Hydroxytryptamine release stimulant	0.450	COMP1881	
5 Hydroxytryptamine uptake stimulant	0.528	COMP1881	
5-Alpha-reductase inhibitor	0.035	COMP1881	
5-Lipoxygenase inhibitor	0.311	COMP1881	
ABCA1 expression enhancer	0.106	COMP1881	
AMP-activated protein kinase stimulant	0.231	COMP1881	
AR expression inhibitor	0.707	COMP1881	
ATP citrate lysase inhibitor	0.056	COMP1881	
Abortion inducer	0.246	COMP1881	
Acaricide	0.150	COMP1881	
Acetyl-CoA transferase 2 inhibitor	0.061	COMP1881	
Acetylcholinesterase inhibitor	0.473	COMP1881	
Actinic keratosis treatment	0.145	COMP1881	
Adenylate cyclase stimulant	0.159	COMP1881	
Alcohol dehydrogenase inhibitor	0.151	COMP1881	
Alcohol oxidase inhibitor	0.109	COMP1881	
Aldehyde dehydrogenase inhibitor	0.239	COMP1881	
Aldehyde oxidase inhibitor	0.783	COMP1881	
Aldose reductase inhibitor	0.239	COMP1881	
Alkaline phosphatase inhibitor	0.311	COMP1881	
Alkylator	0.296	COMP1881	
Alpha tubulin antagonist	0.151	COMP1881	
Alpha-N-acetylglucosaminidase inhibitor	0.156	COMP1881	
Alpha-glucosidase inhibitor	0.705	COMP1881	
Alzheimer's disease treatment	0.545	COMP1881	
Amylase inhibitor	0.722	COMP1881	
Amyloid beta aggregation inhibitor	0.743	COMP1881	
Amyloid beta precursor protein antagonist	0.226	COMP1881	
Anabolic	0.148	COMP1881	
Analeptic	0.503	COMP1881	
Analgesic. opioid	0.126	COMP1881	
Androgen agonist	0.056	COMP1881	
Androgen antagonist	0.288	COMP1881	
Angiogenesis inhibitor	0.211	COMP1881	
Angiogenesis stimulant	0.269	COMP1881	
Antialcoholic	0.249	COMP1881	
Antiamyloidogenic	0.597	COMP1881	
Antiarrhythmic	0.163	COMP1881	
Antibacterial	0.518	COMP1881	
Antibacterial (Helicobacter pylori)	0.128	COMP1881	
Antibiotic	0.090	COMP1881	
Antibiotic Aminoglycoside-like	0.032	COMP1881	
Antibiotic Anthracycline-like	0.020	COMP1881	
Antibiotic Glycopeptide-like	0.054	COMP1881	
Anticholelithogenic	0.081	COMP1881	
Antidiabetic	0.651	COMP1881	
Antidiabetic (type 2)	0.293	COMP1881	
Antidiabetic symptomatic	0.440	COMP1881	
Antidiarrheal	0.299	COMP1881	
Antidote	0.313	COMP1881	
Antidote. heavy metal	0.105	COMP1881	
Antidote. mercury	0.091	COMP1881	
Antieczematic atopic	0.157	COMP1881	
Antifungal	0.454	COMP1881	
Antifungal (Pneumocystis)	0.116	COMP1881	
Antifungal enhancer	0.222	COMP1881	
Antihelmintic	0.396	COMP1881	
Antihelmintic (Fasciola)	0.104	COMP1881	
Antihelmintic (Nematodes)	0.250	COMP1881	
Antihelmintic (Trematoda)	0.211	COMP1881	
Antihemorrhagic	0.628	COMP1881	
Antihypercholesterolemic	0.781	COMP1881	
Antihyperlipoproteinemic	0.140	COMP1881	
Antihypertriglyceridemic	0.595	COMP1881	
Antihypotensive	0.417	COMP1881	
Antihypoxic	0.566	COMP1881	
Antiinflammatory	0.758	COMP1881	
Antiischemic	0.272	COMP1881	
Antiischemic. cerebral	0.162	COMP1881	
Antileukemic	0.519	COMP1881	
Antimitotic	0.277	COMP1881	
Antimutagenic	0.814	COMP1881	
Antimycobacterial	0.268	COMP1881	
Antimycoplasmal	0.060	COMP1881	
Antineoplastic (bladder cancer)	0.256	COMP1881	
Antineoplastic (brain cancer)	0.558	COMP1881	
Antineoplastic (breast cancer)	0.680	COMP1881	
Antineoplastic (carcinoma)	0.217	COMP1881	
Antineoplastic (cervical cancer)	0.478	COMP1881	
Antineoplastic (colon cancer)	0.485	COMP1881	
Antineoplastic (colorectal cancer)	0.506	COMP1881	
Antineoplastic (gastric cancer)	0.181	COMP1881	
Antineoplastic (glioblastoma multiforme)	0.413	COMP1881	
Antineoplastic (glioma)	0.494	COMP1881	
Antineoplastic (liver cancer)	0.342	COMP1881	
Antineoplastic (lung cancer)	0.473	COMP1881	
Antineoplastic (lymphoma)	0.150	COMP1881	
Antineoplastic (melanoma)	0.385	COMP1881	
Antineoplastic (non-small cell lung cancer)	0.327	COMP1881	
Antineoplastic (osteosarcoma)	0.358	COMP1881	
Antineoplastic (ovarian cancer)	0.358	COMP1881	
Antineoplastic (pancreatic cancer)	0.395	COMP1881	
Antineoplastic (renal cancer)	0.224	COMP1881	
Antineoplastic (sarcoma)	0.359	COMP1881	
Antineoplastic (small cell lung cancer)	0.252	COMP1881	
Antineoplastic (squamous cell carcinoma)	0.318	COMP1881	
Antineoplastic (uterine cancer)	0.249	COMP1881	
Antineoplastic antibiotic	0.209	COMP1881	
Antineoplastic enhancer	0.492	COMP1881	
Antineurogenic pain	0.306	COMP1881	
Antiosteoporotic	0.587	COMP1881	
Antioxidant	0.824	COMP1881	
Antiparasitic	0.431	COMP1881	
Antiparkinsonian	0.342	COMP1881	
Antiprotozoal	0.246	COMP1881	
Antiprotozoal (Coccidial)	0.312	COMP1881	
Antiprotozoal (Leishmania)	0.395	COMP1881	
