Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake stimulant	0.528	COMP1881	
Electron transport complex I inhibitor	0.181	COMP1881	
Excitatory amino acid transporter EAAC1 inhibitor	0.104	COMP1881	
Multidrug resistance-associated protein 1 inhibitor	0.267	COMP1881	
Nucleoside transporters inhibitor	0.029	COMP1881	
P-glycoprotein inhibitor	0.417	COMP1881	
Sodium-dependent vitamin C transporter 2 inhibitor	0.034	COMP1881	
Sodium/bile acid cotransporter inhibitor	0.222	COMP1881	
Sodium/calcium exchanger inhibitor	0.085	COMP1881	
Sodium/glucose cotransporter 1 inhibitor	0.040	COMP1881	
Sodium/glucose cotransporter 2 inhibitor	0.064	COMP1881	
Sodium/glucose cotransporter inhibitor	0.051	COMP1881	
