Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.070	COMP475	(0.053 COMP1136) (0.045 COMP1886) (0.041 COMP1082) (0.040 COMP1100) (0.038 COMP982) (0.035 COMP1069/COMP1093/COMP3173) (0.033 COMP932) (0.031 COMP3170)
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.020	COMP1136	(0.019 COMP1069/COMP1093/COMP475) (0.015 COMP3173) (0.014 COMP1082/COMP1100) (0.013 COMP1886)
1.3-Beta-glucan synthase inhibitor	0.036	COMP3170	(0.034 COMP1069/COMP1093/COMP475) (0.033 COMP1097) (0.030 COMP1886)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.028	COMP1100	(0.027 COMP1082) (0.026 COMP1136) (0.025 COMP3170)
12-Lipoxygenase inhibitor	0.587	COMP3176	(0.473 COMP932) (0.394 COMP1100) (0.309 COMP1886) (0.306 COMP3173) (0.216 COMP1136) (0.212 COMP475) (0.203 COMP1082)
15-Lipoxygenase inhibitor	0.786	COMP3176	(0.624 COMP932) (0.448 COMP1886) (0.408 COMP1100) (0.390 COMP3173) (0.361 COMP455) (0.320 COMP982) (0.287 COMP475) (0.224 COMP1136/COMP2377) (0.213 COMP1501)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.099	COMP475	(0.067 COMP3173) (0.043 COMP1069/COMP1093)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.167	COMP1100	(0.129 COMP932) (0.090 COMP1886) (0.078 COMP475) (0.075 COMP3173) (0.072 COMP1082) (0.070 COMP1136) (0.053 COMP3176) (0.051 COMP1069/COMP1093)
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.156	COMP1100	(0.096 COMP1082) (0.089 COMP932) (0.080 COMP1136) (0.074 COMP1069/COMP1093) (0.073 COMP1886) (0.062 COMP475) (0.057 COMP1097) (0.055 COMP3173) (0.039 COMP3176)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.247	COMP1100	(0.163 COMP3170) (0.154 COMP3176) (0.148 COMP932) (0.104 COMP1082) (0.103 COMP1136) (0.084 COMP1886) (0.066 COMP475)
3C-like protease (Human coronavirus) inhibitor	0.344	COMP1082	(0.282 COMP932) (0.234 COMP1100) (0.179 COMP982) (0.174 COMP455) (0.170 COMP1136) (0.163 COMP2377) (0.162 COMP1069/COMP1093) (0.155 COMP1501)
4-Hydroxyphenylpyruvate dioxygenase inhibitor	0.018	COMP3174	(0.015 COMP1501)
5 Hydroxytryptamine 1 agonist	0.825	COMP455	(0.479 COMP2377) (0.368 COMP982) (0.179 COMP1886) (0.133 COMP3173) (0.064 COMP1069/COMP1093) (0.055 COMP1097)
5 Hydroxytryptamine 1 antagonist	0.364	COMP455	(0.167 COMP2377) (0.094 COMP3173)
5 Hydroxytryptamine 1A agonist	0.336	COMP455	(0.052 COMP2377) (0.042 COMP982)
5 Hydroxytryptamine 1A antagonist	0.281	COMP455	(0.120 COMP2377) (0.077 COMP3173)
5 Hydroxytryptamine 1B agonist	0.678	COMP455	(0.296 COMP1886) (0.212 COMP2377) (0.149 COMP982) (0.143 COMP1069/COMP1093) (0.118 COMP1097) (0.108 COMP3173)
5 Hydroxytryptamine 1B antagonist	0.410	COMP455	(0.202 COMP2377) (0.100 COMP3173) (0.062 COMP1069/COMP1093/COMP1886) (0.061 COMP982)
5 Hydroxytryptamine 1D agonist	0.349	COMP455	(0.225 COMP2377) (0.078 COMP3173) (0.060 COMP982) (0.059 COMP1069/COMP1093/COMP1886) (0.054 COMP1097)
5 Hydroxytryptamine 1D antagonist	0.497	COMP455	(0.259 COMP2377) (0.124 COMP3173) (0.080 COMP1886) (0.071 COMP1069/COMP1093) (0.067 COMP982)
5 Hydroxytryptamine 1E antagonist	0.601	COMP455	(0.415 COMP3173) (0.408 COMP2377) (0.363 COMP1886) (0.347 COMP3176) (0.314 COMP1069/COMP1093) (0.311 COMP982) (0.304 COMP1097) (0.193 COMP1100) (0.192 COMP932) (0.186 COMP1136) (0.177 COMP475) (0.174 COMP1082)
5 Hydroxytryptamine 1F agonist	0.047	COMP3173	(0.028 COMP2377) (0.024 COMP455)
5 Hydroxytryptamine 1F antagonist	0.476	COMP455	(0.337 COMP3173) (0.331 COMP2377) (0.106 COMP982) (0.089 COMP1886) (0.060 COMP1069/COMP1093)
5 Hydroxytryptamine 2 agonist	0.287	COMP455	(0.101 COMP2377) (0.099 COMP1886) (0.082 COMP3173) (0.074 COMP1069/COMP1093)
5 Hydroxytryptamine 2 antagonist	0.326	COMP455	(0.274 COMP2377) (0.151 COMP3173) (0.096 COMP1886)
5 Hydroxytryptamine 2A agonist	0.499	COMP455	(0.213 COMP1886) (0.131 COMP2377) (0.128 COMP3173) (0.123 COMP1069/COMP1093) (0.119 COMP982) (0.089 COMP1097)
5 Hydroxytryptamine 2A antagonist	0.277	COMP455	(0.247 COMP2377) (0.114 COMP3173) (0.070 COMP1886)
5 Hydroxytryptamine 2B agonist	0.160	COMP455	(0.073 COMP1886) (0.061 COMP1069/COMP1093) (0.049 COMP2377) (0.042 COMP3173) (0.040 COMP1097)
