Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.722	COMP932	(0.684 COMP1100) (0.578 COMP475) (0.355 COMP1136) (0.338 COMP3170) (0.307 COMP1082) (0.265 COMP3173) (0.264 COMP3174) (0.248 COMP1069/COMP1093) (0.201 COMP3176) (0.187 COMP1886) (0.148 COMP1097) (0.129 COMP2280/COMP2281/COMP403) (0.121 COMP3175)
Acetylcholine release stimulant	0.192	COMP475	(0.174 COMP1082) (0.149 COMP3173) (0.144 COMP455) (0.137 COMP1069/COMP1093) (0.136 COMP1501) (0.129 COMP932) (0.127 COMP1136) (0.126 COMP1886) (0.117 COMP1100) (0.116 COMP982) (0.109 COMP2377) (0.106 COMP1097) (0.105 COMP3176)
Actinic keratosis treatment	0.458	COMP3174	(0.300 COMP2280/COMP2281/COMP403) (0.272 COMP932) (0.234 COMP1100) (0.202 COMP1136) (0.196 COMP1082) (0.175 COMP475) (0.150 COMP982) (0.142 COMP3176) (0.128 COMP1069/COMP1093) (0.127 COMP3170) (0.114 COMP1886) (0.103 COMP3173) (0.097 COMP1097) (0.083 COMP2279)
Acute neurologic disorders treatment	0.339	COMP1886	(0.338 COMP3173) (0.331 COMP1100) (0.329 COMP3170) (0.320 COMP1069/COMP1093) (0.307 COMP1097) (0.304 COMP1136) (0.260 COMP982) (0.247 COMP455) (0.203 COMP3175) (0.198 COMP475) (0.181 COMP2377)
Acute respiratory distress syndrome (ARDS) treatment	0.368	COMP3170	(0.309 COMP3175) (0.212 COMP1097) (0.177 COMP475) (0.134 COMP1136) (0.131 COMP1069/COMP1093) (0.129 COMP3173) (0.123 COMP982)
Age-related macular degeneration treatment	0.270	COMP1069/COMP1093	(0.261 COMP3170) (0.253 COMP1082) (0.245 COMP1097/COMP982) (0.241 COMP1136) (0.228 COMP2279) (0.219 COMP455) (0.214 COMP2280/COMP2281/COMP403) (0.187 COMP1886) (0.182 COMP475) (0.179 COMP1100)
Allergic rhinitis treatment	0.517	COMP982	(0.473 COMP3175) (0.329 COMP3174) (0.275 COMP1136) (0.113 COMP475)
Alzheimer's disease treatment	0.582	COMP1501	
Amyotrophic lateral sclerosis treatment	0.245	COMP1082	(0.214 COMP2377) (0.204 COMP1069/COMP1093) (0.187 COMP3173) (0.183 COMP475/COMP982) (0.180 COMP455)
Anabolic	0.187	COMP3170	(0.175 COMP3174) (0.170 COMP932) (0.167 COMP1100/COMP475) (0.166 COMP1136/COMP3176) (0.156 COMP2279) (0.151 COMP2280/COMP2281/COMP403) (0.146 COMP1069/COMP1093) (0.144 COMP3173) (0.143 COMP1886) (0.131 COMP1097) (0.120 COMP1082) (0.097 COMP3175)
Analeptic	0.718	COMP3170	(0.680 COMP3173) (0.633 COMP1886) (0.621 COMP475) (0.596 COMP932) (0.560 COMP1100) (0.545 COMP3174) (0.472 COMP1097) (0.458 COMP1069/COMP1093) (0.456 COMP1136) (0.407 COMP1082) (0.302 COMP3176) (0.271 COMP455) (0.267 COMP2279) (0.261 COMP2280/COMP2281/COMP403) (0.232 COMP2377)
Analgesic	0.309	COMP2377	(0.299 COMP3173)
Analgesic. non-opioid	0.283	COMP2377	(0.237 COMP1082)
Analgesic. opioid	0.169	COMP3173	(0.118 COMP1886) (0.072 COMP1069/COMP1093) (0.070 COMP2377) (0.068 COMP1136)
Andropause treatment	0.067	COMP1100/COMP475	
Anesthetic	0.465	COMP932	(0.401 COMP475) (0.292 COMP3170) (0.260 COMP3173) (0.232 COMP1100) (0.173 COMP1097) (0.167 COMP1136) (0.166 COMP1069/COMP1093) (0.132 COMP1886)
Anesthetic general	0.669	COMP3170	(0.609 COMP932) (0.554 COMP475) (0.482 COMP3173) (0.463 COMP1100) (0.456 COMP1136) (0.398 COMP1886) (0.385 COMP1069/COMP1093) (0.281 COMP3174) (0.263 COMP1082) (0.252 COMP1097) (0.243 COMP982) (0.193 COMP3176) (0.155 COMP2280/COMP2281/COMP403) (0.139 COMP1501) (0.136 COMP3175)
Anesthetic inhalation	0.357	COMP475	(0.325 COMP1069/COMP1093) (0.156 COMP1136) (0.129 COMP1097) (0.101 COMP932) (0.092 COMP3170) (0.082 COMP1886) (0.075 COMP3175) (0.065 COMP1100) (0.057 COMP1082) (0.051 COMP3173) (0.050 COMP3174/COMP455)
Anesthetic local	0.399	COMP932	(0.313 COMP475) (0.278 COMP3173) (0.255 COMP1097) (0.206 COMP1100) (0.202 COMP1069/COMP1093) (0.140 COMP1886) (0.112 COMP1136)
Angiogenesis inhibitor	0.441	COMP3170	
Angiogenesis stimulant	0.494	COMP475	(0.470 COMP1069/COMP1093) (0.392 COMP1136) (0.389 COMP1097) (0.387 COMP3170) (0.314 COMP3174) (0.311 COMP1100) (0.280 COMP1886) (0.279 COMP3176) (0.262 COMP2279) (0.258 COMP932) (0.249 COMP982) (0.241 COMP3175) (0.238 COMP3172) (0.206 COMP455)
Ankylosing spondylitis treatment	0.069	COMP1082	
