Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.133	COMP18/COMP539/COMP634/COMP675	(0.128 COMP2989) (0.114 COMP718) (0.070 COMP601) (0.063 COMP620/COMP668) (0.054 COMP2964/COMP599/COMP609) (0.053 COMP1068/COMP1242/COMP1433/COMP869) (0.050 COMP863) (0.049 COMP60) (0.048 COMP1058/COMP1151/COMP1658/COMP1660/COMP2764/COMP2968/COMP2970/COMP666/COMP948) (0.046 COMP2232/COMP542/COMP866) (0.045 COMP2967/COMP2969/COMP592) (0.041 COMP322/COMP626) (0.040 COMP503/COMP683) (0.039 COMP296/COMP524) (0.038 COMP2211/COMP697) (0.037 COMP2141) (0.036 COMP476/COMP630) (0.035 COMP1235/COMP2982) (0.034 COMP263) (0.033 COMP1669/COMP2210/COMP24/COMP2963/COMP500/COMP52) (0.031 COMP602)
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.032	COMP1068/COMP1242/COMP1433/COMP869	(0.029 COMP2211) (0.028 COMP263) (0.024 COMP1235) (0.022 COMP503) (0.020 COMP18/COMP2967/COMP539/COMP634/COMP675) (0.019 COMP322/COMP601/COMP718) (0.018 COMP1058/COMP1151/COMP1658/COMP1660/COMP1669/COMP2210/COMP24/COMP2764/COMP2968/COMP2970/COMP52/COMP542/COMP666/COMP948) (0.017 COMP2226/COMP241/COMP245/COMP499/COMP513/COMP518/COMP57) (0.016 COMP2966/COMP2981/COMP2982/COMP60/COMP626/COMP9) (0.015 COMP2228/COMP2929/COMP2964/COMP2989/COMP500/COMP599/COMP609/COMP866) (0.014 COMP2232/COMP2977/COMP2985/COMP683) (0.013 COMP212/COMP2141/COMP2963/COMP2969/COMP592) (0.012 COMP2973/COMP43/COMP620/COMP668)
1.3-Beta-glucan synthase inhibitor	0.039	COMP1413	(0.037 COMP62) (0.036 COMP1068/COMP1242/COMP1433/COMP2944/COMP869) (0.035 COMP693) (0.034 COMP2943/COMP2945/COMP601) (0.033 COMP2946) (0.032 COMP1235/COMP1262/COMP1669/COMP24/COMP301/COMP305/COMP52/COMP56/COMP867) (0.031 COMP2511/COMP2966/COMP2969/COMP2974/COMP2976/COMP592) (0.030 COMP2232/COMP2485/COMP2980/COMP2990/COMP503/COMP774/COMP891) (0.029 COMP292/COMP2986) (0.028 COMP18/COMP2816/COMP2817/COMP348/COMP46/COMP539/COMP634/COMP675) (0.027 COMP1267/COMP2989/COMP500/COMP512/COMP715/COMP721/COMP810/COMP882)
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.295	COMP292	(0.240 COMP124) (0.169 COMP282) (0.164 COMP114/COMP131) (0.145 COMP144/COMP19) (0.085 COMP548) (0.057 COMP2959) (0.053 COMP150/COMP151/COMP163) (0.045 COMP1181/COMP153) (0.041 COMP616)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.856	COMP292	(0.205 COMP282) (0.077 COMP124) (0.057 COMP1181/COMP153) (0.056 COMP548) (0.051 COMP1413) (0.040 COMP2211) (0.038 COMP114/COMP131/COMP616) (0.035 COMP144/COMP19) (0.034 COMP263/COMP2981/COMP544) (0.033 COMP1058/COMP1151/COMP1658/COMP1660/COMP2210/COMP2764/COMP2968/COMP2970/COMP62/COMP666/COMP948) (0.031 COMP503) (0.029 COMP2959/COMP2969/COMP592) (0.028 COMP1235/COMP322/COMP626) (0.027 COMP1068/COMP1242/COMP1433/COMP869/COMP9) (0.026 COMP1244) (0.025 COMP1669/COMP24/COMP52) (0.024 COMP2963/COMP2982)
12-Lipoxygenase inhibitor	0.869	COMP48	(0.824 COMP49) (0.778 COMP2952) (0.770 COMP2930/COMP2979) (0.767 COMP2953) (0.766 COMP2886) (0.759 COMP2955) (0.752 COMP2988) (0.741 COMP2948) (0.733 COMP2983) (0.710 COMP101) (0.655 COMP2950) (0.644 COMP1481) (0.632 COMP1284) (0.627 COMP2954) (0.616 COMP2978) (0.604 COMP2991) (0.601 COMP2940) (0.586 COMP2977) (0.570 COMP241/COMP245) (0.509 COMP2973) (0.473 COMP2932) (0.450 COMP683) (0.446 COMP887) (0.437 COMP2951) (0.432 COMP2989/COMP60/COMP866) (0.422 COMP1881/COMP2171) (0.420 COMP1235) (0.419 COMP503) (0.412 COMP2582/COMP574/COMP888) (0.408 COMP2949) (0.399 COMP2141) (0.395 COMP212) (0.387 COMP2957/COMP2984) (0.380 COMP2958) (0.374 COMP737/COMP775/COMP776/COMP777/COMP778) (0.372 COMP733/COMP875) (0.370 COMP2947) (0.358 COMP512/COMP715/COMP721/COMP810/COMP882) (0.356 COMP697) (0.348 COMP2982) (0.343 COMP2931/COMP604) (0.330 COMP626) (0.329 COMP2967) (0.322 COMP476/COMP9) (0.320 COMP263/COMP2985) (0.316 COMP2929) (0.304 COMP1119) (0.298 COMP2936/COMP2941) (0.297 COMP302) (0.295 COMP2211) (0.294 COMP1254) (0.289 COMP2963/COMP322) (0.284 COMP2961) (0.281 COMP620/COMP668) (0.280 COMP1068/COMP1242/COMP1433/COMP869) (0.278 COMP1058/COMP1151/COMP1658/COMP1660/COMP2764/COMP2968/COMP2970/COMP666/COMP948) (0.272 COMP2210) (0.260 COMP18/COMP539/COMP634/COMP675) (0.259 COMP718) (0.240 COMP603) (0.236 COMP11/COMP8) (0.232 COMP242/COMP244/COMP247/COMP467) (0.224 COMP296/COMP2964/COMP524/COMP544/COMP599/COMP609) (0.223 COMP2965) (0.219 COMP2972) (0.212 COMP601) (0.210 COMP2226) (0.206 COMP2511) (0.199 COMP616) (0.196 COMP2934) (0.194 COMP1262/COMP301/COMP56) (0.190 COMP2962/COMP2975) (0.189 COMP43) (0.188 COMP2980) (0.183 COMP602) (0.181 COMP2971)
15-Lipoxygenase inhibitor	0.882	COMP2978	(0.869 COMP48) (0.863 COMP242/COMP244/COMP247/COMP467) (0.828 COMP49) (0.803 COMP733/COMP875) (0.780 COMP737/COMP775/COMP776/COMP777/COMP778) (0.774 COMP512/COMP715/COMP721/COMP810/COMP882) (0.771 COMP2952) (0.764 COMP2953) (0.752 COMP2886) (0.736 COMP2582/COMP574) (0.722 COMP2940) (0.707 COMP2958) (0.700 COMP2984) (0.687 COMP2957) (0.639 COMP101) (0.631 COMP296/COMP524) (0.628 COMP1881/COMP2171) (0.621 COMP888) (0.607 COMP2930/COMP2979) (0.600 COMP2972) (0.598 COMP2955) (0.587 COMP2948) (0.582 COMP1119) (0.581 COMP2988) (0.573 COMP2983) (0.559 COMP866) (0.553 COMP2973) (0.525 COMP2950/COMP2989) (0.516 COMP683) (0.511 COMP11/COMP8/COMP887) (0.486 COMP2141) (0.481 COMP2977) (0.476 COMP212) (0.475 COMP241/COMP245) (0.467 COMP60) (0.460 COMP2965) (0.457 COMP1235) (0.454 COMP503) (0.453 COMP1481) (0.448 COMP1254) (0.447 COMP1284) (0.435 COMP2985/COMP697) (0.431 COMP604) (0.426 COMP2947/COMP2991) (0.423 COMP2954) (0.410 COMP2982) (0.407 COMP626) (0.405 COMP2951) (0.396 COMP2963) (0.384 COMP476) (0.383 COMP322/COMP603) (0.382 COMP620/COMP668) (0.380 COMP302) (0.356 COMP2932) (0.354 COMP2931) (0.351 COMP2964/COMP599/COMP609) (0.346 COMP30) (0.341 COMP1068/COMP1242/COMP1433/COMP2967/COMP869) (0.340 COMP2949) (0.337 COMP263) (0.336 COMP2929) (0.333 COMP2211) (0.327 COMP2975) (0.317 COMP18/COMP539/COMP634/COMP675) (0.312 COMP616) (0.307 COMP718) (0.287 COMP601) (0.280 COMP9) (0.269 COMP1058/COMP1151/COMP1658/COMP1660/COMP2764/COMP2968/COMP2970/COMP666/COMP948) (0.252 COMP2941) (0.246 COMP2961) (0.245 COMP2210) (0.243 COMP544) (0.240 COMP2226/COMP630) (0.230 COMP2511) (0.227 COMP2934) (0.224 COMP500) (0.214 COMP2232) (0.212 COMP602)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.315	COMP1119	(0.236 COMP282) (0.209 COMP296/COMP524) (0.197 COMP302) (0.195 COMP1254) (0.147 COMP292) (0.099 COMP601) (0.090 COMP11/COMP8) (0.087 COMP2965) (0.083 COMP476) (0.080 COMP2961) (0.079 COMP548) (0.077 COMP141/COMP264/COMP547) (0.075 COMP500) (0.065 COMP1068/COMP1242/COMP1433/COMP869) (0.058 COMP1413) (0.055 COMP6) (0.054 COMP2232/COMP616) (0.051 COMP144/COMP19) (0.050 COMP1058/COMP1151/COMP1658/COMP1660/COMP2764/COMP2968/COMP2970/COMP666/COMP948) (0.049 COMP158/COMP172/COMP62) (0.048 COMP2972) (0.047 COMP1244/COMP544/COMP630) (0.046 COMP9) (0.044 COMP2211/COMP2981) (0.043 COMP1265/COMP2969/COMP43/COMP51/COMP592) (0.042 COMP212) (0.041 COMP1181/COMP153/COMP1669/COMP24/COMP2967/COMP2974/COMP2976/COMP52) (0.040 COMP263/COMP2962/COMP2966/COMP2975/COMP602/COMP603/COMP620/COMP668) (0.038 COMP2228/COMP2971/COMP542/COMP863) (0.037 COMP18/COMP2210/COMP2226/COMP539/COMP634/COMP675) (0.036 COMP2931/COMP2953/COMP499/COMP513/COMP518/COMP57) (0.035 COMP155) (0.034 COMP1235/COMP503/COMP718)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.016	COMP1413	(0.015 COMP62) (0.014 COMP2974/COMP2976) (0.013 COMP282/COMP548) (0.012 COMP292)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.251	COMP212	(0.213 COMP503) (0.206 COMP863) (0.200 COMP2989) (0.178 COMP1235) (0.172 COMP626) (0.171 COMP2982) (0.155 COMP60) (0.151 COMP866) (0.133 COMP2985) (0.129 COMP683) (0.124 COMP2967) (0.121 COMP241/COMP245) (0.120 COMP2929) (0.117 COMP2211/COMP263) (0.110 COMP322) (0.101 COMP101) (0.099 COMP2977) (0.084 COMP1284/COMP500) (0.082 COMP1068/COMP1242/COMP1433/COMP869) (0.081 COMP2210/COMP2969/COMP592) (0.078 COMP601) (0.076 COMP2965) (0.075 COMP1881/COMP2171) (0.072 COMP2931) (0.071 COMP2886/COMP888) (0.070 COMP49) (0.069 COMP697) (0.067 COMP48/COMP9) (0.065 COMP616) (0.063 COMP114/COMP131/COMP2940/COMP718) (0.062 COMP2226) (0.060 COMP124) (0.059 COMP2955/COMP512/COMP715/COMP721/COMP810/COMP882) (0.058 COMP18/COMP539/COMP542/COMP634/COMP675) (0.057 COMP6/COMP604) (0.056 COMP2582/COMP2961/COMP2981/COMP574) (0.055 COMP144/COMP19/COMP2141) (0.054 COMP1481/COMP737/COMP775/COMP776/COMP777/COMP778) (0.053 COMP2228/COMP282/COMP2954) (0.052 COMP1058/COMP1151/COMP1658/COMP1660/COMP2764/COMP2934/COMP2968/COMP2970/COMP2973/COMP2991/COMP666/COMP948) (0.051 COMP548/COMP602) (0.050 COMP1669/COMP24/COMP52/COMP620/COMP668) (0.049 COMP499/COMP513/COMP518/COMP57) (0.048 COMP11/COMP155/COMP2971/COMP733/COMP8/COMP875)
