Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.675	COMP2975	(0.637 COMP9) (0.629 COMP620/COMP668) (0.628 COMP60) (0.623 COMP544) (0.615 COMP2232) (0.601 COMP1068/COMP1242/COMP1433/COMP869) (0.593 COMP263) (0.592 COMP616) (0.578 COMP601) (0.567 COMP683) (0.552 COMP322) (0.494 COMP2211) (0.488 COMP1058/COMP1151/COMP1658/COMP1660/COMP2764/COMP2968/COMP2970/COMP666/COMP948) (0.470 COMP2967) (0.466 COMP2969/COMP592/COMP6) (0.462 COMP18/COMP2210/COMP539/COMP634/COMP675) (0.454 COMP503) (0.448 COMP690) (0.445 COMP602) (0.437 COMP718) (0.409 COMP144/COMP19) (0.407 COMP2964/COMP599/COMP609) (0.405 COMP2982) (0.401 COMP1235) (0.399 COMP114/COMP131) (0.392 COMP630) (0.386 COMP2989) (0.379 COMP155/COMP158/COMP172) (0.377 COMP2226) (0.369 COMP141/COMP264/COMP547) (0.366 COMP2962) (0.358 COMP241/COMP245/COMP626) (0.353 COMP499/COMP513/COMP518/COMP57) (0.352 COMP2966) (0.348 COMP2965) (0.341 COMP43) (0.340 COMP863) (0.337 COMP2973) (0.336 COMP1669/COMP24/COMP52) (0.333 COMP2981) (0.331 COMP500) (0.325 COMP1244) (0.318 COMP542) (0.315 COMP2977) (0.312 COMP2141) (0.296 COMP697) (0.279 COMP2929/COMP2963) (0.274 COMP476) (0.268 COMP212) (0.248 COMP2971) (0.246 COMP2961) (0.239 COMP693) (0.237 COMP2985) (0.233 COMP1284) (0.231 COMP2228/COMP30) (0.230 COMP866) (0.229 COMP2980) (0.222 COMP2931/COMP887) (0.214 COMP1181/COMP153) (0.212 COMP2972) (0.200 COMP296/COMP524) (0.196 COMP2945) (0.180 COMP49) (0.177 COMP2990/COMP774/COMP891) (0.171 COMP1254/COMP2886) (0.170 COMP603) (0.166 COMP124) (0.162 COMP2485) (0.150 COMP1881/COMP2171) (0.148 COMP888) (0.146 COMP101) (0.133 COMP2987) (0.132 COMP2991) (0.131 COMP1481) (0.124 COMP604) (0.123 COMP48) (0.120 COMP2943) (0.117 COMP302) (0.113 COMP737/COMP775/COMP776/COMP777/COMP778) (0.112 COMP2954) (0.109 COMP11/COMP8)
Acetylcholine release stimulant	0.295	COMP620/COMP668	(0.252 COMP2964/COMP599/COMP609) (0.215 COMP2963) (0.201 COMP1068/COMP1242/COMP1433/COMP869) (0.192 COMP601) (0.191 COMP2211) (0.184 COMP1058/COMP1151/COMP1658/COMP1660/COMP2764/COMP2968/COMP2970/COMP666/COMP948) (0.175 COMP626) (0.173 COMP2232) (0.166 COMP602) (0.165 COMP263) (0.163 COMP603) (0.160 COMP630) (0.157 COMP2210) (0.155 COMP2991) (0.153 COMP2982) (0.151 COMP1481/COMP2967/COMP503) (0.149 COMP18/COMP539/COMP634/COMP675) (0.147 COMP2977/COMP718) (0.146 COMP322) (0.145 COMP9) (0.143 COMP1235) (0.139 COMP1284/COMP2989) (0.132 COMP2969/COMP592) (0.131 COMP499/COMP513/COMP518/COMP57) (0.130 COMP2972) (0.129 COMP241/COMP245) (0.127 COMP2226/COMP500) (0.126 COMP2973) (0.125 COMP114/COMP131) (0.122 COMP2966/COMP476) (0.121 COMP2954) (0.120 COMP2975/COMP2981/COMP863) (0.119 COMP101/COMP2962) (0.116 COMP616) (0.113 COMP2961/COMP866) (0.112 COMP2965) (0.109 COMP60/COMP887) (0.107 COMP2931) (0.105 COMP2886/COMP43/COMP544/COMP697) (0.103 COMP2987) (0.102 COMP604) (0.100 COMP124/COMP1669/COMP2141/COMP24/COMP52) (0.099 COMP542) (0.098 COMP2971/COMP683) (0.097 COMP2228)
Actinic keratosis treatment	0.400	COMP2974/COMP2976	(0.328 COMP548) (0.297 COMP62) (0.293 COMP30) (0.284 COMP141/COMP264/COMP547) (0.261 COMP620/COMP668/COMP733/COMP875) (0.255 COMP683) (0.251 COMP144/COMP19) (0.249 COMP18/COMP539/COMP634/COMP675) (0.248 COMP512/COMP715/COMP721/COMP810/COMP882) (0.247 COMP718) (0.242 COMP1413/COMP60) (0.231 COMP114/COMP131) (0.229 COMP124) (0.225 COMP2141) (0.224 COMP2964/COMP599/COMP609/COMP697) (0.218 COMP9) (0.216 COMP1669/COMP24/COMP52) (0.215 COMP242/COMP244/COMP247/COMP467) (0.211 COMP602) (0.209 COMP2967) (0.208 COMP212) (0.202 COMP616/COMP630) (0.200 COMP2963) (0.199 COMP542) (0.198 COMP2232) (0.195 COMP2975) (0.189 COMP737/COMP775/COMP776/COMP777/COMP778) (0.188 COMP263/COMP2969/COMP592) (0.185 COMP322) (0.184 COMP1068/COMP1242/COMP1433/COMP869) (0.181 COMP544) (0.179 COMP1235) (0.178 COMP1181/COMP153/COMP2939) (0.177 COMP1058/COMP1151/COMP1658/COMP1660/COMP2764/COMP2968/COMP2970/COMP666/COMP948) (0.175 COMP601) (0.174 COMP241/COMP245) (0.166 COMP690) (0.164 COMP503) (0.163 COMP887) (0.161 COMP2959) (0.160 COMP282/COMP6) (0.157 COMP1244) (0.155 COMP155/COMP2211) (0.153 COMP2931/COMP693) (0.149 COMP2210/COMP603) (0.148 COMP158/COMP172/COMP2965/COMP49) (0.145 COMP1881/COMP2171) (0.143 COMP48) (0.142 COMP2990/COMP774/COMP891) (0.141 COMP2485) (0.140 COMP888) (0.138 COMP2972/COMP2982) (0.137 COMP2226) (0.136 COMP2962) (0.135 COMP476) (0.133 COMP863) (0.132 COMP500) (0.131 COMP2929) (0.125 COMP2941) (0.124 COMP2511) (0.123 COMP2973) (0.122 COMP2989) (0.121 COMP2966/COMP2980) (0.120 COMP1284) (0.119 COMP2947/COMP2981) (0.118 COMP2582/COMP574) (0.117 COMP1265/COMP51) (0.116 COMP2886) (0.115 COMP2977/COMP305) (0.114 COMP2985) (0.113 COMP1254) (0.112 COMP2945/COMP2961) (0.111 COMP1262/COMP301/COMP56) (0.109 COMP626/COMP866) (0.106 COMP150/COMP151/COMP163) (0.103 COMP2943) (0.102 COMP499/COMP513/COMP518/COMP57) (0.101 COMP292/COMP2937) (0.099 COMP2971) (0.096 COMP11/COMP8) (0.095 COMP43) (0.093 COMP2944) (0.092 COMP2946) (0.090 COMP1267/COMP2228) (0.089 COMP2951/COMP867) (0.087 COMP296/COMP524) (0.085 COMP2991) (0.084 COMP1481/COMP2816/COMP2817/COMP2986/COMP348) (0.083 COMP2984/COMP2987) (0.082 COMP46) (0.081 COMP2958)
Acute neurologic disorders treatment	0.716	COMP2987	(0.486 COMP1669/COMP24/COMP52) (0.483 COMP823/COMP828) (0.460 COMP2971) (0.419 COMP43) (0.402 COMP718) (0.396 COMP18/COMP539/COMP634/COMP675) (0.372 COMP296/COMP524) (0.346 COMP542) (0.341 COMP6) (0.312 COMP2228) (0.298 COMP499/COMP513/COMP518/COMP57) (0.290 COMP124/COMP2969/COMP592) (0.271 COMP2965) (0.262 COMP114/COMP131) (0.254 COMP11/COMP8) (0.252 COMP476) (0.251 COMP60) (0.230 COMP2211) (0.225 COMP683) (0.224 COMP503/COMP620/COMP668) (0.208 COMP2963) (0.201 COMP2972) (0.200 COMP863) (0.198 COMP601) (0.195 COMP1068/COMP1242/COMP1433/COMP869) (0.192 COMP1235) (0.178 COMP2964/COMP599/COMP609) (0.176 COMP602) (0.167 COMP2967) (0.165 COMP2989)
Acute respiratory distress syndrome (ARDS) treatment	0.472	COMP282	(0.417 COMP2945) (0.402 COMP11/COMP8) (0.401 COMP2943) (0.400 COMP693) (0.395 COMP2974/COMP2976) (0.366 COMP2816/COMP2817/COMP348) (0.349 COMP46) (0.348 COMP2980) (0.346 COMP2944) (0.345 COMP292) (0.343 COMP1413) (0.323 COMP2511) (0.321 COMP2946) (0.318 COMP305) (0.311 COMP62) (0.298 COMP1262/COMP301/COMP56) (0.294 COMP2986) (0.293 COMP867) (0.277 COMP2969/COMP592) (0.236 COMP2485) (0.234 COMP1058/COMP1151/COMP1658/COMP1660/COMP2764/COMP2968/COMP2970/COMP666/COMP948) (0.233 COMP2990/COMP774/COMP891) (0.228 COMP2981) (0.218 COMP630) (0.209 COMP18/COMP539/COMP634/COMP675) (0.208 COMP718) (0.196 COMP1267) (0.188 COMP542) (0.179 COMP2964/COMP599/COMP609) (0.177 COMP476/COMP601) (0.176 COMP2975) (0.172 COMP697) (0.169 COMP2141) (0.166 COMP9) (0.162 COMP500) (0.160 COMP863) (0.158 COMP548) (0.152 COMP1669/COMP24/COMP52) (0.151 COMP620/COMP668) (0.140 COMP2929/COMP823/COMP828) (0.135 COMP602) (0.127 COMP2232/COMP683) (0.126 COMP1068/COMP1242/COMP1433/COMP869)
Age-related macular degeneration treatment	0.291	COMP30	(0.263 COMP9) (0.257 COMP263/COMP823/COMP828) (0.244 COMP2967) (0.243 COMP718) (0.239 COMP18/COMP539/COMP634/COMP675) (0.228 COMP60) (0.225 COMP2963) (0.214 COMP542) (0.211 COMP683) (0.208 COMP2977) (0.205 COMP2964/COMP599/COMP609) (0.199 COMP2987) (0.198 COMP887) (0.197 COMP2962/COMP616) (0.192 COMP2982) (0.190 COMP2141) (0.182 COMP601) (0.180 COMP241/COMP245) (0.179 COMP2211) (0.167 COMP630) (0.165 COMP697)
Allergic rhinitis treatment	0.352	COMP718	(0.331 COMP2963) (0.330 COMP18/COMP539/COMP634/COMP675) (0.281 COMP542) (0.184 COMP863) (0.119 COMP620/COMP668) (0.113 COMP601) (0.105 COMP602)
Alzheimer's disease treatment	0.663	COMP737/COMP775/COMP776/COMP777/COMP778	(0.643 COMP2978) (0.593 COMP2953) (0.588 COMP2986) (0.575 COMP46) (0.568 COMP2957) (0.561 COMP733/COMP875) (0.559 COMP2582/COMP574) (0.557 COMP2816/COMP2817/COMP348) (0.551 COMP155/COMP2511) (0.545 COMP1881/COMP2171/COMP2952) (0.540 COMP888) (0.539 COMP1413) (0.535 COMP2226) (0.531 COMP2980) (0.526 COMP1262/COMP301/COMP56) (0.524 COMP512/COMP715/COMP721/COMP810/COMP882) (0.518 COMP2955/COMP2984) (0.516 COMP2958) (0.502 COMP48) (0.499 COMP305) (0.484 COMP2934) (0.479 COMP2948) (0.475 COMP2950) (0.468 COMP242/COMP244/COMP247/COMP467) (0.463 COMP2930/COMP2979) (0.460 COMP2983) (0.458 COMP2988) (0.451 COMP49) (0.439 COMP2947) (0.425 COMP6) (0.421 COMP476/COMP544) (0.420 COMP296/COMP524) (0.419 COMP2951) (0.405 COMP2972) (0.401 COMP2886) (0.399 COMP1284) (0.396 COMP2933) (0.389 COMP2941) (0.388 COMP2990/COMP62/COMP774/COMP891) (0.380 COMP241/COMP245) (0.378 COMP693) (0.376 COMP2935) (0.372 COMP282) (0.364 COMP2969/COMP592) (0.356 COMP1267) (0.351 COMP30) (0.344 COMP1119) (0.342 COMP2940) (0.329 COMP2485) (0.328 COMP1481) (0.326 COMP1181/COMP153) (0.324 COMP2991) (0.323 COMP2974/COMP2976) (0.321 COMP2945) (0.308 COMP141/COMP264/COMP547) (0.305 COMP2228/COMP2944/COMP2977) (0.301 COMP2943) (0.291 COMP292) (0.287 COMP144/COMP19/COMP2946) (0.284 COMP2949) (0.278 COMP2929) (0.273 COMP2141) (0.265 COMP2954) (0.262 COMP2938) (0.258 COMP2932) (0.257 COMP2936) (0.255 COMP2985) (0.250 COMP2931) (0.247 COMP158/COMP172/COMP2942) (0.245 COMP867) (0.241 COMP887) (0.236 COMP1058/COMP1151/COMP1658/COMP1660/COMP2764/COMP2968/COMP2970/COMP666/COMP948)
Amyotrophic lateral sclerosis treatment	0.592	COMP62	(0.400 COMP1413) (0.346 COMP476) (0.307 COMP1058/COMP1151/COMP1658/COMP1660/COMP2764/COMP2968/COMP2970/COMP666/COMP948) (0.293 COMP2987) (0.285 COMP2972) (0.272 COMP282) (0.267 COMP2981) (0.235 COMP2211) (0.224 COMP1068/COMP1242/COMP1433/COMP869) (0.219 COMP2964/COMP599/COMP609) (0.217 COMP322/COMP603) (0.208 COMP1119) (0.207 COMP2210) (0.205 COMP263/COMP620/COMP668) (0.194 COMP141/COMP264/COMP547) (0.192 COMP630) (0.190 COMP9) (0.189 COMP18/COMP539/COMP634/COMP675) (0.188 COMP823/COMP828) (0.187 COMP718) (0.183 COMP601) (0.182 COMP616) (0.180 COMP49/COMP500) (0.179 COMP11/COMP8) (0.175 COMP602) (0.174 COMP2141) (0.173 COMP503) (0.172 COMP48) (0.171 COMP302)
Anabolic	0.205	COMP548	(0.200 COMP2959) (0.198 COMP2974/COMP2976) (0.191 COMP476) (0.190 COMP11/COMP8) (0.189 COMP1058/COMP1151/COMP1658/COMP1660/COMP2764/COMP2968/COMP2970/COMP666/COMP948) (0.187 COMP1413) (0.186 COMP124/COMP282) (0.183 COMP1181/COMP153) (0.182 COMP18/COMP539/COMP634/COMP675) (0.181 COMP292) (0.180 COMP718) (0.177 COMP1235) (0.176 COMP1068/COMP1242/COMP1433/COMP869) (0.174 COMP1254) (0.173 COMP212) (0.172 COMP2969/COMP592) (0.171 COMP144/COMP19/COMP503) (0.169 COMP302) (0.168 COMP2210) (0.167 COMP601) (0.166 COMP1119/COMP241/COMP245/COMP603) (0.165 COMP2961/COMP2989/COMP620/COMP668) (0.164 COMP60) (0.163 COMP1265/COMP141/COMP264/COMP2931/COMP322/COMP51/COMP547/COMP683) (0.162 COMP2485/COMP2981) (0.161 COMP2211/COMP2964/COMP599/COMP609) (0.159 COMP155/COMP263) (0.157 COMP43/COMP616) (0.156 COMP114/COMP131/COMP2965/COMP2967) (0.155 COMP158/COMP172/COMP2990/COMP542/COMP774/COMP891) (0.154 COMP1669/COMP2226/COMP24/COMP499/COMP512/COMP513/COMP518/COMP52/COMP57/COMP697/COMP715/COMP721/COMP810/COMP882) (0.153 COMP2966/COMP62) (0.152 COMP296/COMP524/COMP733/COMP866/COMP875) (0.151 COMP1244/COMP150/COMP151/COMP163/COMP2232/COMP2929/COMP6) (0.150 COMP2975/COMP863) (0.149 COMP242/COMP244/COMP247/COMP467) (0.148 COMP1881/COMP2171/COMP2985) (0.147 COMP30) (0.146 COMP2971/COMP544/COMP604) (0.145 COMP2141) (0.144 COMP888) (0.143 COMP630) (0.142 COMP1284/COMP737/COMP775/COMP776/COMP777/COMP778) (0.141 COMP101/COMP500/COMP626) (0.140 COMP2972/COMP2982) (0.138 COMP2977/COMP9) (0.135 COMP49) (0.133 COMP2582/COMP48/COMP574/COMP602) (0.130 COMP2228) (0.127 COMP2962/COMP2963) (0.126 COMP1267) (0.124 COMP2886) (0.123 COMP2956) (0.121 COMP690) (0.120 COMP2955) (0.117 COMP2960) (0.116 COMP2941/COMP2949) (0.114 COMP2933/COMP2939/COMP2973) (0.113 COMP2953/COMP887) (0.112 COMP2991/COMP693) (0.109 COMP2978) (0.107 COMP1481/COMP2935/COMP2957) (0.105 COMP2987) (0.103 COMP2984) (0.100 COMP2934/COMP2954) (0.098 COMP2958) (0.097 COMP2940/COMP2947) (0.095 COMP2948) (0.093 COMP867) (0.091 COMP2937/COMP2943) (0.090 COMP2938/COMP2944/COMP2945/COMP2980) (0.089 COMP2983) (0.088 COMP2950) (0.087 COMP2930/COMP2946/COMP2979)
