Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.544	COMP40	(0.507 COMP16/COMP18/COMP374/COMP377) (0.500 COMP375) (0.497 COMP381) (0.489 COMP12) (0.476 COMP368) (0.472 COMP371) (0.380 COMP378/COMP380/COMP384) (0.364 COMP385) (0.334 COMP369) (0.278 COMP383) (0.211 COMP382) (0.175 COMP367) (0.163 COMP372/COMP373) (0.152 COMP370)
Carcinogenic	0.903	COMP371	(0.884 COMP375) (0.839 COMP374/COMP377) (0.808 COMP368) (0.708 COMP40) (0.666 COMP383) (0.641 COMP379) (0.602 COMP16/COMP18) (0.536 COMP12) (0.479 COMP369) (0.384 COMP385) (0.366 COMP386) (0.362 COMP378/COMP380/COMP384) (0.220 COMP381)
Carcinogenic. group 1	0.486	COMP12	(0.461 COMP16/COMP18) (0.441 COMP40) (0.285 COMP374/COMP377) (0.269 COMP379) (0.267 COMP368) (0.257 COMP381) (0.233 COMP375) (0.201 COMP371) (0.191 COMP382) (0.184 COMP369) (0.155 COMP378/COMP380/COMP384) (0.145 COMP383/COMP385) (0.134 COMP372/COMP373) (0.133 COMP370) (0.131 COMP367)
Carcinogenic. group 2A	0.186	COMP379	(0.158 COMP12) (0.156 COMP381) (0.122 COMP16/COMP18) (0.099 COMP40) (0.093 COMP382)
Carcinogenic. group 2B	0.248	COMP12	(0.203 COMP16/COMP18) (0.185 COMP369) (0.161 COMP40) (0.139 COMP368) (0.102 COMP382) (0.095 COMP371) (0.088 COMP374/COMP377)
Carcinogenic. group 3	0.454	COMP40	(0.448 COMP371) (0.431 COMP16/COMP18) (0.426 COMP374/COMP377) (0.425 COMP368) (0.376 COMP375) (0.330 COMP12) (0.288 COMP369) (0.108 COMP381)
Cardiodepressant	0.668	COMP381	(0.597 COMP378/COMP380/COMP384) (0.586 COMP385) (0.510 COMP368) (0.412 COMP16/COMP18) (0.405 COMP369) (0.383 COMP374/COMP377) (0.363 COMP12) (0.357 COMP383) (0.340 COMP375) (0.336 COMP379) (0.331 COMP371) (0.329 COMP367) (0.316 COMP40) (0.314 COMP382) (0.313 COMP372/COMP373) (0.214 COMP370) (0.144 COMP376)
Cytotoxic	0.520	COMP371	(0.519 COMP386) (0.508 COMP375) (0.503 COMP374/COMP377) (0.460 COMP379) (0.433 COMP40) (0.432 COMP368) (0.360 COMP16/COMP18) (0.328 COMP369) (0.318 COMP12) (0.308 COMP381) (0.240 COMP383) (0.185 COMP367) (0.162 COMP378/COMP380/COMP384) (0.158 COMP385) (0.145 COMP376)
DNA damaging	0.636	COMP379	(0.511 COMP369) (0.341 COMP368) (0.335 COMP371) (0.334 COMP16/COMP18) (0.321 COMP12) (0.275 COMP40) (0.271 COMP367) (0.267 COMP381) (0.245 COMP372/COMP373) (0.239 COMP374/COMP377) (0.232 COMP375) (0.189 COMP382) (0.162 COMP383)
Embryotoxic	0.837	COMP383	(0.806 COMP368) (0.800 COMP371) (0.791 COMP375) (0.748 COMP374/COMP377) (0.729 COMP378/COMP380/COMP384) (0.724 COMP385) (0.702 COMP40) (0.671 COMP16/COMP18) (0.642 COMP12) (0.527 COMP369) (0.490 COMP381) (0.354 COMP386) (0.193 COMP379)
Eye irritation. high	0.989	COMP375	(0.988 COMP371) (0.985 COMP368) (0.978 COMP374/COMP377) (0.920 COMP40) (0.856 COMP16/COMP18) (0.799 COMP12) (0.699 COMP378/COMP380/COMP384) (0.663 COMP383) (0.582 COMP385) (0.550 COMP369) (0.323 COMP381) (0.204 COMP386)
Genotoxic	0.615	COMP386	(0.421 COMP375) (0.383 COMP367) (0.376 COMP374/COMP377) (0.355 COMP368) (0.350 COMP40) (0.337 COMP369) (0.336 COMP379) (0.248 COMP16/COMP18) (0.242 COMP371) (0.218 COMP12) (0.208 COMP372/COMP373) (0.201 COMP376) (0.186 COMP382) (0.177 COMP381) (0.167 COMP370)
Hypoglycemic	0.604	COMP371	(0.599 COMP12) (0.593 COMP386) (0.589 COMP375) (0.577 COMP368) (0.571 COMP374/COMP377) (0.529 COMP16/COMP18) (0.506 COMP40) (0.402 COMP379) (0.397 COMP369) (0.376 COMP376) (0.308 COMP367) (0.206 COMP372/COMP373) (0.165 COMP378/COMP380/COMP384)
Mutagenic	0.789	COMP375	(0.768 COMP371) (0.758 COMP379) (0.722 COMP374/COMP377) (0.705 COMP368) (0.549 COMP40) (0.502 COMP369) (0.494 COMP383) (0.480 COMP386) (0.442 COMP16/COMP18) (0.434 COMP12) (0.257 COMP385) (0.242 COMP378/COMP380/COMP384) (0.164 COMP381)
Pneumotoxic	0.649	COMP381	(0.491 COMP378/COMP380/COMP384) (0.391 COMP385) (0.364 COMP383) (0.356 COMP12) (0.347 COMP386) (0.332 COMP369) (0.325 COMP16/COMP18) (0.293 COMP372/COMP373) (0.267 COMP367) (0.253 COMP40) (0.239 COMP379) (0.222 COMP368) (0.204 COMP376) (0.173 COMP370) (0.168 COMP374/COMP377) (0.161 COMP371/COMP375)
Sedative	0.716	COMP383	(0.545 COMP378/COMP380/COMP384) (0.477 COMP368) (0.474 COMP385) (0.465 COMP371) (0.453 COMP375) (0.438 COMP374/COMP377) (0.426 COMP40) (0.351 COMP16/COMP18) (0.313 COMP12) (0.294 COMP381) (0.232 COMP372/COMP373) (0.218 COMP367) (0.192 COMP386) (0.170 COMP376) (0.142 COMP369) (0.137 COMP379)
Sensitization	0.858	COMP369	(0.844 COMP386) (0.727 COMP368) (0.630 COMP371) (0.619 COMP375) (0.568 COMP12) (0.566 COMP16/COMP18) (0.549 COMP378/COMP380/COMP384) (0.547 COMP374/COMP377) (0.529 COMP385) (0.491 COMP40) (0.483 COMP381) (0.427 COMP383) (0.373 COMP379) (0.280 COMP367) (0.248 COMP372/COMP373) (0.167 COMP376)
Skin irritative effect	0.995	COMP375	(0.987 COMP374/COMP377) (0.985 COMP371) (0.981 COMP368) (0.870 COMP40) (0.765 COMP16/COMP18) (0.714 COMP383) (0.702 COMP369) (0.691 COMP12) (0.382 COMP378/COMP380/COMP384) (0.277 COMP385) (0.159 COMP386)
Teratogen	0.829	COMP383	(0.817 COMP368) (0.807 COMP371) (0.797 COMP375) (0.761 COMP374/COMP377) (0.720 COMP378/COMP380/COMP384) (0.718 COMP385) (0.715 COMP40) (0.693 COMP16/COMP18) (0.669 COMP12) (0.555 COMP369) (0.482 COMP381) (0.403 COMP386) (0.233 COMP379)
Toxic. respiratory center	0.659	COMP12	(0.255 COMP381) (0.194 COMP16/COMP18) (0.191 COMP376) (0.182 COMP383) (0.178 COMP385) (0.175 COMP378/COMP380/COMP384) (0.166 COMP372/COMP373) (0.158 COMP367) (0.156 COMP386) (0.155 COMP370) (0.152 COMP40)
Ulceration	0.827	COMP368	(0.768 COMP371) (0.746 COMP375) (0.744 COMP369) (0.714 COMP374/COMP377) (0.688 COMP378/COMP380/COMP384) (0.679 COMP16/COMP18) (0.620 COMP385) (0.619 COMP40) (0.618 COMP12) (0.565 COMP381) (0.523 COMP383) (0.426 COMP367) (0.384 COMP370) (0.366 COMP372/COMP373) (0.223 COMP379)
