Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.874	COMP685	(0.538 COMP499/COMP513/COMP57/COMP624) (0.492 COMP167) (0.412 COMP1254) (0.346 COMP697) (0.324 COMP389/COMP390) (0.231 COMP1119) (0.226 COMP1265) (0.225 COMP887) (0.222 COMP1249) (0.186 COMP1259/COMP1260/COMP1273) (0.182 COMP548) (0.180 COMP155) (0.174 COMP9) (0.171 COMP60) (0.169 COMP126) (0.163 COMP16) (0.157 COMP525) (0.152 COMP1253) (0.148 COMP1269/COMP974) (0.146 COMP114/COMP1248/COMP131) (0.145 COMP49) (0.144 COMP124/COMP512/COMP715/COMP721/COMP810/COMP882) (0.141 COMP48) (0.140 COMP1059) (0.139 COMP1245/COMP144/COMP19) (0.136 COMP1268) (0.135 COMP1116/COMP1261) (0.132 COMP1243) (0.126 COMP616) (0.122 COMP158/COMP172) (0.121 COMP1070) (0.120 COMP1244) (0.118 COMP1237/COMP143/COMP149/COMP780) (0.117 COMP1196/COMP1263/COMP43) (0.116 COMP1067/COMP1068/COMP1242/COMP1246/COMP1256/COMP988) (0.115 COMP1250) (0.114 COMP1241) (0.112 COMP22) (0.106 COMP1235/COMP495) (0.104 COMP11/COMP8) (0.102 COMP1251/COMP1255) (0.101 COMP244/COMP467) (0.100 COMP1271/COMP175) (0.099 COMP6/COMP63) (0.098 COMP1181/COMP153) (0.097 COMP1252) (0.095 COMP1275) (0.094 COMP1257/COMP544) (0.093 COMP729) (0.091 COMP608/COMP654/COMP931) (0.090 COMP141/COMP264/COMP547) (0.086 COMP774/COMP891) (0.085 COMP479)
AR expression inhibitor	0.991	COMP499/COMP513/COMP57/COMP624	(0.968 COMP685) (0.937 COMP48/COMP49) (0.933 COMP1263) (0.911 COMP1256) (0.901 COMP1119) (0.894 COMP774/COMP891) (0.891 COMP780) (0.885 COMP1257) (0.862 COMP931) (0.857 COMP1268/COMP63) (0.856 COMP1254/COMP1267) (0.843 COMP1269/COMP974) (0.841 COMP483) (0.833 COMP1255) (0.819 COMP1248) (0.808 COMP758) (0.805 COMP512/COMP715/COMP721/COMP810/COMP882) (0.798 COMP362) (0.793 COMP46) (0.773 COMP1274/COMP508) (0.771 COMP1262/COMP1270/COMP301/COMP56) (0.764 COMP510/COMP787) (0.754 COMP244/COMP467) (0.752 COMP692/COMP785) (0.744 COMP1264) (0.742 COMP119/COMP1275/COMP157/COMP160/COMP162/COMP169) (0.731 COMP302) (0.725 COMP1272/COMP310) (0.723 COMP43) (0.716 COMP1235) (0.714 COMP696) (0.706 COMP22) (0.675 COMP495) (0.659 COMP389/COMP390) (0.658 COMP11/COMP8) (0.652 COMP697) (0.651 COMP1116/COMP1261) (0.649 COMP729) (0.640 COMP1238/COMP335) (0.636 COMP1258) (0.621 COMP1234) (0.615 COMP476) (0.614 COMP548) (0.587 COMP1193/COMP887) (0.577 COMP150/COMP151/COMP163) (0.566 COMP1253) (0.565 COMP1237) (0.541 COMP1252) (0.540 COMP60) (0.504 COMP16) (0.494 COMP1250) (0.489 COMP1232) (0.484 COMP1070) (0.471 COMP141/COMP264/COMP547) (0.463 COMP133/COMP170) (0.458 COMP1265) (0.456 COMP175) (0.455 COMP118) (0.450 COMP143/COMP149) (0.446 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.445 COMP123/COMP161) (0.441 COMP1251) (0.440 COMP1240/COMP1247/COMP295) (0.438 COMP1271) (0.429 COMP1180) (0.408 COMP165/COMP166/COMP173) (0.370 COMP1259/COMP1260/COMP1273) (0.347 COMP1059) (0.343 COMP124) (0.338 COMP1181/COMP153) (0.300 COMP943/COMP947/COMP952) (0.296 COMP126) (0.288 COMP1196) (0.281 COMP1243) (0.278 COMP479/COMP616) (0.268 COMP167/COMP6) (0.261 COMP144/COMP19) (0.255 COMP114/COMP131) (0.249 COMP608) (0.236 COMP1245) (0.235 COMP525) (0.230 COMP1239/COMP1266) (0.229 COMP654) (0.227 COMP300) (0.226 COMP1249) (0.225 COMP1244) (0.222 COMP9) (0.195 COMP31/COMP858) (0.181 COMP155)
CTGF expression inhibitor	0.928	COMP48	(0.921 COMP780) (0.919 COMP49) (0.908 COMP1263/COMP931) (0.900 COMP63) (0.898 COMP1255) (0.893 COMP1256) (0.888 COMP1257) (0.821 COMP389/COMP390) (0.815 COMP1237) (0.807 COMP697) (0.802 COMP887) (0.795 COMP1274/COMP508) (0.786 COMP22) (0.783 COMP512/COMP715/COMP721/COMP810/COMP882) (0.769 COMP1253) (0.766 COMP16/COMP43) (0.763 COMP1235) (0.751 COMP1250) (0.743 COMP729) (0.738 COMP1269/COMP974) (0.737 COMP362) (0.725 COMP1264) (0.704 COMP1234/COMP499/COMP513/COMP57/COMP60/COMP624) (0.703 COMP510/COMP787) (0.702 COMP483) (0.693 COMP692/COMP785) (0.686 COMP1059) (0.673 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.664 COMP1262/COMP1270/COMP301/COMP56) (0.649 COMP758) (0.629 COMP1272/COMP310) (0.619 COMP1070/COMP244/COMP467) (0.608 COMP46) (0.573 COMP1268) (0.563 COMP123/COMP161) (0.561 COMP1259/COMP1260/COMP1273) (0.551 COMP144/COMP19/COMP774/COMP891) (0.510 COMP1248) (0.508 COMP1267) (0.507 COMP696) (0.438 COMP479) (0.436 COMP9) (0.425 COMP143/COMP149) (0.413 COMP544) (0.411 COMP1265) (0.410 COMP1193) (0.407 COMP1180) (0.397 COMP608) (0.395 COMP654) (0.387 COMP1116/COMP1261) (0.386 COMP943/COMP947/COMP952) (0.380 COMP525) (0.376 COMP616) (0.374 COMP1241) (0.371 COMP1236) (0.369 COMP31/COMP495/COMP858) (0.360 COMP1258) (0.353 COMP114/COMP131) (0.346 COMP118) (0.343 COMP476) (0.342 COMP6) (0.338 COMP1252) (0.332 COMP1196) (0.330 COMP1245) (0.324 COMP175) (0.314 COMP1249) (0.308 COMP1240/COMP1247/COMP295) (0.305 COMP155) (0.295 COMP1243) (0.283 COMP158/COMP172) (0.268 COMP167) (0.267 COMP11/COMP8) (0.266 COMP1244) (0.264 COMP141/COMP264/COMP547) (0.258 COMP133/COMP170/COMP300) (0.257 COMP1254) (0.254 COMP1238/COMP335) (0.231 COMP126) (0.228 COMP1181/COMP153) (0.222 COMP119/COMP157/COMP160/COMP162/COMP169) (0.213 COMP302) (0.207 COMP685) (0.202 COMP124) (0.194 COMP1119)
GRP78 expression inhibitor	0.040	COMP1235	(0.039 COMP175/COMP729) (0.034 COMP943/COMP947/COMP952) (0.033 COMP1067/COMP1068/COMP1242/COMP1246/COMP16/COMP988) (0.030 COMP60) (0.029 COMP31/COMP858) (0.028 COMP1272/COMP310) (0.027 COMP1059/COMP696) (0.026 COMP1258) (0.025 COMP114/COMP131/COMP144/COMP19) (0.024 COMP1274/COMP508) (0.023 COMP1234/COMP1236/COMP1243/COMP510/COMP787) (0.022 COMP1259/COMP1260/COMP1273/COMP9) (0.021 COMP697) (0.020 COMP1193/COMP1196/COMP1262/COMP1270/COMP301/COMP544/COMP56/COMP616)
ICAM1 expression inhibitor	0.785	COMP155	(0.611 COMP46) (0.594 COMP1258) (0.578 COMP1262/COMP1270/COMP301/COMP56) (0.576 COMP692/COMP785) (0.572 COMP1272/COMP310) (0.571 COMP1238/COMP335/COMP510/COMP787) (0.564 COMP49) (0.560 COMP1274/COMP48/COMP508) (0.556 COMP483) (0.543 COMP1256) (0.540 COMP1263/COMP1275) (0.529 COMP780) (0.525 COMP696) (0.500 COMP1235/COMP362) (0.499 COMP758) (0.498 COMP1181/COMP153) (0.496 COMP158/COMP172) (0.480 COMP389/COMP390) (0.476 COMP697) (0.475 COMP1264) (0.470 COMP165/COMP166/COMP173/COMP774/COMP891) (0.468 COMP729) (0.464 COMP1193) (0.463 COMP60) (0.457 COMP685) (0.453 COMP1196/COMP1241/COMP1267) (0.452 COMP887) (0.450 COMP1257) (0.449 COMP123/COMP161) (0.441 COMP1244/COMP63) (0.437 COMP1268) (0.436 COMP16) (0.429 COMP512/COMP715/COMP721/COMP810/COMP882) (0.427 COMP6) (0.423 COMP548) (0.418 COMP1269/COMP974) (0.417 COMP1252) (0.415 COMP1232) (0.412 COMP616) (0.409 COMP1239/COMP1266) (0.405 COMP1243/COMP150/COMP151/COMP163/COMP544) (0.404 COMP175) (0.398 COMP143/COMP149) (0.397 COMP931) (0.392 COMP1116/COMP1253/COMP1255/COMP1261) (0.386 COMP114/COMP131) (0.383 COMP1070/COMP1245/COMP943/COMP947/COMP952) (0.381 COMP1237/COMP144/COMP19) (0.374 COMP167/COMP244/COMP467) (0.366 COMP1254) (0.365 COMP1180) (0.360 COMP126/COMP9) (0.356 COMP1265) (0.354 COMP1059) (0.353 COMP141/COMP264/COMP547) (0.350 COMP476) (0.345 COMP1250) (0.342 COMP1251) (0.340 COMP1248) (0.339 COMP133/COMP170) (0.337 COMP1067/COMP1068/COMP124/COMP1242/COMP1246/COMP31/COMP479/COMP858/COMP988) (0.335 COMP22) (0.334 COMP1259/COMP1260/COMP1273) (0.333 COMP1119/COMP654) (0.328 COMP43) (0.325 COMP525) (0.318 COMP300) (0.309 COMP495) (0.299 COMP1249) (0.281 COMP118) (0.273 COMP1271) (0.256 COMP608) (0.247 COMP1234) (0.246 COMP11/COMP8) (0.240 COMP1240/COMP1247/COMP295) (0.224 COMP1236) (0.201 COMP302)
LDLR expression enhancer	0.431	COMP685	(0.420 COMP780) (0.414 COMP1269/COMP974) (0.393 COMP512/COMP715/COMP721/COMP810/COMP882) (0.349 COMP48) (0.335 COMP1119) (0.314 COMP49) (0.312 COMP887) (0.289 COMP244/COMP467) (0.287 COMP1256) (0.280 COMP525) (0.279 COMP63) (0.275 COMP1254) (0.274 COMP1263) (0.266 COMP389/COMP390) (0.262 COMP60) (0.260 COMP476) (0.258 COMP1257) (0.254 COMP118/COMP1235) (0.252 COMP729) (0.249 COMP697) (0.244 COMP119/COMP157/COMP160/COMP162/COMP169) (0.241 COMP1255) (0.235 COMP302) (0.229 COMP616/COMP931) (0.227 COMP1059/COMP1237) (0.225 COMP1259/COMP1260/COMP1273/COMP544) (0.223 COMP9) (0.218 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.214 COMP11/COMP8) (0.211 COMP126) (0.208 COMP1181/COMP153/COMP495) (0.206 COMP1244/COMP548) (0.203 COMP1116/COMP1261) (0.201 COMP362) (0.196 COMP608) (0.194 COMP158/COMP172) (0.192 COMP1250) (0.191 COMP143/COMP149) (0.189 COMP124) (0.187 COMP123/COMP161) (0.183 COMP1248) (0.179 COMP1234) (0.178 COMP1267/COMP16) (0.176 COMP155) (0.166 COMP6) (0.163 COMP1241) (0.156 COMP1252) (0.155 COMP31/COMP858) (0.154 COMP133/COMP170) (0.152 COMP1268/COMP165/COMP166/COMP173/COMP22) (0.151 COMP1253) (0.149 COMP1196/COMP1236) (0.147 COMP43/COMP758) (0.145 COMP1070/COMP150/COMP151/COMP163) (0.143 COMP1249/COMP175) (0.141 COMP144/COMP19) (0.140 COMP479) (0.138 COMP1180) (0.137 COMP774/COMP891) (0.136 COMP300/COMP943/COMP947/COMP952)
NOS2 expression inhibitor	0.972	COMP1238/COMP335	(0.967 COMP46) (0.958 COMP1262/COMP1270/COMP301/COMP56) (0.956 COMP483) (0.954 COMP510/COMP787) (0.950 COMP1274/COMP508) (0.946 COMP362) (0.941 COMP758) (0.938 COMP1272/COMP310) (0.935 COMP696) (0.926 COMP692/COMP785) (0.921 COMP780) (0.903 COMP48) (0.891 COMP1263/COMP931) (0.890 COMP1255) (0.871 COMP49) (0.867 COMP1268) (0.863 COMP1264) (0.857 COMP1256) (0.839 COMP1257) (0.822 COMP512/COMP715/COMP721/COMP810/COMP882) (0.821 COMP1258) (0.784 COMP63) (0.767 COMP1269/COMP974) (0.762 COMP244/COMP467) (0.727 COMP1275) (0.709 COMP1237) (0.693 COMP1250) (0.681 COMP548) (0.679 COMP1119) (0.649 COMP887) (0.632 COMP1070) (0.629 COMP1253) (0.613 COMP155) (0.604 COMP1240/COMP1247/COMP141/COMP264/COMP295/COMP547) (0.585 COMP389/COMP390/COMP495) (0.578 COMP1181/COMP153) (0.576 COMP1254) (0.568 COMP1116/COMP1261) (0.563 COMP302) (0.558 COMP697) (0.548 COMP119/COMP157/COMP160/COMP162/COMP169) (0.529 COMP1234) (0.526 COMP1235) (0.521 COMP476) (0.519 COMP118) (0.509 COMP123/COMP161) (0.508 COMP1267) (0.504 COMP729) (0.488 COMP11/COMP8) (0.476 COMP1196) (0.473 COMP143/COMP149) (0.466 COMP774/COMP891) (0.459 COMP1248) (0.457 COMP158/COMP172/COMP60) (0.453 COMP1252) (0.445 COMP16) (0.435 COMP1259/COMP1260/COMP1273) (0.432 COMP525) (0.431 COMP685) (0.419 COMP150/COMP151/COMP163) (0.402 COMP6) (0.400 COMP1251) (0.397 COMP616) (0.392 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.391 COMP133/COMP170) (0.384 COMP165/COMP166/COMP173) (0.376 COMP1059/COMP144/COMP19) (0.374 COMP1244) (0.372 COMP124/COMP1249) (0.371 COMP126) (0.369 COMP544) (0.358 COMP43/COMP9) (0.357 COMP31/COMP858) (0.355 COMP22) (0.350 COMP1245) (0.337 COMP1243) (0.323 COMP1180) (0.321 COMP1241/COMP608) (0.319 COMP1265) (0.317 COMP654) (0.316 COMP1271) (0.315 COMP1193/COMP479) (0.312 COMP1236) (0.301 COMP943/COMP947/COMP952) (0.298 COMP175) (0.296 COMP300) (0.290 COMP499/COMP513/COMP57/COMP624) (0.271 COMP114/COMP131) (0.237 COMP167) (0.195 COMP1232)
NOS3 expression enhancer	0.767	COMP774/COMP891	(0.739 COMP1267) (0.733 COMP483) (0.722 COMP46) (0.721 COMP1262/COMP1270/COMP301/COMP56) (0.715 COMP1274/COMP508/COMP510/COMP787) (0.703 COMP48) (0.697 COMP49) (0.696 COMP1263) (0.694 COMP692/COMP785) (0.682 COMP1269/COMP974) (0.673 COMP389/COMP390) (0.672 COMP1258/COMP697) (0.668 COMP1268/COMP512/COMP715/COMP721/COMP810/COMP882) (0.665 COMP1257) (0.661 COMP1256) (0.660 COMP1272/COMP310) (0.655 COMP696) (0.649 COMP758) (0.640 COMP780) (0.607 COMP362) (0.605 COMP244/COMP467) (0.588 COMP1238/COMP335) (0.579 COMP931) (0.559 COMP63) (0.550 COMP887) (0.538 COMP1235) (0.494 COMP1255) (0.472 COMP495) (0.429 COMP729) (0.381 COMP60) (0.367 COMP1237) (0.363 COMP1250) (0.350 COMP1234) (0.348 COMP118) (0.332 COMP1253) (0.331 COMP1264) (0.323 COMP175) (0.253 COMP1254) (0.250 COMP1070) (0.203 COMP302) (0.171 COMP11/COMP8) (0.164 COMP1119) (0.149 COMP1232) (0.142 COMP1259/COMP1260/COMP1273) (0.139 COMP479) (0.134 COMP1116/COMP1261/COMP1265) (0.131 COMP1252/COMP616) (0.130 COMP1248) (0.129 COMP608/COMP9) (0.128 COMP943/COMP947/COMP952) (0.125 COMP119/COMP157/COMP160/COMP162/COMP169) (0.119 COMP1241)
NOS3 expression inhibitor	0.960	COMP31/COMP858	(0.837 COMP1262/COMP1270/COMP301/COMP56) (0.834 COMP49) (0.829 COMP510/COMP787) (0.827 COMP48) (0.818 COMP1263) (0.815 COMP1272/COMP310) (0.801 COMP1274/COMP508) (0.788 COMP692/COMP785) (0.771 COMP1256) (0.767 COMP483) (0.764 COMP1257) (0.763 COMP780) (0.757 COMP46) (0.717 COMP696) (0.698 COMP1235/COMP758) (0.697 COMP931) (0.695 COMP63) (0.680 COMP1258) (0.674 COMP1269/COMP512/COMP715/COMP721/COMP810/COMP882/COMP974) (0.664 COMP16) (0.659 COMP362) (0.639 COMP1255) (0.638 COMP1238/COMP335) (0.634 COMP1259/COMP1260/COMP1273) (0.624 COMP244/COMP467) (0.587 COMP1265) (0.581 COMP1264) (0.564 COMP495/COMP774/COMP891) (0.556 COMP11/COMP8) (0.553 COMP22) (0.541 COMP43) (0.537 COMP1237) (0.534 COMP943/COMP947/COMP952) (0.528 COMP1267) (0.526 COMP697) (0.517 COMP729) (0.510 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.508 COMP119/COMP157/COMP160/COMP162/COMP169) (0.506 COMP389/COMP390) (0.486 COMP1059) (0.483 COMP1234) (0.482 COMP175) (0.474 COMP1250) (0.472 COMP1275) (0.471 COMP1119) (0.454 COMP887) (0.451 COMP60) (0.449 COMP1254) (0.436 COMP1232) (0.426 COMP123/COMP161) (0.423 COMP1193) (0.422 COMP1268) (0.419 COMP1180) (0.417 COMP1244) (0.410 COMP1241) (0.406 COMP1252) (0.395 COMP1116/COMP1261) (0.392 COMP1253) (0.390 COMP1070/COMP126) (0.388 COMP1243) (0.384 COMP479) (0.362 COMP476) (0.360 COMP1239/COMP1266) (0.350 COMP1248) (0.344 COMP9) (0.343 COMP158/COMP172) (0.342 COMP548) (0.325 COMP133/COMP170) (0.315 COMP616) (0.314 COMP114/COMP131) (0.309 COMP499/COMP513/COMP57/COMP624) (0.300 COMP300) (0.298 COMP143/COMP149) (0.293 COMP525) (0.291 COMP1245) (0.287 COMP544) (0.276 COMP1249) (0.272 COMP167) (0.271 COMP654) (0.270 COMP144/COMP19) (0.266 COMP302) (0.264 COMP608) (0.255 COMP150/COMP151/COMP163) (0.243 COMP118) (0.239 COMP165/COMP166/COMP173) (0.225 COMP1236) (0.205 COMP155) (0.202 COMP124) (0.200 COMP1240/COMP1247/COMP141/COMP264/COMP295/COMP547) (0.196 COMP1196) (0.190 COMP1251) (0.182 COMP1271)
TNF expression inhibitor	0.951	COMP1262/COMP1270/COMP301/COMP56	(0.943 COMP510/COMP787) (0.942 COMP692/COMP785) (0.941 COMP1272/COMP310) (0.931 COMP1274/COMP508) (0.927 COMP1238/COMP335) (0.905 COMP483/COMP685) (0.904 COMP119/COMP157/COMP160/COMP162/COMP169) (0.896 COMP780) (0.890 COMP1116/COMP1261) (0.877 COMP48/COMP696) (0.870 COMP11/COMP8) (0.869 COMP46) (0.863 COMP1259/COMP1260/COMP1273) (0.847 COMP49) (0.845 COMP1119) (0.843 COMP476) (0.833 COMP887) (0.815 COMP1258) (0.801 COMP389/COMP390) (0.777 COMP1256) (0.772 COMP697) (0.769 COMP63) (0.763 COMP1263/COMP16) (0.749 COMP1254/COMP1255) (0.742 COMP362) (0.733 COMP931) (0.708 COMP1257) (0.695 COMP512/COMP715/COMP721/COMP810/COMP882) (0.682 COMP1275) (0.672 COMP1252) (0.668 COMP1267) (0.658 COMP302) (0.651 COMP1237/COMP1269/COMP974) (0.638 COMP1250) (0.636 COMP774/COMP891) (0.634 COMP1181/COMP153) (0.630 COMP1235) (0.623 COMP1253) (0.619 COMP60) (0.618 COMP548) (0.616 COMP758) (0.615 COMP1249) (0.611 COMP729) (0.598 COMP143/COMP149) (0.592 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.590 COMP1059) (0.587 COMP123/COMP161) (0.584 COMP1248) (0.582 COMP158/COMP172) (0.580 COMP1245) (0.572 COMP1070) (0.557 COMP244/COMP467) (0.542 COMP22) (0.535 COMP1244/COMP126/COMP616) (0.533 COMP654) (0.530 COMP1268) (0.523 COMP31/COMP43/COMP858) (0.518 COMP479) (0.515 COMP525) (0.513 COMP1180) (0.510 COMP1264) (0.509 COMP175) (0.508 COMP1196) (0.507 COMP943/COMP947/COMP952) (0.503 COMP133/COMP170) (0.499 COMP544) (0.496 COMP6) (0.494 COMP118) (0.493 COMP141/COMP264/COMP547) (0.484 COMP150/COMP151/COMP163) (0.475 COMP144/COMP19) (0.469 COMP9) (0.457 COMP1241) (0.456 COMP124) (0.448 COMP499/COMP513/COMP57/COMP624) (0.447 COMP155) (0.444 COMP1193) (0.434 COMP1234/COMP495) (0.421 COMP1265) (0.410 COMP1236) (0.407 COMP1240/COMP1247/COMP295) (0.398 COMP608) (0.391 COMP165/COMP166/COMP173) (0.384 COMP300) (0.359 COMP1243) (0.342 COMP114/COMP131) (0.316 COMP167) (0.256 COMP1251) (0.244 COMP1232)
