Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.939	COMP43	(0.933 COMP22) (0.928 COMP499/COMP513/COMP57/COMP624) (0.788 COMP685) (0.722 COMP1248) (0.695 COMP1116/COMP1261) (0.639 COMP476) (0.638 COMP1059) (0.580 COMP141/COMP264/COMP547) (0.523 COMP31/COMP858) (0.481 COMP1240/COMP1247/COMP295) (0.472 COMP1119) (0.417 COMP1252) (0.405 COMP548) (0.401 COMP1259/COMP1260/COMP1273) (0.399 COMP1254) (0.371 COMP1067/COMP1068/COMP1242/COMP1246/COMP302/COMP988) (0.365 COMP119/COMP157/COMP160/COMP162/COMP169) (0.354 COMP479) (0.352 COMP16) (0.342 COMP143/COMP149) (0.325 COMP11/COMP8) (0.307 COMP697) (0.306 COMP389/COMP390) (0.296 COMP1243) (0.277 COMP144/COMP19) (0.270 COMP1245) (0.254 COMP887) (0.246 COMP1241) (0.212 COMP6/COMP729) (0.209 COMP1275) (0.186 COMP123/COMP161) (0.179 COMP1235) (0.162 COMP1258) (0.161 COMP1070) (0.152 COMP150/COMP151/COMP163/COMP60) (0.146 COMP1196/COMP1244) (0.144 COMP1249/COMP158/COMP172) (0.140 COMP126) (0.138 COMP118) (0.137 COMP774/COMP891) (0.136 COMP1265) (0.131 COMP1180/COMP133/COMP170/COMP616) (0.130 COMP114/COMP1267/COMP131) (0.127 COMP1181/COMP153) (0.124 COMP124/COMP155) (0.123 COMP654) (0.122 COMP544/COMP608) (0.118 COMP1236) (0.115 COMP1193/COMP1251) (0.108 COMP512/COMP715/COMP721/COMP810/COMP882) (0.107 COMP510/COMP787) (0.106 COMP1237/COMP1268/COMP1271/COMP300) (0.105 COMP175) (0.104 COMP1269/COMP758/COMP974)
Aldehyde dehydrogenase substrate	0.934	COMP499/COMP513/COMP57/COMP624	(0.821 COMP43) (0.809 COMP22) (0.676 COMP1248) (0.422 COMP685) (0.351 COMP141/COMP264/COMP547) (0.327 COMP1059) (0.314 COMP1240/COMP1247/COMP295) (0.301 COMP1252) (0.298 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.294 COMP16) (0.284 COMP1259/COMP1260/COMP1273) (0.274 COMP479) (0.260 COMP548) (0.223 COMP1116/COMP1261) (0.222 COMP729) (0.219 COMP389/COMP390) (0.217 COMP60) (0.211 COMP143/COMP144/COMP149/COMP19/COMP697) (0.210 COMP1254/COMP31/COMP858) (0.207 COMP1241) (0.206 COMP887) (0.203 COMP1119) (0.189 COMP1235) (0.185 COMP6) (0.172 COMP1258) (0.149 COMP1243) (0.146 COMP11/COMP8) (0.142 COMP476) (0.134 COMP1245) (0.132 COMP150/COMP151/COMP163) (0.130 COMP118) (0.129 COMP302) (0.122 COMP119/COMP1244/COMP157/COMP160/COMP162/COMP169) (0.121 COMP1267) (0.118 COMP774/COMP891) (0.117 COMP1275) (0.116 COMP123/COMP161/COMP654) (0.115 COMP158/COMP172) (0.113 COMP608) (0.111 COMP1196/COMP1249) (0.109 COMP1236) (0.099 COMP175/COMP510/COMP787)
Aldehyde oxidase substrate	0.361	COMP729	(0.332 COMP499/COMP513/COMP57/COMP624) (0.322 COMP60) (0.306 COMP31/COMP858) (0.281 COMP1235) (0.280 COMP1234) (0.255 COMP16) (0.249 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.239 COMP9) (0.222 COMP43) (0.219 COMP389/COMP390) (0.213 COMP608) (0.212 COMP1059) (0.208 COMP118) (0.205 COMP887) (0.198 COMP22) (0.195 COMP654) (0.185 COMP1236) (0.180 COMP1245/COMP697) (0.177 COMP1259/COMP1260/COMP1273) (0.176 COMP1257/COMP616) (0.175 COMP175) (0.173 COMP1256) (0.169 COMP63) (0.164 COMP1249) (0.163 COMP1248) (0.162 COMP525) (0.156 COMP479/COMP544) (0.149 COMP1254) (0.142 COMP123/COMP1244/COMP161) (0.141 COMP1263) (0.139 COMP48/COMP512/COMP715/COMP721/COMP810/COMP882) (0.137 COMP1241)
Aldose reductase substrate	0.992	COMP499/COMP513/COMP57/COMP624	(0.968 COMP31/COMP858) (0.847 COMP1248) (0.826 COMP43) (0.797 COMP22) (0.549 COMP1258) (0.507 COMP1272/COMP310) (0.442 COMP1262/COMP1270/COMP301/COMP56) (0.422 COMP696) (0.407 COMP510/COMP787) (0.398 COMP1274/COMP508) (0.379 COMP46) (0.375 COMP758) (0.344 COMP362) (0.338 COMP1116/COMP1261) (0.336 COMP1238/COMP335) (0.326 COMP692/COMP785) (0.292 COMP1070) (0.284 COMP1253) (0.273 COMP1259/COMP1260/COMP1273) (0.269 COMP1245) (0.267 COMP774/COMP891) (0.256 COMP483) (0.252 COMP1267) (0.249 COMP175) (0.248 COMP16) (0.233 COMP1249) (0.229 COMP1234) (0.216 COMP729) (0.214 COMP1059) (0.204 COMP697) (0.200 COMP1250) (0.199 COMP1264) (0.197 COMP654) (0.193 COMP1235) (0.190 COMP389/COMP390) (0.187 COMP1237) (0.180 COMP887) (0.177 COMP608) (0.165 COMP60) (0.136 COMP1257) (0.133 COMP1263/COMP63/COMP931) (0.129 COMP1243)
Arylamine N-Acetyltransferase substrate	0.350	COMP60	(0.329 COMP729) (0.318 COMP16) (0.312 COMP1235) (0.248 COMP692/COMP785) (0.219 COMP697) (0.204 COMP1259/COMP1260/COMP1273/COMP63) (0.190 COMP1237) (0.185 COMP389/COMP390) (0.181 COMP1234) (0.176 COMP1257) (0.175 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.170 COMP31/COMP858) (0.165 COMP931) (0.164 COMP175) (0.162 COMP1250) (0.160 COMP1256) (0.145 COMP1253) (0.142 COMP1263) (0.140 COMP1255) (0.135 COMP1272/COMP310) (0.131 COMP1059) (0.129 COMP1254) (0.123 COMP49) (0.115 COMP887) (0.114 COMP48) (0.099 COMP43) (0.098 COMP1236/COMP22) (0.095 COMP1274/COMP508) (0.094 COMP1119/COMP9) (0.084 COMP118) (0.066 COMP302)
CYP1A2 inhibitor	0.983	COMP780	(0.945 COMP48) (0.944 COMP1255) (0.930 COMP931) (0.914 COMP49) (0.905 COMP1263) (0.890 COMP1256) (0.792 COMP63) (0.779 COMP1257) (0.767 COMP1268) (0.610 COMP1253) (0.543 COMP1070) (0.530 COMP1234) (0.519 COMP1237) (0.505 COMP1250) (0.500 COMP483) (0.430 COMP887) (0.425 COMP1274/COMP508) (0.421 COMP510/COMP787) (0.397 COMP1262/COMP1270/COMP301/COMP56) (0.380 COMP118) (0.370 COMP1264) (0.366 COMP685) (0.362 COMP1272/COMP310/COMP389/COMP390) (0.352 COMP697) (0.342 COMP1235) (0.318 COMP729) (0.299 COMP512/COMP715/COMP721/COMP810/COMP882) (0.294 COMP692/COMP785) (0.280 COMP46) (0.270 COMP1269/COMP974) (0.267 COMP1238/COMP335) (0.265 COMP525) (0.264 COMP476) (0.247 COMP244/COMP467) (0.243 COMP1252) (0.232 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.227 COMP6) (0.223 COMP1119) (0.221 COMP1254) (0.217 COMP60) (0.197 COMP1059) (0.190 COMP362) (0.182 COMP43) (0.174 COMP616) (0.173 COMP9)
CYP1A2 substrate	0.935	COMP685	(0.926 COMP1263) (0.912 COMP48) (0.910 COMP780) (0.905 COMP49) (0.896 COMP696) (0.880 COMP1256) (0.852 COMP1255) (0.851 COMP1257) (0.845 COMP931) (0.766 COMP1274/COMP508) (0.759 COMP63) (0.727 COMP1269/COMP974) (0.706 COMP512/COMP715/COMP721/COMP810/COMP882) (0.659 COMP1238/COMP335) (0.657 COMP510/COMP787) (0.647 COMP1234) (0.634 COMP1252) (0.625 COMP118) (0.618 COMP1237) (0.616 COMP244/COMP467) (0.615 COMP43) (0.614 COMP483) (0.590 COMP22) (0.574 COMP697) (0.572 COMP1262/COMP1270/COMP301/COMP56) (0.569 COMP389/COMP390) (0.568 COMP1070) (0.564 COMP887) (0.557 COMP46) (0.536 COMP1259/COMP1260/COMP1273) (0.511 COMP1235) (0.510 COMP1250) (0.506 COMP1253) (0.503 COMP729) (0.500 COMP758) (0.488 COMP1059) (0.476 COMP692/COMP785) (0.458 COMP525) (0.453 COMP1272/COMP310) (0.438 COMP1254) (0.436 COMP495) (0.428 COMP16) (0.410 COMP1264/COMP616) (0.389 COMP9) (0.388 COMP362) (0.374 COMP476) (0.368 COMP31/COMP858) (0.362 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.360 COMP6) (0.359 COMP60) (0.352 COMP175) (0.348 COMP943/COMP947/COMP952) (0.342 COMP499/COMP513/COMP57/COMP624) (0.317 COMP1119) (0.308 COMP1116/COMP1261) (0.294 COMP1268) (0.292 COMP1248) (0.288 COMP123/COMP161) (0.277 COMP608) (0.266 COMP1240/COMP1247/COMP295/COMP544) (0.264 COMP774/COMP891) (0.263 COMP1267) (0.261 COMP1180) (0.252 COMP654) (0.248 COMP1196) (0.240 COMP11/COMP8) (0.239 COMP479) (0.235 COMP141/COMP264/COMP547) (0.225 COMP1265) (0.220 COMP300) (0.217 COMP144/COMP19) (0.208 COMP302) (0.207 COMP1236/COMP1258) (0.205 COMP155) (0.195 COMP1241) (0.193 COMP1244) (0.181 COMP158/COMP172)
CYP24 inhibitor	0.285	COMP126	(0.132 COMP548) (0.089 COMP1244) (0.070 COMP158/COMP172) (0.068 COMP124) (0.053 COMP1181/COMP153) (0.052 COMP165/COMP166/COMP173) (0.034 COMP616) (0.033 COMP1235/COMP133/COMP170) (0.030 COMP175) (0.027 COMP150/COMP151/COMP163/COMP300) (0.025 COMP1237/COMP141/COMP264/COMP547) (0.024 COMP525/COMP9) (0.023 COMP123/COMP1241/COMP161) (0.021 COMP1196/COMP6)
CYP2A6 inhibitor	0.269	COMP1234	(0.252 COMP141/COMP264/COMP547) (0.229 COMP1240/COMP1247/COMP295) (0.205 COMP476) (0.200 COMP1119) (0.182 COMP302) (0.171 COMP118) (0.164 COMP9) (0.161 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.158 COMP300/COMP63) (0.156 COMP1254) (0.154 COMP1256/COMP943/COMP947/COMP952) (0.152 COMP6) (0.151 COMP616) (0.143 COMP1235/COMP1255) (0.131 COMP729) (0.127 COMP49/COMP931) (0.119 COMP1241) (0.113 COMP544) (0.111 COMP525) (0.109 COMP1237) (0.105 COMP1250) (0.101 COMP119/COMP157/COMP160/COMP162/COMP169) (0.093 COMP48) (0.092 COMP1257/COMP1263) (0.091 COMP1236/COMP43/COMP499/COMP513/COMP57/COMP624) (0.088 COMP1253) (0.084 COMP1196) (0.081 COMP155) (0.080 COMP1248/COMP22) (0.079 COMP1244) (0.074 COMP11/COMP8) (0.073 COMP16) (0.068 COMP548) (0.067 COMP158/COMP172)
CYP2B6 inhibitor	0.646	COMP685	(0.522 COMP1119) (0.503 COMP63) (0.478 COMP1255) (0.459 COMP931) (0.449 COMP1254) (0.446 COMP1257) (0.427 COMP1116/COMP1261) (0.408 COMP1256) (0.394 COMP1234) (0.386 COMP548) (0.378 COMP780) (0.374 COMP48) (0.373 COMP1263) (0.369 COMP476) (0.367 COMP1059) (0.357 COMP729) (0.356 COMP49) (0.351 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.349 COMP141/COMP264/COMP302/COMP547) (0.330 COMP16) (0.329 COMP1259/COMP1260/COMP1273) (0.326 COMP1235) (0.320 COMP887) (0.317 COMP697) (0.315 COMP389/COMP390) (0.309 COMP118/COMP119/COMP157/COMP160/COMP162/COMP169) (0.298 COMP616) (0.295 COMP22) (0.289 COMP43) (0.288 COMP300) (0.287 COMP1252) (0.279 COMP11/COMP8) (0.278 COMP1248) (0.274 COMP126/COMP143/COMP149) (0.269 COMP1244) (0.268 COMP1253) (0.267 COMP6) (0.261 COMP123/COMP161) (0.260 COMP9) (0.250 COMP499/COMP513/COMP57/COMP624) (0.249 COMP525) (0.245 COMP1196) (0.244 COMP124) (0.243 COMP1180) (0.240 COMP31/COMP858) (0.239 COMP144/COMP19) (0.238 COMP60) (0.234 COMP544) (0.231 COMP1250) (0.229 COMP1240/COMP1247/COMP1268/COMP295) (0.228 COMP1237) (0.226 COMP158/COMP172) (0.219 COMP943/COMP947/COMP952) (0.216 COMP165/COMP166/COMP173) (0.212 COMP479) (0.197 COMP1181/COMP153) (0.196 COMP512/COMP715/COMP721/COMP810/COMP882) (0.195 COMP608) (0.188 COMP1245) (0.180 COMP654) (0.178 COMP1264) (0.175 COMP1070) (0.170 COMP155) (0.168 COMP1241) (0.165 COMP1269/COMP974) (0.164 COMP133/COMP170) (0.161 COMP114/COMP1193/COMP131/COMP483) (0.160 COMP1249) (0.157 COMP1236) (0.155 COMP244/COMP467)
