Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.828	COMP479	(0.725 COMP1236) (0.637 COMP9) (0.628 COMP60) (0.623 COMP544) (0.604 COMP1241) (0.601 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.592 COMP616) (0.591 COMP608) (0.578 COMP1059) (0.535 COMP525) (0.466 COMP6) (0.462 COMP16) (0.454 COMP729) (0.441 COMP1196) (0.412 COMP123/COMP161) (0.409 COMP144/COMP19) (0.401 COMP1235) (0.399 COMP114/COMP131) (0.392 COMP1245) (0.380 COMP300) (0.379 COMP155/COMP158/COMP172) (0.374 COMP943/COMP947/COMP952) (0.369 COMP141/COMP264/COMP547) (0.359 COMP22) (0.353 COMP499/COMP513/COMP57/COMP624) (0.341 COMP43) (0.337 COMP1234) (0.335 COMP1259/COMP1260/COMP1273) (0.331 COMP1250) (0.325 COMP1244) (0.324 COMP1243) (0.322 COMP1180/COMP654) (0.317 COMP1252) (0.312 COMP175/COMP389/COMP390) (0.305 COMP1249/COMP31/COMP858) (0.296 COMP1237/COMP697) (0.274 COMP476) (0.262 COMP1253) (0.255 COMP1240/COMP1247/COMP295) (0.248 COMP63) (0.236 COMP143/COMP149) (0.222 COMP887) (0.214 COMP1181/COMP153) (0.206 COMP1258) (0.195 COMP1257) (0.189 COMP1116/COMP1193/COMP1261) (0.180 COMP1256/COMP49) (0.177 COMP774/COMP891) (0.174 COMP1070/COMP696) (0.171 COMP1254) (0.168 COMP118) (0.166 COMP124) (0.157 COMP1255) (0.151 COMP126) (0.149 COMP1263/COMP931) (0.144 COMP167) (0.143 COMP1274/COMP165/COMP166/COMP173/COMP508) (0.138 COMP1272/COMP310) (0.136 COMP685) (0.124 COMP1264) (0.123 COMP1248/COMP48) (0.117 COMP302) (0.109 COMP11/COMP8)
Acetylcholine release stimulant	0.201	COMP1067/COMP1068/COMP1242/COMP1246/COMP988	(0.192 COMP1059) (0.175 COMP1234) (0.153 COMP118) (0.150 COMP1245/COMP654) (0.149 COMP16) (0.146 COMP729) (0.145 COMP9) (0.143 COMP1235) (0.138 COMP525) (0.131 COMP499/COMP513/COMP57/COMP624) (0.126 COMP479) (0.125 COMP114/COMP131) (0.122 COMP1250/COMP476) (0.120 COMP1249) (0.116 COMP616/COMP943/COMP947/COMP952) (0.110 COMP608) (0.109 COMP1236/COMP60/COMP887) (0.108 COMP1237/COMP31/COMP858) (0.107 COMP22) (0.105 COMP1243/COMP43/COMP544/COMP697) (0.100 COMP124/COMP389/COMP390) (0.099 COMP63) (0.097 COMP126)
Actinic keratosis treatment	0.516	COMP685	(0.328 COMP548) (0.289 COMP1243) (0.284 COMP141/COMP264/COMP547) (0.261 COMP1196/COMP1269/COMP974) (0.256 COMP165/COMP166/COMP173) (0.253 COMP479) (0.251 COMP144/COMP19) (0.249 COMP16) (0.248 COMP512/COMP715/COMP721/COMP810/COMP882) (0.242 COMP60) (0.241 COMP1240/COMP1247/COMP295) (0.231 COMP114/COMP131) (0.229 COMP124) (0.225 COMP389/COMP390) (0.224 COMP697) (0.222 COMP1252) (0.221 COMP133/COMP170) (0.218 COMP9) (0.216 COMP126) (0.215 COMP1193/COMP244/COMP467) (0.204 COMP1259/COMP1260/COMP1273) (0.203 COMP608) (0.202 COMP616) (0.200 COMP1241) (0.199 COMP143/COMP149) (0.194 COMP1070) (0.193 COMP1250) (0.192 COMP175) (0.187 COMP525) (0.184 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.181 COMP1237/COMP544) (0.179 COMP1235/COMP1245) (0.178 COMP1181/COMP153) (0.176 COMP943/COMP947/COMP952) (0.175 COMP1059) (0.172 COMP123/COMP161) (0.170 COMP1275) (0.168 COMP1236) (0.167 COMP729) (0.163 COMP887) (0.161 COMP63) (0.160 COMP6) (0.159 COMP1253) (0.157 COMP1244) (0.155 COMP155) (0.152 COMP696) (0.148 COMP158/COMP172/COMP49) (0.147 COMP1255) (0.145 COMP300) (0.143 COMP1272/COMP310/COMP362/COMP48) (0.142 COMP774/COMP891) (0.138 COMP1257) (0.137 COMP1256/COMP931) (0.135 COMP1258/COMP476) (0.133 COMP1249) (0.130 COMP1234/COMP167) (0.129 COMP1180/COMP510/COMP787) (0.125 COMP654) (0.119 COMP483/COMP758) (0.117 COMP1265) (0.116 COMP495) (0.114 COMP31/COMP858) (0.113 COMP1254) (0.112 COMP1116/COMP1261) (0.111 COMP1262/COMP1270/COMP301/COMP56) (0.108 COMP1274/COMP508) (0.106 COMP150/COMP151/COMP163) (0.104 COMP1263) (0.102 COMP499/COMP513/COMP57/COMP624) (0.096 COMP11/COMP22/COMP8) (0.095 COMP43) (0.091 COMP692/COMP780/COMP785) (0.090 COMP1264/COMP1267) (0.088 COMP1248) (0.082 COMP46)
Acute neurologic disorders treatment	0.419	COMP43	(0.415 COMP1248) (0.413 COMP22) (0.407 COMP1116/COMP1261) (0.398 COMP1259/COMP1260/COMP1273) (0.396 COMP16) (0.364 COMP1264) (0.341 COMP6) (0.339 COMP31/COMP858) (0.305 COMP119/COMP157/COMP160/COMP162/COMP169) (0.298 COMP499/COMP513/COMP57/COMP624) (0.290 COMP124) (0.280 COMP1243) (0.262 COMP114/COMP131) (0.257 COMP1253) (0.254 COMP11/COMP8) (0.252 COMP476) (0.251 COMP60) (0.237 COMP1070) (0.221 COMP654) (0.220 COMP943/COMP947/COMP952) (0.198 COMP1059) (0.195 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.192 COMP1235) (0.187 COMP729)
Acute respiratory distress syndrome (ARDS) treatment	0.408	COMP1275	(0.402 COMP11/COMP8) (0.368 COMP1258) (0.359 COMP119/COMP157/COMP160/COMP162/COMP169) (0.349 COMP46) (0.347 COMP1272/COMP310) (0.343 COMP1274/COMP508) (0.329 COMP31/COMP858) (0.301 COMP1264) (0.299 COMP696) (0.298 COMP1262/COMP1270/COMP301/COMP56) (0.289 COMP692/COMP785) (0.281 COMP510/COMP787) (0.267 COMP1238/COMP335) (0.233 COMP774/COMP891) (0.211 COMP654) (0.209 COMP16) (0.196 COMP1267) (0.181 COMP479) (0.177 COMP1059/COMP476) (0.173 COMP175) (0.172 COMP697) (0.169 COMP389/COMP390) (0.166 COMP9) (0.162 COMP1259/COMP1260/COMP1273/COMP483) (0.158 COMP548) (0.141 COMP1245) (0.126 COMP1067/COMP1068/COMP1242/COMP1246/COMP362/COMP758/COMP988)
Age-related macular degeneration treatment	0.527	COMP685	(0.285 COMP1239/COMP1266) (0.263 COMP9) (0.239 COMP16) (0.228 COMP60) (0.221 COMP525) (0.198 COMP887) (0.197 COMP616) (0.195 COMP1252) (0.193 COMP608) (0.190 COMP389/COMP390) (0.183 COMP729) (0.182 COMP1059) (0.169 COMP1259/COMP1260/COMP1273) (0.165 COMP697)
Allergic rhinitis treatment	0.330	COMP16	(0.165 COMP654) (0.127 COMP1245) (0.113 COMP1059)
Alzheimer's disease treatment	0.860	COMP1251	(0.717 COMP1271) (0.627 COMP300) (0.610 COMP483) (0.575 COMP46) (0.561 COMP1269/COMP974) (0.558 COMP1274/COMP508) (0.552 COMP126) (0.551 COMP155) (0.535 COMP1238/COMP335/COMP943/COMP947/COMP952) (0.534 COMP692/COMP785) (0.529 COMP1268) (0.526 COMP1262/COMP1270/COMP301/COMP56) (0.525 COMP1243) (0.524 COMP512/COMP715/COMP721/COMP810/COMP882) (0.521 COMP510/COMP787) (0.509 COMP362) (0.502 COMP1263/COMP48) (0.497 COMP758) (0.484 COMP1196) (0.482 COMP1257) (0.475 COMP1256) (0.473 COMP1255) (0.468 COMP244/COMP467) (0.451 COMP49) (0.449 COMP780) (0.440 COMP63) (0.438 COMP1258) (0.426 COMP931) (0.425 COMP6) (0.423 COMP696) (0.421 COMP1272/COMP310/COMP476/COMP544) (0.407 COMP1116/COMP1261) (0.405 COMP1249) (0.388 COMP774/COMP891) (0.385 COMP1241) (0.356 COMP1267) (0.350 COMP143/COMP149) (0.344 COMP1119) (0.326 COMP1181/COMP153) (0.308 COMP141/COMP264/COMP547) (0.293 COMP729) (0.290 COMP1275) (0.287 COMP144/COMP19) (0.273 COMP389/COMP390) (0.262 COMP685) (0.249 COMP1234) (0.247 COMP158/COMP172) (0.241 COMP887) (0.240 COMP495)
Amyotrophic lateral sclerosis treatment	0.346	COMP476	(0.233 COMP1196) (0.227 COMP119/COMP157/COMP160/COMP162/COMP169) (0.224 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.217 COMP608) (0.210 COMP1116/COMP1261) (0.208 COMP1119) (0.197 COMP1236) (0.194 COMP141/COMP264/COMP547) (0.190 COMP9) (0.189 COMP16) (0.187 COMP729) (0.183 COMP1059) (0.182 COMP1275/COMP616) (0.180 COMP49) (0.179 COMP11/COMP8) (0.176 COMP654) (0.174 COMP389/COMP390) (0.172 COMP48) (0.171 COMP1234/COMP302)
Anabolic	0.205	COMP548	(0.201 COMP1193) (0.198 COMP133/COMP170) (0.196 COMP165/COMP166/COMP173) (0.191 COMP476) (0.190 COMP11/COMP126/COMP8) (0.186 COMP1180/COMP124) (0.183 COMP1181/COMP153) (0.182 COMP16) (0.180 COMP119/COMP1252/COMP157/COMP160/COMP162/COMP169) (0.178 COMP1196) (0.177 COMP1235) (0.176 COMP1067/COMP1068/COMP1240/COMP1242/COMP1246/COMP1247/COMP295/COMP988) (0.174 COMP1254/COMP175) (0.173 COMP143/COMP149) (0.172 COMP123/COMP161/COMP943/COMP947/COMP952) (0.171 COMP144/COMP19) (0.170 COMP1259/COMP1260/COMP1273) (0.169 COMP302) (0.167 COMP1059/COMP1275/COMP479) (0.166 COMP1119) (0.165 COMP1237/COMP729) (0.164 COMP60) (0.163 COMP1265/COMP141/COMP264/COMP547) (0.161 COMP1243) (0.159 COMP155/COMP167/COMP22) (0.158 COMP300) (0.157 COMP43/COMP616) (0.156 COMP114/COMP131) (0.155 COMP158/COMP172/COMP774/COMP891) (0.154 COMP1253/COMP499/COMP512/COMP513/COMP57/COMP624/COMP697/COMP715/COMP721/COMP810/COMP882) (0.153 COMP1250) (0.152 COMP1257/COMP1269/COMP974) (0.151 COMP1244/COMP150/COMP151/COMP163/COMP6) (0.149 COMP244/COMP467) (0.146 COMP544) (0.145 COMP1070/COMP389/COMP390/COMP63) (0.143 COMP118/COMP31/COMP858) (0.140 COMP1248) (0.138 COMP608/COMP9) (0.136 COMP1234) (0.135 COMP1236/COMP49) (0.133 COMP48) (0.131 COMP1245) (0.129 COMP1256) (0.128 COMP1263/COMP931) (0.127 COMP685) (0.126 COMP1267) (0.123 COMP495) (0.122 COMP1241) (0.120 COMP1255) (0.118 COMP1249) (0.116 COMP654) (0.114 COMP1116/COMP1261) (0.113 COMP887) (0.106 COMP525) (0.101 COMP780) (0.098 COMP1251) (0.097 COMP758) (0.096 COMP1258/COMP1264/COMP1274/COMP508) (0.092 COMP1268) (0.091 COMP362) (0.089 COMP1272/COMP310) (0.088 COMP696) (0.087 COMP510/COMP787)
Analeptic	0.792	COMP144/COMP19	(0.648 COMP124) (0.634 COMP1259/COMP1260/COMP1273) (0.630 COMP1258) (0.622 COMP16) (0.621 COMP1059) (0.620 COMP143/COMP149) (0.609 COMP1245) (0.590 COMP692/COMP785) (0.585 COMP1243) (0.570 COMP696) (0.568 COMP11/COMP8) (0.567 COMP544) (0.554 COMP1249) (0.546 COMP141/COMP264/COMP547) (0.542 COMP60) (0.537 COMP114/COMP131) (0.531 COMP1262/COMP1270/COMP301/COMP56) (0.526 COMP1240/COMP1247/COMP295) (0.522 COMP1272/COMP310) (0.513 COMP943/COMP947/COMP952) (0.498 COMP510/COMP787) (0.489 COMP1238/COMP335) (0.487 COMP729) (0.479 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.475 COMP525) (0.474 COMP1235) (0.473 COMP548) (0.472 COMP1274/COMP508) (0.458 COMP175/COMP616) (0.450 COMP133/COMP170) (0.441 COMP6) (0.440 COMP1252) (0.439 COMP499/COMP513/COMP57/COMP624) (0.435 COMP119/COMP157/COMP160/COMP162/COMP169) (0.434 COMP22) (0.432 COMP123/COMP161) (0.430 COMP118/COMP126) (0.426 COMP1268/COMP158/COMP172/COMP43) (0.425 COMP1180/COMP1241) (0.420 COMP1244) (0.419 COMP9) (0.415 COMP1269/COMP974) (0.407 COMP46) (0.402 COMP302/COMP758) (0.401 COMP1196) (0.396 COMP1275) (0.391 COMP1257) (0.388 COMP1256) (0.387 COMP1254/COMP479) (0.384 COMP1234) (0.376 COMP1248/COMP150/COMP151/COMP163/COMP512/COMP715/COMP721/COMP810/COMP882) (0.374 COMP31/COMP858) (0.365 COMP1263) (0.362 COMP1193) (0.358 COMP389/COMP390) (0.357 COMP697) (0.353 COMP1181/COMP153/COMP155) (0.346 COMP931) (0.343 COMP1250) (0.332 COMP1237) (0.331 COMP1265) (0.329 COMP165/COMP166/COMP173/COMP608) (0.328 COMP1116/COMP1261) (0.324 COMP887) (0.323 COMP1264/COMP774/COMP891) (0.321 COMP362) (0.320 COMP1236) (0.318 COMP63) (0.312 COMP654) (0.304 COMP300) (0.301 COMP1255) (0.297 COMP49) (0.293 COMP1267) (0.291 COMP1119) (0.290 COMP1253/COMP48) (0.289 COMP244/COMP467) (0.271 COMP483) (0.260 COMP1070) (0.257 COMP780) (0.250 COMP476) (0.209 COMP495) (0.189 COMP167) (0.166 COMP685)
Analgesic	0.685	COMP123/COMP161	(0.658 COMP300) (0.640 COMP1180) (0.637 COMP1196) (0.504 COMP1193) (0.433 COMP943/COMP947/COMP952) (0.422 COMP155) (0.410 COMP144/COMP19) (0.350 COMP143/COMP149) (0.333 COMP1241) (0.309 COMP141/COMP264/COMP547) (0.287 COMP1243) (0.270 COMP654) (0.263 COMP133/COMP170) (0.255 COMP124) (0.242 COMP9) (0.228 COMP114/COMP131)
Analgesic. non-opioid	0.317	COMP1241	(0.224 COMP9)
Analgesic. opioid	0.175	COMP943/COMP947/COMP952	(0.140 COMP1235) (0.123 COMP512/COMP715/COMP721/COMP810/COMP882) (0.114 COMP1269/COMP974) (0.080 COMP729) (0.079 COMP244/COMP467) (0.078 COMP143/COMP149) (0.072 COMP144/COMP19) (0.069 COMP1256)
Andropause treatment	0.211	COMP144/COMP19	(0.089 COMP1193/COMP1265) (0.084 COMP11/COMP8) (0.077 COMP729) (0.075 COMP119/COMP157/COMP160/COMP162/COMP169) (0.074 COMP143/COMP149/COMP931) (0.073 COMP165/COMP166/COMP173) (0.070 COMP1255) (0.067 COMP1059/COMP1235) (0.066 COMP1258/COMP1275/COMP60) (0.064 COMP118)
Anesthetic	0.505	COMP608	(0.444 COMP654) (0.418 COMP1245) (0.412 COMP1243) (0.401 COMP1059) (0.390 COMP525) (0.387 COMP479) (0.377 COMP1180) (0.376 COMP9) (0.333 COMP616) (0.332 COMP1249) (0.320 COMP1236) (0.301 COMP123/COMP16/COMP161) (0.297 COMP114/COMP131) (0.293 COMP1193) (0.288 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.287 COMP1196) (0.271 COMP118) (0.262 COMP1241) (0.259 COMP544) (0.254 COMP31/COMP858) (0.245 COMP1259/COMP1260/COMP1273) (0.236 COMP158/COMP172) (0.231 COMP943/COMP947/COMP952) (0.230 COMP124) (0.228 COMP1275) (0.221 COMP133/COMP170) (0.215 COMP1244) (0.209 COMP389/COMP390) (0.207 COMP60/COMP774/COMP891) (0.203 COMP729) (0.202 COMP697) (0.199 COMP300) (0.194 COMP887) (0.188 COMP1235) (0.187 COMP1267) (0.186 COMP144/COMP19) (0.176 COMP499/COMP513/COMP57/COMP624) (0.171 COMP11/COMP8) (0.166 COMP1239/COMP1266) (0.165 COMP165/COMP166/COMP173/COMP22) (0.164 COMP1181/COMP153) (0.158 COMP1116/COMP1261/COMP43) (0.152 COMP1252) (0.148 COMP476) (0.143 COMP126) (0.129 COMP141/COMP264/COMP547) (0.120 COMP548) (0.115 COMP1250) (0.111 COMP119/COMP157/COMP160/COMP162/COMP169) (0.109 COMP6) (0.108 COMP1234) (0.107 COMP167) (0.105 COMP175) (0.103 COMP1237) (0.102 COMP155)
