Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.541	COMP11/COMP8	(0.540 COMP119/COMP157/COMP160/COMP162/COMP169) (0.534 COMP1275) (0.528 COMP1116/COMP1261) (0.508 COMP1259/COMP1260/COMP1273) (0.507 COMP16) (0.506 COMP548) (0.471 COMP150/COMP151/COMP163) (0.465 COMP1059/COMP1252) (0.464 COMP133/COMP170) (0.454 COMP1240/COMP1247/COMP295) (0.448 COMP1248) (0.446 COMP943/COMP947/COMP952) (0.442 COMP124) (0.441 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.439 COMP1193) (0.434 COMP476) (0.429 COMP697) (0.427 COMP1119) (0.421 COMP1235) (0.419 COMP60) (0.418 COMP1245) (0.417 COMP1180/COMP1249/COMP22) (0.416 COMP126/COMP165/COMP166/COMP173) (0.413 COMP143/COMP149) (0.411 COMP1254) (0.410 COMP302) (0.405 COMP141/COMP175/COMP264/COMP547) (0.402 COMP31/COMP43/COMP858) (0.392 COMP389/COMP390) (0.379 COMP729) (0.375 COMP887) (0.372 COMP479) (0.366 COMP6) (0.361 COMP1244/COMP685) (0.358 COMP499/COMP513/COMP57/COMP624) (0.349 COMP123/COMP161) (0.347 COMP1243) (0.346 COMP1196) (0.343 COMP1237) (0.340 COMP118) (0.334 COMP1181/COMP153) (0.327 COMP114/COMP131) (0.323 COMP144/COMP19/COMP608) (0.318 COMP512/COMP715/COMP721/COMP810/COMP882) (0.295 COMP774/COMP891) (0.294 COMP300) (0.292 COMP1269/COMP974) (0.284 COMP1265) (0.277 COMP616/COMP654) (0.276 COMP1250) (0.269 COMP1267/COMP167) (0.261 COMP1257) (0.260 COMP1236) (0.259 COMP158/COMP172) (0.253 COMP63) (0.239 COMP1234) (0.232 COMP9) (0.224 COMP1251) (0.222 COMP1256/COMP244/COMP467) (0.215 COMP525) (0.210 COMP49) (0.205 COMP544) (0.204 COMP155) (0.201 COMP48) (0.196 COMP1253) (0.192 COMP1255) (0.190 COMP1241/COMP1263/COMP931) (0.187 COMP780) (0.173 COMP1070) (0.161 COMP1258) (0.158 COMP1268)
Carcinogenic	0.940	COMP46	(0.924 COMP119/COMP157/COMP160/COMP162/COMP169) (0.912 COMP1262/COMP1270/COMP301/COMP56) (0.907 COMP1274/COMP508) (0.903 COMP510/COMP787) (0.895 COMP692/COMP785) (0.890 COMP11/COMP8) (0.881 COMP1119) (0.871 COMP483) (0.867 COMP302) (0.849 COMP1272/COMP310) (0.828 COMP1116/COMP1261) (0.820 COMP1258) (0.816 COMP1070/COMP1254) (0.814 COMP685) (0.812 COMP22/COMP362) (0.809 COMP758) (0.802 COMP43) (0.792 COMP123/COMP161) (0.789 COMP774/COMP891) (0.788 COMP1269/COMP974) (0.778 COMP1238/COMP335) (0.773 COMP696) (0.769 COMP1253) (0.755 COMP1255) (0.753 COMP48) (0.750 COMP512/COMP715/COMP721/COMP810/COMP882) (0.744 COMP1240/COMP1247/COMP295) (0.736 COMP1248) (0.733 COMP1252/COMP1263/COMP931) (0.731 COMP499/COMP513/COMP57/COMP624) (0.724 COMP49) (0.722 COMP1259/COMP1260/COMP1273) (0.705 COMP31/COMP858) (0.704 COMP476) (0.681 COMP175) (0.680 COMP1256) (0.673 COMP1267) (0.671 COMP141/COMP264/COMP547) (0.670 COMP1257) (0.653 COMP63) (0.647 COMP548) (0.638 COMP1237) (0.635 COMP1250) (0.627 COMP780) (0.607 COMP389/COMP390) (0.602 COMP16) (0.600 COMP1249) (0.597 COMP697) (0.588 COMP244/COMP467) (0.566 COMP1059) (0.516 COMP1245) (0.497 COMP124) (0.489 COMP158/COMP172) (0.462 COMP1241) (0.456 COMP1264) (0.446 COMP729) (0.445 COMP60) (0.441 COMP1235) (0.433 COMP887) (0.428 COMP1275) (0.422 COMP114/COMP131) (0.420 COMP150/COMP151/COMP163) (0.405 COMP1243) (0.397 COMP1268) (0.391 COMP479) (0.388 COMP495) (0.383 COMP608) (0.379 COMP1244) (0.372 COMP1067/COMP1068/COMP1234/COMP1242/COMP1246/COMP988) (0.350 COMP118) (0.345 COMP143/COMP149) (0.329 COMP1181/COMP153/COMP6) (0.320 COMP126) (0.288 COMP654) (0.283 COMP9) (0.274 COMP1196) (0.255 COMP1265) (0.248 COMP144/COMP19/COMP616) (0.242 COMP1180) (0.235 COMP943/COMP947/COMP952) (0.234 COMP133/COMP170) (0.227 COMP1236/COMP155) (0.214 COMP544) (0.199 COMP525) (0.187 COMP165/COMP166/COMP173) (0.176 COMP1232) (0.160 COMP1193) (0.153 COMP300)
Carcinogenic. group 1	0.535	COMP1235	(0.528 COMP31/COMP858) (0.507 COMP729) (0.461 COMP16) (0.441 COMP510/COMP787) (0.422 COMP1272/COMP310) (0.407 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.393 COMP1262/COMP1270/COMP301/COMP56) (0.387 COMP118) (0.383 COMP1059) (0.381 COMP1234) (0.343 COMP1259/COMP1260/COMP1273/COMP63) (0.332 COMP1256) (0.313 COMP49) (0.304 COMP697) (0.291 COMP1236/COMP9) (0.285 COMP43) (0.282 COMP1258) (0.277 COMP1254) (0.275 COMP654) (0.273 COMP479) (0.268 COMP48) (0.267 COMP499/COMP513/COMP57/COMP624) (0.266 COMP60) (0.259 COMP608) (0.257 COMP22) (0.251 COMP1255) (0.249 COMP943/COMP947/COMP952) (0.246 COMP780) (0.245 COMP1245/COMP1274/COMP508) (0.242 COMP616) (0.240 COMP1263) (0.239 COMP362/COMP483) (0.236 COMP389/COMP390) (0.235 COMP1257) (0.233 COMP931) (0.228 COMP1249/COMP544) (0.227 COMP525) (0.226 COMP302) (0.223 COMP887) (0.221 COMP692/COMP785) (0.218 COMP1244) (0.208 COMP758) (0.206 COMP1119) (0.204 COMP175/COMP476) (0.197 COMP6) (0.195 COMP141/COMP264/COMP547) (0.193 COMP1241/COMP46) (0.191 COMP11/COMP8) (0.190 COMP1269/COMP974) (0.180 COMP1248/COMP696) (0.179 COMP1237/COMP1253) (0.176 COMP512/COMP715/COMP721/COMP810/COMP882) (0.173 COMP1116/COMP1261) (0.166 COMP1252) (0.165 COMP1250/COMP126) (0.163 COMP1243) (0.162 COMP119/COMP157/COMP160/COMP162/COMP169) (0.161 COMP123/COMP1240/COMP1247/COMP161/COMP295) (0.158 COMP114/COMP131) (0.157 COMP144/COMP19) (0.156 COMP1070) (0.152 COMP1265) (0.151 COMP124) (0.148 COMP158/COMP172/COMP300) (0.146 COMP155) (0.135 COMP1196) (0.129 COMP1264/COMP165/COMP166/COMP173)
Carcinogenic. group 2A	0.318	COMP1234	(0.279 COMP729) (0.271 COMP118) (0.260 COMP1235) (0.243 COMP758) (0.232 COMP1254) (0.226 COMP31/COMP858) (0.220 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.208 COMP1236) (0.203 COMP1258/COMP1272/COMP310) (0.198 COMP696) (0.189 COMP302) (0.187 COMP9) (0.177 COMP1059) (0.176 COMP510/COMP787) (0.172 COMP362) (0.171 COMP1119) (0.159 COMP1253) (0.158 COMP1262/COMP1270/COMP301/COMP56) (0.151 COMP608) (0.148 COMP11/COMP1250/COMP8) (0.147 COMP60) (0.146 COMP1257) (0.145 COMP499/COMP513/COMP57/COMP624) (0.144 COMP616) (0.140 COMP1070/COMP1237/COMP43) (0.137 COMP6) (0.134 COMP525) (0.128 COMP476) (0.127 COMP544/COMP63) (0.124 COMP1269/COMP974) (0.123 COMP479) (0.122 COMP114/COMP131/COMP16/COMP22) (0.121 COMP697) (0.119 COMP1243) (0.118 COMP1274/COMP508) (0.115 COMP175) (0.113 COMP1256) (0.111 COMP119/COMP157/COMP160/COMP162/COMP169) (0.109 COMP1264) (0.106 COMP141/COMP264/COMP547) (0.105 COMP1263) (0.102 COMP389/COMP390/COMP654) (0.100 COMP155) (0.096 COMP512/COMP715/COMP721/COMP810/COMP882) (0.094 COMP1238/COMP335) (0.093 COMP1245/COMP887) (0.090 COMP1241) (0.088 COMP1244) (0.085 COMP1240/COMP1247/COMP1255/COMP295) (0.083 COMP46) (0.082 COMP1265) (0.079 COMP931) (0.078 COMP1248) (0.077 COMP49) (0.076 COMP124) (0.075 COMP1116/COMP1261) (0.073 COMP123/COMP161)
Carcinogenic. group 2B	0.557	COMP1253	(0.509 COMP389/COMP390) (0.496 COMP729) (0.495 COMP697) (0.494 COMP118) (0.485 COMP1250) (0.479 COMP1237) (0.471 COMP931) (0.464 COMP1255) (0.407 COMP1235) (0.403 COMP1258) (0.385 COMP1070) (0.380 COMP1257) (0.356 COMP1254) (0.348 COMP887) (0.347 COMP63) (0.344 COMP302) (0.338 COMP1234) (0.304 COMP1272/COMP310) (0.290 COMP1263) (0.282 COMP1240/COMP1247/COMP295) (0.270 COMP696) (0.264 COMP46) (0.257 COMP499/COMP513/COMP57/COMP624) (0.253 COMP1274/COMP508) (0.249 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.234 COMP60) (0.232 COMP49) (0.231 COMP124) (0.228 COMP31/COMP43/COMP858) (0.226 COMP1259/COMP1260/COMP1273/COMP48/COMP758) (0.211 COMP11/COMP8) (0.206 COMP1119) (0.203 COMP1059/COMP16) (0.202 COMP1262/COMP1270/COMP301/COMP56) (0.200 COMP510/COMP787) (0.199 COMP22) (0.198 COMP362) (0.191 COMP1238/COMP335) (0.185 COMP1248) (0.183 COMP9) (0.171 COMP1264) (0.169 COMP1256) (0.166 COMP1245) (0.163 COMP780) (0.162 COMP114/COMP131) (0.155 COMP119/COMP157/COMP160/COMP162/COMP169) (0.151 COMP1252) (0.148 COMP1236) (0.146 COMP1116/COMP1261) (0.145 COMP141/COMP264/COMP547) (0.144 COMP1265) (0.143 COMP133/COMP170) (0.136 COMP774/COMP891) (0.135 COMP1268) (0.134 COMP1243/COMP1249) (0.130 COMP616/COMP654) (0.129 COMP1241) (0.126 COMP1181/COMP153) (0.125 COMP155) (0.121 COMP525) (0.117 COMP123/COMP161/COMP512/COMP715/COMP721/COMP810/COMP882) (0.114 COMP1244/COMP483/COMP692/COMP785) (0.113 COMP476) (0.112 COMP144/COMP19/COMP6) (0.111 COMP943/COMP947/COMP952) (0.108 COMP544) (0.104 COMP1196) (0.101 COMP608) (0.096 COMP126) (0.093 COMP167) (0.091 COMP1193/COMP1269/COMP974) (0.089 COMP175) (0.087 COMP158/COMP172) (0.082 COMP1267)
Carcinogenic. group 3	0.799	COMP49	(0.773 COMP175) (0.772 COMP141/COMP264/COMP547) (0.757 COMP1253) (0.751 COMP48) (0.741 COMP1255) (0.739 COMP22) (0.738 COMP43) (0.721 COMP1237/COMP499/COMP513/COMP57/COMP624) (0.711 COMP931) (0.708 COMP1250) (0.705 COMP1263) (0.703 COMP1070) (0.674 COMP1240/COMP1247/COMP295) (0.633 COMP63) (0.608 COMP1256) (0.544 COMP1257) (0.519 COMP697) (0.516 COMP780) (0.508 COMP1235) (0.469 COMP1234) (0.459 COMP729) (0.449 COMP1236) (0.439 COMP389/COMP390) (0.432 COMP60) (0.431 COMP16) (0.419 COMP1264) (0.406 COMP1249) (0.395 COMP1262/COMP1270/COMP301/COMP56) (0.387 COMP1274/COMP508) (0.382 COMP510/COMP787) (0.361 COMP1272/COMP310) (0.352 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.349 COMP1245) (0.347 COMP1059) (0.346 COMP118) (0.343 COMP31/COMP483/COMP858) (0.338 COMP758) (0.332 COMP123/COMP161/COMP362) (0.330 COMP608) (0.322 COMP9) (0.315 COMP6) (0.306 COMP692/COMP785) (0.304 COMP548) (0.300 COMP302) (0.296 COMP479) (0.295 COMP1241) (0.286 COMP46) (0.284 COMP1248) (0.277 COMP887) (0.274 COMP11/COMP8) (0.268 COMP1254) (0.266 COMP1258) (0.252 COMP144/COMP155/COMP19) (0.244 COMP616) (0.235 COMP544) (0.231 COMP1259/COMP1260/COMP1273) (0.229 COMP158/COMP172) (0.227 COMP774/COMP891) (0.217 COMP476) (0.195 COMP1243) (0.183 COMP114/COMP131) (0.181 COMP1196) (0.178 COMP1181/COMP153) (0.175 COMP119/COMP157/COMP160/COMP162/COMP169/COMP512/COMP715/COMP721/COMP810/COMP882) (0.169 COMP1268) (0.164 COMP1116/COMP1261) (0.163 COMP1119) (0.160 COMP1252) (0.152 COMP1244) (0.147 COMP525) (0.144 COMP124) (0.141 COMP1269/COMP974) (0.137 COMP143/COMP149) (0.131 COMP654) (0.129 COMP696) (0.125 COMP1265) (0.123 COMP1180/COMP126/COMP1267) (0.120 COMP133/COMP170)
Cardiodepressant	0.833	COMP1239/COMP1266	(0.582 COMP608) (0.545 COMP118) (0.496 COMP1259/COMP1260/COMP1273) (0.482 COMP1059) (0.465 COMP60) (0.445 COMP729) (0.438 COMP1067/COMP1068/COMP1242/COMP1246/COMP654/COMP988) (0.412 COMP16) (0.405 COMP1245) (0.401 COMP31/COMP858) (0.392 COMP1249) (0.386 COMP1235) (0.355 COMP1237) (0.352 COMP1256) (0.348 COMP1234) (0.343 COMP780) (0.338 COMP479) (0.329 COMP48) (0.322 COMP63) (0.321 COMP512/COMP715/COMP721/COMP810/COMP882) (0.319 COMP1257) (0.317 COMP887) (0.316 COMP1250) (0.314 COMP49) (0.312 COMP1263) (0.295 COMP389/COMP390) (0.291 COMP1236) (0.279 COMP525) (0.277 COMP9) (0.264 COMP114/COMP131) (0.261 COMP1269/COMP974) (0.260 COMP1243) (0.259 COMP1253) (0.257 COMP1116/COMP1261) (0.254 COMP1070) (0.252 COMP175) (0.250 COMP697) (0.243 COMP11/COMP8) (0.237 COMP1264/COMP1275) (0.233 COMP362) (0.224 COMP499/COMP513/COMP57/COMP624) (0.220 COMP1267) (0.219 COMP124) (0.217 COMP931) (0.210 COMP758) (0.205 COMP774/COMP891) (0.200 COMP616) (0.190 COMP1255) (0.179 COMP510/COMP787) (0.162 COMP1254) (0.148 COMP119/COMP157/COMP160/COMP162/COMP169) (0.147 COMP1252) (0.139 COMP244/COMP467) (0.135 COMP1262/COMP1270/COMP301/COMP56)
Cytotoxic	0.700	COMP1238/COMP335	(0.658 COMP46) (0.632 COMP362) (0.626 COMP1262/COMP1270/COMP301/COMP56) (0.621 COMP758) (0.617 COMP1272/COMP310/COMP510/COMP787) (0.605 COMP1274/COMP508) (0.597 COMP1258/COMP692/COMP785) (0.595 COMP696) (0.577 COMP483) (0.557 COMP150/COMP151/COMP163) (0.550 COMP1275) (0.549 COMP143/COMP149) (0.517 COMP244/COMP467) (0.506 COMP1070) (0.504 COMP685) (0.502 COMP1269/COMP974) (0.500 COMP512/COMP715/COMP721/COMP810/COMP882) (0.494 COMP1252) (0.489 COMP1265) (0.488 COMP1253) (0.484 COMP155) (0.480 COMP774/COMP891) (0.479 COMP1267/COMP22) (0.473 COMP1255/COMP43) (0.470 COMP158/COMP172) (0.462 COMP931) (0.457 COMP1181/COMP153) (0.454 COMP48) (0.453 COMP780) (0.447 COMP1237) (0.441 COMP1250) (0.440 COMP1259/COMP1260/COMP1273) (0.435 COMP175) (0.426 COMP1263) (0.423 COMP49) (0.422 COMP1119) (0.409 COMP1257) (0.408 COMP495/COMP548) (0.406 COMP119/COMP157/COMP160/COMP162/COMP169) (0.397 COMP1256) (0.394 COMP1249/COMP1264) (0.390 COMP1248/COMP63) (0.387 COMP144/COMP19) (0.374 COMP1268) (0.371 COMP11/COMP8) (0.366 COMP1116/COMP1261/COMP476) (0.361 COMP1254) (0.360 COMP16) (0.356 COMP1244) (0.355 COMP126) (0.354 COMP1240/COMP1247/COMP295) (0.352 COMP1245) (0.349 COMP123/COMP161) (0.342 COMP943/COMP947/COMP952) (0.340 COMP302) (0.330 COMP499/COMP513/COMP57/COMP624) (0.329 COMP544) (0.328 COMP479) (0.322 COMP141/COMP264/COMP547) (0.319 COMP1235/COMP6) (0.312 COMP1232) (0.308 COMP729) (0.302 COMP1180) (0.291 COMP887) (0.290 COMP389/COMP390) (0.289 COMP1196) (0.288 COMP697) (0.286 COMP133/COMP170) (0.284 COMP60) (0.275 COMP1241) (0.273 COMP118) (0.263 COMP1059/COMP616) (0.256 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.254 COMP165/COMP166/COMP173) (0.253 COMP1239/COMP1266) (0.252 COMP124) (0.244 COMP608) (0.236 COMP1193) (0.232 COMP300) (0.230 COMP1243/COMP31/COMP858) (0.228 COMP525) (0.223 COMP654) (0.215 COMP1234) (0.214 COMP114/COMP131/COMP9) (0.193 COMP1236) (0.139 COMP167) (0.125 COMP1271)
DNA damaging	0.876	COMP46	(0.824 COMP1262/COMP1270/COMP301/COMP56) (0.810 COMP510/COMP787) (0.805 COMP1274/COMP508) (0.758 COMP1238/COMP335) (0.750 COMP483) (0.731 COMP696) (0.727 COMP1258) (0.717 COMP1272/COMP310) (0.677 COMP362/COMP758) (0.649 COMP692/COMP785) (0.578 COMP1070) (0.544 COMP1255) (0.537 COMP931) (0.522 COMP1253) (0.518 COMP780) (0.500 COMP1257) (0.479 COMP48) (0.468 COMP63) (0.447 COMP1263) (0.445 COMP1269/COMP974) (0.441 COMP49) (0.437 COMP887) (0.436 COMP1250) (0.425 COMP1237) (0.421 COMP1256) (0.409 COMP512/COMP715/COMP721/COMP810/COMP882) (0.403 COMP389/COMP390) (0.397 COMP697) (0.372 COMP1234) (0.371 COMP544) (0.348 COMP1267) (0.339 COMP1241/COMP158/COMP172) (0.334 COMP16) (0.333 COMP244/COMP467) (0.325 COMP729) (0.323 COMP1235) (0.319 COMP1244) (0.318 COMP1059) (0.312 COMP1264) (0.307 COMP774/COMP891) (0.302 COMP144/COMP19) (0.296 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.290 COMP616) (0.286 COMP1236) (0.273 COMP1252) (0.267 COMP31/COMP858) (0.260 COMP1268) (0.248 COMP1181/COMP153) (0.242 COMP60) (0.239 COMP118) (0.233 COMP1259/COMP1260/COMP1273) (0.232 COMP525) (0.230 COMP495) (0.229 COMP9) (0.227 COMP123/COMP161) (0.212 COMP175) (0.207 COMP1116/COMP1261) (0.194 COMP6) (0.190 COMP1251) (0.187 COMP155) (0.178 COMP1245/COMP150/COMP151/COMP163) (0.174 COMP165/COMP166/COMP173)
Embryotoxic	0.806	COMP774/COMP891	(0.804 COMP685) (0.797 COMP46) (0.786 COMP696) (0.768 COMP1262/COMP1270/COMP301/COMP56) (0.761 COMP1272/COMP310) (0.754 COMP1258) (0.751 COMP510/COMP787) (0.743 COMP1267) (0.737 COMP1238/COMP335) (0.733 COMP1274/COMP508) (0.731 COMP1116/COMP1261) (0.712 COMP499/COMP513/COMP57/COMP624) (0.711 COMP1119) (0.698 COMP692/COMP785) (0.695 COMP476) (0.689 COMP302) (0.681 COMP1240/COMP1247/COMP295) (0.675 COMP1059/COMP1252) (0.673 COMP119/COMP157/COMP160/COMP162/COMP169) (0.671 COMP16) (0.668 COMP1254) (0.666 COMP548) (0.662 COMP1269/COMP974) (0.659 COMP31/COMP858) (0.650 COMP141/COMP264/COMP483/COMP547) (0.636 COMP22) (0.633 COMP11/COMP8) (0.631 COMP512/COMP715/COMP721/COMP810/COMP882) (0.620 COMP43) (0.612 COMP758) (0.579 COMP1249) (0.573 COMP1259/COMP1260/COMP1273) (0.555 COMP362) (0.518 COMP1070) (0.513 COMP175/COMP697) (0.508 COMP1245) (0.505 COMP1248) (0.504 COMP1253) (0.502 COMP389/COMP390) (0.474 COMP1263) (0.473 COMP1256) (0.472 COMP1067/COMP1068/COMP1242/COMP1246/COMP988) (0.471 COMP60/COMP608) (0.470 COMP244/COMP467) (0.461 COMP48) (0.458 COMP479) (0.457 COMP1180) (0.451 COMP1257) (0.440 COMP729) (0.438 COMP49) (0.434 COMP1275) (0.433 COMP1235) (0.418 COMP1193) (0.416 COMP1237) (0.399 COMP1250) (0.397 COMP123/COMP161) (0.396 COMP931) (0.377 COMP1255/COMP887) (0.371 COMP63) (0.347 COMP654) (0.343 COMP6) (0.338 COMP126/COMP780) (0.318 COMP143/COMP149) (0.307 COMP155) (0.303 COMP1196) (0.299 COMP300) (0.297 COMP544) (0.296 COMP495) (0.295 COMP1234) (0.290 COMP158/COMP172) (0.285 COMP118) (0.282 COMP1236) (0.273 COMP1243) (0.268 COMP144/COMP19) (0.257 COMP133/COMP170) (0.249 COMP9) (0.245 COMP1181/COMP153/COMP616) (0.240 COMP1244) (0.238 COMP1241) (0.234 COMP150/COMP151/COMP163) (0.232 COMP124/COMP943/COMP947/COMP952) (0.229 COMP1264) (0.203 COMP1239/COMP1266) (0.202 COMP1265) (0.185 COMP165/COMP166/COMP173) (0.180 COMP1268) (0.170 COMP114/COMP131) (0.165 COMP525)
