Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.189	COMP1346	
AR expression inhibitor	0.436	COMP1347	(0.423 COMP1346)
CTGF expression inhibitor	0.237	COMP1347	(0.216 COMP1346)
ICAM1 expression inhibitor	0.473	COMP1347	(0.448 COMP1346)
LDLR expression enhancer	0.184	COMP1346	(0.170 COMP1347)
NOS2 expression inhibitor	0.917	COMP1347	(0.859 COMP1346)
NOS3 expression inhibitor	0.676	COMP1346	(0.603 COMP1347)
TNF expression inhibitor	0.784	COMP1346	(0.748 COMP1347)
VCAM1 expression inhibitor	0.184	COMP1347	(0.168 COMP1346)
VEGF expression inhibitor	0.257	COMP1346	(0.244 COMP1347)
