Name	Activation_Prob	Compound	Another_Probs
Actinic keratosis treatment	0.161	COMP1346	(0.149 COMP1347)
Acute respiratory distress syndrome (ARDS) treatment	0.142	COMP1347	
Anabolic	0.221	COMP1347	(0.209 COMP1346)
Analeptic	0.851	COMP1346	(0.794 COMP1347)
Andropause treatment	0.071	COMP1347	(0.064 COMP1346)
Anesthetic	0.694	COMP1346	(0.683 COMP1347)
Anesthetic general	0.881	COMP1347	(0.798 COMP1346)
Anesthetic inhalation	0.074	COMP1347	(0.068 COMP1346)
Angiogenesis stimulant	0.308	COMP1346	(0.305 COMP1347)
Antiacne	0.313	COMP1347	(0.284 COMP1346)
Antialcoholic	0.264	COMP1347	(0.165 COMP1346)
Antiarrhythmic	0.287	COMP1347	(0.207 COMP1346)
Antibacterial	0.418	COMP1346	(0.357 COMP1347)
Antibiotic	0.077	COMP1347	(0.065 COMP1346)
Anticataract	0.101	COMP1347	
Anticholelithogenic	0.207	COMP1347	(0.191 COMP1346)
Antidiarrheal	0.656	COMP1347	(0.552 COMP1346)
Antifungal	0.430	COMP1346	(0.405 COMP1347)
Antifungal (Cryptococcus)	0.154	COMP1347	
Antifungal enhancer	0.202	COMP1346	(0.183 COMP1347)
Antihelmintic	0.490	COMP1347	(0.393 COMP1346)
Antihemorrhagic	0.143	COMP1347	(0.124 COMP1346)
Antihypercholesterolemic	0.628	COMP1347	(0.500 COMP1346)
Antihyperlipoproteinemic	0.321	COMP1347	(0.182 COMP1346)
Antihypertensive	0.505	COMP1347	(0.462 COMP1346)
Antihypertriglyceridemic	0.213	COMP1347	(0.161 COMP1346)
Antihypoxic	0.409	COMP1346	(0.383 COMP1347)
Antiinfertility. female	0.160	COMP1347	(0.105 COMP1346)
Antiinflammatory	0.711	COMP1346	(0.663 COMP1347)
Antileukemic	0.733	COMP1346	(0.715 COMP1347)
Antimitotic	0.306	COMP1346	
Antimycoplasmal	0.058	COMP1347	
Antineoplastic (bone cancer)	0.152	COMP1346	
Antineoplastic (brain cancer)	0.719	COMP1347	(0.686 COMP1346)
Antineoplastic (breast cancer)	0.905	COMP1346	(0.877 COMP1347)
