Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.398	COMP1347	(0.375 COMP1346)
Carcinogenic	0.842	COMP1347	(0.811 COMP1346)
Carcinogenic. group 3	0.117	COMP1346	(0.114 COMP1347)
Cardiodepressant	0.491	COMP1347	(0.364 COMP1346)
Cytotoxic	0.706	COMP1346	(0.667 COMP1347)
DNA damaging	0.687	COMP1347	(0.566 COMP1346)
Embryotoxic	0.863	COMP1347	(0.847 COMP1346)
Eye irritation. high	0.123	COMP1346	
Genotoxic	0.135	COMP1347	(0.122 COMP1346)
Hypoglycemic	0.194	COMP1347	
Mutagenic	0.427	COMP1347	(0.374 COMP1346)
Pneumotoxic	0.151	COMP1347	
Sensitization	0.563	COMP1347	(0.524 COMP1346)
Teratogen	0.881	COMP1347	(0.870 COMP1346)
Toxic. respiratory center	0.250	COMP1347	(0.193 COMP1346)
Ulceration	0.213	COMP1347	
