Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.176	COMP950	(0.134 COMP113/COMP132/COMP142) (0.095 COMP112/COMP954) (0.077 COMP124) (0.071 COMP109/COMP136/COMP145) (0.064 COMP126) (0.057 COMP153) (0.056 COMP548) (0.044 COMP69) (0.038 COMP114/COMP131) (0.036 COMP942/COMP943/COMP947/COMP949/COMP952) (0.035 COMP144/COMP19) (0.033 COMP948) (0.031 COMP939) (0.027 COMP9)
5 Hydroxytryptamine 2A agonist	0.067	COMP643/COMP944	(0.055 COMP941)
5 Hydroxytryptamine 2B agonist	0.049	COMP9	(0.041 COMP643/COMP944)
5 Hydroxytryptamine 3 agonist	0.075	COMP643/COMP944	(0.069 COMP941) (0.060 COMP9)
5 Hydroxytryptamine 3A agonist	0.143	COMP9	(0.111 COMP941) (0.105 COMP948) (0.103 COMP110) (0.101 COMP114/COMP131)
ATPase inhibitor	0.353	COMP463/COMP774/COMP891	(0.292 COMP9) (0.291 COMP144/COMP19) (0.287 COMP943/COMP947/COMP949/COMP952) (0.280 COMP941) (0.275 COMP123/COMP161/COMP643/COMP944) (0.252 COMP389/COMP390/COMP40/COMP41) (0.242 COMP960) (0.239 COMP141/COMP264/COMP547) (0.226 COMP27) (0.224 COMP955) (0.215 COMP542) (0.214 COMP16/COMP18/COMP953/COMP956/COMP957) (0.209 COMP615) (0.200 COMP57) (0.199 COMP153) (0.192 COMP633) (0.183 COMP945) (0.181 COMP150/COMP151/COMP163) (0.176 COMP948) (0.174 COMP112/COMP954) (0.168 COMP11/COMP8) (0.166 COMP110) (0.164 COMP946) (0.163 COMP114/COMP131)
Acetylcholine M1 receptor agonist	0.140	COMP945	(0.085 COMP259) (0.078 COMP643/COMP944) (0.051 COMP113/COMP132/COMP142) (0.046 COMP615)
Acetylcholine M1 receptor antagonist	0.239	COMP948	(0.210 COMP643/COMP944) (0.194 COMP141/COMP264/COMP547) (0.166 COMP615) (0.157 COMP16/COMP18/COMP946) (0.156 COMP945) (0.145 COMP955) (0.142 COMP548) (0.141 COMP144/COMP19) (0.132 COMP113/COMP132/COMP142) (0.130 COMP633) (0.129 COMP259) (0.127 COMP40/COMP41) (0.118 COMP9) (0.116 COMP941)
Acetylcholine M2 receptor agonist	0.053	COMP615	(0.051 COMP955) (0.050 COMP643/COMP944)
Acetylcholine M2 receptor antagonist	0.095	COMP948	(0.071 COMP259) (0.059 COMP643/COMP944) (0.055 COMP945)
Acetylcholine M3 receptor agonist	0.136	COMP945	(0.118 COMP615) (0.081 COMP141/COMP264/COMP547) (0.076 COMP112/COMP954) (0.073 COMP114/COMP131)
Acetylcholine M3 receptor antagonist	0.090	COMP948	(0.063 COMP259)
Acetylcholinesterase inhibitor	0.310	COMP940	(0.296 COMP960) (0.257 COMP943/COMP947/COMP949/COMP952) (0.233 COMP938) (0.181 COMP153) (0.172 COMP124) (0.171 COMP110) (0.168 COMP114/COMP131) (0.149 COMP126) (0.138 COMP57) (0.123 COMP939/COMP941) (0.117 COMP948) (0.108 COMP953/COMP956/COMP957) (0.104 COMP946)
Aconitate hydratase inhibitor	0.524	COMP542	(0.478 COMP16/COMP18) (0.403 COMP40/COMP41) (0.346 COMP27) (0.192 COMP615) (0.189 COMP389/COMP390) (0.139 COMP948) (0.111 COMP144/COMP19/COMP941) (0.102 COMP643/COMP944) (0.098 COMP57) (0.091 COMP11/COMP8) (0.089 COMP946) (0.088 COMP633) (0.086 COMP9) (0.069 COMP955) (0.066 COMP123/COMP161/COMP943/COMP947/COMP949/COMP952) (0.065 COMP141/COMP264/COMP547) (0.060 COMP110) (0.058 COMP945) (0.053 COMP114/COMP131) (0.052 COMP30) (0.051 COMP124) (0.050 COMP259/COMP463/COMP774/COMP891) (0.048 COMP109/COMP126/COMP136/COMP145) (0.046 COMP113/COMP132/COMP142)
Acyl-CoA dehydrogenase inhibitor	0.269	COMP40/COMP41	(0.260 COMP27) (0.258 COMP16/COMP18) (0.251 COMP615) (0.243 COMP643/COMP944) (0.240 COMP948) (0.199 COMP542) (0.198 COMP57) (0.156 COMP941) (0.142 COMP946) (0.113 COMP11/COMP8) (0.104 COMP955) (0.100 COMP389/COMP390) (0.094 COMP113/COMP132/COMP142) (0.092 COMP9) (0.087 COMP945) (0.086 COMP126/COMP259) (0.081 COMP124) (0.070 COMP633) (0.053 COMP110) (0.050 COMP112/COMP954) (0.048 COMP114/COMP131) (0.047 COMP943/COMP947/COMP949/COMP952)
Adenosine A2a receptor antagonist	0.116	COMP259	
Adenosine deaminase inhibitor	0.092	COMP16/COMP18/COMP615	(0.087 COMP40/COMP41) (0.084 COMP643/COMP944) (0.082 COMP27) (0.081 COMP57) (0.065 COMP948) (0.060 COMP542) (0.043 COMP259)
Adenylate cyclase inhibitor	0.248	COMP389/COMP390	(0.209 COMP542) (0.208 COMP112/COMP954) (0.201 COMP16/COMP18) (0.194 COMP110) (0.166 COMP109/COMP136/COMP145) (0.157 COMP463/COMP774/COMP891) (0.156 COMP615) (0.150 COMP945) (0.147 COMP40/COMP41) (0.146 COMP643/COMP944) (0.137 COMP941) (0.136 COMP9) (0.126 COMP27) (0.100 COMP948) (0.093 COMP633)
Adenylate kinase inhibitor	0.464	COMP40/COMP41	(0.450 COMP27) (0.440 COMP16/COMP18) (0.362 COMP57) (0.351 COMP643/COMP944/COMP948) (0.337 COMP542) (0.317 COMP615) (0.223 COMP946) (0.194 COMP389/COMP390) (0.181 COMP941) (0.176 COMP11/COMP8) (0.160 COMP945) (0.153 COMP955) (0.151 COMP259) (0.148 COMP9) (0.137 COMP633) (0.108 COMP110) (0.106 COMP113/COMP132/COMP142) (0.103 COMP109/COMP112/COMP136/COMP145/COMP954) (0.102 COMP943/COMP947/COMP949/COMP952) (0.101 COMP30) (0.097 COMP114/COMP124/COMP131/COMP141/COMP264/COMP547) (0.096 COMP126/COMP962) (0.093 COMP144/COMP19) (0.092 COMP123/COMP161)
Alcohol dehydrogenase inhibitor	0.408	COMP16/COMP18	(0.270 COMP40/COMP41) (0.229 COMP27) (0.227 COMP542) (0.212 COMP57) (0.195 COMP389/COMP390) (0.188 COMP948) (0.182 COMP615) (0.160 COMP960) (0.104 COMP643/COMP944) (0.098 COMP463/COMP774/COMP891) (0.094 COMP941) (0.089 COMP9) (0.085 COMP259)
Aldosterone antagonist	0.286	COMP69	(0.130 COMP109/COMP136/COMP145) (0.107 COMP548) (0.088 COMP945) (0.076 COMP946) (0.075 COMP114/COMP131) (0.074 COMP942/COMP958) (0.069 COMP141/COMP264/COMP547) (0.068 COMP110) (0.067 COMP937/COMP939) (0.065 COMP113/COMP132/COMP142) (0.058 COMP153) (0.056 COMP124) (0.055 COMP112/COMP9/COMP954) (0.054 COMP943/COMP947/COMP949/COMP952) (0.053 COMP542) (0.052 COMP938) (0.051 COMP948) (0.049 COMP16/COMP18) (0.047 COMP950) (0.044 COMP123/COMP161/COMP955) (0.043 COMP643/COMP944)
Alkaline phosphatase inhibitor	0.408	COMP960	(0.179 COMP389/COMP390) (0.141 COMP9) (0.119 COMP259) (0.111 COMP941)
Alpha 2a adrenoreceptor agonist	0.020	COMP941	(0.016 COMP9)
Alpha 2b adrenoreceptor agonist	0.051	COMP141/COMP264/COMP547	(0.024 COMP9) (0.023 COMP643/COMP944) (0.019 COMP941)
Alpha-mannosidase inhibitor	0.142	COMP16/COMP18	(0.131 COMP57) (0.101 COMP542) (0.092 COMP40/COMP41) (0.084 COMP27/COMP615) (0.078 COMP948) (0.068 COMP643/COMP944) (0.064 COMP945) (0.056 COMP123/COMP161/COMP259/COMP389/COMP390) (0.054 COMP941) (0.053 COMP110/COMP114/COMP131/COMP144/COMP19) (0.052 COMP9) (0.049 COMP112/COMP954) (0.048 COMP109/COMP136/COMP145)
Aminopeptidase A inhibitor	0.059	COMP542	(0.041 COMP16/COMP18) (0.028 COMP40/COMP41) (0.025 COMP27)
Aminopeptidase N inhibitor	0.133	COMP542	(0.048 COMP16/COMP18)
Aminopeptidase P inhibitor	0.026	COMP542	
