Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.538	COMP57	(0.435 COMP30) (0.341 COMP69) (0.324 COMP389/COMP390) (0.294 COMP259) (0.252 COMP542) (0.232 COMP950) (0.182 COMP548) (0.174 COMP9) (0.169 COMP126) (0.168 COMP112/COMP954) (0.163 COMP16/COMP18) (0.146 COMP114/COMP131) (0.144 COMP124) (0.139 COMP144/COMP19/COMP633) (0.133 COMP109/COMP136/COMP145) (0.123 COMP113/COMP132/COMP142) (0.119 COMP40/COMP41) (0.117 COMP615) (0.111 COMP939) (0.109 COMP942) (0.105 COMP960) (0.104 COMP11/COMP8) (0.103 COMP27) (0.098 COMP153) (0.090 COMP141/COMP264/COMP547) (0.086 COMP463/COMP774/COMP891) (0.084 COMP941)
AR expression inhibitor	0.991	COMP57	(0.894 COMP463/COMP774/COMP891) (0.806 COMP30) (0.730 COMP946) (0.659 COMP389/COMP390) (0.658 COMP11/COMP8) (0.653 COMP955) (0.626 COMP633) (0.614 COMP548) (0.596 COMP112/COMP954) (0.580 COMP643/COMP944/COMP963) (0.577 COMP150/COMP151/COMP163) (0.559 COMP69) (0.558 COMP960) (0.556 COMP40/COMP41) (0.536 COMP109/COMP136/COMP145) (0.524 COMP27) (0.504 COMP16/COMP18) (0.500 COMP941) (0.471 COMP141/COMP264/COMP547) (0.457 COMP950) (0.445 COMP110/COMP123/COMP161) (0.438 COMP542) (0.437 COMP939) (0.434 COMP942) (0.371 COMP937) (0.357 COMP959) (0.343 COMP124/COMP940) (0.338 COMP153) (0.334 COMP948) (0.327 COMP958) (0.325 COMP259) (0.320 COMP113/COMP132/COMP142) (0.315 COMP615) (0.314 COMP938) (0.300 COMP943/COMP947/COMP949/COMP952) (0.296 COMP126) (0.286 COMP953/COMP956/COMP957) (0.261 COMP144/COMP19) (0.255 COMP114/COMP131) (0.240 COMP945) (0.222 COMP9) (0.217 COMP951)
CTGF expression inhibitor	0.821	COMP389/COMP390	(0.777 COMP40/COMP41) (0.766 COMP16/COMP18) (0.742 COMP27) (0.713 COMP941) (0.709 COMP960) (0.704 COMP57) (0.607 COMP542) (0.585 COMP948) (0.563 COMP123/COMP161) (0.551 COMP144/COMP19/COMP463/COMP774/COMP891) (0.512 COMP615) (0.506 COMP259) (0.457 COMP643/COMP944) (0.436 COMP9) (0.386 COMP943/COMP947/COMP949/COMP952) (0.372 COMP945) (0.353 COMP109/COMP114/COMP131/COMP136/COMP145) (0.330 COMP30) (0.322 COMP110) (0.283 COMP946) (0.278 COMP112/COMP954) (0.276 COMP950) (0.274 COMP69) (0.267 COMP11/COMP8/COMP953/COMP956/COMP957) (0.265 COMP633) (0.264 COMP141/COMP264/COMP547) (0.262 COMP958) (0.231 COMP126) (0.228 COMP153) (0.223 COMP113/COMP132/COMP142/COMP955) (0.202 COMP124) (0.197 COMP938)
GRP78 expression inhibitor	0.034	COMP542/COMP943/COMP947/COMP949/COMP952	(0.033 COMP16/COMP18/COMP945) (0.030 COMP109/COMP136/COMP145) (0.026 COMP958) (0.025 COMP114/COMP131/COMP144/COMP19) (0.023 COMP112/COMP40/COMP41/COMP950/COMP954) (0.022 COMP9) (0.021 COMP110/COMP27) (0.020 COMP948)
ICAM1 expression inhibitor	0.577	COMP963	(0.561 COMP939) (0.559 COMP953/COMP956/COMP957) (0.528 COMP959) (0.511 COMP27) (0.507 COMP937) (0.502 COMP112/COMP954) (0.498 COMP153) (0.487 COMP938/COMP940) (0.480 COMP389/COMP390) (0.479 COMP942) (0.477 COMP40/COMP41) (0.471 COMP633) (0.470 COMP463/COMP774/COMP891) (0.451 COMP960) (0.449 COMP123/COMP161/COMP941) (0.436 COMP16/COMP18) (0.432 COMP615) (0.429 COMP950) (0.426 COMP958) (0.423 COMP548) (0.406 COMP542) (0.405 COMP150/COMP151/COMP163) (0.388 COMP955) (0.386 COMP114/COMP131) (0.383 COMP943/COMP947/COMP949/COMP952) (0.381 COMP144/COMP19) (0.371 COMP109/COMP136/COMP145) (0.360 COMP126/COMP9) (0.353 COMP141/COMP264/COMP547) (0.337 COMP124) (0.325 COMP30) (0.311 COMP113/COMP132/COMP142) (0.298 COMP259) (0.281 COMP946) (0.260 COMP643/COMP944) (0.255 COMP69) (0.246 COMP11/COMP8) (0.238 COMP951) (0.224 COMP945)
LDLR expression enhancer	0.294	COMP946	(0.282 COMP960) (0.271 COMP30) (0.266 COMP389/COMP390) (0.238 COMP950) (0.237 COMP955) (0.226 COMP27) (0.225 COMP941) (0.223 COMP9) (0.220 COMP112/COMP954) (0.214 COMP11/COMP8) (0.211 COMP126/COMP643/COMP944) (0.210 COMP40/COMP41) (0.208 COMP153) (0.206 COMP548) (0.196 COMP942/COMP948) (0.193 COMP939) (0.189 COMP124) (0.187 COMP123/COMP161) (0.178 COMP16/COMP18/COMP633) (0.174 COMP963) (0.168 COMP542) (0.160 COMP953/COMP956/COMP957) (0.158 COMP109/COMP136/COMP145) (0.151 COMP615) (0.147 COMP113/COMP132/COMP142) (0.145 COMP150/COMP151/COMP163) (0.141 COMP144/COMP19) (0.139 COMP259) (0.138 COMP937) (0.137 COMP463/COMP774/COMP891) (0.136 COMP943/COMP947/COMP949/COMP952)
NOS2 expression inhibitor	0.908	COMP938	(0.857 COMP940) (0.717 COMP960) (0.709 COMP959) (0.681 COMP548) (0.668 COMP953/COMP956/COMP957) (0.667 COMP958) (0.665 COMP939) (0.650 COMP955) (0.643 COMP937) (0.604 COMP141/COMP264/COMP547) (0.599 COMP69) (0.585 COMP389/COMP390) (0.584 COMP946) (0.578 COMP153) (0.542 COMP27/COMP942) (0.537 COMP30) (0.533 COMP941) (0.530 COMP633) (0.515 COMP40/COMP41) (0.509 COMP123/COMP161) (0.502 COMP963) (0.488 COMP11/COMP8) (0.466 COMP463/COMP774/COMP891) (0.459 COMP643/COMP944) (0.452 COMP950) (0.445 COMP16/COMP18) (0.433 COMP542) (0.419 COMP150/COMP151/COMP163) (0.410 COMP112/COMP954) (0.397 COMP615) (0.392 COMP948) (0.376 COMP144/COMP19) (0.372 COMP124) (0.371 COMP126) (0.358 COMP109/COMP136/COMP145/COMP9) (0.351 COMP113/COMP132/COMP142) (0.337 COMP945) (0.301 COMP943/COMP947/COMP949/COMP952) (0.290 COMP57) (0.277 COMP110) (0.271 COMP114/COMP131) (0.269 COMP259) (0.230 COMP951)
NOS3 expression enhancer	0.767	COMP463/COMP774/COMP891	(0.673 COMP389/COMP390) (0.421 COMP941) (0.237 COMP960) (0.227 COMP69) (0.206 COMP643/COMP944) (0.171 COMP11/COMP8) (0.170 COMP40/COMP41) (0.141 COMP27) (0.140 COMP633) (0.129 COMP9) (0.128 COMP943/COMP947/COMP949/COMP952) (0.119 COMP542)
NOS3 expression inhibitor	0.842	COMP27	(0.764 COMP40/COMP41) (0.664 COMP16/COMP18) (0.564 COMP463/COMP774/COMP891) (0.556 COMP11/COMP8) (0.549 COMP69) (0.545 COMP542) (0.538 COMP963) (0.534 COMP943/COMP947/COMP949/COMP952) (0.525 COMP643/COMP944) (0.523 COMP112/COMP954) (0.506 COMP389/COMP390) (0.462 COMP615) (0.446 COMP960) (0.437 COMP109/COMP136/COMP145) (0.426 COMP123/COMP161) (0.405 COMP948) (0.390 COMP126) (0.389 COMP950) (0.363 COMP633/COMP958) (0.346 COMP959) (0.344 COMP9) (0.342 COMP548) (0.336 COMP938) (0.334 COMP937) (0.320 COMP941) (0.315 COMP110) (0.314 COMP114/COMP131) (0.309 COMP57) (0.303 COMP942/COMP946) (0.294 COMP955) (0.275 COMP939) (0.274 COMP945) (0.270 COMP144/COMP19) (0.269 COMP940) (0.255 COMP150/COMP151/COMP163) (0.254 COMP962) (0.248 COMP259) (0.244 COMP961) (0.226 COMP113/COMP132/COMP142) (0.224 COMP953/COMP956/COMP957) (0.217 COMP30) (0.202 COMP124) (0.200 COMP141/COMP264/COMP547) (0.181 COMP951)
TNF expression inhibitor	0.883	COMP946	(0.881 COMP27) (0.870 COMP11/COMP8) (0.858 COMP955) (0.857 COMP40/COMP41) (0.855 COMP963) (0.841 COMP30) (0.805 COMP633) (0.801 COMP389/COMP390) (0.763 COMP16/COMP18) (0.737 COMP542) (0.733 COMP948) (0.666 COMP615) (0.661 COMP643/COMP944/COMP960) (0.656 COMP941) (0.636 COMP463/COMP774/COMP891) (0.634 COMP153) (0.629 COMP112/COMP954) (0.618 COMP548) (0.613 COMP950) (0.587 COMP123/COMP161) (0.535 COMP126) (0.527 COMP109/COMP136/COMP145) (0.512 COMP953/COMP956/COMP957) (0.507 COMP943/COMP947/COMP949/COMP952) (0.496 COMP942) (0.493 COMP141/COMP264/COMP547) (0.490 COMP69) (0.487 COMP939) (0.484 COMP150/COMP151/COMP163) (0.475 COMP144/COMP19) (0.469 COMP9) (0.463 COMP945) (0.456 COMP124) (0.448 COMP57) (0.426 COMP113/COMP132/COMP142) (0.424 COMP959) (0.416 COMP951) (0.398 COMP259) (0.342 COMP114/COMP131) (0.338 COMP110) (0.332 COMP938) (0.303 COMP937) (0.292 COMP958) (0.256 COMP962) (0.224 COMP940/COMP961)
VCAM1 expression inhibitor	0.548	COMP953/COMP956/COMP957	(0.547 COMP27) (0.530 COMP463/COMP774/COMP891) (0.514 COMP40/COMP41) (0.503 COMP389/COMP390) (0.438 COMP960) (0.423 COMP16/COMP18) (0.403 COMP633) (0.398 COMP643/COMP944) (0.375 COMP941) (0.374 COMP955) (0.373 COMP615) (0.358 COMP542) (0.356 COMP123/COMP161) (0.336 COMP939) (0.333 COMP946) (0.323 COMP11/COMP8) (0.314 COMP959) (0.294 COMP141/COMP264/COMP547) (0.291 COMP126) (0.287 COMP945) (0.282 COMP150/COMP151/COMP163) (0.275 COMP153) (0.269 COMP940) (0.264 COMP9/COMP948) (0.261 COMP144/COMP19) (0.260 COMP938) (0.256 COMP259) (0.254 COMP943/COMP947/COMP949/COMP952) (0.251 COMP112/COMP124/COMP954) (0.242 COMP113/COMP132/COMP142) (0.241 COMP937) (0.238 COMP110) (0.236 COMP548) (0.233 COMP57) (0.224 COMP942) (0.216 COMP950) (0.209 COMP69) (0.205 COMP114/COMP131) (0.200 COMP30) (0.191 COMP951) (0.190 COMP109/COMP136/COMP145) (0.168 COMP958) (0.163 COMP963)
VEGF expression inhibitor	0.279	COMP9	(0.260 COMP960) (0.243 COMP948) (0.236 COMP943/COMP947/COMP949/COMP952) (0.234 COMP615) (0.231 COMP389/COMP390) (0.225 COMP112/COMP16/COMP18/COMP954) (0.218 COMP110) (0.214 COMP542) (0.212 COMP941) (0.199 COMP109/COMP136/COMP145/COMP57) (0.195 COMP40/COMP41) (0.185 COMP259) (0.184 COMP945) (0.183 COMP27) (0.181 COMP643/COMP944) (0.168 COMP123/COMP161) (0.165 COMP946) (0.159 COMP30) (0.158 COMP69/COMP955) (0.156 COMP144/COMP19/COMP463/COMP774/COMP891)
VEGFR2 expression inhibitor	0.115	COMP9	
