Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.928	COMP57	(0.880 COMP110) (0.672 COMP946) (0.654 COMP948) (0.580 COMP141/COMP264/COMP547) (0.521 COMP30) (0.421 COMP40/COMP41) (0.405 COMP548) (0.401 COMP69) (0.400 COMP27) (0.391 COMP643/COMP944) (0.387 COMP955) (0.378 COMP633) (0.352 COMP16/COMP18) (0.325 COMP11/COMP8) (0.306 COMP389/COMP390) (0.285 COMP615) (0.277 COMP144/COMP19) (0.263 COMP542) (0.243 COMP259) (0.197 COMP109/COMP136/COMP145) (0.193 COMP941) (0.186 COMP123/COMP161/COMP963) (0.152 COMP150/COMP151/COMP163) (0.144 COMP950) (0.141 COMP112/COMP954) (0.140 COMP126) (0.137 COMP463/COMP774/COMP891) (0.130 COMP114/COMP131) (0.127 COMP153) (0.124 COMP124) (0.116 COMP959) (0.113 COMP953/COMP956/COMP957)
Aldehyde dehydrogenase substrate	0.934	COMP57	(0.729 COMP110) (0.351 COMP141/COMP264/COMP547) (0.311 COMP40/COMP41) (0.304 COMP30) (0.301 COMP27) (0.294 COMP16/COMP18) (0.263 COMP643/COMP944) (0.260 COMP548) (0.250 COMP615) (0.234 COMP69) (0.219 COMP389/COMP390) (0.214 COMP542) (0.211 COMP144/COMP19) (0.202 COMP633) (0.198 COMP948) (0.195 COMP259) (0.174 COMP941) (0.146 COMP11/COMP8) (0.132 COMP150/COMP151/COMP163) (0.123 COMP955) (0.118 COMP463/COMP774/COMP891) (0.116 COMP123/COMP161) (0.112 COMP946)
Aldehyde oxidase substrate	0.332	COMP57	(0.255 COMP16/COMP18) (0.239 COMP9) (0.229 COMP542) (0.219 COMP389/COMP390) (0.204 COMP941) (0.186 COMP40/COMP41) (0.173 COMP615/COMP643/COMP944) (0.166 COMP27) (0.158 COMP948) (0.149 COMP945) (0.142 COMP123/COMP161) (0.136 COMP955) (0.135 COMP633)
Aldose reductase substrate	0.992	COMP57	(0.429 COMP542) (0.267 COMP463/COMP774/COMP891) (0.248 COMP16/COMP18) (0.237 COMP945) (0.224 COMP633) (0.194 COMP40/COMP41) (0.190 COMP389/COMP390) (0.179 COMP27) (0.128 COMP951)
Arylamine N-Acetyltransferase substrate	0.418	COMP27	(0.381 COMP40/COMP41) (0.318 COMP16/COMP18) (0.202 COMP643/COMP944) (0.185 COMP389/COMP390) (0.179 COMP542) (0.129 COMP941) (0.098 COMP615) (0.094 COMP9) (0.077 COMP948)
CYP1A2 inhibitor	0.573	COMP960	(0.417 COMP941) (0.362 COMP389/COMP390) (0.341 COMP30) (0.305 COMP259) (0.266 COMP946) (0.247 COMP948) (0.233 COMP643/COMP944) (0.178 COMP27) (0.173 COMP9)
CYP1A2 substrate	0.929	COMP960	(0.655 COMP30) (0.639 COMP941) (0.600 COMP27) (0.569 COMP389/COMP390) (0.532 COMP40/COMP41) (0.446 COMP643/COMP944) (0.430 COMP948) (0.428 COMP16/COMP18) (0.389 COMP9) (0.348 COMP943/COMP947/COMP949/COMP952) (0.342 COMP57) (0.297 COMP542) (0.288 COMP123/COMP161) (0.264 COMP463/COMP774/COMP891) (0.261 COMP946) (0.258 COMP69) (0.252 COMP259) (0.240 COMP11/COMP615/COMP8) (0.235 COMP141/COMP264/COMP547) (0.223 COMP945) (0.221 COMP109/COMP136/COMP145) (0.217 COMP112/COMP144/COMP19/COMP954) (0.201 COMP955)
CYP24 inhibitor	0.285	COMP126	(0.132 COMP548) (0.104 COMP950) (0.080 COMP939) (0.074 COMP942) (0.068 COMP124) (0.053 COMP153) (0.049 COMP113/COMP132/COMP142) (0.036 COMP953/COMP956/COMP957) (0.035 COMP941) (0.029 COMP959) (0.027 COMP150/COMP151/COMP163) (0.026 COMP938) (0.025 COMP141/COMP264/COMP547) (0.024 COMP9) (0.023 COMP123/COMP161/COMP937)
CYP2A6 inhibitor	0.385	COMP69	(0.252 COMP141/COMP264/COMP547) (0.247 COMP946) (0.245 COMP259) (0.164 COMP9) (0.159 COMP941/COMP955) (0.155 COMP643/COMP944) (0.154 COMP943/COMP947/COMP949/COMP952) (0.140 COMP948) (0.117 COMP960) (0.091 COMP57) (0.074 COMP11/COMP8) (0.073 COMP16/COMP18) (0.068 COMP548) (0.066 COMP40/COMP41/COMP945)
CYP2B6 inhibitor	0.430	COMP27	(0.423 COMP259) (0.419 COMP946) (0.391 COMP40/COMP41) (0.386 COMP548) (0.380 COMP643/COMP944) (0.353 COMP30) (0.349 COMP141/COMP264/COMP547) (0.338 COMP955) (0.330 COMP16/COMP18) (0.321 COMP948) (0.315 COMP389/COMP390) (0.311 COMP960) (0.280 COMP941) (0.279 COMP11/COMP8) (0.274 COMP126) (0.273 COMP615) (0.272 COMP950) (0.261 COMP123/COMP161) (0.260 COMP9) (0.250 COMP57) (0.249 COMP542) (0.246 COMP633) (0.244 COMP124) (0.239 COMP144/COMP19) (0.226 COMP113/COMP132/COMP142) (0.219 COMP943/COMP947/COMP949/COMP952) (0.197 COMP153) (0.184 COMP942) (0.180 COMP69) (0.172 COMP109/COMP136/COMP145) (0.161 COMP114/COMP131) (0.148 COMP110) (0.147 COMP945)
CYP2C19 inhibitor	0.556	COMP69	(0.546 COMP946) (0.521 COMP11/COMP8) (0.509 COMP259) (0.494 COMP955) (0.488 COMP112/COMP954) (0.486 COMP960) (0.461 COMP389/COMP390) (0.433 COMP948) (0.414 COMP27) (0.413 COMP643/COMP944) (0.411 COMP109/COMP136/COMP145) (0.388 COMP30) (0.386 COMP548) (0.384 COMP40/COMP41) (0.368 COMP153) (0.357 COMP941) (0.328 COMP9/COMP940) (0.326 COMP939) (0.314 COMP141/COMP264/COMP547) (0.308 COMP16/COMP18) (0.255 COMP938/COMP963) (0.253 COMP615) (0.231 COMP958) (0.223 COMP126) (0.220 COMP953/COMP956/COMP957) (0.218 COMP114/COMP123/COMP131/COMP161) (0.217 COMP942)
CYP2C19 substrate	0.806	COMP141/COMP264/COMP547	(0.737 COMP69) (0.733 COMP548) (0.704 COMP946) (0.696 COMP30) (0.678 COMP27) (0.637 COMP955) (0.632 COMP40/COMP41) (0.574 COMP123/COMP161) (0.570 COMP144/COMP19) (0.560 COMP633) (0.559 COMP948) (0.547 COMP16/COMP18) (0.534 COMP643/COMP944) (0.528 COMP389/COMP390) (0.503 COMP950) (0.494 COMP153) (0.485 COMP126) (0.475 COMP57) (0.474 COMP11/COMP8) (0.458 COMP542) (0.440 COMP9) (0.428 COMP960) (0.424 COMP124) (0.402 COMP112/COMP615/COMP954) (0.386 COMP943/COMP947/COMP949/COMP952) (0.370 COMP953/COMP956/COMP957) (0.340 COMP463/COMP774/COMP891) (0.288 COMP941) (0.286 COMP110) (0.263 COMP113/COMP132/COMP142) (0.255 COMP114/COMP131/COMP259) (0.249 COMP939) (0.241 COMP109/COMP136/COMP145/COMP959) (0.207 COMP963) (0.205 COMP942) (0.184 COMP945)
CYP2C9 inhibitor	0.448	COMP946	(0.396 COMP960) (0.350 COMP389/COMP390) (0.341 COMP948) (0.339 COMP955) (0.326 COMP30) (0.315 COMP27) (0.308 COMP259) (0.286 COMP9) (0.279 COMP40/COMP41) (0.239 COMP643/COMP944) (0.233 COMP463/COMP774/COMP891) (0.232 COMP941) (0.221 COMP16/COMP18)
