Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.637	COMP9	(0.629 COMP615) (0.488 COMP948) (0.472 COMP40/COMP41) (0.462 COMP16/COMP18) (0.458 COMP941) (0.420 COMP27) (0.412 COMP123/COMP161) (0.409 COMP144/COMP19) (0.399 COMP114/COMP131) (0.374 COMP943/COMP947/COMP949/COMP952) (0.369 COMP141/COMP264/COMP547) (0.367 COMP643/COMP944) (0.353 COMP57) (0.336 COMP945) (0.318 COMP542) (0.312 COMP389/COMP390) (0.296 COMP953/COMP956/COMP957) (0.287 COMP958) (0.236 COMP110) (0.231 COMP30) (0.229 COMP109/COMP136/COMP145) (0.228 COMP633) (0.214 COMP153) (0.202 COMP259/COMP946) (0.199 COMP113/COMP132/COMP142) (0.192 COMP955) (0.178 COMP960) (0.177 COMP463/COMP774/COMP891) (0.166 COMP112/COMP124/COMP954) (0.154 COMP951) (0.151 COMP126) (0.135 COMP942) (0.127 COMP938) (0.110 COMP937) (0.109 COMP11/COMP8)
Acetylcholine release stimulant	0.295	COMP615	(0.184 COMP948) (0.153 COMP941) (0.149 COMP16/COMP18) (0.146 COMP643/COMP944) (0.145 COMP9) (0.144 COMP259) (0.131 COMP57) (0.125 COMP114/COMP131) (0.124 COMP40/COMP41) (0.118 COMP946) (0.116 COMP943/COMP947/COMP949/COMP952/COMP955) (0.112 COMP113/COMP132/COMP142/COMP27) (0.103 COMP109/COMP136/COMP145) (0.101 COMP633) (0.100 COMP124/COMP389/COMP390) (0.099 COMP542) (0.097 COMP126)
Actinic keratosis treatment	0.328	COMP548	(0.293 COMP30) (0.284 COMP141/COMP264/COMP547) (0.283 COMP950) (0.281 COMP69) (0.261 COMP615) (0.251 COMP144/COMP19) (0.249 COMP16/COMP18) (0.240 COMP40/COMP41) (0.231 COMP114/COMP131) (0.229 COMP124) (0.225 COMP389/COMP390) (0.221 COMP27) (0.218 COMP112/COMP9/COMP954) (0.216 COMP126) (0.199 COMP542) (0.180 COMP942) (0.178 COMP153) (0.177 COMP633/COMP948) (0.176 COMP943/COMP947/COMP949/COMP952) (0.174 COMP113/COMP132/COMP142) (0.172 COMP123/COMP161) (0.165 COMP941) (0.156 COMP939) (0.155 COMP109/COMP136/COMP145) (0.144 COMP945) (0.142 COMP463/COMP774/COMP891) (0.130 COMP959) (0.123 COMP643/COMP944) (0.112 COMP955) (0.111 COMP953/COMP956/COMP957) (0.106 COMP150/COMP151/COMP163/COMP961/COMP963) (0.105 COMP110) (0.104 COMP960) (0.102 COMP57) (0.100 COMP946) (0.097 COMP938) (0.096 COMP11/COMP8) (0.095 COMP259) (0.093 COMP937) (0.089 COMP958)
Acute neurologic disorders treatment	0.430	COMP955	(0.396 COMP16/COMP18) (0.377 COMP40/COMP41) (0.346 COMP542) (0.339 COMP27) (0.318 COMP946) (0.298 COMP57) (0.297 COMP633) (0.290 COMP124) (0.262 COMP114/COMP131) (0.254 COMP11/COMP8) (0.224 COMP615) (0.220 COMP943/COMP947/COMP949/COMP952) (0.193 COMP112/COMP954) (0.174 COMP109/COMP136/COMP145)
Acute respiratory distress syndrome (ARDS) treatment	0.402	COMP11/COMP8	(0.321 COMP961) (0.303 COMP27) (0.243 COMP40/COMP41) (0.234 COMP948) (0.233 COMP463/COMP774/COMP891) (0.222 COMP962) (0.209 COMP16/COMP18) (0.188 COMP542) (0.169 COMP389/COMP390) (0.166 COMP9) (0.165 COMP942) (0.158 COMP548) (0.151 COMP615) (0.145 COMP633) (0.135 COMP946)
Age-related macular degeneration treatment	0.291	COMP30	(0.263 COMP9) (0.239 COMP16/COMP18) (0.214 COMP542) (0.205 COMP962) (0.190 COMP389/COMP390) (0.185 COMP40/COMP41) (0.163 COMP27)
Allergic rhinitis treatment	0.330	COMP16/COMP18	(0.281 COMP542) (0.265 COMP40/COMP41) (0.161 COMP27) (0.119 COMP615)
Alzheimer's disease treatment	0.555	COMP946	(0.552 COMP126) (0.535 COMP943/COMP947/COMP949/COMP952) (0.388 COMP463/COMP774/COMP891) (0.351 COMP30) (0.326 COMP153) (0.308 COMP141/COMP264/COMP547) (0.287 COMP144/COMP19) (0.284 COMP955) (0.273 COMP389/COMP390) (0.236 COMP948)
Amyotrophic lateral sclerosis treatment	0.406	COMP946	(0.322 COMP109/COMP136/COMP145) (0.307 COMP948) (0.252 COMP955) (0.243 COMP633) (0.205 COMP615/COMP643/COMP944) (0.197 COMP112/COMP954) (0.194 COMP141/COMP264/COMP547) (0.190 COMP27/COMP9) (0.189 COMP16/COMP18) (0.179 COMP11/COMP8) (0.175 COMP40/COMP41) (0.174 COMP389/COMP390)
Anabolic	0.220	COMP69	(0.217 COMP112/COMP950/COMP954) (0.205 COMP548) (0.198 COMP109/COMP136/COMP145) (0.197 COMP963) (0.194 COMP940) (0.192 COMP27) (0.190 COMP11/COMP126/COMP8) (0.189 COMP948) (0.187 COMP40/COMP41) (0.186 COMP124/COMP643/COMP944) (0.184 COMP942) (0.183 COMP153) (0.182 COMP16/COMP18) (0.181 COMP946) (0.180 COMP939) (0.178 COMP938) (0.174 COMP113/COMP132/COMP142) (0.173 COMP259) (0.172 COMP123/COMP161/COMP943/COMP947/COMP949/COMP952) (0.171 COMP144/COMP19) (0.170 COMP110) (0.169 COMP958) (0.168 COMP953/COMP956/COMP957/COMP959) (0.165 COMP615) (0.163 COMP141/COMP264/COMP547) (0.156 COMP114/COMP131/COMP937) (0.155 COMP463/COMP542/COMP774/COMP891) (0.154 COMP57) (0.153 COMP945) (0.151 COMP150/COMP151/COMP163) (0.149 COMP955/COMP960) (0.147 COMP30) (0.146 COMP633) (0.145 COMP389/COMP390) (0.138 COMP9) (0.137 COMP941)
