Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake stimulant	0.607	COMP16/COMP18	(0.566 COMP69) (0.534 COMP40/COMP41) (0.507 COMP141/COMP264/COMP27/COMP547) (0.502 COMP643/COMP944) (0.486 COMP548) (0.472 COMP948) (0.453 COMP615) (0.451 COMP542) (0.439 COMP57) (0.413 COMP389/COMP390) (0.383 COMP941) (0.382 COMP9) (0.369 COMP126) (0.354 COMP114/COMP131) (0.351 COMP943/COMP947/COMP949/COMP952) (0.345 COMP109/COMP136/COMP145) (0.343 COMP110/COMP960) (0.341 COMP259) (0.319 COMP113/COMP132/COMP142) (0.316 COMP958) (0.309 COMP953/COMP956/COMP957) (0.307 COMP144/COMP19) (0.299 COMP950) (0.295 COMP112/COMP954) (0.291 COMP124) (0.290 COMP942) (0.277 COMP945) (0.275 COMP938) (0.274 COMP939) (0.272 COMP11/COMP8) (0.265 COMP940) (0.261 COMP153) (0.259 COMP123/COMP161) (0.253 COMP937) (0.249 COMP946) (0.218 COMP959) (0.217 COMP463/COMP774/COMP891) (0.202 COMP955) (0.196 COMP30) (0.191 COMP150/COMP151/COMP163)
Adenosine uptake inhibitor	0.095	COMP141/COMP264/COMP547	(0.079 COMP948) (0.048 COMP643/COMP944) (0.041 COMP548) (0.040 COMP9) (0.037 COMP16/COMP18/COMP57/COMP615) (0.036 COMP946) (0.035 COMP144/COMP19/COMP941) (0.034 COMP69)
Antiviral (CMV)	0.291	COMP259	(0.245 COMP109/COMP136/COMP145) (0.215 COMP112/COMP954) (0.143 COMP40/COMP41) (0.131 COMP16/COMP18) (0.128 COMP69) (0.127 COMP615) (0.122 COMP141/COMP264/COMP547) (0.119 COMP110/COMP27) (0.116 COMP113/COMP132/COMP142) (0.106 COMP124)
Apical sodium codependent bile acid transporter inhibitor	0.035	COMP16/COMP18	(0.029 COMP948) (0.024 COMP40/COMP41) (0.022 COMP615) (0.021 COMP27/COMP57) (0.018 COMP259)
Dopamine transporter inhibitor	0.056	COMP113/COMP132/COMP142	
Dopamine uptake inhibitor	0.068	COMP941	(0.056 COMP9) (0.055 COMP643/COMP944)
Electron transport complex I inhibitor	0.586	COMP946	(0.571 COMP948) (0.324 COMP643/COMP944) (0.291 COMP11/COMP8) (0.255 COMP955) (0.237 COMP259) (0.212 COMP40/COMP41) (0.187 COMP27) (0.169 COMP16/COMP18) (0.162 COMP57) (0.155 COMP633) (0.150 COMP960) (0.141 COMP615/COMP945) (0.122 COMP141/COMP264/COMP547/COMP9) (0.108 COMP69) (0.096 COMP110)
Endocannabinoid uptake inhibitor	0.225	COMP27	(0.217 COMP615) (0.202 COMP40/COMP41) (0.190 COMP259) (0.184 COMP643/COMP944) (0.148 COMP16/COMP18) (0.135 COMP389/COMP390) (0.123 COMP941) (0.116 COMP57) (0.113 COMP948) (0.074 COMP542) (0.070 COMP9/COMP955) (0.069 COMP633/COMP945) (0.067 COMP11/COMP8) (0.065 COMP946)
Excitatory amino acid transporter 1 inhibitor	0.039	COMP962	(0.026 COMP16/COMP18) (0.024 COMP542) (0.018 COMP40/COMP41/COMP943/COMP947/COMP949/COMP952) (0.016 COMP27)
Excitatory amino acid transporter 2 inhibitor	0.107	COMP962	(0.066 COMP16/COMP18) (0.059 COMP542) (0.038 COMP40/COMP41) (0.033 COMP27)
Excitatory amino acid transporter 3 inhibitor	0.040	COMP16/COMP18	(0.039 COMP542) (0.029 COMP40/COMP41) (0.026 COMP27/COMP9) (0.024 COMP57) (0.020 COMP144/COMP19/COMP615)
