Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.407	COMP12	(0.289 COMP1348) (0.199 COMP4) (0.143 COMP508) (0.115 COMP337)
Acetylcholine release stimulant	0.128	COMP12	(0.127 COMP1348)
Actinic keratosis treatment	0.212	COMP12	(0.139 COMP337) (0.115 COMP1182/COMP305) (0.111 COMP301/COMP56) (0.108 COMP508) (0.104 COMP1348) (0.082 COMP46)
Acute neurologic disorders treatment	0.450	COMP12	
Acute respiratory distress syndrome (ARDS) treatment	0.349	COMP46	(0.343 COMP508) (0.336 COMP337) (0.318 COMP1182/COMP305) (0.298 COMP301/COMP56) (0.191 COMP12)
Age-related macular degeneration treatment	0.228	COMP12	(0.225 COMP1348)
Allergic rhinitis treatment	0.413	COMP12	
Alzheimer's disease treatment	0.575	COMP46	(0.558 COMP508) (0.526 COMP301/COMP56) (0.499 COMP1182/COMP305) (0.456 COMP337)
Anabolic	0.181	COMP12	(0.150 COMP1348) (0.096 COMP4/COMP508)
Analeptic	0.545	COMP1182/COMP305	(0.531 COMP301/COMP56) (0.505 COMP12) (0.493 COMP4) (0.473 COMP337) (0.472 COMP508) (0.407 COMP46) (0.394 COMP1348)
Analgesic. opioid	0.098	COMP12	
Anesthetic	0.294	COMP12	(0.271 COMP4) (0.192 COMP1348)
Anesthetic general	0.644	COMP4	(0.509 COMP12) (0.203 COMP1182/COMP1348/COMP305) (0.195 COMP508) (0.178 COMP337) (0.172 COMP301/COMP56) (0.145 COMP46)
Anesthetic inhalation	0.185	COMP12	(0.066 COMP1348) (0.060 COMP4)
Anesthetic local	0.229	COMP4	(0.205 COMP12) (0.126 COMP1348)
Angiogenesis inhibitor	0.429	COMP4	(0.350 COMP337) (0.277 COMP46) (0.227 COMP301/COMP56) (0.222 COMP508) (0.212 COMP1348) (0.205 COMP1182/COMP305)
Angiogenesis stimulant	0.777	COMP337	(0.773 COMP1182/COMP305) (0.764 COMP301/COMP56) (0.763 COMP46) (0.692 COMP508) (0.374 COMP12) (0.324 COMP1348)
Antiacne	0.291	COMP12	(0.165 COMP1348) (0.164 COMP508) (0.153 COMP46) (0.140 COMP337) (0.127 COMP1182/COMP305) (0.117 COMP301/COMP56)
Antialcoholic	0.263	COMP12	(0.254 COMP301/COMP56) (0.251 COMP1182/COMP305) (0.244 COMP337) (0.170 COMP508)
Antiallergic	0.640	COMP12	(0.262 COMP4)
Antiamyloidogenic	0.753	COMP46	(0.701 COMP508) (0.670 COMP301/COMP56) (0.635 COMP337) (0.615 COMP1182/COMP305) (0.231 COMP1348) (0.170 COMP12) (0.156 COMP4)
Antianemic	0.287	COMP12	
Antianginal	0.191	COMP12	(0.125 COMP4)
Antianorexic	0.239	COMP12	
