Name	Activation_Prob	Compound	Another_Probs
ATPase inhibitor	0.188	COMP1350	(0.177 COMP1355)
Acetylcholinesterase inhibitor	0.416	COMP1351	(0.379 COMP1354) (0.371 COMP1352) (0.324 COMP1353) (0.176 COMP1350)
Adenosine A1 receptor agonist	0.024	COMP1350	
Alcohol dehydrogenase inhibitor	0.271	COMP1352	(0.243 COMP1351) (0.237 COMP1350) (0.234 COMP1354) (0.115 COMP1353)
Alkaline phosphatase inhibitor	0.297	COMP1352	(0.294 COMP1354) (0.261 COMP1351) (0.201 COMP1350) (0.134 COMP1353)
Alpha-mannosidase inhibitor	0.087	COMP1350	
Androgen agonist	0.060	COMP1355	
Androgen antagonist	0.125	COMP1355	(0.079 COMP1352)
Aryl hydrocarbon receptor agonist	0.737	COMP1352	(0.732 COMP1354) (0.694 COMP1351) (0.681 COMP1353) (0.239 COMP1350)
Butyrylcholinesterase inhibitor	0.201	COMP1351	(0.191 COMP1354) (0.179 COMP1352) (0.174 COMP1353)
CYP1A2 inhibitor	0.900	COMP1352	(0.893 COMP1354) (0.873 COMP1351) (0.849 COMP1353) (0.401 COMP1350)
CYP2C9 inhibitor	0.614	COMP1353	(0.593 COMP1352) (0.588 COMP1354) (0.545 COMP1351)
CYP2D6 inhibitor	0.310	COMP1353	
CYP3A4 inhibitor	0.609	COMP1353	(0.385 COMP1352) (0.382 COMP1354) (0.365 COMP1351)
Ca2+-transporting ATPase inhibitor	0.139	COMP1355	(0.137 COMP1351/COMP1352/COMP1354) (0.129 COMP1353)
Cyclooxygenase 1 inhibitor	0.158	COMP1352	(0.156 COMP1354) (0.148 COMP1351) (0.137 COMP1353)
Cyclooxygenase 2 inhibitor	0.116	COMP1354	(0.113 COMP1352) (0.107 COMP1351)
Cyclooxygenase inhibitor	0.156	COMP1354	(0.153 COMP1352) (0.144 COMP1351)
Cystathionine beta-synthase inhibitor	0.524	COMP1352	(0.477 COMP1354) (0.431 COMP1351) (0.285 COMP1350) (0.190 COMP1353)
DNA polymerase beta inhibitor	0.439	COMP1354	(0.427 COMP1352) (0.426 COMP1351) (0.339 COMP1353)
DOPA decarboxylase inhibitor	0.431	COMP1353	(0.393 COMP1352) (0.364 COMP1351) (0.357 COMP1354) (0.118 COMP1350)
Dopamine D2 agonist	0.048	COMP1352	(0.042 COMP1354)
Dopamine D2 antagonist	0.058	COMP1352	(0.056 COMP1354) (0.055 COMP1351)
Electron transport complex I inhibitor	0.155	COMP1349	(0.145 COMP1351) (0.132 COMP1354) (0.124 COMP1352) (0.100 COMP1350)
Endothelin A receptor antagonist	0.057	COMP1353	
Estrogen agonist	0.305	COMP1352	(0.221 COMP1354) (0.215 COMP1353) (0.213 COMP1351) (0.127 COMP1350)
GABA aminotransferase inhibitor	0.112	COMP1353	(0.110 COMP1352) (0.094 COMP1354) (0.084 COMP1351)
Glucose-6-phosphate isomerase inhibitor	0.085	COMP1350	
HMG CoA reductase inhibitor	0.035	COMP1349	(0.032 COMP1355)
Heat shock protein 70 antagonist	0.173	COMP1352	(0.168 COMP1350/COMP1354) (0.165 COMP1351) (0.150 COMP1353)
Hexokinase inhibitor	0.406	COMP1350	(0.203 COMP1352) (0.197 COMP1354) (0.190 COMP1351) (0.130 COMP1353)
MAO A inhibitor	0.659	COMP1352	(0.655 COMP1354) (0.583 COMP1351) (0.550 COMP1353) (0.160 COMP1350)
MAO inhibitor	0.617	COMP1354	(0.604 COMP1352) (0.555 COMP1353) (0.511 COMP1351) (0.097 COMP1350)
Na+ K+ transporting ATPase inhibitor	0.140	COMP1350	(0.136 COMP1349) (0.116 COMP1355) (0.096 COMP1352) (0.095 COMP1351) (0.091 COMP1354)
Peroxidase inhibitor	0.519	COMP1352	(0.447 COMP1351) (0.446 COMP1354) (0.224 COMP1353)
Phosphofructokinase-1 inhibitor	0.133	COMP1350	
Phospholipase A2 inhibitor	0.134	COMP1349	(0.122 COMP1354)
Phospholipase C inhibitor	0.207	COMP1352	(0.193 COMP1354) (0.191 COMP1353) (0.187 COMP1351) (0.157 COMP1350)
Prostaglandin F2 alpha agonist	0.024	COMP1355	
Pyruvate kinase inhibitor	0.603	COMP1352	(0.597 COMP1354) (0.573 COMP1351) (0.519 COMP1353) (0.268 COMP1350)
Retinoic acid alpha receptor agonist	0.045	COMP1349	(0.040 COMP1355)
Succinate dehydrogenase inhibitor	0.337	COMP1351	(0.296 COMP1352/COMP1354) (0.189 COMP1353/COMP1355)
Superoxide dismutase inhibitor	0.383	COMP1351	(0.363 COMP1352) (0.353 COMP1354) (0.167 COMP1355)
Topoisomerase I inhibitor	0.408	COMP1353	(0.392 COMP1350) (0.301 COMP1351) (0.285 COMP1352) (0.264 COMP1354)
Topoisomerase II alpha inhibitor	0.409	COMP1351	(0.406 COMP1353) (0.400 COMP1352) (0.367 COMP1354) (0.346 COMP1350)
Triose-phosphate isomerase inhibitor	0.129	COMP1350	
Tyrosine 3 hydroxylase inhibitor	0.308	COMP1352	(0.274 COMP1354) (0.249 COMP1351) (0.196 COMP1353)
UDP-glucose 4-epimerase inhibitor	0.272	COMP1350	
