Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.395	COMP1355	(0.112 COMP1353)
Actinic keratosis treatment	0.240	COMP1355	
Acute respiratory distress syndrome (ARDS) treatment	0.253	COMP1350	(0.246 COMP1355)
Alzheimer's disease treatment	0.294	COMP1350	(0.263 COMP1352) (0.258 COMP1351) (0.255 COMP1354)
Anabolic	0.138	COMP1349	(0.128 COMP1355) (0.096 COMP1351) (0.095 COMP1352) (0.090 COMP1354)
Analeptic	0.381	COMP1350	(0.258 COMP1352) (0.227 COMP1351/COMP1353) (0.208 COMP1354) (0.201 COMP1355)
Anesthetic general	0.164	COMP1350	
Angiogenesis inhibitor	0.287	COMP1350	(0.269 COMP1351) (0.215 COMP1352) (0.213 COMP1354)
Angiogenesis stimulant	0.728	COMP1350	(0.347 COMP1352) (0.343 COMP1351) (0.336 COMP1354) (0.188 COMP1349) (0.154 COMP1353)
Antiacne	0.533	COMP1355	(0.450 COMP1349)
Antialcoholic	0.291	COMP1352	(0.280 COMP1354) (0.259 COMP1351) (0.256 COMP1350) (0.152 COMP1353)
Antiallergic	0.281	COMP1350	
Antiamyloidogenic	0.554	COMP1350	(0.455 COMP1351) (0.452 COMP1352) (0.437 COMP1354) (0.287 COMP1353)
Antiarthritic	0.278	COMP1350	
Antibacterial	0.704	COMP1350	(0.551 COMP1349) (0.482 COMP1355) (0.428 COMP1352) (0.422 COMP1353) (0.412 COMP1351) (0.409 COMP1354)
Antibiotic	0.196	COMP1350	(0.142 COMP1349) (0.112 COMP1355) (0.065 COMP1352) (0.064 COMP1351)
Antibiotic Aminoglycoside-like	0.083	COMP1350	
Antibiotic Anthracycline-like	0.022	COMP1350	
Antibiotic Glycopeptide-like	0.169	COMP1350	
Antidiabetic	0.753	COMP1350	(0.245 COMP1354)
Antidiabetic (type 2)	0.350	COMP1350	
Antidiabetic symptomatic	0.382	COMP1350	(0.227 COMP1351/COMP1352) (0.218 COMP1354) (0.181 COMP1355)
Antidiarrheal	0.229	COMP1350	(0.142 COMP1352) (0.135 COMP1354) (0.130 COMP1351)
Antidote	0.195	COMP1350	(0.137 COMP1351/COMP1352) (0.131 COMP1354)
Antidote. heavy metal	0.058	COMP1351/COMP1352/COMP1354	
Antifungal	0.520	COMP1355	(0.478 COMP1350) (0.396 COMP1349) (0.306 COMP1353) (0.286 COMP1352) (0.276 COMP1354) (0.272 COMP1351)
Antifungal (Aspergillus)	0.103	COMP1354	(0.101 COMP1352)
Antifungal (Cryptococcus)	0.165	COMP1350	(0.135 COMP1355)
Antifungal (Pneumocystis)	0.172	COMP1354	(0.163 COMP1351) (0.160 COMP1352) (0.125 COMP1350)
Antifungal enhancer	0.379	COMP1350	(0.225 COMP1353) (0.224 COMP1352) (0.216 COMP1354) (0.201 COMP1351) (0.185 COMP1355) (0.178 COMP1349)
Antiglaucomic	0.388	COMP1355	(0.224 COMP1349)
Antihelmintic	0.453	COMP1350	(0.251 COMP1352) (0.238 COMP1354) (0.237 COMP1349) (0.229 COMP1351) (0.201 COMP1355) (0.171 COMP1353)
Antihelmintic (Nematodes)	0.144	COMP1350	(0.123 COMP1354)
Antihelmintic (Trematoda)	0.258	COMP1352	(0.249 COMP1351) (0.232 COMP1350/COMP1354)
Antihemorrhagic	0.562	COMP1350	(0.315 COMP1352) (0.308 COMP1351) (0.295 COMP1354) (0.200 COMP1353) (0.169 COMP1349)
Antihypercholesterolemic	0.935	COMP1350	(0.683 COMP1353) (0.675 COMP1352) (0.674 COMP1354) (0.659 COMP1351) (0.563 COMP1349) (0.274 COMP1355)
Antihyperlipoproteinemic	0.112	COMP1352	(0.110 COMP1354) (0.106 COMP1351)
Antihypertriglyceridemic	0.570	COMP1350	(0.504 COMP1352) (0.494 COMP1354) (0.487 COMP1351) (0.469 COMP1353) (0.346 COMP1349) (0.281 COMP1355)
Antihypotensive	0.621	COMP1350	(0.452 COMP1352) (0.440 COMP1351) (0.428 COMP1354) (0.318 COMP1353) (0.171 COMP1355) (0.166 COMP1349)
Antihypoxic	0.834	COMP1350	(0.417 COMP1354) (0.399 COMP1351/COMP1352) (0.370 COMP1353)
Antiinfertility. female	0.170	COMP1349	(0.099 COMP1351) (0.094 COMP1352) (0.093 COMP1355)
Antiinflammatory	0.797	COMP1350	(0.740 COMP1355) (0.557 COMP1351) (0.549 COMP1352) (0.531 COMP1354) (0.451 COMP1353) (0.440 COMP1349)
Antiischemic	0.360	COMP1350	
Antileukemic	0.692	COMP1351	(0.684 COMP1353) (0.682 COMP1350) (0.645 COMP1354) (0.640 COMP1352) (0.519 COMP1355) (0.346 COMP1349)
Antimitotic	0.540	COMP1351	(0.466 COMP1354) (0.463 COMP1352) (0.449 COMP1353) (0.317 COMP1350)
Antimutagenic	0.940	COMP1350	(0.805 COMP1352) (0.787 COMP1354) (0.785 COMP1351) (0.434 COMP1353) (0.291 COMP1355)
Antimycobacterial	0.321	COMP1350	(0.241 COMP1354) (0.233 COMP1352) (0.231 COMP1355) (0.221 COMP1351) (0.220 COMP1353)
Antimycoplasmal	0.121	COMP1350	(0.073 COMP1355) (0.056 COMP1354)
Antineoplastic (bladder cancer)	0.345	COMP1351	(0.328 COMP1352/COMP1354) (0.270 COMP1350)
Antineoplastic (bone cancer)	0.482	COMP1351	(0.451 COMP1352/COMP1354) (0.366 COMP1353) (0.351 COMP1350)
Antineoplastic (brain cancer)	0.646	COMP1353	(0.524 COMP1350) (0.507 COMP1351) (0.487 COMP1349) (0.472 COMP1352/COMP1354) (0.381 COMP1355)
Antineoplastic (breast cancer)	0.784	COMP1351	(0.749 COMP1352) (0.744 COMP1353) (0.735 COMP1354) (0.681 COMP1350) (0.524 COMP1349) (0.518 COMP1355)
Antineoplastic (carcinoma)	0.378	COMP1353	(0.361 COMP1351) (0.358 COMP1350) (0.286 COMP1354) (0.276 COMP1352)
Antineoplastic (cervical cancer)	0.708	COMP1351	(0.656 COMP1352) (0.649 COMP1354) (0.628 COMP1353) (0.604 COMP1350) (0.344 COMP1355)
Antineoplastic (colon cancer)	0.778	COMP1351	(0.727 COMP1353) (0.716 COMP1352) (0.714 COMP1354) (0.671 COMP1350) (0.333 COMP1355) (0.211 COMP1349)
Antineoplastic (colorectal cancer)	0.780	COMP1351	(0.728 COMP1353) (0.719 COMP1352) (0.717 COMP1354) (0.691 COMP1350) (0.346 COMP1355) (0.218 COMP1349)
Antineoplastic (endocrine cancer)	0.321	COMP1349	(0.247 COMP1350)
Antineoplastic (gastric cancer)	0.488	COMP1351	(0.405 COMP1350) (0.399 COMP1354) (0.395 COMP1352) (0.195 COMP1353)
Antineoplastic (glioblastoma multiforme)	0.631	COMP1353	(0.544 COMP1351) (0.506 COMP1352) (0.504 COMP1354) (0.470 COMP1350) (0.423 COMP1349) (0.331 COMP1355)
Antineoplastic (glioma)	0.742	COMP1353	(0.678 COMP1351) (0.630 COMP1354) (0.628 COMP1352) (0.552 COMP1350) (0.477 COMP1349) (0.426 COMP1355)
Antineoplastic (liver cancer)	0.434	COMP1350	(0.359 COMP1351) (0.328 COMP1352) (0.324 COMP1354) (0.308 COMP1353)
Antineoplastic (lung cancer)	0.748	COMP1351	(0.730 COMP1353) (0.700 COMP1354) (0.691 COMP1352) (0.662 COMP1350) (0.426 COMP1349) (0.413 COMP1355)
Antineoplastic (lymphocytic leukemia)	0.357	COMP1353	(0.294 COMP1351) (0.293 COMP1350) (0.253 COMP1352/COMP1354)
Antineoplastic (lymphoma)	0.495	COMP1350	(0.396 COMP1353) (0.285 COMP1351) (0.230 COMP1352) (0.224 COMP1354)
Antineoplastic (melanoma)	0.753	COMP1353	(0.711 COMP1351) (0.660 COMP1352) (0.655 COMP1354) (0.614 COMP1350) (0.348 COMP1355) (0.269 COMP1349)
Antineoplastic (multiple myeloma)	0.555	COMP1353	(0.398 COMP1349) (0.367 COMP1350) (0.365 COMP1351) (0.320 COMP1352) (0.317 COMP1354)
Antineoplastic (non-small cell lung cancer)	0.717	COMP1353	(0.707 COMP1351) (0.624 COMP1352) (0.623 COMP1354) (0.556 COMP1350) (0.203 COMP1355) (0.164 COMP1349)
Antineoplastic (osteosarcoma)	0.622	COMP1350	(0.615 COMP1351) (0.610 COMP1352) (0.606 COMP1354) (0.465 COMP1353) (0.236 COMP1355)
Antineoplastic (ovarian cancer)	0.583	COMP1351	(0.544 COMP1350) (0.522 COMP1352) (0.518 COMP1354) (0.492 COMP1353) (0.384 COMP1349) (0.306 COMP1355)
Antineoplastic (pancreatic cancer)	0.561	COMP1353	(0.519 COMP1350) (0.452 COMP1351) (0.440 COMP1355) (0.417 COMP1349) (0.412 COMP1354) (0.409 COMP1352)
Antineoplastic (renal cancer)	0.543	COMP1353	(0.453 COMP1351) (0.416 COMP1352) (0.414 COMP1354) (0.395 COMP1350) (0.318 COMP1349) (0.308 COMP1355)
Antineoplastic (sarcoma)	0.488	COMP1350	(0.389 COMP1351) (0.350 COMP1352) (0.345 COMP1354) (0.209 COMP1353)
Antineoplastic (small cell lung cancer)	0.319	COMP1350	(0.312 COMP1351) (0.308 COMP1352) (0.300 COMP1354) (0.274 COMP1353)
Antineoplastic (solid tumors)	0.381	COMP1350	
Antineoplastic (squamous cell carcinoma)	0.411	COMP1350	(0.396 COMP1351) (0.361 COMP1353) (0.336 COMP1354) (0.329 COMP1352) (0.184 COMP1349)
Antineoplastic (uterine cancer)	0.424	COMP1351	(0.419 COMP1352) (0.410 COMP1354) (0.274 COMP1353) (0.245 COMP1350)
Antineoplastic alkaloid	0.145	COMP1353	
Antineoplastic antibiotic	0.284	COMP1350	(0.270 COMP1349) (0.191 COMP1355) (0.161 COMP1351) (0.156 COMP1352) (0.149 COMP1353) (0.147 COMP1354)
Antineoplastic enhancer	0.312	COMP1351	(0.279 COMP1350) (0.275 COMP1352) (0.262 COMP1354) (0.257 COMP1349) (0.187 COMP1353)
Antineoplastic. alkylator	0.154	COMP1350	
Antiosteoporotic	0.565	COMP1352	(0.557 COMP1353) (0.520 COMP1354) (0.518 COMP1351) (0.415 COMP1349) (0.411 COMP1350)
Antioxidant	0.862	COMP1350	(0.772 COMP1351) (0.768 COMP1352) (0.741 COMP1354) (0.670 COMP1353) (0.525 COMP1355) (0.334 COMP1349)
Antiparasitic	0.541	COMP1350	(0.308 COMP1355) (0.276 COMP1349) (0.264 COMP1352) (0.251 COMP1354) (0.241 COMP1351) (0.207 COMP1353)
Antiparkinsonian	0.534	COMP1352	(0.533 COMP1351) (0.532 COMP1354) (0.352 COMP1350)
Antiparkinsonian. rigidity relieving	0.172	COMP1355	
Antiprotozoal	0.693	COMP1349	(0.616 COMP1355) (0.321 COMP1350) (0.259 COMP1353) (0.249 COMP1354) (0.237 COMP1351) (0.231 COMP1352)
Antiprotozoal (Coccidial)	0.387	COMP1351	(0.386 COMP1352) (0.374 COMP1354) (0.354 COMP1350) (0.215 COMP1353)
