Name	Activation_Prob	Compound	Another_Probs
12-Lipoxygenase inhibitor	0.873	COMP1352	(0.865 COMP1351) (0.860 COMP1354) (0.795 COMP1353) (0.289 COMP1350)
15-Lipoxygenase inhibitor	0.867	COMP1352	(0.855 COMP1354) (0.854 COMP1351) (0.774 COMP1353) (0.314 COMP1350)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.133	COMP1349	
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.068	COMP1352	(0.063 COMP1354) (0.057 COMP1351) (0.054 COMP1350)
3C-Like protease (SARS coronavirus) inhibitor	0.089	COMP1349	
3C-like protease (Human coronavirus) inhibitor	0.169	COMP1354	(0.167 COMP1351) (0.163 COMP1352) (0.149 COMP1353)
5 Hydroxytryptamine 1E antagonist	0.203	COMP1353	(0.198 COMP1352) (0.190 COMP1354) (0.189 COMP1351)
5 Hydroxytryptamine 3E antagonist	0.237	COMP1353	
5 Hydroxytryptamine release inhibitor	0.422	COMP1352	(0.408 COMP1351/COMP1354) (0.378 COMP1353) (0.342 COMP1350)
5 Hydroxytryptamine release stimulant	0.401	COMP1350	(0.318 COMP1353) (0.222 COMP1351) (0.203 COMP1352) (0.193 COMP1355) (0.186 COMP1354)
5 Hydroxytryptamine uptake stimulant	0.305	COMP1351	(0.280 COMP1352/COMP1354) (0.187 COMP1355)
5-Alpha-reductase inhibitor	0.075	COMP1355	
5-Lipoxygenase inhibitor	0.302	COMP1351	(0.298 COMP1354) (0.296 COMP1352) (0.134 COMP1353)
ABCA1 expression enhancer	0.146	COMP1355	(0.112 COMP1354) (0.111 COMP1352) (0.108 COMP1353) (0.106 COMP1351)
AMP-activated protein kinase stimulant	0.372	COMP1350	(0.143 COMP1352) (0.141 COMP1354) (0.137 COMP1351)
AR expression inhibitor	0.879	COMP1352	(0.876 COMP1351) (0.862 COMP1354) (0.764 COMP1350) (0.745 COMP1353) (0.669 COMP1349) (0.528 COMP1355)
ATP citrate lysase inhibitor	0.030	COMP1352	
ATPase (Vacuolar H+) inhibitor	0.124	COMP1355	(0.121 COMP1350)
ATPase inhibitor	0.188	COMP1350	(0.177 COMP1355)
Abortion inducer	0.515	COMP1349	(0.299 COMP1353) (0.292 COMP1355) (0.250 COMP1351) (0.249 COMP1352) (0.241 COMP1354)
Acaricide	0.395	COMP1355	(0.112 COMP1353)
Acetyl-CoA transferase 2 inhibitor	0.081	COMP1353	
Acetylcholinesterase inhibitor	0.416	COMP1351	(0.379 COMP1354) (0.371 COMP1352) (0.324 COMP1353) (0.176 COMP1350)
Actinic keratosis treatment	0.240	COMP1355	
