Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.515	COMP1349	(0.299 COMP1353) (0.292 COMP1355) (0.250 COMP1351) (0.249 COMP1352) (0.241 COMP1354)
Carcinogenic	0.788	COMP1350	(0.655 COMP1353) (0.576 COMP1352) (0.495 COMP1351) (0.492 COMP1354) (0.352 COMP1349) (0.346 COMP1355)
Carcinogenic. group 1	0.353	COMP1353	(0.277 COMP1350) (0.241 COMP1352) (0.221 COMP1354) (0.216 COMP1351)
Carcinogenic. group 2A	0.257	COMP1350	(0.227 COMP1353) (0.151 COMP1351) (0.140 COMP1354) (0.132 COMP1352)
Carcinogenic. group 2B	0.295	COMP1353	(0.271 COMP1354) (0.266 COMP1352) (0.223 COMP1351) (0.171 COMP1350)
Carcinogenic. group 3	0.702	COMP1353	(0.467 COMP1352) (0.400 COMP1354) (0.342 COMP1351) (0.201 COMP1355) (0.174 COMP1350)
Cardiodepressant	0.337	COMP1353	(0.291 COMP1351) (0.289 COMP1354) (0.278 COMP1352)
Cytotoxic	0.591	COMP1350	(0.354 COMP1355) (0.351 COMP1352) (0.339 COMP1351) (0.336 COMP1349) (0.312 COMP1354) (0.208 COMP1353)
DNA damaging	0.718	COMP1350	(0.480 COMP1351) (0.439 COMP1352) (0.429 COMP1354) (0.425 COMP1353)
Embryotoxic	0.619	COMP1350	(0.516 COMP1349) (0.273 COMP1355) (0.195 COMP1352) (0.182 COMP1351) (0.163 COMP1354)
Eye irritation. high	0.315	COMP1349	(0.251 COMP1355)
Genotoxic	0.787	COMP1350	(0.603 COMP1352) (0.534 COMP1354) (0.531 COMP1351) (0.396 COMP1353) (0.165 COMP1349)
Hypoglycemic	0.679	COMP1350	(0.384 COMP1354) (0.382 COMP1352) (0.358 COMP1351) (0.304 COMP1353) (0.239 COMP1349)
Mutagenic	0.835	COMP1350	(0.661 COMP1355) (0.570 COMP1352) (0.546 COMP1353) (0.503 COMP1354) (0.494 COMP1351) (0.114 COMP1349)
Pneumotoxic	0.475	COMP1352	(0.458 COMP1351) (0.415 COMP1354) (0.303 COMP1353) (0.238 COMP1355)
Sedative	0.197	COMP1350	
Sensitization	0.811	COMP1355	(0.490 COMP1349) (0.344 COMP1350) (0.280 COMP1353) (0.258 COMP1352) (0.212 COMP1354) (0.204 COMP1351)
Skin irritative effect	0.560	COMP1349	(0.504 COMP1355) (0.115 COMP1353) (0.086 COMP1352)
Teratogen	0.686	COMP1350	(0.381 COMP1349) (0.301 COMP1355) (0.219 COMP1352) (0.211 COMP1351) (0.185 COMP1354)
Toxic. respiratory center	0.172	COMP1355	
Ulceration	0.547	COMP1351	(0.543 COMP1354) (0.524 COMP1352) (0.493 COMP1350) (0.282 COMP1355) (0.239 COMP1353)
