Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.538	COMP511	(0.405 COMP1610/COMP436) (0.377 COMP287/COMP450) (0.362 COMP77) (0.361 COMP2095) (0.346 COMP697/COMP889) (0.240 COMP285) (0.183 COMP286) (0.182 COMP683) (0.171 COMP60) (0.163 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.162 COMP34/COMP36) (0.159 COMP2098) (0.126 COMP1431/COMP37/COMP39) (0.119 COMP40/COMP41/COMP843) (0.114 COMP38) (0.104 COMP2089) (0.103 COMP262/COMP27) (0.100 COMP2092) (0.099 COMP2099) (0.089 COMP20) (0.086 COMP774) (0.084 COMP283) (0.083 COMP1516) (0.082 COMP2084)
AR expression inhibitor	0.991	COMP511	(0.927 COMP34/COMP36) (0.906 COMP1516) (0.894 COMP774) (0.856 COMP37/COMP39) (0.790 COMP38) (0.775 COMP857) (0.764 COMP510) (0.659 COMP286) (0.652 COMP697/COMP889) (0.631 COMP683) (0.616 COMP283) (0.610 COMP2098) (0.596 COMP1431) (0.594 COMP2097) (0.582 COMP2085) (0.568 COMP908) (0.559 COMP507) (0.556 COMP40/COMP41/COMP843) (0.550 COMP2092) (0.542 COMP885) (0.540 COMP60) (0.535 COMP900) (0.533 COMP2091) (0.524 COMP262/COMP27) (0.522 COMP1610/COMP436) (0.516 COMP2090/COMP2095) (0.504 COMP121/COMP16/COMP18/COMP2089/COMP266/COMP53/COMP54) (0.499 COMP287/COMP450) (0.489 COMP2084/COMP2086) (0.485 COMP77) (0.484 COMP20) (0.462 COMP2099) (0.457 COMP285) (0.436 COMP289) (0.390 COMP2087) (0.387 COMP2093) (0.338 COMP2096) (0.319 COMP1104) (0.275 COMP2088)
CTGF expression inhibitor	0.868	COMP34/COMP36	(0.857 COMP1610/COMP436) (0.853 COMP2084) (0.830 COMP2097) (0.826 COMP37/COMP39) (0.824 COMP287/COMP450) (0.811 COMP77) (0.807 COMP697/COMP889) (0.803 COMP2085) (0.777 COMP40/COMP41/COMP843) (0.767 COMP285) (0.766 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.765 COMP2090) (0.759 COMP38) (0.750 COMP2089) (0.742 COMP262/COMP27) (0.730 COMP2087) (0.717 COMP2092) (0.704 COMP511/COMP60/COMP857) (0.703 COMP510) (0.684 COMP2095) (0.678 COMP20) (0.654 COMP2086) (0.652 COMP683) (0.573 COMP1516) (0.551 COMP774) (0.521 COMP2088) (0.390 COMP2096) (0.353 COMP283) (0.338 COMP2098/COMP289) (0.330 COMP900) (0.310 COMP286) (0.296 COMP2091/COMP908) (0.277 COMP2099) (0.250 COMP507) (0.236 COMP1084) (0.220 COMP1431)
GRP78 expression inhibitor	0.041	COMP507	(0.033 COMP121/COMP16/COMP18/COMP2092/COMP266/COMP53/COMP54/COMP683) (0.030 COMP2086/COMP2089/COMP60) (0.028 COMP2085/COMP2091/COMP857) (0.024 COMP2087/COMP2090/COMP2094) (0.023 COMP40/COMP41/COMP510/COMP843/COMP908) (0.021 COMP20/COMP262/COMP27/COMP697/COMP889) (0.020 COMP2084)
ICAM1 expression inhibitor	0.633	COMP34/COMP36	(0.595 COMP507) (0.584 COMP37/COMP39) (0.571 COMP510) (0.569 COMP857) (0.564 COMP1516) (0.542 COMP38) (0.514 COMP908) (0.511 COMP262/COMP27) (0.500 COMP20) (0.494 COMP2091) (0.490 COMP286) (0.477 COMP40/COMP41/COMP843) (0.476 COMP697/COMP889) (0.471 COMP283) (0.470 COMP774) (0.463 COMP60) (0.453 COMP2096/COMP2099) (0.448 COMP900) (0.446 COMP683) (0.445 COMP1610/COMP2090/COMP436) (0.436 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.427 COMP287/COMP450) (0.422 COMP2093) (0.421 COMP289) (0.413 COMP77) (0.405 COMP285) (0.402 COMP2095) (0.392 COMP1104) (0.384 COMP2092) (0.378 COMP2098) (0.372 COMP885) (0.366 COMP2097) (0.344 COMP2084/COMP2089) (0.337 COMP2088) (0.326 COMP2085) (0.306 COMP1431) (0.289 COMP2087) (0.251 COMP2086)
LDLR expression enhancer	0.467	COMP1610/COMP436	(0.378 COMP287/COMP450) (0.365 COMP77) (0.351 COMP2095) (0.300 COMP1516) (0.292 COMP2097) (0.272 COMP683) (0.262 COMP60) (0.259 COMP2088) (0.256 COMP285) (0.251 COMP34/COMP36) (0.250 COMP2084) (0.249 COMP697/COMP889) (0.247 COMP2092) (0.246 COMP2087) (0.242 COMP857) (0.235 COMP286) (0.231 COMP2085/COMP2086) (0.229 COMP2089) (0.226 COMP262/COMP27) (0.211 COMP20) (0.210 COMP40/COMP41/COMP843) (0.206 COMP37/COMP39) (0.189 COMP38) (0.188 COMP1431) (0.185 COMP2090) (0.178 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.166 COMP289) (0.155 COMP2096) (0.140 COMP2098) (0.137 COMP774)
NOS2 expression inhibitor	0.954	COMP510	(0.814 COMP286) (0.765 COMP1516) (0.757 COMP507) (0.742 COMP2097) (0.698 COMP2095) (0.696 COMP283) (0.661 COMP1610/COMP436) (0.653 COMP2084) (0.627 COMP2085) (0.626 COMP38) (0.613 COMP2090) (0.603 COMP77) (0.602 COMP857) (0.573 COMP287/COMP450) (0.565 COMP289) (0.561 COMP34/COMP36) (0.558 COMP697/COMP889) (0.557 COMP2089) (0.547 COMP37/COMP39) (0.542 COMP262/COMP27) (0.533 COMP2099) (0.528 COMP2092) (0.515 COMP285/COMP40/COMP41/COMP843) (0.510 COMP1431) (0.504 COMP908) (0.502 COMP20) (0.479 COMP2087) (0.474 COMP2098) (0.473 COMP2086) (0.466 COMP774) (0.457 COMP60) (0.448 COMP2091) (0.445 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.444 COMP2096) (0.425 COMP900) (0.411 COMP683) (0.403 COMP2088/COMP885) (0.334 COMP2094) (0.290 COMP511) (0.221 COMP2093)
NOS3 expression enhancer	0.767	COMP774	(0.721 COMP34/COMP36) (0.715 COMP510) (0.672 COMP697/COMP889) (0.647 COMP37/COMP39) (0.594 COMP1516) (0.577 COMP38) (0.540 COMP507) (0.461 COMP908) (0.435 COMP683) (0.402 COMP286) (0.390 COMP2091) (0.381 COMP60) (0.328 COMP2092) (0.324 COMP1610/COMP285/COMP436) (0.319 COMP857) (0.301 COMP287/COMP450) (0.281 COMP2095) (0.264 COMP2089) (0.263 COMP77) (0.257 COMP2090/COMP2097) (0.220 COMP2085) (0.172 COMP283) (0.170 COMP40/COMP41/COMP843) (0.168 COMP2098) (0.158 COMP2088) (0.153 COMP2084) (0.152 COMP885/COMP900) (0.141 COMP20/COMP262/COMP27) (0.138 COMP2086) (0.120 COMP1431)
NOS3 expression inhibitor	0.926	COMP1610/COMP436	(0.919 COMP287/COMP450) (0.910 COMP77) (0.894 COMP2095) (0.862 COMP285) (0.842 COMP262/COMP27) (0.829 COMP510) (0.823 COMP20) (0.770 COMP2099) (0.764 COMP40/COMP41/COMP843) (0.689 COMP507) (0.674 COMP2096) (0.664 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.627 COMP908) (0.591 COMP857) (0.584 COMP2091) (0.564 COMP774) (0.531 COMP2090) (0.526 COMP697/COMP889) (0.509 COMP885) (0.476 COMP2097) (0.467 COMP2092) (0.465 COMP1431) (0.453 COMP289) (0.451 COMP60) (0.439 COMP38) (0.433 COMP683) (0.429 COMP2089) (0.423 COMP2085) (0.418 COMP37/COMP39) (0.415 COMP2093) (0.408 COMP283) (0.389 COMP900) (0.376 COMP1516) (0.366 COMP34/COMP36) (0.363 COMP2084) (0.350 COMP286) (0.309 COMP511) (0.308 COMP2098) (0.303 COMP2088) (0.276 COMP2086) (0.275 COMP1104) (0.225 COMP2087)
TNF expression inhibitor	0.949	COMP34/COMP36	(0.943 COMP1516/COMP510) (0.932 COMP1610/COMP436) (0.914 COMP37/COMP39) (0.907 COMP2095) (0.899 COMP77) (0.892 COMP20) (0.881 COMP262/COMP27) (0.875 COMP287/COMP450) (0.873 COMP38) (0.861 COMP1431) (0.857 COMP40/COMP41/COMP843) (0.820 COMP2096) (0.786 COMP283) (0.780 COMP2097) (0.772 COMP697/COMP889) (0.763 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.755 COMP285) (0.753 COMP2084) (0.713 COMP2090) (0.683 COMP2085) (0.674 COMP900) (0.659 COMP857) (0.657 COMP2098) (0.636 COMP774) (0.629 COMP286) (0.624 COMP2089) (0.621 COMP507) (0.619 COMP60) (0.602 COMP2087) (0.594 COMP2091/COMP2092) (0.585 COMP908) (0.584 COMP1104/COMP683) (0.556 COMP2086) (0.530 COMP289) (0.524 COMP2088) (0.511 COMP885) (0.448 COMP511) (0.386 COMP2099) (0.349 COMP2093) (0.335 COMP2094) (0.303 COMP1084)
