Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.928	COMP511	(0.488 COMP20) (0.421 COMP40/COMP41/COMP843) (0.400 COMP262/COMP27) (0.353 COMP1610/COMP436) (0.352 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.338 COMP287/COMP450) (0.336 COMP2095) (0.332 COMP77) (0.312 COMP285) (0.310 COMP2096) (0.307 COMP697/COMP889) (0.248 COMP1431) (0.242 COMP1516) (0.177 COMP2098) (0.165 COMP283) (0.152 COMP60) (0.149 COMP38) (0.147 COMP37/COMP39) (0.143 COMP683) (0.137 COMP507/COMP774) (0.135 COMP2090) (0.132 COMP34/COMP36) (0.131 COMP2092) (0.128 COMP2093) (0.119 COMP2089) (0.113 COMP2085) (0.108 COMP885) (0.107 COMP510) (0.106 COMP2091/COMP908) (0.104 COMP857)
Aldehyde dehydrogenase substrate	0.934	COMP511	(0.336 COMP20) (0.311 COMP40/COMP41/COMP843) (0.301 COMP262/COMP27) (0.294 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.238 COMP2096) (0.217 COMP60) (0.211 COMP697/COMP889) (0.206 COMP683) (0.197 COMP1104) (0.148 COMP507) (0.141 COMP38) (0.139 COMP2094) (0.132 COMP37/COMP39) (0.131 COMP2092) (0.118 COMP774) (0.114 COMP2098) (0.113 COMP2089) (0.112 COMP2088) (0.110 COMP1431) (0.109 COMP2091/COMP908) (0.108 COMP34/COMP36) (0.106 COMP1516) (0.099 COMP510/COMP857)
Aldehyde oxidase substrate	0.531	COMP1084	(0.332 COMP511) (0.322 COMP60) (0.295 COMP683) (0.282 COMP2092) (0.265 COMP2086) (0.255 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.254 COMP2089) (0.232 COMP2090) (0.219 COMP2085) (0.191 COMP2088) (0.186 COMP40/COMP41/COMP843) (0.182 COMP2087) (0.180 COMP697/COMP889) (0.171 COMP857) (0.166 COMP20/COMP2094/COMP262/COMP27) (0.165 COMP1104/COMP2097) (0.146 COMP2084) (0.137 COMP2096)
Aldose reductase substrate	0.992	COMP511	(0.658 COMP507) (0.407 COMP510) (0.368 COMP908) (0.319 COMP2091) (0.302 COMP2089) (0.275 COMP2085) (0.267 COMP774) (0.259 COMP885) (0.248 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.240 COMP2092) (0.230 COMP2090) (0.217 COMP1104) (0.214 COMP2097) (0.209 COMP2086) (0.204 COMP697/COMP889) (0.194 COMP2084/COMP40/COMP41/COMP843) (0.187 COMP34/COMP36/COMP37/COMP38/COMP39) (0.179 COMP20/COMP262/COMP27) (0.165 COMP60) (0.164 COMP1610/COMP436) (0.160 COMP900) (0.152 COMP683) (0.133 COMP287/COMP450)
Arylamine N-Acetyltransferase substrate	0.418	COMP262/COMP27	(0.390 COMP20) (0.381 COMP40/COMP41/COMP843) (0.350 COMP60) (0.332 COMP683) (0.318 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.306 COMP2092) (0.303 COMP2086) (0.292 COMP2085) (0.268 COMP2089) (0.247 COMP1084) (0.219 COMP697/COMP889) (0.186 COMP2087) (0.178 COMP2084) (0.148 COMP2090) (0.135 COMP2097) (0.126 COMP2096) (0.110 COMP2094) (0.094 COMP857) (0.088 COMP2088)
CYP1A2 inhibitor	0.908	COMP283	(0.886 COMP289) (0.692 COMP2097) (0.662 COMP286) (0.539 COMP2099) (0.517 COMP2084) (0.497 COMP2085) (0.421 COMP510) (0.412 COMP2089) (0.404 COMP2087) (0.399 COMP2086) (0.381 COMP857) (0.365 COMP2092) (0.352 COMP697/COMP889) (0.277 COMP2090) (0.230 COMP2088) (0.217 COMP60) (0.205 COMP683) (0.187 COMP2094) (0.178 COMP262/COMP27)
CYP1A2 substrate	0.859	COMP2090	(0.761 COMP857) (0.657 COMP510) (0.600 COMP262/COMP27) (0.574 COMP697/COMP889) (0.565 COMP2089) (0.555 COMP2092) (0.554 COMP2097) (0.532 COMP40/COMP41/COMP843) (0.520 COMP2084) (0.514 COMP2085) (0.513 COMP20) (0.512 COMP286) (0.481 COMP283) (0.450 COMP885) (0.446 COMP289) (0.428 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.406 COMP2087) (0.405 COMP2086) (0.397 COMP683) (0.382 COMP1610/COMP436) (0.368 COMP2099) (0.359 COMP60) (0.342 COMP511) (0.338 COMP1084) (0.318 COMP287/COMP450) (0.290 COMP2094) (0.275 COMP2095/COMP2096) (0.272 COMP2088) (0.271 COMP507) (0.269 COMP77) (0.264 COMP774) (0.236 COMP285) (0.230 COMP34/COMP36) (0.205 COMP900) (0.201 COMP2091) (0.200 COMP37/COMP39) (0.193 COMP2098)
CYP24 inhibitor	0.066	COMP1610/COMP287/COMP436/COMP450	(0.060 COMP285/COMP77) (0.056 COMP2095) (0.023 COMP2087) (0.022 COMP2086) (0.021 COMP2092)
CYP2A6 inhibitor	0.644	COMP283	(0.604 COMP289) (0.412 COMP2099) (0.261 COMP2087) (0.218 COMP2086) (0.183 COMP286) (0.155 COMP2092) (0.153 COMP2084) (0.138 COMP2085) (0.134 COMP2089) (0.130 COMP857) (0.091 COMP511) (0.073 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.072 COMP1084/COMP2097) (0.066 COMP40/COMP41/COMP843)
CYP2B6 inhibitor	0.583	COMP289	(0.535 COMP283) (0.430 COMP262/COMP27) (0.391 COMP40/COMP41/COMP843) (0.375 COMP20) (0.347 COMP2092) (0.335 COMP2085) (0.333 COMP2099) (0.331 COMP2086) (0.330 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.320 COMP2089) (0.317 COMP697/COMP889) (0.289 COMP2097) (0.282 COMP2096) (0.280 COMP2084/COMP286) (0.273 COMP2087) (0.250 COMP511) (0.238 COMP60) (0.210 COMP683) (0.208 COMP2088) (0.202 COMP857) (0.201 COMP1516) (0.199 COMP1431) (0.198 COMP1610/COMP436) (0.193 COMP2090) (0.160 COMP287/COMP450) (0.158 COMP2095) (0.152 COMP77) (0.149 COMP2098)
