Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.628	COMP60	(0.567 COMP683) (0.476 COMP2096) (0.472 COMP40/COMP41/COMP843) (0.462 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.445 COMP2092) (0.436 COMP20) (0.430 COMP2086) (0.420 COMP262/COMP27) (0.406 COMP2087) (0.397 COMP2089) (0.357 COMP2088) (0.353 COMP2085/COMP511) (0.343 COMP2091/COMP908) (0.337 COMP2084) (0.296 COMP697/COMP889) (0.272 COMP857) (0.237 COMP2090) (0.191 COMP2097) (0.187 COMP507) (0.177 COMP774) (0.161 COMP2098) (0.117 COMP286)
Acetylcholine release stimulant	0.277	COMP2094	(0.201 COMP2096) (0.179 COMP2086) (0.167 COMP2088) (0.153 COMP2092) (0.149 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.141 COMP2089) (0.139 COMP2087) (0.131 COMP511) (0.127 COMP2085) (0.124 COMP40/COMP41/COMP843) (0.118 COMP2097) (0.112 COMP262/COMP27) (0.109 COMP60) (0.108 COMP507) (0.105 COMP697/COMP889) (0.098 COMP20/COMP683) (0.097 COMP286)
Actinic keratosis treatment	0.473	COMP1610/COMP436	(0.422 COMP287/COMP450) (0.383 COMP77) (0.357 COMP2095) (0.275 COMP285) (0.255 COMP683) (0.251 COMP2096) (0.249 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.242 COMP60) (0.240 COMP40/COMP41/COMP843) (0.233 COMP20) (0.229 COMP900) (0.224 COMP697/COMP889) (0.221 COMP262/COMP27) (0.211 COMP2091/COMP908) (0.202 COMP38) (0.200 COMP2090) (0.153 COMP37/COMP39) (0.150 COMP2092) (0.149 COMP2089) (0.142 COMP774) (0.141 COMP1104) (0.139 COMP2085) (0.129 COMP510) (0.124 COMP2088) (0.121 COMP2086) (0.117 COMP2084) (0.107 COMP507) (0.106 COMP2087) (0.103 COMP2098) (0.102 COMP511) (0.099 COMP857) (0.096 COMP34/COMP36) (0.094 COMP1431) (0.093 COMP1516) (0.091 COMP2097)
Acute neurologic disorders treatment	0.838	COMP34/COMP36	(0.696 COMP37/COMP39) (0.663 COMP1516) (0.535 COMP38) (0.396 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.377 COMP40/COMP41/COMP843) (0.339 COMP262/COMP27) (0.300 COMP20) (0.298 COMP511) (0.251 COMP60) (0.240 COMP2096) (0.235 COMP1104/COMP507) (0.232 COMP2090) (0.225 COMP683) (0.197 COMP1610/COMP436) (0.191 COMP2085/COMP2089) (0.174 COMP2092)
Acute respiratory distress syndrome (ARDS) treatment	0.524	COMP1431	(0.433 COMP507) (0.383 COMP20) (0.375 COMP1104) (0.330 COMP2091) (0.320 COMP908) (0.303 COMP262/COMP27) (0.300 COMP2096) (0.281 COMP510) (0.256 COMP2090) (0.243 COMP40/COMP41/COMP843) (0.233 COMP774) (0.209 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.184 COMP1610/COMP436) (0.180 COMP285) (0.172 COMP697/COMP889) (0.156 COMP287/COMP450) (0.152 COMP77) (0.127 COMP683)
Age-related macular degeneration treatment	0.239	COMP121/COMP16/COMP18/COMP266/COMP53/COMP54	(0.231 COMP2094) (0.228 COMP60) (0.211 COMP683) (0.207 COMP1610/COMP436) (0.193 COMP2088) (0.189 COMP287/COMP450) (0.185 COMP40/COMP41/COMP843) (0.178 COMP77) (0.167 COMP2095) (0.165 COMP697/COMP889) (0.163 COMP262/COMP27)
Allergic rhinitis treatment	0.338	COMP1084	(0.330 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.265 COMP40/COMP41/COMP843) (0.161 COMP262/COMP27) (0.104 COMP20)
Alzheimer's disease treatment	0.614	COMP1516	(0.600 COMP285) (0.561 COMP2095) (0.560 COMP34/COMP36) (0.551 COMP37/COMP39) (0.521 COMP510) (0.501 COMP38) (0.444 COMP286) (0.429 COMP857) (0.428 COMP77) (0.411 COMP1610/COMP436) (0.400 COMP885) (0.388 COMP774) (0.354 COMP908) (0.339 COMP2091) (0.313 COMP287/COMP450) (0.298 COMP507) (0.269 COMP2096)
Amyotrophic lateral sclerosis treatment	0.806	COMP1610/COMP436	(0.709 COMP287/COMP450) (0.701 COMP285) (0.685 COMP77) (0.635 COMP2095) (0.438 COMP1516) (0.430 COMP34/COMP36) (0.380 COMP37/COMP39) (0.352 COMP2096) (0.242 COMP38) (0.237 COMP20) (0.194 COMP2086) (0.190 COMP262/COMP27) (0.189 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.183 COMP2087) (0.175 COMP40/COMP41/COMP843)
Anabolic	0.230	COMP2095	(0.226 COMP1610/COMP436) (0.216 COMP287/COMP450) (0.213 COMP77) (0.212 COMP285) (0.195 COMP20) (0.192 COMP262/COMP27) (0.187 COMP40/COMP41/COMP843) (0.186 COMP2090) (0.182 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.180 COMP1431) (0.171 COMP2098) (0.164 COMP2092/COMP2096/COMP60) (0.163 COMP683) (0.158 COMP2085/COMP2089) (0.157 COMP2084) (0.155 COMP774) (0.154 COMP511/COMP697/COMP889) (0.153 COMP2086/COMP2087/COMP2093) (0.151 COMP857) (0.149 COMP1516) (0.143 COMP38) (0.133 COMP37/COMP39) (0.130 COMP900) (0.124 COMP2088/COMP2097) (0.121 COMP2091/COMP908) (0.114 COMP34/COMP36) (0.109 COMP507) (0.091 COMP1104) (0.088 COMP885) (0.087 COMP510)
