Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.613	COMP1610/COMP436	(0.590 COMP2095) (0.581 COMP77) (0.566 COMP285) (0.565 COMP287/COMP450) (0.544 COMP40/COMP41/COMP843) (0.530 COMP262/COMP27) (0.507 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.506 COMP20) (0.468 COMP1431) (0.461 COMP2096) (0.456 COMP34/COMP36) (0.449 COMP38) (0.429 COMP697/COMP889) (0.419 COMP60) (0.412 COMP1516) (0.411 COMP37/COMP39) (0.407 COMP683) (0.381 COMP2090) (0.377 COMP2088) (0.374 COMP2092) (0.369 COMP2098) (0.358 COMP511) (0.355 COMP2086) (0.347 COMP2089) (0.337 COMP2085) (0.329 COMP1084) (0.322 COMP2087) (0.298 COMP2084) (0.295 COMP774) (0.293 COMP2094) (0.278 COMP2097) (0.263 COMP283) (0.260 COMP857) (0.201 COMP286) (0.192 COMP507) (0.185 COMP2091/COMP908) (0.177 COMP2093) (0.156 COMP289) (0.148 COMP900)
Carcinogenic	0.944	COMP285	(0.925 COMP77) (0.916 COMP2095) (0.903 COMP510) (0.884 COMP1610/COMP436) (0.851 COMP287/COMP450) (0.826 COMP2096) (0.823 COMP283) (0.816 COMP1431) (0.809 COMP2091) (0.808 COMP908) (0.789 COMP774) (0.775 COMP20) (0.760 COMP1516) (0.755 COMP885) (0.748 COMP262/COMP27) (0.735 COMP34/COMP36) (0.731 COMP511) (0.720 COMP857) (0.719 COMP2090) (0.708 COMP40/COMP41/COMP843) (0.661 COMP37/COMP39) (0.638 COMP2084) (0.636 COMP38) (0.634 COMP900) (0.602 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.597 COMP697/COMP889) (0.589 COMP2085) (0.587 COMP507) (0.531 COMP2089) (0.522 COMP683) (0.482 COMP2092) (0.477 COMP289) (0.454 COMP2097) (0.445 COMP60) (0.439 COMP2087) (0.384 COMP2099) (0.377 COMP2086) (0.369 COMP286) (0.359 COMP2098) (0.197 COMP1104) (0.166 COMP2088) (0.133 COMP1084)
Carcinogenic. group 1	0.877	COMP283	(0.667 COMP289) (0.547 COMP507) (0.508 COMP885) (0.471 COMP2092) (0.461 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.452 COMP1084) (0.441 COMP40/COMP41/COMP510/COMP843) (0.419 COMP2089) (0.408 COMP2086) (0.393 COMP20/COMP262/COMP27) (0.389 COMP857) (0.328 COMP2085) (0.315 COMP683) (0.304 COMP697/COMP889) (0.302 COMP286) (0.296 COMP2099) (0.281 COMP2088) (0.274 COMP2090) (0.267 COMP511) (0.266 COMP60) (0.250 COMP2097) (0.248 COMP2087) (0.239 COMP2096) (0.215 COMP2091/COMP908) (0.200 COMP2084) (0.191 COMP1104) (0.158 COMP1431) (0.150 COMP900)
Carcinogenic. group 2A	0.849	COMP289	(0.464 COMP2099) (0.305 COMP283) (0.296 COMP2086) (0.294 COMP2089) (0.293 COMP885) (0.274 COMP2092) (0.261 COMP507) (0.241 COMP2085) (0.227 COMP1104) (0.199 COMP2087) (0.189 COMP2090) (0.187 COMP2097) (0.181 COMP2088) (0.176 COMP510/COMP683) (0.172 COMP857) (0.155 COMP2084) (0.151 COMP286) (0.147 COMP60) (0.145 COMP511) (0.144 COMP2091/COMP908) (0.122 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.121 COMP697/COMP889) (0.099 COMP40/COMP41/COMP843) (0.096 COMP1431) (0.083 COMP900) (0.082 COMP20/COMP262/COMP27) (0.079 COMP1084)
Carcinogenic. group 2B	0.595	COMP2089	(0.536 COMP2092) (0.516 COMP2085) (0.495 COMP697/COMP889) (0.419 COMP2084) (0.354 COMP2086) (0.296 COMP857) (0.289 COMP2097) (0.286 COMP885) (0.281 COMP2087) (0.272 COMP2090) (0.257 COMP511) (0.245 COMP507) (0.234 COMP60) (0.211 COMP1431) (0.205 COMP683) (0.203 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.200 COMP510) (0.183 COMP289) (0.182 COMP283) (0.161 COMP40/COMP41/COMP843) (0.149 COMP2099) (0.136 COMP774) (0.135 COMP262/COMP27) (0.119 COMP20) (0.112 COMP286) (0.102 COMP2096) (0.098 COMP1084)
Carcinogenic. group 3	0.830	COMP283	(0.721 COMP511) (0.641 COMP2089) (0.632 COMP857) (0.627 COMP289) (0.587 COMP2092) (0.568 COMP2085) (0.531 COMP2084) (0.519 COMP697/COMP889) (0.464 COMP2099) (0.458 COMP2096) (0.454 COMP40/COMP41/COMP843) (0.434 COMP2095) (0.432 COMP60) (0.431 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.388 COMP2086) (0.382 COMP510) (0.381 COMP262/COMP27) (0.379 COMP683) (0.373 COMP2097) (0.365 COMP2087) (0.355 COMP2090) (0.319 COMP1610/COMP436) (0.317 COMP20) (0.315 COMP286) (0.251 COMP1431) (0.240 COMP77) (0.227 COMP774) (0.225 COMP287/COMP450) (0.188 COMP908) (0.183 COMP885) (0.180 COMP2088) (0.146 COMP2091) (0.145 COMP2098) (0.141 COMP507) (0.138 COMP1084) (0.131 COMP900) (0.114 COMP285) (0.098 COMP38)
Cardiodepressant	0.558	COMP1104	(0.531 COMP1610/COMP436) (0.512 COMP2084) (0.485 COMP2097) (0.465 COMP60) (0.451 COMP2087) (0.450 COMP2088) (0.445 COMP2085) (0.431 COMP2089) (0.416 COMP2092) (0.412 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.409 COMP2086) (0.403 COMP2090) (0.394 COMP287/COMP450) (0.393 COMP683) (0.363 COMP2094) (0.357 COMP77) (0.327 COMP2096) (0.316 COMP40/COMP41/COMP843) (0.285 COMP37/COMP39) (0.283 COMP2095) (0.270 COMP285) (0.264 COMP262/COMP27) (0.262 COMP283) (0.250 COMP697/COMP889) (0.245 COMP857) (0.239 COMP34/COMP36) (0.238 COMP507) (0.224 COMP511) (0.205 COMP774) (0.200 COMP20) (0.179 COMP510) (0.173 COMP286) (0.170 COMP1431) (0.166 COMP38) (0.162 COMP289) (0.135 COMP2091/COMP908)
Cytotoxic	0.923	COMP2093	(0.650 COMP1610/COMP436) (0.642 COMP2095) (0.627 COMP1104) (0.617 COMP510) (0.607 COMP77) (0.597 COMP287/COMP450) (0.591 COMP900) (0.586 COMP285) (0.570 COMP2091) (0.566 COMP908) (0.564 COMP1516) (0.561 COMP885) (0.550 COMP34/COMP36) (0.543 COMP507) (0.531 COMP37/COMP39) (0.515 COMP2090) (0.499 COMP38) (0.493 COMP2096) (0.480 COMP774) (0.477 COMP20) (0.469 COMP2098) (0.458 COMP2084) (0.456 COMP262/COMP27) (0.447 COMP2097) (0.433 COMP40/COMP41/COMP843) (0.414 COMP2085) (0.390 COMP1431) (0.388 COMP857) (0.360 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.359 COMP2089) (0.330 COMP2087/COMP511) (0.329 COMP2092) (0.316 COMP286) (0.295 COMP683) (0.288 COMP697/COMP889) (0.287 COMP2086) (0.284 COMP60) (0.234 COMP2088) (0.233 COMP2099) (0.214 COMP283) (0.208 COMP289) (0.165 COMP1084)
DNA damaging	0.810	COMP510	(0.659 COMP2091) (0.646 COMP908) (0.591 COMP885) (0.555 COMP507) (0.551 COMP900) (0.549 COMP2097) (0.458 COMP2085) (0.441 COMP857) (0.438 COMP1104) (0.422 COMP2084) (0.405 COMP2089) (0.397 COMP697/COMP889) (0.388 COMP2086) (0.381 COMP283) (0.370 COMP2090) (0.367 COMP2092) (0.356 COMP2087) (0.352 COMP289) (0.350 COMP2096) (0.334 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.333 COMP286) (0.326 COMP2088) (0.315 COMP2095) (0.311 COMP1610/COMP436) (0.307 COMP774) (0.294 COMP683) (0.288 COMP38) (0.275 COMP40/COMP41/COMP843) (0.268 COMP37/COMP39) (0.242 COMP60) (0.236 COMP2099) (0.235 COMP34/COMP36) (0.227 COMP287/COMP450) (0.226 COMP262/COMP27) (0.205 COMP2094) (0.194 COMP77) (0.180 COMP20) (0.159 COMP1431)
Embryotoxic	0.937	COMP2095	(0.919 COMP1610/COMP436) (0.908 COMP77) (0.899 COMP285) (0.897 COMP287/COMP450) (0.806 COMP774) (0.763 COMP908) (0.758 COMP2091) (0.751 COMP510) (0.715 COMP2096) (0.712 COMP507/COMP511) (0.702 COMP40/COMP41/COMP843) (0.671 COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.662 COMP1431) (0.644 COMP262/COMP27) (0.626 COMP20/COMP857) (0.617 COMP1104) (0.545 COMP885) (0.538 COMP2090) (0.516 COMP683) (0.513 COMP697/COMP889) (0.481 COMP2084) (0.471 COMP60) (0.469 COMP2085) (0.455 COMP2089) (0.435 COMP900) (0.421 COMP2092) (0.367 COMP283) (0.350 COMP2087) (0.333 COMP2086) (0.320 COMP2097) (0.289 COMP2098) (0.288 COMP1084) (0.252 COMP2088) (0.251 COMP1516) (0.236 COMP38) (0.215 COMP286) (0.214 COMP37/COMP39) (0.160 COMP34/COMP36)
