Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.102	COMP1961	(0.058 COMP1960) (0.046 COMP1962) (0.042 COMP129)
ATPase inhibitor	0.285	COMP43	(0.239 COMP264) (0.180 COMP302) (0.176 COMP1959) (0.165 COMP300) (0.149 COMP129) (0.143 COMP1958) (0.137 COMP1961)
Acetylcholine M1 receptor antagonist	0.194	COMP264	
Acetylcholine M3 receptor agonist	0.081	COMP264	
Acetylcholinesterase inhibitor	0.262	COMP1959	(0.211 COMP300) (0.187 COMP1958) (0.133 COMP1961) (0.115 COMP1962)
Aconitate hydratase inhibitor	0.081	COMP43	(0.065 COMP264) (0.062 COMP302) (0.053 COMP300)
Acyl-CoA dehydrogenase inhibitor	0.206	COMP43	(0.124 COMP302)
Adenosine deaminase inhibitor	0.073	COMP43	
Adenylate cyclase inhibitor	0.234	COMP1961	(0.188 COMP1960) (0.128 COMP1962)
Adenylate kinase inhibitor	0.385	COMP43	(0.181 COMP302) (0.097 COMP264) (0.093 COMP1959)
Alcohol dehydrogenase inhibitor	0.248	COMP1959	(0.124 COMP43)
Aldosterone antagonist	0.104	COMP1961	(0.103 COMP129) (0.072 COMP1960) (0.069 COMP264) (0.048 COMP302) (0.043 COMP1962)
Alkaline phosphatase inhibitor	0.282	COMP1959	
Alpha 2a adrenoreceptor antagonist	0.072	COMP1958	
Alpha 2b adrenoreceptor agonist	0.051	COMP264	
Alpha-mannosidase inhibitor	0.084	COMP43	(0.048 COMP1959)
Androgen agonist	0.142	COMP129	(0.117 COMP300) (0.103 COMP1960) (0.092 COMP1961) (0.071 COMP1959) (0.070 COMP1962) (0.062 COMP264)
Androgen antagonist	0.283	COMP1960	(0.250 COMP1961) (0.238 COMP1959) (0.208 COMP129) (0.182 COMP1962) (0.167 COMP300) (0.131 COMP264)
Arginase inhibitor	0.107	COMP1959	
Argininosuccinate synthase inhibitor	0.229	COMP43	
Beta 2 adrenoreceptor agonist	0.059	COMP1959	
Butyrylcholinesterase inhibitor	0.087	COMP1961	(0.082 COMP1958)
CYP1A2 inhibitor	0.265	COMP1959	(0.182 COMP43)
CYP2C9 inhibitor	0.348	COMP1959	(0.306 COMP1962) (0.242 COMP1961) (0.239 COMP1960) (0.217 COMP302)
CYP2D6 inhibitor	0.179	COMP1958	
CYP3A4 inhibitor	0.469	COMP1958	(0.322 COMP1960) (0.280 COMP1961) (0.264 COMP1959) (0.240 COMP1962) (0.227 COMP302)
Ca2+-transporting ATPase inhibitor	0.188	COMP43	(0.172 COMP129) (0.170 COMP302) (0.164 COMP1959) (0.156 COMP264) (0.154 COMP300) (0.131 COMP1961) (0.129 COMP1960)
Calcium channel L-type blocker	0.089	COMP1958	(0.063 COMP300)
Cannabinoid CB1 receptor antagonist	0.087	COMP264	(0.061 COMP43) (0.057 COMP300)
Cannabinoid CB2 receptor antagonist	0.139	COMP264	(0.125 COMP1961) (0.080 COMP300) (0.065 COMP43)
Catalase inhibitor	0.230	COMP43	
Cyclooxygenase 1 inhibitor	0.239	COMP1959	(0.141 COMP1958)
Cyclooxygenase 2 inhibitor	0.125	COMP1959	(0.113 COMP1958)
Cyclooxygenase inhibitor	0.174	COMP1959	
Cystathionine beta-synthase inhibitor	0.536	COMP1959	(0.161 COMP43) (0.093 COMP302)
DOPA decarboxylase inhibitor	0.175	COMP1959	(0.113 COMP43) (0.098 COMP1960)
Electron transport complex I inhibitor	0.260	COMP302	(0.172 COMP43) (0.148 COMP1959) (0.122 COMP264) (0.099 COMP1958)
Endothelin A receptor antagonist	0.090	COMP1958	
Estrogen agonist	0.437	COMP1959	(0.178 COMP1960) (0.097 COMP1961) (0.093 COMP1962) (0.083 COMP129) (0.074 COMP1958) (0.059 COMP264)
Fumarate hydratase inhibitor	0.052	COMP43	(0.045 COMP302)
GABA A receptor agonist	0.082	COMP1961	
GABA aminotransferase inhibitor	0.129	COMP264	(0.089 COMP302/COMP43)
GABA transporter 1 inhibitor	0.016	COMP43	
Glucocorticoid agonist	0.015	COMP129	
Glucocorticoid antagonist	0.072	COMP1960	(0.070 COMP129) (0.069 COMP1961) (0.048 COMP1962)
Glucose-6-phosphate isomerase inhibitor	0.131	COMP43	(0.057 COMP302) (0.055 COMP1959)
Glutamate dehydrogenase inhibitor	0.115	COMP43	(0.104 COMP302) (0.073 COMP1959)
HMG CoA reductase inhibitor	0.044	COMP302	(0.043 COMP1960) (0.037 COMP1962) (0.036 COMP1961)
Heat shock protein 70 antagonist	0.144	COMP1959	(0.134 COMP1960)
Hexokinase inhibitor	0.169	COMP43	
Histamine H1 receptor agonist	0.041	COMP43	
Histamine H2 receptor agonist	0.043	COMP43	(0.038 COMP300)
Hypoxanthine phosphoribosyltransferase inhibitor	0.030	COMP43	
MAO inhibitor	0.132	COMP1959	
Na+ K+ transporting ATPase inhibitor	0.136	COMP1962	(0.131 COMP264) (0.129 COMP1961) (0.125 COMP43) (0.123 COMP302) (0.121 COMP1960) (0.118 COMP129) (0.109 COMP1959) (0.107 COMP300) (0.066 COMP1958)
Nav1.5 sodium channel blocker	0.112	COMP1959	
Opioid delta receptor agonist	0.035	COMP1959	
Opioid delta receptor antagonist	0.143	COMP1959	
Opioid kappa receptor agonist	0.116	COMP1959	(0.045 COMP129/COMP1960) (0.041 COMP1961)
Opioid mu receptor agonist	0.083	COMP1959	
Ornithine carbamoyltransferase inhibitor	0.150	COMP43	(0.067 COMP302)
Peroxidase inhibitor	0.466	COMP1959	(0.172 COMP43)
