Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.287	COMP1961	(0.265 COMP1960) (0.175 COMP1962) (0.147 COMP1959) (0.117 COMP43) (0.090 COMP264)
AR expression inhibitor	0.791	COMP1959	(0.731 COMP302) (0.723 COMP43) (0.480 COMP1962) (0.478 COMP1961) (0.471 COMP264) (0.463 COMP1960) (0.450 COMP129) (0.227 COMP300) (0.183 COMP1958)
CTGF expression inhibitor	0.766	COMP43	(0.748 COMP1959) (0.386 COMP1960) (0.368 COMP129) (0.264 COMP264) (0.258 COMP300) (0.240 COMP1961) (0.222 COMP1962) (0.213 COMP302)
ICAM1 expression inhibitor	0.423	COMP1959	(0.391 COMP1960) (0.353 COMP264) (0.342 COMP1961) (0.328 COMP43) (0.321 COMP129) (0.318 COMP300) (0.315 COMP1962) (0.274 COMP1958) (0.201 COMP302)
LDLR expression enhancer	0.352	COMP1959	(0.281 COMP1960) (0.248 COMP1958) (0.236 COMP1961) (0.235 COMP302) (0.230 COMP1962) (0.147 COMP43) (0.136 COMP300)
NOS2 expression inhibitor	0.769	COMP1959	(0.604 COMP264) (0.563 COMP302) (0.477 COMP1958) (0.465 COMP1962) (0.419 COMP1961) (0.415 COMP1960) (0.358 COMP43) (0.296 COMP300) (0.231 COMP129)
NOS3 expression enhancer	0.657	COMP1959	(0.203 COMP302) (0.132 COMP1958) (0.130 COMP1960)
NOS3 expression inhibitor	0.671	COMP1959	(0.541 COMP43) (0.504 COMP1960) (0.432 COMP1961) (0.419 COMP1962) (0.403 COMP129) (0.300 COMP300) (0.266 COMP302) (0.200 COMP264)
TNF expression inhibitor	0.692	COMP1962	(0.663 COMP1960) (0.658 COMP302) (0.655 COMP1961) (0.647 COMP1959) (0.523 COMP43) (0.493 COMP264) (0.404 COMP129) (0.384 COMP300) (0.311 COMP1958)
VCAM1 expression inhibitor	0.359	COMP302	(0.343 COMP1959) (0.338 COMP300) (0.294 COMP264) (0.280 COMP43) (0.262 COMP1958) (0.226 COMP129) (0.186 COMP1962) (0.180 COMP1960)
VEGF expression inhibitor	0.274	COMP1959	(0.196 COMP1961) (0.175 COMP1960) (0.169 COMP43) (0.165 COMP300) (0.164 COMP1962)
