Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.380	COMP300	(0.369 COMP264) (0.341 COMP43) (0.213 COMP1960) (0.157 COMP129) (0.155 COMP1959/COMP1961) (0.117 COMP302)
Acetylcholine release stimulant	0.105	COMP43	
Actinic keratosis treatment	0.284	COMP264	(0.252 COMP1959/COMP1960) (0.197 COMP1961) (0.195 COMP129) (0.150 COMP1962) (0.145 COMP300) (0.095 COMP43)
Acute neurologic disorders treatment	0.419	COMP43	
Acute respiratory distress syndrome (ARDS) treatment	0.181	COMP1961	(0.135 COMP1962)
Alzheimer's disease treatment	0.627	COMP300	(0.483 COMP1959) (0.330 COMP1960) (0.308 COMP264)
Amyotrophic lateral sclerosis treatment	0.194	COMP264	(0.179 COMP1961) (0.171 COMP302)
Anabolic	0.175	COMP129	(0.169 COMP302) (0.165 COMP1960) (0.163 COMP264) (0.159 COMP1961) (0.158 COMP300) (0.157 COMP43) (0.155 COMP1959/COMP1962)
Analeptic	0.546	COMP264	(0.426 COMP43) (0.421 COMP1960) (0.412 COMP129) (0.403 COMP1961) (0.402 COMP302) (0.396 COMP1962) (0.387 COMP1959) (0.304 COMP300) (0.234 COMP1958)
Analgesic	0.658	COMP300	(0.309 COMP264) (0.295 COMP129) (0.242 COMP1959)
Analgesic. opioid	0.135	COMP1959	(0.080 COMP129)
Anesthetic	0.353	COMP1960	(0.328 COMP1961) (0.270 COMP1962) (0.199 COMP300) (0.187 COMP129) (0.158 COMP43) (0.129 COMP264)
Anesthetic general	0.503	COMP1960	(0.389 COMP1962) (0.371 COMP1961) (0.278 COMP300) (0.229 COMP43) (0.174 COMP129) (0.160 COMP264) (0.155 COMP302) (0.146 COMP1959)
Anesthetic inhalation	0.169	COMP43	(0.113 COMP302) (0.101 COMP264) (0.064 COMP300) (0.061 COMP129) (0.050 COMP1959)
Anesthetic local	0.163	COMP43	(0.126 COMP1961) (0.107 COMP264/COMP300) (0.100 COMP1960)
Angiogenesis inhibitor	0.324	COMP302	(0.303 COMP1959)
Angiogenesis stimulant	0.681	COMP300	(0.541 COMP264) (0.384 COMP1959) (0.323 COMP43) (0.256 COMP1960) (0.242 COMP1962) (0.210 COMP302) (0.181 COMP1961)
Antiacne	0.516	COMP129	(0.467 COMP264) (0.440 COMP1961) (0.404 COMP1960) (0.363 COMP300) (0.342 COMP1962) (0.247 COMP43) (0.233 COMP302)
Antialcoholic	0.499	COMP1959	(0.430 COMP264) (0.284 COMP300) (0.233 COMP129) (0.171 COMP43)
Antiamyloidogenic	0.504	COMP1959	
Antianorexic	0.340	COMP264	(0.285 COMP300) (0.114 COMP1959)
Antiarrhythmic	0.325	COMP1959	
Antiarthritic	0.458	COMP302	(0.254 COMP1961)
Antibacterial	0.539	COMP129	(0.535 COMP302) (0.491 COMP43) (0.479 COMP1959) (0.429 COMP300) (0.426 COMP1962) (0.409 COMP264) (0.304 COMP1961) (0.288 COMP1960)
Antibiotic	0.133	COMP129	(0.131 COMP43) (0.112 COMP300) (0.106 COMP264) (0.103 COMP1959) (0.101 COMP302)
Antibiotic Aminoglycoside-like	0.037	COMP1959	
Antibiotic Anthracycline-like	0.021	COMP1959	
Antibiotic Glycopeptide-like	0.071	COMP1959	
Antibiotic Tetracycline-like	0.016	COMP129	
Anticataract	0.113	COMP43	(0.084 COMP1960)
Anticholelithogenic	0.156	COMP1961	(0.118 COMP1962) (0.117 COMP1960) (0.108 COMP129) (0.087 COMP1959) (0.082 COMP300) (0.065 COMP264)
Anticonvulsant	0.145	COMP300	(0.142 COMP264)
Antidiabetic	0.803	COMP1959	(0.696 COMP129) (0.479 COMP1960) (0.400 COMP1961) (0.379 COMP300) (0.275 COMP1962)
Antidiabetic (type 1)	0.169	COMP1959	
Antidiabetic (type 2)	0.411	COMP1959	(0.399 COMP1960) (0.306 COMP129) (0.234 COMP1961)
Antidiabetic symptomatic	0.456	COMP1959	(0.360 COMP300) (0.189 COMP264) (0.176 COMP1962)
Antidiarrheal	0.229	COMP1959	(0.210 COMP300) (0.153 COMP1962) (0.150 COMP1960)
Antidote	0.388	COMP1959	
Antidote. heavy metal	0.059	COMP1959	
Antidote. mercury	0.178	COMP43	(0.142 COMP302) (0.109 COMP264) (0.091 COMP300) (0.084 COMP1959) (0.081 COMP129)
Antidote. organophosphates	0.097	COMP43	(0.089 COMP302) (0.079 COMP264) (0.078 COMP300) (0.075 COMP1959)
Antieczematic	0.681	COMP129	(0.174 COMP1962) (0.167 COMP1961) (0.151 COMP1960)
Antieczematic atopic	0.470	COMP129	
Antiemetic	0.172	COMP300	(0.114 COMP264)
Antiepileptic	0.620	COMP264	(0.618 COMP300) (0.251 COMP129)
Antifungal	0.606	COMP302	(0.475 COMP264) (0.473 COMP1959) (0.461 COMP43) (0.401 COMP1962) (0.393 COMP300) (0.372 COMP1961) (0.345 COMP129) (0.325 COMP1960)
Antifungal (Aspergillus)	0.118	COMP264	(0.098 COMP1959)
Antifungal (Candida)	0.129	COMP302	(0.098 COMP43)
Antifungal (Cryptococcus)	0.332	COMP300	(0.202 COMP302) (0.176 COMP264) (0.168 COMP129) (0.134 COMP43) (0.123 COMP1959)
Antifungal (Pneumocystis)	0.117	COMP43	(0.113 COMP1958) (0.112 COMP1959) (0.107 COMP302)
Antifungal enhancer	0.471	COMP129	(0.352 COMP300) (0.309 COMP1962) (0.299 COMP264) (0.286 COMP1961) (0.255 COMP1960) (0.248 COMP302) (0.197 COMP1959) (0.176 COMP1958) (0.165 COMP43)
Antiglaucomic	0.517	COMP264	(0.479 COMP300) (0.461 COMP43) (0.370 COMP302)
Antihelmintic	0.504	COMP1959	(0.479 COMP264) (0.383 COMP1960) (0.370 COMP129) (0.351 COMP300) (0.311 COMP1961) (0.289 COMP1962) (0.266 COMP302) (0.262 COMP43)
Antihelmintic (Fasciola)	0.115	COMP43	(0.097 COMP1959/COMP302)
Antihelmintic (Nematodes)	0.435	COMP1959	(0.271 COMP264) (0.267 COMP43) (0.231 COMP1960) (0.153 COMP1962) (0.149 COMP1961) (0.130 COMP300)
Antihelmintic (Trematoda)	0.162	COMP1959	(0.113 COMP43)
Antihemophilic	0.069	COMP1961	
Antihemorrhagic	0.706	COMP1959	(0.259 COMP302) (0.174 COMP1962) (0.169 COMP1961) (0.140 COMP1960)
Antihypercholesterolemic	0.672	COMP1961	(0.631 COMP1959) (0.624 COMP1962) (0.604 COMP1960) (0.469 COMP302) (0.439 COMP1958) (0.375 COMP129) (0.316 COMP43) (0.209 COMP300) (0.205 COMP264)
Antihyperlipoproteinemic	0.244	COMP1960	(0.180 COMP1961) (0.169 COMP43) (0.167 COMP1962) (0.157 COMP129) (0.136 COMP1959) (0.128 COMP300) (0.109 COMP264)
Antihypermotility	0.139	COMP1959	(0.126 COMP264) (0.097 COMP129)
