Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake stimulant	0.507	COMP264	(0.465 COMP1959) (0.338 COMP43) (0.297 COMP302) (0.289 COMP300) (0.246 COMP1960) (0.243 COMP1961) (0.232 COMP129) (0.200 COMP1962)
Adenosine uptake inhibitor	0.095	COMP264	(0.050 COMP300)
Antiviral (CMV)	0.122	COMP264	
Electron transport complex I inhibitor	0.260	COMP302	(0.172 COMP43) (0.148 COMP1959) (0.122 COMP264) (0.099 COMP1958)
Endocannabinoid uptake inhibitor	0.142	COMP43	(0.078 COMP302)
Excitatory amino acid transporter EAAC1 inhibitor	0.296	COMP43	(0.110 COMP302)
GABA transporter 1 inhibitor	0.016	COMP43	
GABA transporter 3 inhibitor	0.032	COMP43	
GABA transporter inhibitor	0.024	COMP43	
GABA uptake inhibitor	0.058	COMP264	(0.053 COMP129) (0.047 COMP43) (0.035 COMP300)
Glycine transporter 2 inhibitor	0.044	COMP43	
Multidrug resistance-associated protein 1 inhibitor	0.139	COMP1959	
Nucleoside transporters inhibitor	0.035	COMP1959	
P-glycoprotein inhibitor	0.315	COMP300	(0.302 COMP1958) (0.276 COMP1959) (0.256 COMP1962) (0.214 COMP129) (0.210 COMP1961) (0.182 COMP1960)
Sodium-dependent vitamin C transporter 2 inhibitor	0.030	COMP43	
Sodium/bile acid cotransporter inhibitor	0.406	COMP1960	(0.390 COMP1961) (0.377 COMP1962) (0.365 COMP129) (0.363 COMP300) (0.289 COMP1959) (0.251 COMP43)
Sodium/calcium exchanger inhibitor	0.066	COMP129	(0.048 COMP1959)
Sodium/glucose cotransporter 1 inhibitor	0.091	COMP1959	
Sodium/glucose cotransporter 2 inhibitor	0.108	COMP1959	
Sodium/glucose cotransporter inhibitor	0.115	COMP1959	
