Name	Activation_Prob	Compound	Another_Probs
1.3-Beta-glucan synthase inhibitor	0.029	COMP1072	
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.165	COMP1966	(0.164 COMP131) (0.116 COMP1965) (0.045 COMP153)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.113	COMP1965	(0.098 COMP1966) (0.060 COMP1072) (0.057 COMP153) (0.044 COMP69) (0.038 COMP131)
12-Lipoxygenase inhibitor	0.297	COMP302	(0.241 COMP1966)
15-Lipoxygenase inhibitor	0.380	COMP302	(0.299 COMP1963/COMP1964) (0.254 COMP1966) (0.216 COMP1247)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.197	COMP302	(0.049 COMP1966) (0.047 COMP69) (0.042 COMP303) (0.041 COMP153/COMP1965) (0.036 COMP1247) (0.035 COMP155/COMP300)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.016	COMP69	(0.013 COMP1966)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.108	COMP1966	(0.063 COMP1247/COMP131) (0.062 COMP1965) (0.061 COMP69) (0.048 COMP155)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.114	COMP302	
3C-like protease (Human coronavirus) inhibitor	0.174	COMP1247	(0.141 COMP69)
4-Hydroxyphenylpyruvate dioxygenase inhibitor	0.026	COMP1247	(0.015 COMP69)
5 Hydroxytryptamine 1E antagonist	0.223	COMP1963/COMP1964	(0.208 COMP302) (0.175 COMP1247)
5 Hydroxytryptamine 2 antagonist	0.104	COMP1963/COMP1964	
5 Hydroxytryptamine 2B antagonist	0.218	COMP1963/COMP1964	
5 Hydroxytryptamine 2C antagonist	0.072	COMP1963/COMP1964	
5 Hydroxytryptamine 3A agonist	0.101	COMP131	
5 Hydroxytryptamine 3E antagonist	0.199	COMP131	(0.185 COMP155) (0.180 COMP302)
5 Hydroxytryptamine agonist	0.059	COMP1963/COMP1964	
5 Hydroxytryptamine release inhibitor	0.400	COMP131	(0.317 COMP1072) (0.311 COMP155)
5 Hydroxytryptamine release stimulant	0.495	COMP131	(0.460 COMP1963/COMP1964) (0.439 COMP302) (0.308 COMP1072) (0.301 COMP1966) (0.279 COMP1247) (0.263 COMP153) (0.237 COMP155) (0.190 COMP69) (0.184 COMP1965) (0.164 COMP300)
5 Hydroxytryptamine uptake inhibitor	0.178	COMP1963/COMP1964	
5 Hydroxytryptamine uptake stimulant	0.566	COMP69	(0.478 COMP1247) (0.354 COMP131) (0.297 COMP302) (0.289 COMP1072/COMP300) (0.280 COMP155) (0.261 COMP153) (0.255 COMP303) (0.229 COMP1966) (0.201 COMP1965)
5-Alpha-reductase 1 inhibitor	0.162	COMP69	(0.108 COMP1966) (0.077 COMP300) (0.047 COMP1247) (0.021 COMP131) (0.019 COMP303)
5-Alpha-reductase 2 inhibitor	0.148	COMP69	(0.114 COMP1966) (0.068 COMP300) (0.024 COMP131) (0.023 COMP303) (0.021 COMP1965) (0.019 COMP1247) (0.018 COMP1072)
5-Alpha-reductase inhibitor	0.358	COMP69	(0.258 COMP1966) (0.243 COMP303) (0.211 COMP1247) (0.176 COMP1965) (0.175 COMP300) (0.166 COMP153) (0.114 COMP1072) (0.093 COMP131) (0.046 COMP155)
5-Lipoxygenase inhibitor	0.269	COMP302	
ABCA1 expression enhancer	0.392	COMP1966	(0.341 COMP69) (0.270 COMP1965) (0.180 COMP155) (0.146 COMP131) (0.102 COMP1072) (0.098 COMP153)
AMP-activated protein kinase stimulant	0.241	COMP69	(0.135 COMP1965) (0.120 COMP1247) (0.115 COMP1966)
AMPA receptor agonist	0.036	COMP1966	
ATP citrate lysase inhibitor	0.106	COMP1072	(0.046 COMP1966) (0.042 COMP1965) (0.040 COMP155) (0.038 COMP153) (0.029 COMP303)
ATPase (Vacuolar H+) inhibitor	0.209	COMP155	(0.178 COMP1072) (0.133 COMP300) (0.126 COMP153) (0.120 COMP1247) (0.118 COMP303) (0.088 COMP1963/COMP1964)
ATPase inhibitor	0.382	COMP1963/COMP1964	(0.370 COMP1072) (0.286 COMP1247) (0.257 COMP155) (0.225 COMP303) (0.199 COMP153) (0.180 COMP302) (0.165 COMP300) (0.163 COMP131) (0.143 COMP1965)
Acetyl-CoA transferase 1 inhibitor	0.089	COMP1966	(0.070 COMP1965) (0.048 COMP1072)
Acetyl-CoA transferase 2 inhibitor	0.106	COMP1965	(0.096 COMP1072) (0.085 COMP1966)
Acetyl-CoA transferase inhibitor	0.185	COMP1966	(0.139 COMP1965) (0.100 COMP1072)
Acetylcholine M1 receptor agonist	0.047	COMP1963/COMP1964	
Acetylcholine M1 receptor antagonist	0.471	COMP1963/COMP1964	(0.134 COMP1247) (0.129 COMP1072)
Acetylcholine M2 receptor agonist	0.097	COMP1963/COMP1964	
Acetylcholine M2 receptor antagonist	0.216	COMP1963/COMP1964	
Acetylcholine M3 receptor agonist	0.173	COMP1963/COMP1964	(0.073 COMP131)
Acetylcholine M3 receptor antagonist	0.116	COMP1963/COMP1964	
Acetylcholine M4 receptor agonist	0.038	COMP1963/COMP1964	(0.037 COMP131)
