Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.399	COMP131	(0.380 COMP300) (0.379 COMP155) (0.355 COMP1072) (0.322 COMP303) (0.255 COMP1247) (0.214 COMP153) (0.147 COMP1966) (0.131 COMP1965) (0.117 COMP302)
Acetylcholine release stimulant	0.125	COMP131	(0.105 COMP1966)
Actinic keratosis treatment	0.281	COMP69	(0.268 COMP1965) (0.241 COMP1247) (0.231 COMP131) (0.217 COMP1966) (0.202 COMP1072) (0.178 COMP153) (0.155 COMP155) (0.145 COMP300) (0.129 COMP303)
Acute neurologic disorders treatment	0.272	COMP1966	(0.262 COMP131) (0.258 COMP1965) (0.190 COMP1963/COMP1964)
Acute respiratory distress syndrome (ARDS) treatment	0.264	COMP1965	(0.168 COMP1966)
Age-related macular degeneration treatment	0.313	COMP1963/COMP1964	(0.169 COMP1966)
Alzheimer's disease treatment	0.627	COMP300	(0.551 COMP155) (0.326 COMP153) (0.260 COMP1966) (0.237 COMP1965)
Amyotrophic lateral sclerosis treatment	0.184	COMP1966	(0.171 COMP302)
Anabolic	0.220	COMP69	(0.186 COMP303) (0.183 COMP153) (0.176 COMP1247) (0.169 COMP1072/COMP302) (0.165 COMP1965) (0.163 COMP1966) (0.159 COMP155) (0.158 COMP300) (0.156 COMP131)
Analeptic	0.640	COMP1072	(0.537 COMP131) (0.526 COMP1247) (0.431 COMP1965) (0.429 COMP69) (0.425 COMP303) (0.402 COMP302) (0.366 COMP1966) (0.353 COMP153/COMP155) (0.304 COMP300) (0.269 COMP1963/COMP1964)
Analgesic	0.658	COMP300	(0.640 COMP303) (0.422 COMP155) (0.419 COMP1072) (0.314 COMP1963/COMP1964) (0.308 COMP1966) (0.288 COMP1965) (0.228 COMP131)
Analgesic. opioid	0.116	COMP1072	(0.073 COMP1963/COMP1964/COMP69)
Anesthetic	0.643	COMP1072	(0.450 COMP1965) (0.401 COMP1966) (0.377 COMP303) (0.297 COMP131) (0.199 COMP300) (0.169 COMP1963/COMP1964) (0.164 COMP153) (0.113 COMP69) (0.102 COMP155)
Anesthetic general	0.576	COMP1072	(0.491 COMP1963/COMP1964) (0.459 COMP1966) (0.458 COMP1965) (0.313 COMP303) (0.278 COMP300) (0.259 COMP69) (0.155 COMP302) (0.152 COMP131) (0.141 COMP155)
Anesthetic inhalation	0.113	COMP302	(0.079 COMP131) (0.078 COMP1072) (0.074 COMP1247) (0.073 COMP155) (0.064 COMP300) (0.062 COMP153) (0.058 COMP1965/COMP69) (0.057 COMP1966) (0.047 COMP303)
Anesthetic local	0.442	COMP1072	(0.249 COMP131) (0.161 COMP1966) (0.148 COMP1965) (0.107 COMP300) (0.098 COMP303)
Angiogenesis inhibitor	0.324	COMP302	
Angiogenesis stimulant	0.681	COMP300	(0.436 COMP131) (0.431 COMP69) (0.379 COMP1247) (0.358 COMP153) (0.311 COMP303) (0.280 COMP1965) (0.269 COMP1963/COMP1964) (0.220 COMP155) (0.214 COMP1966) (0.210 COMP302) (0.187 COMP1072)
Antiacne	0.565	COMP69	(0.496 COMP155) (0.482 COMP131) (0.463 COMP153) (0.461 COMP1966) (0.427 COMP1965) (0.421 COMP1247) (0.363 COMP300) (0.327 COMP303) (0.233 COMP302) (0.228 COMP1072)
Antialcoholic	0.676	COMP153	(0.470 COMP69) (0.305 COMP131) (0.284 COMP300) (0.255 COMP1966) (0.251 COMP155) (0.228 COMP1963/COMP1964) (0.212 COMP1247) (0.195 COMP303) (0.189 COMP1965) (0.157 COMP1072)
Antianemic	0.121	COMP69	
Antianorexic	0.285	COMP300	(0.237 COMP1247) (0.123 COMP303) (0.117 COMP1966)
Antiarthritic	0.490	COMP155	(0.458 COMP302) (0.348 COMP303) (0.305 COMP131) (0.251 COMP1966)
Antiasthmatic	0.254	COMP1963/COMP1964	
Antibacterial	0.580	COMP303	(0.552 COMP1072) (0.535 COMP302) (0.495 COMP153) (0.429 COMP300) (0.418 COMP69) (0.391 COMP1247) (0.386 COMP155) (0.385 COMP131/COMP1965) (0.292 COMP1963/COMP1964) (0.217 COMP1966)
Antibiotic	0.195	COMP303	(0.184 COMP1072) (0.124 COMP153) (0.116 COMP155) (0.112 COMP300) (0.102 COMP1247) (0.101 COMP302) (0.095 COMP69)
Antibiotic Anthracycline-like	0.018	COMP1072	
Antibiotic Macrolide-like	0.016	COMP1072	(0.014 COMP155)
Antibiotic Penem-like	0.006	COMP1072	
Anticataract	0.192	COMP1966	(0.133 COMP1965) (0.083 COMP1072)
