Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.511	COMP69	(0.454 COMP1247) (0.448 COMP1072) (0.418 COMP1966) (0.417 COMP303) (0.410 COMP302) (0.377 COMP1965) (0.334 COMP153) (0.327 COMP131) (0.294 COMP300) (0.204 COMP155) (0.194 COMP1963/COMP1964)
Carcinogenic	0.867	COMP302	(0.744 COMP1247) (0.454 COMP69) (0.422 COMP131) (0.402 COMP1965) (0.398 COMP1072) (0.329 COMP153) (0.242 COMP303) (0.227 COMP155) (0.221 COMP1966) (0.153 COMP300) (0.124 COMP1963/COMP1964)
Carcinogenic. group 1	0.226	COMP302	(0.210 COMP1072) (0.161 COMP1247) (0.158 COMP131) (0.148 COMP300) (0.146 COMP155)
Carcinogenic. group 2A	0.189	COMP302	(0.122 COMP131) (0.100 COMP155) (0.085 COMP1247)
Carcinogenic. group 2B	0.344	COMP302	(0.282 COMP1247) (0.162 COMP131) (0.126 COMP153) (0.125 COMP155) (0.092 COMP69)
Carcinogenic. group 3	0.674	COMP1247	(0.336 COMP69) (0.300 COMP302) (0.252 COMP155) (0.183 COMP131) (0.178 COMP153) (0.133 COMP1963/COMP1964) (0.123 COMP303)
Cardiodepressant	0.718	COMP1963/COMP1964	(0.266 COMP1966) (0.264 COMP131) (0.218 COMP1965) (0.132 COMP1072)
Cytotoxic	0.514	COMP1965	(0.484 COMP155) (0.465 COMP1072) (0.457 COMP153) (0.354 COMP1247) (0.344 COMP1966) (0.340 COMP302) (0.302 COMP303) (0.239 COMP69) (0.232 COMP300) (0.225 COMP1963/COMP1964) (0.214 COMP131)
DNA damaging	0.374	COMP1072	(0.248 COMP153) (0.243 COMP1966) (0.233 COMP1965) (0.187 COMP155)
Embryotoxic	0.734	COMP69	(0.689 COMP302) (0.681 COMP1247) (0.457 COMP303) (0.398 COMP1072) (0.362 COMP1965) (0.358 COMP1963/COMP1964) (0.331 COMP1966) (0.307 COMP155) (0.299 COMP300) (0.245 COMP153) (0.170 COMP131)
Eye irritation. high	0.753	COMP302	(0.553 COMP1072) (0.266 COMP303) (0.248 COMP1247) (0.221 COMP300) (0.186 COMP153) (0.182 COMP155/COMP69) (0.167 COMP131) (0.133 COMP1963/COMP1964/COMP1966) (0.126 COMP1965)
Genotoxic	0.409	COMP302	(0.146 COMP153) (0.145 COMP155) (0.140 COMP303) (0.136 COMP1965) (0.125 COMP1247) (0.121 COMP131)
Hypoglycemic	0.326	COMP1965	(0.257 COMP1966) (0.230 COMP1072) (0.199 COMP302) (0.162 COMP1247)
Mutagenic	0.752	COMP302	(0.539 COMP1247) (0.400 COMP153) (0.345 COMP300) (0.317 COMP155) (0.304 COMP69) (0.242 COMP1072) (0.239 COMP131) (0.238 COMP1965) (0.167 COMP303)
Pneumotoxic	0.565	COMP1247	(0.502 COMP69) (0.484 COMP1072) (0.335 COMP303) (0.313 COMP153) (0.295 COMP300) (0.286 COMP155) (0.268 COMP131) (0.231 COMP302) (0.183 COMP1963/COMP1964) (0.157 COMP1966)
Sedative	0.736	COMP155	(0.700 COMP1963/COMP1964) (0.517 COMP69) (0.500 COMP1072) (0.490 COMP1247) (0.454 COMP300) (0.319 COMP303) (0.248 COMP1966) (0.210 COMP153) (0.193 COMP131) (0.149 COMP302)
Sensitization	0.845	COMP153	(0.771 COMP1965) (0.742 COMP1966) (0.606 COMP303) (0.598 COMP131) (0.544 COMP302) (0.532 COMP1072) (0.496 COMP155) (0.403 COMP1247) (0.399 COMP69) (0.307 COMP300)
Skin irritative effect	0.947	COMP302	(0.680 COMP1072) (0.609 COMP1247) (0.577 COMP131) (0.385 COMP155) (0.267 COMP69) (0.197 COMP303) (0.184 COMP1965) (0.166 COMP300) (0.161 COMP153) (0.110 COMP1966)
Teratogen	0.743	COMP69	(0.691 COMP1247) (0.617 COMP302) (0.504 COMP303) (0.454 COMP1963/COMP1964) (0.401 COMP1072) (0.351 COMP1965) (0.341 COMP1966) (0.340 COMP155) (0.339 COMP300) (0.281 COMP153) (0.185 COMP131)
Toxic. respiratory center	0.226	COMP1966	(0.225 COMP1072) (0.202 COMP1965) (0.170 COMP303) (0.155 COMP69)
Ulceration	0.719	COMP1963/COMP1964	(0.587 COMP1072) (0.467 COMP131) (0.380 COMP1965) (0.365 COMP1966) (0.283 COMP1247) (0.247 COMP300) (0.239 COMP69) (0.226 COMP302)
