Name	Activation_Prob	Compound	Another_Probs
12-Lipoxygenase inhibitor	0.298	COMP1970	(0.231 COMP1958/COMP1967)
15-Lipoxygenase inhibitor	0.371	COMP1970	(0.364 COMP1958/COMP1967) (0.327 COMP1969) (0.310 COMP1968)
5 Hydroxytryptamine release stimulant	0.462	COMP1969	(0.457 COMP1958/COMP1967) (0.335 COMP1970) (0.297 COMP1968)
5 Hydroxytryptamine uptake stimulant	0.284	COMP1971	
ATPase (Vacuolar H+) inhibitor	0.137	COMP1969	(0.135 COMP1968) (0.131 COMP1970) (0.129 COMP1958/COMP1967) (0.104 COMP1971)
ATPase inhibitor	0.179	COMP1969	(0.165 COMP1968) (0.155 COMP1970) (0.143 COMP1958/COMP1967)
Acetyl-CoA transferase 2 inhibitor	0.137	COMP1968	(0.052 COMP1969)
Acetyl-CoA transferase inhibitor	0.055	COMP1968	
Acetylcholine antagonist	0.098	COMP1958/COMP1967	
Acetylcholinesterase inhibitor	0.191	COMP1970	(0.187 COMP1958/COMP1967) (0.131 COMP1968)
Adenylate cyclase stimulant	0.163	COMP1969	(0.155 COMP1968) (0.137 COMP1958/COMP1967) (0.128 COMP1970)
Alkylator	0.582	COMP1969	(0.533 COMP1968) (0.393 COMP1970) (0.355 COMP1958/COMP1967)
Alpha 1L adrenoreceptor antagonist	0.049	COMP1958/COMP1967	
Alpha 2 adrenoreceptor antagonist	0.146	COMP1958/COMP1967	
Alpha 2a adrenoreceptor antagonist	0.072	COMP1958/COMP1967	
Alpha 2b adrenoreceptor antagonist	0.139	COMP1958/COMP1967	
Alpha 2c adrenoreceptor antagonist	0.173	COMP1958/COMP1967	(0.095 COMP1970)
Alpha adrenoreceptor antagonist	0.082	COMP1958/COMP1967	
Alpha tubulin antagonist	0.830	COMP1968	(0.704 COMP1969) (0.685 COMP1970) (0.638 COMP1958/COMP1967)
Alpha-mannosidase inhibitor	0.060	COMP1968	
Amylase inhibitor	0.167	COMP1968	
Anabolic	0.135	COMP1971	(0.105 COMP1969) (0.097 COMP1968)
Angiogenesis stimulant	0.313	COMP1971	
Antibacterial	0.447	COMP1971	(0.235 COMP1970)
Antiinflammatory	0.980	COMP1971	
Antimitotic	0.846	COMP1969	(0.816 COMP1968) (0.798 COMP1958/COMP1967) (0.774 COMP1970)
Antineoplastic alkaloid	0.250	COMP1969	(0.243 COMP1968) (0.242 COMP1958/COMP1967) (0.239 COMP1970) (0.115 COMP1971)
Antineoplastic antibiotic	0.169	COMP1971	(0.150 COMP1970) (0.102 COMP1968) (0.100 COMP1969)
