Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.340	COMP717	(0.252 COMP1543) (0.183 COMP55) (0.154 COMP241/COMP245) (0.152 COMP60) (0.143 COMP1539/COMP683) (0.137 COMP1538) (0.134 COMP693/COMP704/COMP731) (0.132 COMP1541) (0.130 COMP1536) (0.112 COMP1447/COMP1452) (0.108 COMP1442/COMP1537/COMP715) (0.106 COMP1237/COMP337) (0.105 COMP1448/COMP1449/COMP1451)
Aldehyde dehydrogenase substrate	0.217	COMP60	(0.206 COMP683/COMP717) (0.189 COMP1539/COMP55) (0.175 COMP241/COMP245) (0.163 COMP823) (0.149 COMP1543) (0.148 COMP1538) (0.141 COMP1536) (0.139 COMP1541) (0.138 COMP693/COMP704/COMP731) (0.121 COMP1448) (0.116 COMP1544) (0.098 COMP1442/COMP1537)
Aldehyde oxidase substrate	0.332	COMP717	(0.322 COMP60) (0.295 COMP683) (0.273 COMP1542) (0.245 COMP823) (0.243 COMP1539) (0.225 COMP241/COMP245) (0.223 COMP55) (0.185 COMP1448) (0.162 COMP198) (0.161 COMP1449) (0.139 COMP48/COMP715)
Aldose reductase substrate	0.674	COMP1536	(0.592 COMP693/COMP704/COMP731) (0.554 COMP1538) (0.542 COMP1447/COMP1452) (0.521 COMP1541) (0.495 COMP1442/COMP1537) (0.487 COMP717) (0.482 COMP337) (0.468 COMP1451) (0.442 COMP56) (0.398 COMP508) (0.379 COMP46) (0.361 COMP1544) (0.290 COMP1542) (0.258 COMP55) (0.256 COMP483/COMP484) (0.249 COMP1543) (0.235 COMP1448) (0.228 COMP1449) (0.197 COMP1540) (0.188 COMP1450) (0.187 COMP1237) (0.182 COMP1539) (0.178 COMP1535) (0.165 COMP60) (0.152 COMP683) (0.131 COMP823) (0.130 COMP198)
Arylamine N-Acetyltransferase substrate	0.435	COMP823	(0.363 COMP1539) (0.350 COMP60) (0.332 COMP683) (0.326 COMP1448) (0.313 COMP1542) (0.305 COMP717) (0.222 COMP1449) (0.206 COMP198) (0.190 COMP1237) (0.172 COMP55) (0.168 COMP1090) (0.166 COMP241/COMP245) (0.123 COMP1540) (0.120 COMP1536) (0.119 COMP1543) (0.114 COMP337/COMP48) (0.102 COMP1450) (0.095 COMP508) (0.093 COMP1447/COMP1452) (0.085 COMP693/COMP704/COMP731) (0.068 COMP1538)
CYP1A2 inhibitor	0.945	COMP48	(0.796 COMP198) (0.702 COMP1090) (0.620 COMP1540) (0.587 COMP1450) (0.519 COMP1237) (0.503 COMP1535) (0.500 COMP483/COMP484) (0.495 COMP241/COMP245) (0.467 COMP1449) (0.448 COMP1543) (0.425 COMP508) (0.397 COMP56) (0.377 COMP337) (0.349 COMP1542) (0.331 COMP1448) (0.299 COMP715) (0.280 COMP46) (0.256 COMP1539) (0.217 COMP60) (0.205 COMP683) (0.186 COMP1442/COMP1537) (0.184 COMP1541) (0.175 COMP693/COMP704/COMP731) (0.169 COMP1538)
CYP1A2 substrate	0.912	COMP48	(0.766 COMP508) (0.746 COMP198) (0.706 COMP715) (0.635 COMP1540) (0.624 COMP241/COMP245) (0.618 COMP1237) (0.614 COMP483/COMP484) (0.612 COMP1449) (0.609 COMP1543) (0.594 COMP1450) (0.572 COMP56) (0.557 COMP46) (0.510 COMP1542) (0.483 COMP1448) (0.432 COMP337) (0.414 COMP1538) (0.398 COMP717) (0.397 COMP683) (0.381 COMP1535) (0.359 COMP60) (0.352 COMP1090/COMP823) (0.342 COMP693/COMP704/COMP731) (0.315 COMP1447/COMP1452) (0.303 COMP1539) (0.301 COMP1442/COMP1537) (0.280 COMP1541) (0.263 COMP1536) (0.242 COMP1544) (0.237 COMP55) (0.218 COMP1451)
CYP24 inhibitor	0.134	COMP241/COMP245	(0.027 COMP693/COMP704/COMP731) (0.026 COMP1450) (0.025 COMP1237/COMP1538) (0.024 COMP1540) (0.023 COMP1541/COMP1542)
CYP2A6 inhibitor	0.213	COMP1542	(0.143 COMP198) (0.139 COMP1449) (0.134 COMP1090) (0.109 COMP1237) (0.097 COMP241/COMP245) (0.093 COMP48) (0.092 COMP823) (0.077 COMP1535) (0.074 COMP1540) (0.071 COMP1450) (0.070 COMP717)
CYP2B6 inhibitor	0.506	COMP198	(0.406 COMP1090) (0.374 COMP48) (0.320 COMP241/COMP245) (0.281 COMP1542) (0.250 COMP1449) (0.246 COMP1540) (0.239 COMP1539) (0.238 COMP60) (0.230 COMP717) (0.228 COMP1237) (0.225 COMP1450) (0.210 COMP683) (0.196 COMP715) (0.185 COMP55) (0.174 COMP1448) (0.169 COMP1543) (0.165 COMP823) (0.161 COMP483/COMP484)
CYP2C19 inhibitor	0.651	COMP48	(0.544 COMP198) (0.527 COMP715) (0.491 COMP1090) (0.456 COMP241/COMP245) (0.448 COMP1540) (0.447 COMP1450) (0.417 COMP483/COMP484) (0.405 COMP1237) (0.392 COMP1449/COMP1542) (0.380 COMP337) (0.367 COMP1535) (0.362 COMP823) (0.356 COMP1543) (0.354 COMP56) (0.337 COMP1448) (0.319 COMP60) (0.305 COMP717) (0.302 COMP1539) (0.294 COMP683) (0.270 COMP693/COMP704/COMP731) (0.264 COMP46) (0.260 COMP508) (0.245 COMP1544) (0.236 COMP1536) (0.221 COMP55)
CYP2C19 substrate	0.755	COMP508	(0.668 COMP715) (0.648 COMP56) (0.647 COMP483/COMP484) (0.628 COMP337) (0.592 COMP1536) (0.588 COMP1538) (0.570 COMP1442/COMP1537) (0.566 COMP1447/COMP1452/COMP46) (0.560 COMP1544) (0.554 COMP198) (0.548 COMP1540/COMP48) (0.535 COMP693/COMP704/COMP731) (0.534 COMP1450) (0.531 COMP1237) (0.516 COMP1449) (0.495 COMP683) (0.474 COMP1451) (0.469 COMP1541) (0.462 COMP241/COMP245) (0.459 COMP60) (0.456 COMP717) (0.454 COMP1448) (0.440 COMP1542) (0.434 COMP1543) (0.375 COMP1539) (0.271 COMP1535) (0.269 COMP55) (0.237 COMP823) (0.230 COMP1090)
CYP2C9 inhibitor	0.657	COMP48	(0.548 COMP198) (0.493 COMP1535) (0.427 COMP1540) (0.422 COMP1450) (0.415 COMP1448) (0.406 COMP1237) (0.402 COMP1090/COMP241/COMP245) (0.396 COMP1449) (0.382 COMP715) (0.370 COMP683) (0.367 COMP60) (0.352 COMP1543) (0.344 COMP1542) (0.329 COMP717) (0.316 COMP823) (0.290 COMP1539)
CYP2C9 substrate	0.841	COMP508	(0.773 COMP1538) (0.750 COMP56) (0.735 COMP46) (0.731 COMP1544) (0.717 COMP48) (0.693 COMP693/COMP704/COMP731) (0.667 COMP337) (0.621 COMP483/COMP484) (0.616 COMP1541) (0.609 COMP1447/COMP1452) (0.607 COMP683) (0.605 COMP241/COMP245) (0.597 COMP1448) (0.589 COMP1442/COMP1537) (0.588 COMP1536) (0.585 COMP198) (0.581 COMP715) (0.574 COMP60) (0.553 COMP1543) (0.548 COMP1449) (0.536 COMP1237) (0.514 COMP1450/COMP1540) (0.513 COMP1451) (0.509 COMP717) (0.504 COMP1542) (0.497 COMP1539) (0.370 COMP55) (0.369 COMP1535) (0.368 COMP823) (0.267 COMP1090)
CYP2D6 inhibitor	0.246	COMP823	(0.228 COMP1542) (0.193 COMP241/COMP245)
CYP2D6 substrate	0.627	COMP715	(0.560 COMP508) (0.518 COMP241/COMP245) (0.483 COMP1538) (0.471 COMP823) (0.468 COMP693/COMP704/COMP731) (0.454 COMP198) (0.414 COMP48) (0.401 COMP1540) (0.391 COMP56) (0.390 COMP1544) (0.387 COMP1450) (0.383 COMP1542) (0.380 COMP1449) (0.375 COMP1237) (0.374 COMP1536) (0.369 COMP1541) (0.364 COMP717) (0.356 COMP337) (0.337 COMP483/COMP484) (0.336 COMP1543) (0.327 COMP46) (0.320 COMP1442/COMP1537) (0.312 COMP1447/COMP1452) (0.311 COMP60) (0.307 COMP683) (0.301 COMP1448) (0.290 COMP1539) (0.232 COMP1451) (0.215 COMP55) (0.202 COMP1535)
CYP3A4 inhibitor	0.359	COMP48	(0.342 COMP483/COMP484) (0.298 COMP198) (0.265 COMP715) (0.234 COMP1542) (0.229 COMP241/COMP245) (0.225 COMP1090) (0.219 COMP823) (0.217 COMP1535) (0.213 COMP1450/COMP1540) (0.199 COMP508) (0.198 COMP46) (0.193 COMP56) (0.191 COMP1237)
CYP3A4 substrate	0.755	COMP46	(0.745 COMP508) (0.673 COMP56) (0.651 COMP337) (0.650 COMP715) (0.649 COMP1538) (0.648 COMP483/COMP484) (0.603 COMP693/COMP704/COMP731) (0.599 COMP48) (0.596 COMP1447/COMP1452) (0.542 COMP1442/COMP1537) (0.527 COMP1536) (0.516 COMP198) (0.512 COMP1544) (0.508 COMP1543) (0.486 COMP1541) (0.475 COMP1451) (0.452 COMP1449) (0.450 COMP1237) (0.447 COMP717) (0.438 COMP241/COMP245) (0.433 COMP1540) (0.431 COMP1448) (0.429 COMP55) (0.412 COMP1542) (0.406 COMP1450) (0.391 COMP683) (0.359 COMP60) (0.332 COMP1539) (0.309 COMP1535) (0.275 COMP1090) (0.255 COMP823)
