Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.628	COMP60	(0.597 COMP1539) (0.567 COMP683) (0.434 COMP1448) (0.426 COMP1542) (0.391 COMP1449) (0.358 COMP241/COMP245) (0.327 COMP717) (0.308 COMP1544) (0.296 COMP1237) (0.265 COMP55) (0.254 COMP1450) (0.251 COMP1540) (0.250 COMP198) (0.240 COMP1090) (0.239 COMP693/COMP704/COMP731) (0.200 COMP1543) (0.187 COMP1536) (0.151 COMP1538) (0.143 COMP508) (0.132 COMP1447/COMP1452) (0.125 COMP1541) (0.123 COMP48) (0.115 COMP1535/COMP337)
Acetylcholine release stimulant	0.213	COMP1542	(0.129 COMP241/COMP245) (0.126 COMP1449) (0.123 COMP1450) (0.118 COMP1539) (0.109 COMP60) (0.108 COMP1237) (0.107 COMP717) (0.106 COMP1448) (0.104 COMP1540) (0.098 COMP1543/COMP683) (0.097 COMP198)
Actinic keratosis treatment	0.255	COMP683	(0.248 COMP715) (0.242 COMP60) (0.216 COMP1448) (0.205 COMP1539) (0.191 COMP1543) (0.182 COMP1544) (0.181 COMP1237) (0.179 COMP717) (0.176 COMP55) (0.174 COMP241/COMP245) (0.173 COMP1449) (0.167 COMP198) (0.153 COMP693/COMP704/COMP731) (0.146 COMP1090) (0.143 COMP48) (0.139 COMP337) (0.133 COMP1450) (0.129 COMP1447/COMP1452) (0.128 COMP1540) (0.125 COMP1538/COMP1542) (0.119 COMP483/COMP484) (0.111 COMP56) (0.108 COMP1541/COMP508) (0.098 COMP1536) (0.091 COMP1442/COMP1537) (0.082 COMP46)
Acute neurologic disorders treatment	0.483	COMP823	(0.251 COMP60) (0.225 COMP683) (0.211 COMP1448) (0.208 COMP1539)
Acute respiratory distress syndrome (ARDS) treatment	0.406	COMP1538	(0.404 COMP1536) (0.400 COMP693/COMP704/COMP731) (0.398 COMP1541) (0.385 COMP1447/COMP1452) (0.364 COMP1544) (0.358 COMP717) (0.349 COMP46) (0.343 COMP508) (0.342 COMP1442/COMP1537) (0.336 COMP337) (0.298 COMP56) (0.289 COMP1451) (0.218 COMP55) (0.162 COMP483/COMP484) (0.140 COMP823) (0.127 COMP683)
Age-related macular degeneration treatment	0.257	COMP823	(0.228 COMP60) (0.211 COMP683) (0.180 COMP241/COMP245) (0.176 COMP1539)
Allergic rhinitis treatment	0.189	COMP717	(0.108 COMP55)
Alzheimer's disease treatment	0.610	COMP483/COMP484	(0.575 COMP46) (0.558 COMP508) (0.526 COMP56) (0.524 COMP715) (0.502 COMP48) (0.496 COMP1541) (0.456 COMP337) (0.449 COMP198) (0.407 COMP1538) (0.394 COMP1544) (0.380 COMP241/COMP245) (0.378 COMP693/COMP704/COMP731) (0.321 COMP1536)
Amyotrophic lateral sclerosis treatment	0.195	COMP1542	(0.188 COMP823) (0.176 COMP717) (0.172 COMP48)
Anabolic	0.166	COMP241/COMP245	(0.165 COMP1237) (0.164 COMP60) (0.163 COMP55/COMP683) (0.161 COMP1539) (0.160 COMP717) (0.159 COMP1543) (0.154 COMP1542/COMP715) (0.151 COMP1448) (0.149 COMP1449/COMP198) (0.141 COMP1450) (0.138 COMP1540) (0.133 COMP48) (0.131 COMP1090) (0.112 COMP693/COMP704/COMP731) (0.109 COMP1447/COMP1452) (0.104 COMP1538) (0.096 COMP1541/COMP508) (0.089 COMP1544) (0.088 COMP1535)
Analeptic	0.644	COMP1536	(0.640 COMP1538) (0.621 COMP693/COMP704/COMP731) (0.585 COMP1541) (0.569 COMP683) (0.548 COMP1447/COMP1452) (0.542 COMP60) (0.531 COMP56) (0.490 COMP1544) (0.473 COMP337) (0.472 COMP508) (0.445 COMP1539) (0.423 COMP1442/COMP1537) (0.407 COMP46) (0.405 COMP717) (0.396 COMP55) (0.389 COMP241/COMP245) (0.376 COMP715) (0.372 COMP1542) (0.368 COMP1448) (0.333 COMP1449) (0.332 COMP1237) (0.330 COMP1543) (0.326 COMP823) (0.320 COMP198) (0.301 COMP1451) (0.292 COMP1540) (0.290 COMP48) (0.272 COMP1090) (0.271 COMP483/COMP484) (0.266 COMP1450)
Analgesic. opioid	0.123	COMP715	(0.076 COMP823) (0.073 COMP241/COMP245)
Andropause treatment	0.074	COMP55	(0.066 COMP60) (0.065 COMP1536/COMP1539)
Anesthetic	0.236	COMP55	(0.207 COMP60) (0.171 COMP683) (0.163 COMP1542/COMP717) (0.161 COMP1539) (0.146 COMP241/COMP245) (0.125 COMP1449) (0.123 COMP1535) (0.116 COMP1448) (0.104 COMP1450) (0.103 COMP1237)
Anesthetic general	0.502	COMP55	(0.447 COMP1536) (0.421 COMP60) (0.400 COMP1538) (0.391 COMP1539) (0.384 COMP683) (0.377 COMP693/COMP704/COMP731) (0.376 COMP717) (0.306 COMP1542) (0.300 COMP1451) (0.295 COMP241/COMP245) (0.285 COMP1541) (0.243 COMP1544) (0.239 COMP1448) (0.234 COMP1447/COMP1449/COMP1452) (0.229 COMP1442/COMP1537) (0.195 COMP508) (0.183 COMP1237) (0.181 COMP1450) (0.178 COMP337) (0.177 COMP1535) (0.172 COMP56) (0.169 COMP823) (0.151 COMP1543) (0.149 COMP198) (0.148 COMP1540) (0.145 COMP46)
Anesthetic inhalation	0.160	COMP717	(0.110 COMP1542) (0.102 COMP55) (0.076 COMP241/COMP245) (0.071 COMP1539/COMP683) (0.065 COMP60) (0.053 COMP1535/COMP198) (0.051 COMP1450) (0.050 COMP1237/COMP1449) (0.048 COMP1090) (0.047 COMP1540)
Anesthetic local	0.190	COMP60	(0.147 COMP683) (0.138 COMP241/COMP245) (0.137 COMP1539) (0.131 COMP1542) (0.127 COMP717) (0.098 COMP1449) (0.095 COMP55)
Angiogenesis inhibitor	0.450	COMP1536	(0.397 COMP693/COMP704/COMP731) (0.366 COMP1544) (0.356 COMP1442/COMP1537) (0.350 COMP337) (0.339 COMP715) (0.337 COMP1447/COMP1452) (0.333 COMP241/COMP245) (0.331 COMP1538) (0.330 COMP1541) (0.277 COMP46) (0.249 COMP483/COMP484) (0.243 COMP1450) (0.233 COMP1451) (0.228 COMP48) (0.227 COMP56) (0.222 COMP1540/COMP508) (0.209 COMP198) (0.201 COMP1237)
Angiogenesis stimulant	0.863	COMP1541	(0.817 COMP1538) (0.816 COMP1536) (0.814 COMP693/COMP704/COMP731) (0.777 COMP337) (0.764 COMP56) (0.763 COMP46) (0.761 COMP1544) (0.711 COMP483/COMP484) (0.705 COMP1447/COMP1452) (0.692 COMP508) (0.643 COMP1442/COMP1537) (0.587 COMP1451) (0.447 COMP1539) (0.398 COMP48) (0.387 COMP715) (0.364 COMP683) (0.362 COMP55) (0.354 COMP198) (0.347 COMP823) (0.340 COMP241/COMP245) (0.330 COMP1543) (0.319 COMP60) (0.275 COMP717) (0.264 COMP1448) (0.257 COMP1237) (0.233 COMP1540) (0.225 COMP1450) (0.219 COMP1535) (0.205 COMP1449) (0.141 COMP1090)
Antiacne	0.317	COMP60	(0.315 COMP683) (0.305 COMP1448) (0.256 COMP55) (0.243 COMP1544) (0.240 COMP1539) (0.224 COMP693/COMP704/COMP731) (0.206 COMP717) (0.204 COMP1538) (0.186 COMP241/COMP245) (0.185 COMP1447/COMP1452) (0.183 COMP1451) (0.180 COMP1541/COMP1543) (0.164 COMP508) (0.156 COMP1442/COMP1537) (0.153 COMP46) (0.145 COMP1449) (0.144 COMP1237/COMP1535) (0.140 COMP337) (0.139 COMP1536) (0.118 COMP483/COMP484) (0.117 COMP56) (0.110 COMP1540) (0.105 COMP1450) (0.102 COMP1090)
Antialcoholic	0.504	COMP715	(0.272 COMP1543) (0.261 COMP1542) (0.254 COMP56) (0.250 COMP1447/COMP1452) (0.247 COMP1536) (0.244 COMP337) (0.242 COMP683) (0.240 COMP1237) (0.235 COMP1449) (0.230 COMP60) (0.228 COMP198) (0.225 COMP48) (0.223 COMP1448) (0.214 COMP1442/COMP1537/COMP1540) (0.208 COMP693/COMP704/COMP731) (0.200 COMP1450) (0.192 COMP55/COMP823) (0.190 COMP241/COMP245) (0.188 COMP1538) (0.177 COMP1544/COMP717) (0.175 COMP1539) (0.170 COMP508) (0.169 COMP483/COMP484) (0.154 COMP1541) (0.153 COMP1451)
Antiallergic	0.644	COMP717	(0.338 COMP1538) (0.236 COMP48) (0.198 COMP60) (0.196 COMP483/COMP484) (0.195 COMP683)
Antiamyloidogenic	0.753	COMP46	(0.701 COMP508) (0.677 COMP483/COMP484) (0.670 COMP56) (0.664 COMP1541) (0.644 COMP1544) (0.635 COMP337) (0.602 COMP1538) (0.567 COMP715) (0.558 COMP693/COMP704/COMP731) (0.519 COMP48) (0.516 COMP1536) (0.511 COMP198) (0.460 COMP241/COMP245) (0.449 COMP1442/COMP1537) (0.419 COMP683) (0.409 COMP1540) (0.402 COMP1447/COMP1452) (0.382 COMP1450) (0.380 COMP60) (0.373 COMP1448) (0.355 COMP1539) (0.351 COMP1543) (0.335 COMP1237) (0.332 COMP1090) (0.310 COMP1451) (0.304 COMP823) (0.287 COMP1449) (0.269 COMP1535) (0.224 COMP1542)
Antianemic	0.342	COMP60	(0.316 COMP55) (0.294 COMP683) (0.287 COMP717) (0.283 COMP1539) (0.262 COMP1448) (0.179 COMP823) (0.176 COMP1542) (0.173 COMP1449) (0.160 COMP1535) (0.155 COMP1543) (0.154 COMP1237) (0.147 COMP241/COMP245) (0.142 COMP1090) (0.135 COMP1450/COMP48) (0.126 COMP1540) (0.117 COMP198)
Antianginal	0.159	COMP717	(0.157 COMP823)
Antianorexic	0.302	COMP823	(0.251 COMP1542) (0.214 COMP1449) (0.206 COMP1448) (0.191 COMP60) (0.188 COMP1090) (0.182 COMP1543) (0.172 COMP1540) (0.168 COMP1450) (0.159 COMP55/COMP717) (0.151 COMP1237) (0.147 COMP683) (0.122 COMP1539) (0.117 COMP241/COMP245)
Antiarrhythmic	0.317	COMP715	
Antiarthritic	0.520	COMP717	(0.476 COMP1538) (0.461 COMP483/COMP484) (0.455 COMP46) (0.441 COMP508) (0.431 COMP1536) (0.416 COMP693/COMP704/COMP731) (0.400 COMP56) (0.385 COMP1541) (0.375 COMP1544) (0.364 COMP823) (0.361 COMP60) (0.358 COMP1539) (0.351 COMP337) (0.343 COMP1447/COMP1452) (0.342 COMP683) (0.338 COMP1448) (0.329 COMP1442/COMP1537) (0.261 COMP1451) (0.248 COMP1543) (0.237 COMP55)
Antibacterial	0.791	COMP46	(0.759 COMP508) (0.747 COMP56) (0.723 COMP1447/COMP1452) (0.722 COMP337) (0.713 COMP1541) (0.706 COMP1538) (0.705 COMP1442/COMP1537) (0.696 COMP1544) (0.691 COMP1451) (0.688 COMP693/COMP704/COMP731) (0.683 COMP483/COMP484) (0.675 COMP1536) (0.554 COMP1448) (0.512 COMP48) (0.508 COMP1539/COMP1543) (0.506 COMP683) (0.494 COMP1535) (0.493 COMP1237) (0.487 COMP715) (0.481 COMP60) (0.479 COMP198) (0.478 COMP55) (0.468 COMP1449) (0.455 COMP1540) (0.450 COMP1450) (0.427 COMP717) (0.404 COMP1090) (0.401 COMP241/COMP245) (0.375 COMP1542) (0.262 COMP823)
Antibiotic	0.288	COMP1447/COMP1452	(0.279 COMP46) (0.256 COMP1442/COMP1537) (0.237 COMP508) (0.232 COMP1541) (0.229 COMP56) (0.225 COMP1538/COMP337) (0.224 COMP1451) (0.219 COMP1536) (0.213 COMP693/COMP704/COMP731) (0.209 COMP1544) (0.172 COMP483/COMP484) (0.140 COMP1448) (0.139 COMP717) (0.133 COMP1543) (0.130 COMP683) (0.128 COMP1539) (0.120 COMP55) (0.119 COMP1237) (0.118 COMP60) (0.105 COMP1535) (0.104 COMP1449) (0.103 COMP1540/COMP715) (0.099 COMP1450) (0.086 COMP1542) (0.085 COMP198) (0.084 COMP48) (0.080 COMP241/COMP245) (0.079 COMP1090)
Antibiotic Aminoglycoside-like	0.116	COMP1536	(0.112 COMP693/COMP704/COMP731) (0.108 COMP1538) (0.105 COMP1541) (0.101 COMP1447/COMP1452/COMP337) (0.094 COMP56) (0.093 COMP1442/COMP1537) (0.087 COMP46) (0.086 COMP1451) (0.085 COMP483/COMP484) (0.083 COMP1544) (0.081 COMP508) (0.039 COMP717) (0.036 COMP1543) (0.035 COMP715)
