Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.111	COMP178	
AR expression inhibitor	0.581	COMP178	(0.388 COMP1434) (0.369 COMP2338) (0.367 COMP2339) (0.347 COMP2340)
CTGF expression inhibitor	0.227	COMP178	
GRP78 expression inhibitor	0.027	COMP2338/COMP2340	(0.022 COMP1434)
ICAM1 expression inhibitor	0.679	COMP178	(0.599 COMP2338) (0.597 COMP1434) (0.557 COMP2340) (0.547 COMP2339)
NOS2 expression inhibitor	0.739	COMP1434	(0.705 COMP2338) (0.697 COMP2340) (0.689 COMP2339) (0.479 COMP178)
NOS3 expression enhancer	0.236	COMP2338	(0.232 COMP2339) (0.218 COMP1434) (0.198 COMP2340)
NOS3 expression inhibitor	0.597	COMP2340	(0.583 COMP2338) (0.577 COMP1434) (0.530 COMP2339) (0.498 COMP178)
TNF expression inhibitor	0.650	COMP178	(0.583 COMP2338) (0.577 COMP2340) (0.563 COMP1434) (0.507 COMP2339)
VCAM1 expression inhibitor	0.605	COMP1434	(0.591 COMP2338) (0.506 COMP2339) (0.444 COMP2340)
