Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.405	COMP1610/COMP436	(0.377 COMP287/COMP450) (0.362 COMP77) (0.346 COMP697/COMP889) (0.324 COMP389/COMP390) (0.240 COMP285) (0.225 COMP887) (0.164 COMP1600) (0.163 COMP16/COMP18) (0.160 COMP1598) (0.157 COMP1599) (0.135 COMP1116/COMP1261) (0.119 COMP40/COMP41) (0.110 COMP1588/COMP1601) (0.107 COMP1597) (0.106 COMP1594) (0.103 COMP27) (0.094 COMP876) (0.089 COMP20)
AR expression inhibitor	0.808	COMP1601	(0.804 COMP1599) (0.767 COMP1597) (0.706 COMP1609) (0.659 COMP389/COMP390) (0.655 COMP1600) (0.652 COMP697/COMP889) (0.651 COMP1116/COMP1261) (0.595 COMP1598) (0.587 COMP887) (0.556 COMP40/COMP41) (0.528 COMP1536) (0.524 COMP27) (0.522 COMP1610/COMP436) (0.521 COMP1602) (0.512 COMP1587/COMP1611) (0.504 COMP16/COMP18) (0.499 COMP287/COMP450) (0.485 COMP1397/COMP77) (0.484 COMP20) (0.457 COMP285) (0.455 COMP1594) (0.424 COMP273/COMP404/COMP880/COMP883/COMP897/COMP898) (0.403 COMP1590) (0.396 COMP1588/COMP1607) (0.393 COMP1120) (0.383 COMP876) (0.355 COMP1528/COMP1533) (0.354 COMP197) (0.341 COMP1589) (0.337 COMP1605) (0.308 COMP243) (0.271 COMP1595/COMP1604) (0.261 COMP1603) (0.234 COMP1608) (0.217 COMP381) (0.214 COMP385) (0.196 COMP1596) (0.183 COMP383)
CTGF expression inhibitor	0.857	COMP1610/COMP436	(0.824 COMP287/COMP450) (0.821 COMP389/COMP390) (0.811 COMP77) (0.807 COMP697/COMP889) (0.802 COMP887) (0.801 COMP1594) (0.777 COMP40/COMP41) (0.767 COMP285) (0.766 COMP16/COMP18) (0.762 COMP1601) (0.751 COMP1599) (0.742 COMP27) (0.739 COMP381) (0.678 COMP20) (0.667 COMP1588) (0.662 COMP1597) (0.650 COMP1600) (0.637 COMP876) (0.614 COMP1598) (0.584 COMP1596) (0.577 COMP1120) (0.521 COMP1589) (0.484 COMP197) (0.478 COMP1605) (0.457 COMP273/COMP404/COMP883/COMP897/COMP898) (0.439 COMP378/COMP380/COMP384) (0.387 COMP1116/COMP1261) (0.386 COMP385) (0.384 COMP880) (0.369 COMP383) (0.328 COMP1528/COMP1533) (0.302 COMP1609) (0.296 COMP1536) (0.289 COMP243) (0.233 COMP1602) (0.229 COMP1587/COMP1611) (0.217 COMP1603)
GRP78 expression inhibitor	0.085	COMP1602	(0.051 COMP1536) (0.042 COMP1397) (0.033 COMP16/COMP18) (0.026 COMP1587/COMP1611) (0.023 COMP40/COMP41) (0.022 COMP381) (0.021 COMP1599/COMP20/COMP27/COMP697/COMP889) (0.020 COMP880)
ICAM1 expression inhibitor	0.628	COMP273/COMP404/COMP883/COMP897/COMP898	(0.625 COMP1602) (0.589 COMP1536) (0.568 COMP1397) (0.547 COMP1587/COMP1611) (0.512 COMP1599) (0.511 COMP27) (0.507 COMP1607) (0.505 COMP1597) (0.500 COMP20) (0.489 COMP1120) (0.480 COMP389/COMP390) (0.477 COMP197/COMP40/COMP41) (0.476 COMP697/COMP889) (0.452 COMP887) (0.446 COMP1601) (0.445 COMP1610/COMP436) (0.436 COMP1594/COMP16/COMP18) (0.427 COMP287/COMP450) (0.413 COMP77) (0.405 COMP285) (0.399 COMP1588) (0.397 COMP1603) (0.392 COMP1116/COMP1261) (0.391 COMP876) (0.382 COMP1600) (0.375 COMP1528/COMP1533) (0.361 COMP243) (0.360 COMP1598) (0.359 COMP1589) (0.355 COMP1605) (0.340 COMP1609) (0.332 COMP880) (0.330 COMP1595/COMP1604) (0.326 COMP1608) (0.275 COMP383) (0.271 COMP1606) (0.267 COMP381) (0.266 COMP1596) (0.245 COMP385) (0.220 COMP378/COMP380/COMP384)
LDLR expression enhancer	0.467	COMP1610/COMP436	(0.450 COMP1598) (0.445 COMP1599) (0.378 COMP287/COMP450) (0.375 COMP1597) (0.365 COMP77) (0.348 COMP1601) (0.312 COMP887) (0.302 COMP1600) (0.278 COMP273/COMP404/COMP883/COMP897/COMP898) (0.273 COMP1609) (0.266 COMP389/COMP390) (0.256 COMP285) (0.250 COMP243) (0.249 COMP697/COMP889) (0.244 COMP1594) (0.239 COMP876) (0.231 COMP880) (0.226 COMP27) (0.224 COMP1603) (0.218 COMP1120) (0.211 COMP20) (0.210 COMP40/COMP41) (0.203 COMP1116/COMP1261/COMP197) (0.192 COMP1588) (0.185 COMP1608) (0.184 COMP1605) (0.183 COMP381) (0.178 COMP16/COMP18) (0.162 COMP1528/COMP1533) (0.147 COMP383)
NOS2 expression inhibitor	0.895	COMP1597	(0.873 COMP1587/COMP1611) (0.866 COMP1599) (0.821 COMP273/COMP404/COMP883/COMP897/COMP898) (0.818 COMP1536) (0.713 COMP243) (0.704 COMP1601) (0.661 COMP1610/COMP436) (0.649 COMP887) (0.640 COMP1609) (0.638 COMP1602) (0.614 COMP1600) (0.603 COMP77) (0.596 COMP1594/COMP876) (0.585 COMP389/COMP390) (0.573 COMP287/COMP450) (0.568 COMP1116/COMP1261) (0.565 COMP1598) (0.558 COMP697/COMP889) (0.542 COMP27) (0.536 COMP1603) (0.535 COMP1608) (0.531 COMP1588) (0.530 COMP1397) (0.529 COMP1120) (0.515 COMP285/COMP40/COMP41) (0.503 COMP880) (0.502 COMP20) (0.497 COMP1528/COMP1533) (0.488 COMP197) (0.448 COMP1605) (0.445 COMP16/COMP18) (0.400 COMP1589) (0.377 COMP1607) (0.225 COMP381) (0.177 COMP1590)
NOS3 expression enhancer	0.694	COMP1598	(0.692 COMP1599) (0.673 COMP389/COMP390) (0.672 COMP697/COMP889) (0.643 COMP1602) (0.588 COMP1536) (0.572 COMP1600) (0.559 COMP1597) (0.550 COMP887) (0.490 COMP1601) (0.468 COMP1607) (0.420 COMP1587/COMP1611) (0.383 COMP1397) (0.350 COMP273/COMP404/COMP883/COMP897/COMP898) (0.324 COMP1610/COMP285/COMP436) (0.301 COMP287/COMP450) (0.263 COMP77) (0.221 COMP1594) (0.204 COMP880) (0.202 COMP1595/COMP1604) (0.190 COMP1606) (0.170 COMP40/COMP41) (0.148 COMP1588) (0.141 COMP20/COMP27) (0.134 COMP1116/COMP1261) (0.126 COMP1528/COMP1533) (0.125 COMP876)
NOS3 expression inhibitor	0.936	COMP1598	(0.926 COMP1610/COMP436) (0.919 COMP287/COMP450) (0.910 COMP77) (0.909 COMP1597) (0.867 COMP1599) (0.865 COMP1601) (0.862 COMP285) (0.854 COMP1600) (0.846 COMP1602) (0.842 COMP27) (0.823 COMP20) (0.769 COMP1536) (0.764 COMP40/COMP41) (0.759 COMP381) (0.747 COMP1607) (0.732 COMP1120) (0.704 COMP197) (0.679 COMP1397) (0.664 COMP16/COMP18) (0.603 COMP1587/COMP1611) (0.526 COMP697/COMP889) (0.513 COMP378/COMP380/COMP384) (0.506 COMP389/COMP390) (0.502 COMP385) (0.477 COMP1596) (0.454 COMP887) (0.450 COMP383) (0.441 COMP1588) (0.402 COMP273/COMP404/COMP883/COMP897/COMP898) (0.401 COMP1594) (0.395 COMP1116/COMP1261) (0.394 COMP876) (0.384 COMP1609) (0.363 COMP880) (0.353 COMP1528/COMP1533) (0.330 COMP1589) (0.297 COMP1605) (0.234 COMP1595/COMP1604) (0.227 COMP1603) (0.207 COMP1606) (0.205 COMP1608)
TNF expression inhibitor	0.990	COMP1597	(0.947 COMP1599) (0.942 COMP1601) (0.935 COMP1598) (0.932 COMP1610/COMP436) (0.899 COMP77) (0.897 COMP1536) (0.892 COMP20) (0.890 COMP1116/COMP1261) (0.887 COMP1609) (0.881 COMP27) (0.875 COMP287/COMP450) (0.857 COMP40/COMP41) (0.833 COMP887) (0.820 COMP1594) (0.801 COMP389/COMP390) (0.780 COMP197) (0.777 COMP1600) (0.772 COMP697/COMP889) (0.763 COMP16/COMP18) (0.760 COMP1120) (0.755 COMP285) (0.729 COMP1602) (0.663 COMP381) (0.648 COMP1587/COMP1611) (0.624 COMP1596) (0.609 COMP273/COMP404/COMP883/COMP897/COMP898) (0.602 COMP1397) (0.578 COMP876) (0.561 COMP1595/COMP1604) (0.537 COMP1528/COMP1533/COMP243) (0.535 COMP1588) (0.534 COMP1605) (0.516 COMP378/COMP380/COMP384) (0.494 COMP880) (0.490 COMP1589) (0.478 COMP385) (0.468 COMP1607) (0.393 COMP383) (0.377 COMP1603) (0.306 COMP1608) (0.255 COMP1606)
