Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.792	COMP1609	(0.695 COMP1116/COMP1261) (0.488 COMP20) (0.421 COMP40/COMP41) (0.415 COMP1600) (0.408 COMP1597) (0.400 COMP27) (0.399 COMP197) (0.370 COMP1599) (0.353 COMP1610/COMP436) (0.352 COMP16/COMP18) (0.345 COMP1598) (0.338 COMP287/COMP450) (0.332 COMP77) (0.313 COMP1120/COMP1601) (0.312 COMP285) (0.311 COMP1590) (0.307 COMP697/COMP889) (0.306 COMP389/COMP390) (0.264 COMP1594) (0.254 COMP887) (0.222 COMP1588) (0.196 COMP876) (0.189 COMP880) (0.188 COMP1606) (0.155 COMP1602) (0.144 COMP1528/COMP1533) (0.133 COMP1607) (0.132 COMP378/COMP380/COMP384) (0.131 COMP1587/COMP1611) (0.130 COMP1536) (0.129 COMP273/COMP385/COMP404/COMP883/COMP897/COMP898) (0.126 COMP1603) (0.125 COMP383) (0.118 COMP1397/COMP1608) (0.111 COMP243) (0.107 COMP381)
Aldehyde dehydrogenase substrate	0.336	COMP20	(0.311 COMP40/COMP41) (0.301 COMP27) (0.300 COMP197) (0.294 COMP16/COMP18) (0.276 COMP1590) (0.262 COMP1120) (0.248 COMP1606) (0.234 COMP1594) (0.223 COMP1116/COMP1261) (0.219 COMP389/COMP390) (0.211 COMP697/COMP889) (0.206 COMP887) (0.203 COMP1609) (0.197 COMP1588) (0.196 COMP876) (0.163 COMP1595/COMP1604) (0.152 COMP1602) (0.151 COMP1587/COMP1611) (0.141 COMP1536) (0.134 COMP1591) (0.128 COMP1592) (0.121 COMP1593) (0.118 COMP880) (0.108 COMP273/COMP404/COMP883/COMP897/COMP898) (0.101 COMP1528/COMP1533/COMP1605) (0.099 COMP1397)
Aldehyde oxidase substrate	0.319	COMP381	(0.316 COMP876) (0.285 COMP1588) (0.255 COMP16/COMP18) (0.221 COMP383) (0.219 COMP389/COMP390) (0.214 COMP378/COMP380/COMP384) (0.205 COMP887) (0.204 COMP273/COMP404/COMP883/COMP897/COMP898) (0.186 COMP40/COMP41) (0.180 COMP697/COMP889) (0.172 COMP385) (0.168 COMP1596) (0.166 COMP20/COMP27) (0.160 COMP1595/COMP1604) (0.136 COMP1594)
Aldose reductase substrate	0.874	COMP1602	(0.722 COMP1397) (0.674 COMP1536) (0.492 COMP1587/COMP1611) (0.338 COMP1116/COMP1261) (0.296 COMP1607) (0.249 COMP1601) (0.248 COMP16/COMP18) (0.222 COMP243) (0.210 COMP1588) (0.204 COMP697/COMP889) (0.197 COMP876) (0.194 COMP40/COMP41) (0.190 COMP389/COMP390) (0.187 COMP1606) (0.181 COMP1595/COMP1604) (0.180 COMP887) (0.179 COMP20/COMP27) (0.165 COMP385) (0.164 COMP1608/COMP1610/COMP436) (0.154 COMP378/COMP380/COMP384) (0.152 COMP1609) (0.143 COMP381) (0.141 COMP383) (0.137 COMP880) (0.133 COMP287/COMP450) (0.131 COMP1528/COMP1533/COMP1597) (0.128 COMP273/COMP404/COMP883/COMP897/COMP898)
Arylamine N-Acetyltransferase substrate	0.418	COMP27	(0.390 COMP20) (0.381 COMP40/COMP41) (0.318 COMP16/COMP18) (0.219 COMP697/COMP889) (0.185 COMP389/COMP390) (0.178 COMP1120) (0.162 COMP197) (0.143 COMP1602) (0.120 COMP1536) (0.115 COMP887) (0.098 COMP1588) (0.091 COMP381)
CYP1A2 inhibitor	0.430	COMP887	(0.399 COMP1594) (0.362 COMP389/COMP390) (0.352 COMP697/COMP889) (0.313 COMP243) (0.302 COMP273/COMP404/COMP883/COMP897/COMP898) (0.196 COMP1609) (0.186 COMP1120) (0.185 COMP876) (0.178 COMP27)
CYP1A2 substrate	0.914	COMP1599	(0.884 COMP1597) (0.804 COMP1600) (0.789 COMP1598) (0.690 COMP1601) (0.606 COMP1589) (0.600 COMP27) (0.574 COMP697/COMP889) (0.569 COMP389/COMP390) (0.568 COMP1605) (0.564 COMP887) (0.532 COMP40/COMP41) (0.531 COMP1603) (0.513 COMP20) (0.460 COMP243) (0.428 COMP16/COMP18) (0.391 COMP1596) (0.382 COMP1610/COMP436) (0.369 COMP1120) (0.364 COMP1608) (0.361 COMP273/COMP404/COMP883/COMP897/COMP898) (0.340 COMP1609) (0.323 COMP1588) (0.321 COMP1594) (0.318 COMP287/COMP450) (0.308 COMP1116/COMP1261) (0.304 COMP381) (0.299 COMP197) (0.296 COMP1528/COMP1533/COMP876) (0.269 COMP77) (0.263 COMP1536) (0.239 COMP1602) (0.236 COMP285) (0.233 COMP880) (0.226 COMP1587/COMP1611) (0.223 COMP1606) (0.218 COMP1595/COMP1604) (0.203 COMP383) (0.190 COMP378/COMP380/COMP384)
CYP24 inhibitor	0.066	COMP1610/COMP287/COMP436/COMP450	(0.060 COMP285/COMP77) (0.026 COMP1598) (0.021 COMP1589/COMP1599)
CYP2A6 inhibitor	0.167	COMP1609	(0.087 COMP1589) (0.073 COMP16/COMP18) (0.066 COMP40/COMP41)
CYP2B6 inhibitor	0.556	COMP1609	(0.430 COMP27) (0.427 COMP1116/COMP1261) (0.391 COMP40/COMP41) (0.376 COMP1120) (0.375 COMP20) (0.335 COMP197) (0.330 COMP16/COMP18) (0.320 COMP887) (0.317 COMP697/COMP889) (0.315 COMP389/COMP390) (0.303 COMP1594) (0.280 COMP1588) (0.278 COMP876) (0.224 COMP1589) (0.219 COMP1605) (0.218 COMP880) (0.210 COMP273/COMP404/COMP883/COMP897/COMP898) (0.198 COMP1610/COMP436) (0.183 COMP381) (0.167 COMP243) (0.160 COMP287/COMP450) (0.158 COMP1600) (0.156 COMP1590) (0.152 COMP77) (0.148 COMP1601)
CYP2C19 inhibitor	0.835	COMP1597	(0.763 COMP1601) (0.642 COMP1600) (0.639 COMP1599) (0.637 COMP1598) (0.632 COMP1603) (0.621 COMP1608) (0.546 COMP273/COMP404/COMP883/COMP897/COMP898) (0.545 COMP1605) (0.537 COMP1589) (0.527 COMP243) (0.508 COMP197) (0.504 COMP1528/COMP1533) (0.485 COMP1120) (0.483 COMP1609) (0.480 COMP887) (0.472 COMP697/COMP889) (0.461 COMP389/COMP390) (0.443 COMP880) (0.437 COMP20) (0.414 COMP27) (0.413 COMP1610/COMP436) (0.403 COMP378/COMP380/COMP384) (0.384 COMP40/COMP41) (0.377 COMP1594) (0.334 COMP383) (0.328 COMP1595/COMP1604) (0.322 COMP385) (0.309 COMP287/COMP450) (0.308 COMP16/COMP18) (0.272 COMP876) (0.263 COMP381) (0.261 COMP77) (0.260 COMP1588) (0.253 COMP1116/COMP1261) (0.236 COMP1536) (0.219 COMP285)
CYP2C19 substrate	0.950	COMP1610/COMP436	(0.937 COMP1597/COMP1599) (0.923 COMP1598) (0.921 COMP287/COMP450) (0.897 COMP77) (0.888 COMP1601) (0.783 COMP285) (0.709 COMP1600) (0.678 COMP27) (0.632 COMP40/COMP41) (0.620 COMP876) (0.614 COMP1588) (0.612 COMP1120) (0.601 COMP20) (0.592 COMP1536) (0.583 COMP1609) (0.547 COMP16/COMP18) (0.540 COMP197) (0.537 COMP887) (0.536 COMP1594) (0.530 COMP1607) (0.528 COMP1596/COMP389/COMP390) (0.521 COMP697/COMP889) (0.515 COMP1603) (0.505 COMP381) (0.477 COMP1116/COMP1261/COMP1602) (0.390 COMP1587/COMP1611) (0.377 COMP273/COMP404/COMP883/COMP897/COMP898) (0.370 COMP1608) (0.330 COMP880) (0.246 COMP378/COMP380/COMP384) (0.241 COMP383) (0.204 COMP1592) (0.201 COMP243) (0.200 COMP1605) (0.199 COMP385) (0.197 COMP1589) (0.196 COMP1397)
CYP2C9 inhibitor	0.435	COMP1601	(0.429 COMP273/COMP404/COMP883/COMP897/COMP898) (0.417 COMP197) (0.397 COMP1598) (0.393 COMP1120) (0.389 COMP1609) (0.350 COMP389/COMP390) (0.341 COMP887) (0.339 COMP20) (0.338 COMP697/COMP889) (0.324 COMP1600) (0.315 COMP1603/COMP27) (0.292 COMP1599) (0.289 COMP1597) (0.279 COMP40/COMP41) (0.277 COMP243) (0.264 COMP1588) (0.258 COMP1596) (0.257 COMP876) (0.244 COMP1608) (0.221 COMP1594/COMP16/COMP18)
