Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.628	COMP1601	(0.614 COMP1598) (0.613 COMP1610/COMP436) (0.601 COMP1597) (0.598 COMP1599) (0.581 COMP77) (0.566 COMP285) (0.565 COMP287/COMP450) (0.548 COMP1600) (0.544 COMP40/COMP41) (0.532 COMP1609) (0.530 COMP27) (0.528 COMP1116/COMP1261) (0.518 COMP1120) (0.507 COMP16/COMP18) (0.506 COMP20) (0.497 COMP381) (0.494 COMP197) (0.439 COMP1596) (0.429 COMP697/COMP889) (0.392 COMP389/COMP390) (0.380 COMP378/COMP380/COMP384) (0.376 COMP1594) (0.375 COMP887) (0.371 COMP1588) (0.364 COMP385) (0.330 COMP880) (0.321 COMP876) (0.292 COMP1603) (0.285 COMP273/COMP404/COMP883/COMP897/COMP898) (0.278 COMP383) (0.236 COMP1602) (0.229 COMP1590) (0.227 COMP1608) (0.222 COMP1607) (0.207 COMP243) (0.194 COMP1397) (0.189 COMP1589) (0.177 COMP1536) (0.167 COMP1528/COMP1533) (0.160 COMP1605) (0.148 COMP1587/COMP1611)
Carcinogenic	0.974	COMP1597	(0.944 COMP285) (0.925 COMP77) (0.911 COMP1601) (0.884 COMP1610/COMP436) (0.875 COMP1599) (0.851 COMP287/COMP450) (0.836 COMP1609) (0.828 COMP1116/COMP1261) (0.803 COMP1600) (0.775 COMP20) (0.772 COMP1598) (0.748 COMP27) (0.708 COMP40/COMP41) (0.666 COMP383) (0.646 COMP243) (0.643 COMP197) (0.621 COMP1536) (0.608 COMP1120) (0.607 COMP389/COMP390) (0.602 COMP16/COMP18) (0.601 COMP1602) (0.597 COMP697/COMP889) (0.583 COMP1594) (0.470 COMP1397) (0.433 COMP887) (0.384 COMP385) (0.368 COMP1588) (0.362 COMP378/COMP380/COMP384) (0.294 COMP1587/COMP1611) (0.284 COMP1603) (0.278 COMP1608) (0.265 COMP1606) (0.260 COMP1589) (0.246 COMP876) (0.236 COMP1595/COMP1604) (0.220 COMP381) (0.217 COMP273/COMP404/COMP883/COMP897/COMP898) (0.192 COMP1607) (0.184 COMP1605) (0.160 COMP1596) (0.149 COMP880) (0.137 COMP1590) (0.125 COMP1528/COMP1533)
Carcinogenic. group 1	0.932	COMP1603	(0.800 COMP1602) (0.761 COMP1608) (0.542 COMP1536) (0.529 COMP243) (0.461 COMP16/COMP18) (0.441 COMP40/COMP41) (0.393 COMP20/COMP27) (0.321 COMP273/COMP404/COMP883/COMP897/COMP898) (0.317 COMP1120/COMP197) (0.312 COMP1587/COMP1588/COMP1611) (0.304 COMP697/COMP889) (0.288 COMP1397) (0.267 COMP1589) (0.257 COMP381) (0.244 COMP876) (0.236 COMP389/COMP390) (0.223 COMP887) (0.211 COMP880) (0.207 COMP1605) (0.205 COMP1609) (0.193 COMP1596) (0.173 COMP1116/COMP1261) (0.161 COMP1594) (0.158 COMP1595/COMP1604) (0.155 COMP378/COMP380/COMP384) (0.148 COMP1528/COMP1533) (0.145 COMP383/COMP385)
Carcinogenic. group 2A	0.848	COMP1603	(0.815 COMP1602) (0.740 COMP1608) (0.477 COMP1536) (0.362 COMP243) (0.293 COMP273/COMP404/COMP883/COMP897/COMP898) (0.260 COMP1397) (0.170 COMP1587/COMP1611) (0.156 COMP381) (0.148 COMP1528/COMP1533) (0.136 COMP1609) (0.135 COMP1589) (0.122 COMP16/COMP18) (0.121 COMP1605/COMP697/COMP889) (0.111 COMP1588) (0.107 COMP1120/COMP197) (0.106 COMP1595/COMP1604) (0.102 COMP389/COMP390) (0.101 COMP880) (0.099 COMP1596/COMP40/COMP41) (0.097 COMP876) (0.093 COMP887) (0.087 COMP1606) (0.082 COMP20/COMP27) (0.075 COMP1116/COMP1261)
Carcinogenic. group 2B	0.509	COMP389/COMP390	(0.495 COMP697/COMP889) (0.461 COMP243) (0.432 COMP1601) (0.354 COMP1602) (0.348 COMP887) (0.325 COMP1397) (0.291 COMP1536) (0.248 COMP1597) (0.205 COMP1600) (0.203 COMP16/COMP18) (0.201 COMP273/COMP404/COMP883/COMP897/COMP898) (0.196 COMP1589) (0.174 COMP1594) (0.167 COMP1599) (0.166 COMP1588) (0.161 COMP1605/COMP40/COMP41) (0.146 COMP1116/COMP1261) (0.145 COMP1598) (0.138 COMP1609) (0.135 COMP27) (0.134 COMP876) (0.131 COMP1587/COMP1611) (0.119 COMP20)
Carcinogenic. group 3	0.892	COMP1597	(0.618 COMP1601) (0.520 COMP1599) (0.519 COMP697/COMP889) (0.454 COMP40/COMP41) (0.439 COMP389/COMP390) (0.431 COMP16/COMP18) (0.381 COMP27) (0.377 COMP243) (0.365 COMP1600) (0.359 COMP1120) (0.319 COMP1610/COMP436) (0.317 COMP20) (0.302 COMP197) (0.300 COMP1594) (0.277 COMP887) (0.275 COMP1602) (0.240 COMP77) (0.225 COMP287/COMP450) (0.211 COMP1397) (0.209 COMP1598) (0.205 COMP1588) (0.183 COMP1589) (0.164 COMP1116/COMP1261) (0.149 COMP1609) (0.146 COMP1536) (0.114 COMP285) (0.108 COMP381)
Cardiodepressant	0.715	COMP1596	(0.668 COMP381) (0.597 COMP378/COMP380/COMP384) (0.586 COMP385) (0.551 COMP1600) (0.531 COMP1610/COMP436) (0.514 COMP1597) (0.473 COMP1594) (0.452 COMP1598) (0.450 COMP1599) (0.413 COMP876) (0.412 COMP16/COMP18) (0.403 COMP243) (0.394 COMP287/COMP450) (0.376 COMP1588) (0.357 COMP383/COMP77) (0.321 COMP1595/COMP1604) (0.317 COMP887) (0.316 COMP40/COMP41) (0.295 COMP389/COMP390) (0.270 COMP285) (0.266 COMP1605) (0.264 COMP27) (0.258 COMP1120) (0.257 COMP1116/COMP1261) (0.250 COMP1601/COMP697/COMP889) (0.236 COMP273/COMP404/COMP883/COMP897/COMP898) (0.234 COMP1589) (0.224 COMP1536) (0.207 COMP1603) (0.205 COMP1602) (0.203 COMP1608) (0.200 COMP20) (0.194 COMP197) (0.193 COMP880) (0.188 COMP1587/COMP1611) (0.145 COMP1528/COMP1533)
Cytotoxic	0.650	COMP1610/COMP436	(0.637 COMP1595/COMP1604) (0.607 COMP1606/COMP77) (0.597 COMP287/COMP450) (0.586 COMP285) (0.581 COMP1602) (0.580 COMP1607) (0.578 COMP1536) (0.568 COMP1599) (0.564 COMP1597) (0.532 COMP1587/COMP1611) (0.505 COMP273/COMP404/COMP883/COMP897/COMP898) (0.502 COMP1601/COMP1603) (0.491 COMP1600) (0.477 COMP20) (0.456 COMP27) (0.447 COMP1608) (0.435 COMP1397) (0.433 COMP40/COMP41) (0.426 COMP1528/COMP1533) (0.411 COMP197) (0.409 COMP1598) (0.387 COMP243) (0.386 COMP1120) (0.366 COMP1116/COMP1261) (0.360 COMP16/COMP18) (0.353 COMP1594) (0.329 COMP1609) (0.323 COMP1605) (0.320 COMP1589) (0.308 COMP381) (0.291 COMP887) (0.290 COMP389/COMP390) (0.288 COMP697/COMP889) (0.285 COMP880) (0.259 COMP876) (0.254 COMP1588) (0.240 COMP383) (0.210 COMP1596) (0.162 COMP378/COMP380/COMP384) (0.158 COMP385) (0.131 COMP1590)
DNA damaging	0.804	COMP243	(0.801 COMP1603) (0.800 COMP1608) (0.636 COMP1536) (0.527 COMP1602) (0.513 COMP1595/COMP1604) (0.502 COMP1599) (0.491 COMP1594) (0.465 COMP1587/COMP1611) (0.437 COMP887) (0.403 COMP389/COMP390) (0.397 COMP697/COMP889) (0.390 COMP1597) (0.378 COMP1601) (0.362 COMP1397) (0.359 COMP273/COMP404/COMP883/COMP897/COMP898) (0.353 COMP1606) (0.334 COMP16/COMP18) (0.311 COMP1610/COMP436) (0.292 COMP1120/COMP1600) (0.279 COMP1607) (0.275 COMP40/COMP41) (0.267 COMP381) (0.250 COMP1598/COMP880) (0.238 COMP197) (0.227 COMP287/COMP450) (0.226 COMP27) (0.217 COMP1609) (0.207 COMP1116/COMP1261) (0.194 COMP77) (0.180 COMP20) (0.171 COMP1605) (0.162 COMP383)
Embryotoxic	0.985	COMP1607	(0.980 COMP1597) (0.946 COMP1601) (0.919 COMP1610/COMP436) (0.910 COMP1599) (0.908 COMP77) (0.899 COMP285) (0.897 COMP1397/COMP287/COMP450) (0.883 COMP1598) (0.855 COMP1600) (0.837 COMP383) (0.756 COMP1602) (0.754 COMP1606) (0.742 COMP1609) (0.731 COMP1116/COMP1261) (0.729 COMP378/COMP380/COMP384) (0.724 COMP385) (0.723 COMP1536) (0.702 COMP40/COMP41) (0.671 COMP16/COMP18) (0.645 COMP1595/COMP1604) (0.644 COMP27) (0.626 COMP20) (0.625 COMP1594) (0.573 COMP1120) (0.550 COMP197) (0.513 COMP697/COMP889) (0.502 COMP389/COMP390) (0.496 COMP1587/COMP1611) (0.490 COMP381) (0.440 COMP1588) (0.418 COMP1596) (0.377 COMP887) (0.368 COMP1603) (0.314 COMP876) (0.288 COMP1589) (0.274 COMP1608) (0.244 COMP243) (0.243 COMP273/COMP404/COMP883/COMP897/COMP898) (0.204 COMP1605) (0.154 COMP1528/COMP1533)
