Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.144	COMP1696	(0.128 COMP1692) (0.082 COMP1706) (0.068 COMP1693) (0.063 COMP167) (0.048 COMP1702)
5 Hydroxytryptamine uptake inhibitor	0.517	COMP1690	(0.465 COMP1689) (0.129 COMP1700)
ATPase inhibitor	0.321	COMP1694	(0.238 COMP60) (0.225 COMP1697) (0.192 COMP1696) (0.191 COMP1702) (0.160 COMP1699) (0.145 COMP1689)
Acetylcholine M1 receptor antagonist	0.551	COMP1689	(0.514 COMP1690) (0.136 COMP60)
Acetylcholine M2 receptor agonist	0.061	COMP167	
Acetylcholine M2 receptor antagonist	0.181	COMP1689	(0.118 COMP1690)
Acetylcholine M3 receptor agonist	0.147	COMP167	(0.080 COMP1689)
Acetylcholine M3 receptor antagonist	0.198	COMP1689	(0.113 COMP1690)
Acetylcholinesterase inhibitor	0.186	COMP1702	(0.124 COMP1706) (0.111 COMP1696) (0.104 COMP1693)
Aconitate hydratase inhibitor	0.329	COMP60	(0.072 COMP1694) (0.061 COMP1702) (0.047 COMP1689)
Acyl-CoA dehydrogenase inhibitor	0.211	COMP60	(0.064 COMP1694) (0.056 COMP1702)
Adenosine deaminase inhibitor	0.074	COMP60	(0.048 COMP1702)
Adenylate cyclase inhibitor	0.253	COMP60	(0.237 COMP1706) (0.187 COMP1702) (0.181 COMP1696) (0.163 COMP1692) (0.128 COMP1704) (0.120 COMP1689) (0.094 COMP1705) (0.093 COMP1691)
Adenylate kinase inhibitor	0.331	COMP60	(0.138 COMP1702) (0.129 COMP1694) (0.091 COMP1689)
Adrenaline uptake inhibitor	0.137	COMP1700	(0.097 COMP1689) (0.094 COMP167) (0.069 COMP1690) (0.056 COMP1702)
Alcohol dehydrogenase inhibitor	0.389	COMP60	(0.138 COMP1694) (0.101 COMP1702)
Aldosterone antagonist	0.163	COMP1692	(0.085 COMP167) (0.082 COMP1704) (0.068 COMP1706) (0.066 COMP1696) (0.056 COMP1693) (0.043 COMP60)
Alkaline phosphatase inhibitor	0.271	COMP60	(0.144 COMP1694)
Alpha-mannosidase inhibitor	0.108	COMP1690	(0.103 COMP1689) (0.075 COMP60) (0.065 COMP1702)
Aminopeptidase A inhibitor	0.019	COMP60	
Androgen agonist	0.192	COMP1696	(0.121 COMP1704) (0.109 COMP1702) (0.105 COMP1706) (0.097 COMP1692) (0.094 COMP167) (0.088 COMP1694) (0.081 COMP1693) (0.073 COMP1689) (0.068 COMP1695/COMP60) (0.062 COMP1697)
Androgen antagonist	0.323	COMP1696	(0.307 COMP1706) (0.172 COMP1692) (0.159 COMP1693/COMP1702) (0.140 COMP1704) (0.104 COMP167) (0.101 COMP60)
Arginase inhibitor	0.070	COMP60	(0.032 COMP1694)
