Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.492	COMP167	(0.338 COMP1692) (0.256 COMP1706) (0.232 COMP1696) (0.171 COMP60) (0.127 COMP1693) (0.117 COMP1705)
AR expression inhibitor	0.656	COMP1692	(0.613 COMP1696) (0.540 COMP60) (0.536 COMP1693) (0.532 COMP1706) (0.516 COMP1702) (0.499 COMP1704) (0.397 COMP1698) (0.392 COMP1694) (0.381 COMP1703) (0.361 COMP1691) (0.345 COMP1695) (0.338 COMP1699/COMP1701) (0.325 COMP1700) (0.322 COMP1697) (0.298 COMP1705) (0.268 COMP167)
CTGF expression inhibitor	0.765	COMP1702	(0.704 COMP60) (0.539 COMP1696) (0.526 COMP1694) (0.346 COMP1704) (0.321 COMP1706) (0.315 COMP1689) (0.268 COMP167) (0.236 COMP1700) (0.226 COMP1690) (0.222 COMP1693)
GRP78 expression inhibitor	0.030	COMP60	(0.027 COMP1694) (0.024 COMP1702)
ICAM1 expression inhibitor	0.541	COMP1703	(0.525 COMP1691) (0.515 COMP1695) (0.496 COMP1696) (0.463 COMP60) (0.458 COMP1701) (0.451 COMP1698) (0.445 COMP1692/COMP1702) (0.441 COMP1699) (0.433 COMP1704) (0.422 COMP1697) (0.418 COMP1694) (0.374 COMP167) (0.361 COMP1706) (0.334 COMP1700) (0.308 COMP1705) (0.302 COMP1693)
LDLR expression enhancer	0.324	COMP1696	(0.270 COMP1706) (0.262 COMP60) (0.241 COMP1693) (0.212 COMP1694) (0.190 COMP1692) (0.185 COMP1702)
NOS2 expression inhibitor	0.613	COMP1702	(0.612 COMP1696/COMP1704) (0.561 COMP1694) (0.533 COMP1706) (0.511 COMP1693) (0.457 COMP60) (0.440 COMP1700) (0.412 COMP1692) (0.248 COMP1705) (0.237 COMP167) (0.214 COMP1689) (0.193 COMP1690) (0.182 COMP1703) (0.180 COMP1695) (0.175 COMP1691) (0.160 COMP1699/COMP1701)
NOS3 expression enhancer	0.381	COMP60	(0.257 COMP1702) (0.231 COMP1704) (0.211 COMP1696) (0.145 COMP1694)
NOS3 expression inhibitor	0.746	COMP1691	(0.730 COMP1703) (0.719 COMP1695) (0.602 COMP1696) (0.550 COMP1701) (0.531 COMP1702) (0.524 COMP1704) (0.495 COMP1706) (0.480 COMP1699) (0.451 COMP60) (0.450 COMP1693) (0.432 COMP1692) (0.403 COMP1694) (0.386 COMP1705) (0.340 COMP1698) (0.339 COMP1697) (0.338 COMP1700) (0.311 COMP1689) (0.287 COMP1690) (0.272 COMP167)
TNF expression inhibitor	0.849	COMP1696	(0.839 COMP1703) (0.791 COMP1706) (0.790 COMP1691) (0.716 COMP1695) (0.713 COMP1702) (0.619 COMP60) (0.593 COMP1693) (0.592 COMP1704) (0.562 COMP1692) (0.496 COMP1694) (0.468 COMP1699) (0.462 COMP1701) (0.426 COMP1700) (0.378 COMP1705) (0.372 COMP1689) (0.316 COMP167) (0.291 COMP1690) (0.254 COMP1698) (0.213 COMP1697)
VCAM1 expression inhibitor	0.428	COMP1700	(0.418 COMP60) (0.331 COMP1694) (0.272 COMP1702) (0.267 COMP1704) (0.239 COMP1697) (0.206 COMP1693) (0.189 COMP1696) (0.167 COMP1706) (0.163 COMP1689) (0.160 COMP1690) (0.159 COMP167)
VEGF expression inhibitor	0.265	COMP60	(0.263 COMP1702) (0.205 COMP1689) (0.201 COMP1694) (0.197 COMP1700) (0.196 COMP1696) (0.176 COMP1706) (0.173 COMP1690) (0.172 COMP1704) (0.171 COMP1693)
