Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.253	COMP1691	(0.226 COMP1703) (0.223 COMP1695) (0.186 COMP1704) (0.164 COMP1696) (0.152 COMP60) (0.143 COMP1706) (0.138 COMP1700) (0.136 COMP1692) (0.135 COMP1702) (0.129 COMP1701) (0.124 COMP1693) (0.117 COMP1699) (0.112 COMP1698)
Aldehyde dehydrogenase substrate	0.217	COMP60	(0.109 COMP1704)
Aldehyde oxidase substrate	0.322	COMP60	(0.232 COMP1702) (0.151 COMP1689)
Aldose reductase substrate	0.230	COMP1702	(0.165 COMP60) (0.156 COMP1694)
Arylamine N-Acetyltransferase substrate	0.350	COMP60	(0.148 COMP1702) (0.074 COMP1689)
CYP1A2 inhibitor	0.277	COMP1702	(0.217 COMP60)
CYP1A2 substrate	0.859	COMP1702	(0.643 COMP1694) (0.519 COMP1703) (0.461 COMP1689) (0.359 COMP60) (0.324 COMP1696) (0.316 COMP1690) (0.299 COMP1706) (0.292 COMP1695) (0.284 COMP1693) (0.280 COMP1691) (0.254 COMP1700) (0.224 COMP1704)
CYP24 inhibitor	0.024	COMP1696	(0.020 COMP1699)
CYP2B6 inhibitor	0.238	COMP60	(0.213 COMP1689) (0.193 COMP1702)
CYP2C19 inhibitor	0.548	COMP1692	(0.454 COMP1693) (0.451 COMP1706) (0.421 COMP1696) (0.412 COMP1702) (0.371 COMP167) (0.353 COMP1700) (0.319 COMP60) (0.306 COMP1690) (0.238 COMP1689)
CYP2C19 substrate	0.704	COMP1696	(0.624 COMP1702) (0.535 COMP1706) (0.490 COMP1704) (0.459 COMP60) (0.458 COMP1693) (0.371 COMP1692) (0.312 COMP1689) (0.268 COMP1694) (0.243 COMP1690) (0.224 COMP167) (0.216 COMP1700)
CYP2C9 inhibitor	0.367	COMP60	(0.327 COMP1693) (0.292 COMP1692) (0.284 COMP1702/COMP1706)
CYP2C9 substrate	0.915	COMP1703	(0.786 COMP1694) (0.758 COMP1695) (0.746 COMP1691) (0.731 COMP1702) (0.635 COMP1696) (0.574 COMP60) (0.519 COMP1692) (0.498 COMP1704) (0.441 COMP1706) (0.419 COMP1693) (0.320 COMP1689) (0.227 COMP1690) (0.220 COMP167) (0.209 COMP1699) (0.200 COMP1701)
CYP2D6 inhibitor	0.576	COMP1689	(0.574 COMP1690) (0.217 COMP1702) (0.185 COMP1700)
CYP2D6 substrate	0.553	COMP1702	(0.517 COMP1689) (0.462 COMP1703) (0.459 COMP1696) (0.430 COMP1690) (0.326 COMP1691) (0.311 COMP60) (0.299 COMP1694) (0.298 COMP1700/COMP1704) (0.277 COMP1706) (0.258 COMP1695) (0.197 COMP1692) (0.189 COMP1693)
CYP3A4 inhibitor	0.350	COMP1691	(0.291 COMP1693) (0.248 COMP1706) (0.235 COMP1696) (0.223 COMP1689/COMP1702) (0.206 COMP1690)
CYP3A4 substrate	0.833	COMP1703	(0.792 COMP1691) (0.771 COMP1695) (0.736 COMP1702) (0.719 COMP1696) (0.680 COMP1694) (0.525 COMP1706) (0.523 COMP1704) (0.432 COMP1693) (0.396 COMP1689) (0.377 COMP1700) (0.368 COMP1701) (0.367 COMP1699) (0.359 COMP60) (0.334 COMP1692) (0.277 COMP1690) (0.270 COMP1697) (0.245 COMP167)
FMO1 substrate	0.663	COMP60	(0.573 COMP1689) (0.507 COMP1694) (0.432 COMP1690) (0.416 COMP1702) (0.397 COMP167) (0.204 COMP1692)
FMO3 substrate	0.522	COMP60	(0.427 COMP1702) (0.332 COMP1689) (0.280 COMP167) (0.248 COMP1694) (0.213 COMP1690) (0.199 COMP1704)
Flavin-containing monooxygenase substrate	0.479	COMP60	(0.402 COMP1689) (0.368 COMP1702) (0.326 COMP1690) (0.234 COMP167) (0.214 COMP1694) (0.192 COMP1704)
GST A substrate	0.726	COMP1702	(0.701 COMP60) (0.475 COMP1694) (0.397 COMP1704) (0.347 COMP1689) (0.257 COMP1690) (0.241 COMP167)
GST M1-1 substrate	0.611	COMP1702	(0.400 COMP60) (0.330 COMP1694) (0.294 COMP1704) (0.279 COMP167) (0.268 COMP1689) (0.246 COMP1700) (0.232 COMP1693) (0.230 COMP1696) (0.212 COMP1706) (0.208 COMP1690)
GST P1-1 substrate	0.456	COMP60	(0.399 COMP1702) (0.097 COMP1704) (0.079 COMP1700)
GST T1-1 substrate	0.174	COMP60	(0.151 COMP1694) (0.145 COMP1689) (0.133 COMP1702) (0.128 COMP167) (0.102 COMP1690)
Glutathione S-transferase substrate	0.698	COMP1702	(0.368 COMP1694) (0.315 COMP60) (0.211 COMP1704) (0.137 COMP1700) (0.132 COMP1696) (0.105 COMP1706) (0.099 COMP167) (0.089 COMP1692) (0.087 COMP1689)
NAT1 substrate	0.309	COMP60	(0.069 COMP1702)
NAT2 substrate	0.292	COMP60	
