Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.628	COMP60	(0.605 COMP1694) (0.237 COMP1702) (0.180 COMP1689) (0.173 COMP1696) (0.159 COMP1706) (0.144 COMP167)
Acetylcholine release stimulant	0.156	COMP1689	(0.134 COMP1690) (0.109 COMP60)
Actinic keratosis treatment	0.503	COMP1703	(0.391 COMP1691) (0.351 COMP1695) (0.252 COMP1696) (0.242 COMP60) (0.230 COMP1706) (0.206 COMP1699/COMP1701) (0.200 COMP1702) (0.186 COMP1694/COMP1704) (0.130 COMP167) (0.113 COMP1693) (0.112 COMP1692) (0.083 COMP1698)
Acute neurologic disorders treatment	0.284	COMP1689	(0.251 COMP60) (0.232 COMP1702) (0.222 COMP1694) (0.186 COMP1690) (0.180 COMP1696)
Acute respiratory distress syndrome (ARDS) treatment	0.256	COMP1702	(0.215 COMP1696) (0.156 COMP1692) (0.141 COMP1706) (0.138 COMP1694)
Age-related macular degeneration treatment	0.228	COMP60	
Alzheimer's disease treatment	0.333	COMP1689	(0.321 COMP1696)
Amyotrophic lateral sclerosis treatment	0.258	COMP1689	(0.195 COMP1690)
Anabolic	0.194	COMP1704	(0.193 COMP1694) (0.191 COMP1692/COMP1696) (0.186 COMP1702) (0.176 COMP1706) (0.171 COMP1699) (0.166 COMP1695) (0.165 COMP1693) (0.164 COMP60) (0.161 COMP1701) (0.159 COMP167/COMP1691) (0.157 COMP1703) (0.151 COMP1697) (0.139 COMP1698) (0.130 COMP1705) (0.125 COMP1689) (0.100 COMP1690)
Analeptic	0.915	COMP1690	(0.880 COMP1689) (0.859 COMP1703) (0.856 COMP1695) (0.765 COMP1691) (0.653 COMP1694) (0.597 COMP1699) (0.573 COMP1701) (0.547 COMP1696) (0.542 COMP60) (0.540 COMP1706) (0.519 COMP1702) (0.414 COMP1693) (0.402 COMP1704) (0.314 COMP1697) (0.297 COMP1692) (0.225 COMP1700) (0.189 COMP167) (0.183 COMP1698)
Analgesic	0.499	COMP1689	(0.489 COMP1690)
Analgesic. opioid	0.090	COMP1702	
Andropause treatment	0.077	COMP1692	(0.070 COMP1694/COMP1702) (0.066 COMP1689/COMP60) (0.064 COMP1696/COMP1704)
Anesthetic	0.551	COMP1696	(0.365 COMP1706) (0.344 COMP1689) (0.316 COMP1693) (0.259 COMP1690) (0.207 COMP60) (0.184 COMP1698) (0.168 COMP1702) (0.166 COMP1692) (0.137 COMP1691) (0.113 COMP1699/COMP1701) (0.107 COMP167) (0.102 COMP1704)
Anesthetic general	0.615	COMP1696	(0.465 COMP1706) (0.421 COMP60) (0.411 COMP1693) (0.319 COMP1702) (0.287 COMP1689) (0.240 COMP1704) (0.218 COMP1690) (0.189 COMP1694) (0.178 COMP1692) (0.158 COMP167)
Anesthetic inhalation	0.068	COMP167	(0.066 COMP1702) (0.065 COMP60) (0.057 COMP1692) (0.047 COMP1689/COMP1704) (0.046 COMP1696)
Anesthetic local	0.377	COMP1689	(0.277 COMP1690) (0.224 COMP1696) (0.190 COMP60) (0.129 COMP1706) (0.101 COMP1693/COMP1702)
Angiogenesis inhibitor	0.840	COMP1691	(0.468 COMP1703) (0.465 COMP1695) (0.389 COMP1697) (0.192 COMP1700)
Angiogenesis stimulant	0.360	COMP1696	(0.341 COMP1704) (0.326 COMP1691) (0.325 COMP1695) (0.319 COMP60) (0.310 COMP1701) (0.302 COMP1703) (0.292 COMP1699) (0.274 COMP1698) (0.273 COMP1700) (0.265 COMP1706) (0.253 COMP1702) (0.239 COMP1692) (0.227 COMP1693) (0.155 COMP1694)
Antiacne	0.514	COMP1692	(0.448 COMP167) (0.419 COMP1706) (0.390 COMP1696) (0.340 COMP1693) (0.317 COMP60) (0.301 COMP1698) (0.257 COMP1694) (0.250 COMP1702/COMP1705) (0.249 COMP1699) (0.226 COMP1704) (0.205 COMP1703) (0.202 COMP1695) (0.186 COMP1701) (0.165 COMP1697) (0.161 COMP1691)
Antialcoholic	0.265	COMP1704	(0.252 COMP167) (0.230 COMP60) (0.216 COMP1702)
Antiallergic	0.508	COMP1700	(0.198 COMP60) (0.184 COMP1696)
Antiamyloidogenic	0.380	COMP60	(0.370 COMP1700) (0.250 COMP1694) (0.210 COMP1696) (0.151 COMP1702)
Antianemic	0.342	COMP60	
Antianorexic	0.193	COMP1689	(0.191 COMP60) (0.127 COMP1700) (0.113 COMP1690)
Antiarrhythmic	0.427	COMP1689	(0.322 COMP1690) (0.154 COMP1700)
Antiarthritic	0.419	COMP1692	(0.361 COMP60) (0.322 COMP1694)
Antiasthmatic	0.298	COMP1689	(0.246 COMP1702)
Antibacterial	0.807	COMP1697	(0.648 COMP1694) (0.614 COMP1704) (0.542 COMP1692) (0.514 COMP1702) (0.494 COMP1705) (0.481 COMP60) (0.450 COMP1698) (0.421 COMP1699) (0.415 COMP1693) (0.406 COMP1706) (0.394 COMP1701) (0.374 COMP1696) (0.367 COMP1691) (0.337 COMP1700) (0.331 COMP1690) (0.269 COMP1689) (0.260 COMP167)
Antibiotic	0.544	COMP1697	(0.210 COMP1694) (0.163 COMP1699) (0.155 COMP1701) (0.139 COMP1702) (0.132 COMP1704) (0.118 COMP60) (0.091 COMP1705) (0.083 COMP1695) (0.081 COMP1691/COMP1698/COMP1700) (0.071 COMP1692) (0.070 COMP1689/COMP1690) (0.065 COMP1703)
Antibiotic Aminoglycoside-like	0.037	COMP1702	
Antibiotic Anthracycline-like	0.050	COMP1702	(0.023 COMP1694) (0.022 COMP60)
Antibiotic Glycopeptide-like	0.051	COMP1694	
Antibiotic Macrolide-like	0.030	COMP1697	(0.020 COMP1694)
Antibiotic Naphthyridine-like	0.037	COMP60	
Antibiotic Quinolone-like	0.027	COMP60	(0.019 COMP1694)
Antibiotic Tetracycline-like	0.026	COMP1702	(0.015 COMP167)
Anticataract	0.318	COMP1696	(0.130 COMP60) (0.083 COMP1689)
Anticholelithogenic	0.203	COMP60	(0.151 COMP1696) (0.149 COMP1706) (0.130 COMP1693) (0.114 COMP1702) (0.081 COMP1694) (0.080 COMP1692) (0.070 COMP1689) (0.068 COMP1699/COMP1701) (0.067 COMP167/COMP1690)
Anticonvulsant	0.199	COMP1689	
Antidepressant	0.641	COMP1689	(0.404 COMP1690)
Antidiabetic	0.614	COMP1700	(0.599 COMP1696) (0.538 COMP60) (0.454 COMP1702) (0.399 COMP1706) (0.395 COMP1692) (0.345 COMP1694) (0.307 COMP1693) (0.291 COMP1689)
Antidiabetic (type 1)	0.190	COMP60	
Antidiabetic (type 2)	0.396	COMP1696	(0.392 COMP60) (0.227 COMP1700) (0.215 COMP1706)
Antidiabetic symptomatic	0.385	COMP1694	(0.348 COMP60) (0.281 COMP1704) (0.272 COMP1702) (0.212 COMP1701) (0.189 COMP1700) (0.173 COMP1693)
Antidiarrheal	0.296	COMP60	(0.234 COMP1689) (0.228 COMP1696) (0.216 COMP1692) (0.209 COMP1702) (0.200 COMP1694) (0.186 COMP1698) (0.154 COMP1706) (0.152 COMP1690) (0.146 COMP1693) (0.129 COMP1705)
Antidote	0.369	COMP60	(0.334 COMP1694) (0.241 COMP1702) (0.128 COMP1700)
Antidote. heavy metal	0.211	COMP60	(0.084 COMP1694) (0.078 COMP1702)
Antidote. mercury	0.214	COMP60	(0.119 COMP1702) (0.109 COMP167) (0.107 COMP1689)
Antidote. organophosphates	0.110	COMP1689	(0.108 COMP60) (0.092 COMP1702) (0.084 COMP167/COMP1690)
Antieczematic	0.247	COMP60	(0.201 COMP1706) (0.196 COMP1698) (0.184 COMP1693) (0.165 COMP1696) (0.162 COMP1702) (0.160 COMP1704) (0.126 COMP1701) (0.119 COMP1694) (0.115 COMP1699)
Antieczematic atopic	0.153	COMP1702	
Antiemetic	0.149	COMP1689	(0.099 COMP1690)
Antiemphysemic	0.063	COMP60	
Antiepileptic	0.391	COMP1692	(0.285 COMP1689) (0.184 COMP1690)
Antifungal	0.678	COMP1705	(0.566 COMP1697) (0.507 COMP1701) (0.500 COMP1694) (0.476 COMP1699) (0.456 COMP1698) (0.450 COMP1702) (0.433 COMP1703) (0.401 COMP1706) (0.395 COMP1692) (0.384 COMP1704) (0.362 COMP1693) (0.354 COMP1696) (0.339 COMP1691) (0.333 COMP1695) (0.326 COMP1700) (0.235 COMP60) (0.181 COMP1689)
Antifungal (Aspergillus)	0.139	COMP60	
