Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.102	COMP77	(0.100 COMP402)
5 Hydroxytryptamine 2A agonist	0.060	COMP1869	
5 Hydroxytryptamine 2B agonist	0.038	COMP1869	
5 Hydroxytryptamine 3 agonist	0.087	COMP212	
5 Hydroxytryptamine 3A agonist	0.133	COMP212	(0.107 COMP188)
ATPase inhibitor	0.291	COMP1874	(0.276 COMP1872) (0.264 COMP1871) (0.250 COMP1876) (0.247 COMP1120) (0.228 COMP1873) (0.222 COMP188) (0.217 COMP1869) (0.169 COMP1143/COMP1870) (0.154 COMP212) (0.138 COMP1877)
Acetylcholine M1 receptor antagonist	0.253	COMP1868	(0.164 COMP1877) (0.140 COMP188) (0.129 COMP1875)
Acetylcholine M2 receptor antagonist	0.056	COMP212	
Acetylcholine M3 receptor antagonist	0.075	COMP212	
Acetylcholinesterase inhibitor	0.243	COMP1873	(0.233 COMP1872) (0.221 COMP1876) (0.210 COMP1874) (0.151 COMP1143) (0.115 COMP1871) (0.111 COMP1869) (0.102 COMP188)
Aconitate hydratase inhibitor	0.119	COMP1120	(0.109 COMP188) (0.099 COMP212) (0.074 COMP324) (0.055 COMP1875) (0.051 COMP1143) (0.047 COMP1877)
Acyl-CoA dehydrogenase inhibitor	0.193	COMP1120	(0.167 COMP188) (0.088 COMP212)
Adenosine deaminase inhibitor	0.078	COMP1120	(0.044 COMP188)
Adenylate cyclase inhibitor	0.176	COMP212	(0.133 COMP1143)
Adenylate kinase inhibitor	0.334	COMP1120	(0.223 COMP188) (0.185 COMP212) (0.126 COMP1875) (0.106 COMP1143)
Alcohol dehydrogenase inhibitor	0.246	COMP212	(0.123 COMP1143)
Aldosterone antagonist	0.149	COMP77	(0.124 COMP188) (0.080 COMP402) (0.056 COMP1869)
Alkaline phosphatase inhibitor	0.262	COMP1143	(0.208 COMP212)
Alpha 2a adrenoreceptor agonist	0.037	COMP212	(0.019 COMP1143)
Alpha 2b adrenoreceptor agonist	0.023	COMP212	
Alpha-mannosidase inhibitor	0.067	COMP212	(0.060 COMP1120) (0.054 COMP188) (0.050 COMP1143)
Androgen agonist	0.450	COMP77	(0.364 COMP402) (0.080 COMP324) (0.072 COMP212) (0.062 COMP188) (0.058 COMP1869)
Androgen antagonist	0.667	COMP77	(0.604 COMP402) (0.165 COMP212) (0.118 COMP1143) (0.104 COMP324) (0.100 COMP1869) (0.093 COMP188)
Arginase inhibitor	0.036	COMP1120	(0.032 COMP324)
Argininosuccinate synthase inhibitor	0.120	COMP324	(0.118 COMP212) (0.096 COMP188) (0.078 COMP1120) (0.068 COMP1875)
