Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.422	COMP1875	(0.372 COMP1120) (0.318 COMP1869) (0.315 COMP1874) (0.293 COMP1871) (0.276 COMP188) (0.269 COMP1873) (0.268 COMP212) (0.245 COMP1872) (0.243 COMP1877) (0.240 COMP1876) (0.226 COMP1868) (0.194 COMP1143) (0.118 COMP324)
Acetylcholine release stimulant	0.171	COMP1120	(0.128 COMP188) (0.117 COMP1869) (0.101 COMP1143)
Actinic keratosis treatment	0.383	COMP77	(0.301 COMP402) (0.208 COMP212) (0.195 COMP1120) (0.147 COMP1143) (0.105 COMP188) (0.102 COMP324) (0.091 COMP1875) (0.088 COMP1869)
Acute neurologic disorders treatment	0.443	COMP324	(0.403 COMP188) (0.159 COMP1120)
Acute respiratory distress syndrome (ARDS) treatment	0.279	COMP1120	(0.183 COMP402) (0.152 COMP77)
Age-related macular degeneration treatment	0.178	COMP77	
Alzheimer's disease treatment	0.638	COMP188	(0.510 COMP1869) (0.462 COMP1876) (0.455 COMP1873) (0.434 COMP1875) (0.428 COMP77) (0.374 COMP402) (0.307 COMP1874) (0.257 COMP1872) (0.256 COMP1871) (0.240 COMP324)
Amyotrophic lateral sclerosis treatment	0.685	COMP77	(0.666 COMP324) (0.548 COMP402) (0.315 COMP188) (0.220 COMP1120)
Anabolic	0.213	COMP77	(0.206 COMP402) (0.173 COMP212) (0.171 COMP1120) (0.167 COMP188) (0.147 COMP324) (0.140 COMP1143) (0.125 COMP1869) (0.118 COMP1871) (0.116 COMP1875)
Analeptic	0.762	COMP77	(0.653 COMP402) (0.598 COMP212) (0.549 COMP1143) (0.481 COMP1120) (0.438 COMP324) (0.395 COMP1876) (0.329 COMP1869) (0.326 COMP1873) (0.320 COMP188) (0.285 COMP1874) (0.284 COMP1871) (0.280 COMP1872) (0.204 COMP1875) (0.165 COMP1868)
Andropause treatment	0.080	COMP77	(0.069 COMP402)
Anesthetic	0.828	COMP77	(0.647 COMP402) (0.350 COMP1120) (0.266 COMP212) (0.256 COMP1143) (0.235 COMP1875) (0.120 COMP1871) (0.107 COMP1874) (0.106 COMP324) (0.105 COMP1869) (0.103 COMP1872)
Anesthetic general	0.807	COMP77	(0.734 COMP402) (0.578 COMP212) (0.551 COMP1143) (0.479 COMP1120) (0.368 COMP1875) (0.356 COMP1876) (0.322 COMP1873) (0.288 COMP324) (0.250 COMP1869) (0.242 COMP1872) (0.237 COMP1874) (0.187 COMP188) (0.176 COMP1871) (0.153 COMP1877) (0.148 COMP1868)
Anesthetic inhalation	0.126	COMP188	(0.113 COMP1120) (0.083 COMP212) (0.079 COMP1869) (0.072 COMP1143) (0.065 COMP77) (0.056 COMP1871)
Anesthetic local	0.252	COMP1875	(0.202 COMP1120) (0.136 COMP77) (0.105 COMP1871)
Angiogenesis inhibitor	0.461	COMP1869	(0.430 COMP1873) (0.394 COMP1876) (0.277 COMP1872) (0.270 COMP1143) (0.266 COMP188) (0.261 COMP1871) (0.230 COMP1874)
Angiogenesis stimulant	0.637	COMP1120	(0.372 COMP402) (0.361 COMP77) (0.301 COMP188) (0.205 COMP1871) (0.151 COMP1143) (0.143 COMP324) (0.142 COMP1869)
Antiacne	0.560	COMP77	(0.510 COMP402) (0.411 COMP188) (0.332 COMP324) (0.270 COMP1120) (0.121 COMP1871) (0.104 COMP1875)
Antialcoholic	0.285	COMP212/COMP77	(0.218 COMP1143) (0.185 COMP402)
Antiallergic	0.578	COMP1120	(0.233 COMP324)
Antiamyloidogenic	0.374	COMP1143	(0.297 COMP1876) (0.242 COMP1869) (0.236 COMP1120) (0.231 COMP212) (0.200 COMP1873) (0.186 COMP1871) (0.154 COMP1874) (0.153 COMP1872)
Antianemic	0.210	COMP212	(0.167 COMP1143) (0.155 COMP1120)
Antianginal	0.169	COMP324	
Antianorexic	0.297	COMP212	(0.267 COMP1143) (0.188 COMP1869) (0.135 COMP1875) (0.119 COMP1120)
Antiarrhythmic	0.438	COMP188	(0.166 COMP1120)
Antiarthritic	0.568	COMP324	(0.383 COMP1120) (0.257 COMP1869)
