Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.581	COMP77	(0.542 COMP402) (0.518 COMP1120) (0.476 COMP188) (0.469 COMP324) (0.356 COMP1869) (0.355 COMP1876) (0.347 COMP1868) (0.344 COMP1873) (0.340 COMP1871) (0.332 COMP1874) (0.327 COMP1872) (0.312 COMP1875) (0.307 COMP212) (0.269 COMP1877) (0.224 COMP1143)
Carcinogenic	0.930	COMP402	(0.925 COMP77) (0.649 COMP324) (0.647 COMP188) (0.608 COMP1120) (0.605 COMP212) (0.440 COMP1143) (0.233 COMP1876) (0.170 COMP1875) (0.166 COMP1873) (0.165 COMP1869) (0.141 COMP1874)
Carcinogenic. group 1	0.356	COMP212	(0.317 COMP1120) (0.268 COMP1873) (0.258 COMP1143) (0.255 COMP188) (0.254 COMP1869) (0.244 COMP1876) (0.206 COMP1874) (0.183 COMP1872) (0.175 COMP1871) (0.138 COMP1875)
Carcinogenic. group 2A	0.190	COMP1873	(0.186 COMP1869) (0.178 COMP212) (0.175 COMP188) (0.150 COMP1143) (0.149 COMP1876) (0.147 COMP1874) (0.124 COMP1872) (0.120 COMP1871) (0.107 COMP1120)
Carcinogenic. group 2B	0.376	COMP212	(0.264 COMP1143) (0.170 COMP188) (0.147 COMP1869) (0.118 COMP1876) (0.086 COMP1873)
Carcinogenic. group 3	0.418	COMP212	(0.359 COMP1120) (0.240 COMP77) (0.214 COMP1143) (0.186 COMP188) (0.121 COMP1869) (0.116 COMP1877/COMP402) (0.108 COMP1875)
Cardiodepressant	0.470	COMP1876	(0.408 COMP1873) (0.388 COMP1875) (0.360 COMP324) (0.357 COMP77) (0.330 COMP1872) (0.302 COMP402) (0.296 COMP1874) (0.269 COMP1143) (0.258 COMP1120) (0.247 COMP1870) (0.220 COMP1877) (0.215 COMP1868) (0.206 COMP1869/COMP212)
Cytotoxic	0.635	COMP402	(0.607 COMP77) (0.486 COMP1871) (0.480 COMP324) (0.479 COMP1869) (0.464 COMP1876) (0.447 COMP1143) (0.445 COMP212) (0.386 COMP1120) (0.383 COMP1872) (0.374 COMP1874) (0.373 COMP1873) (0.371 COMP188) (0.184 COMP1875)
DNA damaging	0.447	COMP1876	(0.418 COMP1873) (0.382 COMP1143) (0.360 COMP1872) (0.337 COMP212) (0.329 COMP1874) (0.292 COMP1120) (0.266 COMP1869) (0.213 COMP1871) (0.194 COMP77) (0.178 COMP188) (0.172 COMP402)
Embryotoxic	0.908	COMP77	(0.833 COMP402) (0.573 COMP1120/COMP324) (0.563 COMP188) (0.331 COMP212) (0.229 COMP1143) (0.228 COMP1875) (0.205 COMP1869) (0.176 COMP1871) (0.160 COMP1876)
Eye irritation. high	0.805	COMP1120	(0.592 COMP188) (0.578 COMP324) (0.391 COMP212) (0.223 COMP1143) (0.198 COMP77) (0.164 COMP1875) (0.158 COMP1869) (0.152 COMP402) (0.125 COMP1868)
Genotoxic	0.503	COMP188	(0.459 COMP1143) (0.456 COMP1876) (0.451 COMP212) (0.315 COMP1869) (0.277 COMP1873) (0.231 COMP1120) (0.209 COMP1871) (0.195 COMP1874) (0.194 COMP1872) (0.139 COMP1875) (0.127 COMP402) (0.119 COMP1877)
Hypoglycemic	0.665	COMP1871	(0.606 COMP1874) (0.581 COMP1872) (0.472 COMP188) (0.457 COMP1120) (0.358 COMP77) (0.288 COMP402) (0.279 COMP1876) (0.262 COMP1869/COMP324) (0.231 COMP1873)
Mutagenic	0.656	COMP212	(0.561 COMP1143) (0.481 COMP1120) (0.408 COMP188) (0.270 COMP402) (0.236 COMP77) (0.235 COMP1876) (0.226 COMP324) (0.194 COMP1875) (0.160 COMP1874) (0.151 COMP1873) (0.146 COMP1869) (0.129 COMP1872) (0.125 COMP1871)
Pneumotoxic	0.520	COMP1869	(0.491 COMP212) (0.474 COMP1143) (0.463 COMP1876) (0.427 COMP1871) (0.355 COMP1873) (0.297 COMP1874) (0.278 COMP1872) (0.257 COMP188) (0.214 COMP1120) (0.191 COMP324) (0.186 COMP1875)
Sedative	0.527	COMP77	(0.438 COMP1120) (0.403 COMP402) (0.225 COMP324) (0.203 COMP1869) (0.186 COMP1873) (0.181 COMP1875) (0.171 COMP1876) (0.151 COMP188) (0.138 COMP1871) (0.133 COMP1143)
Sensitization	0.744	COMP77	(0.690 COMP402) (0.669 COMP212) (0.619 COMP1143) (0.593 COMP1875) (0.540 COMP1876) (0.474 COMP1120) (0.424 COMP1873) (0.401 COMP188) (0.374 COMP1869) (0.363 COMP1874) (0.361 COMP1877) (0.359 COMP324) (0.358 COMP1872) (0.351 COMP1868) (0.317 COMP1871)
Skin irritative effect	0.881	COMP324	(0.850 COMP1120) (0.727 COMP188) (0.658 COMP212) (0.493 COMP1143) (0.387 COMP1875) (0.187 COMP77) (0.124 COMP402) (0.118 COMP1869) (0.107 COMP1876)
Teratogen	0.914	COMP77	(0.857 COMP402) (0.585 COMP1120) (0.446 COMP188) (0.428 COMP324) (0.347 COMP212) (0.255 COMP1875) (0.251 COMP1143) (0.222 COMP1869) (0.179 COMP1871) (0.165 COMP1876)
Toxic. respiratory center	0.251	COMP77	(0.231 COMP402) (0.213 COMP1869) (0.196 COMP1871) (0.160 COMP212) (0.155 COMP1875)
Ulceration	0.521	COMP1120	(0.490 COMP1143) (0.444 COMP1869/COMP188) (0.442 COMP212) (0.427 COMP1875) (0.317 COMP1871) (0.293 COMP1877) (0.232 COMP1868) (0.210 COMP1876)
