Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.240	COMP285	(0.189 COMP1346) (0.184 COMP1845) (0.140 COMP292) (0.136 COMP238) (0.129 COMP1864) (0.118 COMP1855) (0.111 COMP178) (0.110 COMP1848) (0.108 COMP927) (0.106 COMP1861) (0.105 COMP1852/COMP1859) (0.101 COMP1847/COMP1853/COMP1860) (0.097 COMP1839) (0.096 COMP1862) (0.094 COMP1843/COMP1846) (0.092 COMP1850) (0.091 COMP910) (0.087 COMP308) (0.085 COMP1866)
AR expression inhibitor	0.806	COMP308	(0.793 COMP46) (0.786 COMP910/COMP927) (0.784 COMP348) (0.771 COMP301) (0.726 COMP1838) (0.708 COMP361) (0.681 COMP292) (0.666 COMP238) (0.647 COMP1849) (0.640 COMP1865) (0.618 COMP1852) (0.616 COMP1848) (0.614 COMP1862) (0.594 COMP1855) (0.589 COMP1861) (0.581 COMP178) (0.576 COMP1843) (0.574 COMP1866) (0.555 COMP1859) (0.533 COMP1850) (0.510 COMP1839) (0.495 COMP1864) (0.481 COMP217) (0.462 COMP1845) (0.457 COMP285) (0.450 COMP1847/COMP1853/COMP1860) (0.436 COMP1347) (0.430 COMP1844/COMP1856) (0.429 COMP1846) (0.423 COMP1346) (0.408 COMP1851) (0.406 COMP1840/COMP1858) (0.403 COMP1854/COMP1863) (0.394 COMP1841/COMP1867) (0.327 COMP1837) (0.290 COMP1857) (0.242 COMP1842)
CTGF expression inhibitor	0.905	COMP308	(0.767 COMP285) (0.671 COMP361) (0.664 COMP301) (0.630 COMP1838) (0.608 COMP46) (0.555 COMP348) (0.532 COMP1850) (0.454 COMP1848) (0.451 COMP1859) (0.395 COMP1837) (0.327 COMP1862) (0.315 COMP1866) (0.311 COMP1849) (0.271 COMP1852/COMP292) (0.238 COMP1861) (0.237 COMP1347) (0.227 COMP178) (0.222 COMP217) (0.216 COMP1346) (0.208 COMP1843) (0.191 COMP238)
GRP78 expression inhibitor	0.050	COMP1840	(0.046 COMP1841/COMP1844/COMP1856/COMP1867) (0.045 COMP1858) (0.037 COMP1854/COMP1863) (0.034 COMP217) (0.030 COMP1846/COMP1847/COMP1851/COMP1853/COMP1860) (0.024 COMP361) (0.021 COMP348) (0.020 COMP301)
ICAM1 expression inhibitor	0.688	COMP238	(0.687 COMP292) (0.679 COMP178) (0.670 COMP1843) (0.669 COMP1855) (0.661 COMP1839) (0.659 COMP1852) (0.645 COMP1866) (0.643 COMP1861) (0.615 COMP348) (0.611 COMP46) (0.593 COMP1864) (0.584 COMP1865) (0.578 COMP301) (0.568 COMP927) (0.567 COMP361) (0.564 COMP217) (0.556 COMP1838) (0.549 COMP910) (0.510 COMP1846) (0.497 COMP1845) (0.496 COMP1840) (0.494 COMP1858) (0.486 COMP1847/COMP1853/COMP1860) (0.485 COMP1848) (0.478 COMP1867) (0.473 COMP1347) (0.467 COMP1849) (0.466 COMP1844/COMP1856) (0.458 COMP1841) (0.457 COMP1851) (0.448 COMP1346) (0.432 COMP308) (0.430 COMP1854/COMP1863) (0.415 COMP1862) (0.406 COMP1857) (0.405 COMP285) (0.392 COMP1842) (0.383 COMP1859) (0.378 COMP1850) (0.316 COMP1837)
LDLR expression enhancer	0.375	COMP308	(0.256 COMP285) (0.208 COMP1848) (0.203 COMP1849) (0.202 COMP1862) (0.192 COMP292) (0.189 COMP1845) (0.184 COMP1346) (0.170 COMP1347) (0.158 COMP238) (0.156 COMP1852) (0.154 COMP1859) (0.152 COMP1850) (0.149 COMP1838) (0.145 COMP1861)
NOS2 expression inhibitor	0.967	COMP46	(0.965 COMP1838) (0.960 COMP348) (0.958 COMP301) (0.922 COMP1858) (0.917 COMP1347) (0.914 COMP217) (0.898 COMP1840) (0.893 COMP308) (0.890 COMP361) (0.865 COMP1844/COMP1856) (0.859 COMP1346) (0.817 COMP1846) (0.801 COMP1845) (0.761 COMP910) (0.730 COMP927) (0.716 COMP1847/COMP1853/COMP1860) (0.679 COMP1841) (0.637 COMP1849) (0.606 COMP1861) (0.596 COMP238) (0.595 COMP292) (0.543 COMP1848) (0.529 COMP1852) (0.528 COMP1865) (0.518 COMP1855) (0.515 COMP285) (0.512 COMP1843) (0.479 COMP178) (0.478 COMP1867) (0.472 COMP1851) (0.456 COMP1862) (0.448 COMP1859/COMP1866) (0.409 COMP1850) (0.407 COMP1839) (0.363 COMP1864) (0.361 COMP1854/COMP1863) (0.303 COMP1837) (0.209 COMP1857) (0.155 COMP1842)
NOS3 expression enhancer	0.722	COMP46	(0.721 COMP301) (0.720 COMP348) (0.690 COMP1838) (0.594 COMP361) (0.474 COMP308) (0.402 COMP217) (0.356 COMP1862) (0.324 COMP285) (0.310 COMP1848) (0.284 COMP1849) (0.170 COMP1859) (0.167 COMP1840) (0.157 COMP1850) (0.136 COMP1846) (0.134 COMP1858) (0.125 COMP1847/COMP1853/COMP1860) (0.123 COMP1844/COMP1856)
NOS3 expression inhibitor	0.862	COMP285	(0.837 COMP301) (0.798 COMP1838) (0.785 COMP1862) (0.761 COMP217) (0.759 COMP348) (0.757 COMP46) (0.747 COMP361) (0.714 COMP1848) (0.676 COMP1346) (0.674 COMP1840) (0.653 COMP1849) (0.631 COMP308) (0.628 COMP1845) (0.617 COMP1846) (0.606 COMP1837) (0.605 COMP1847/COMP1853/COMP1860) (0.603 COMP1347) (0.596 COMP1858) (0.583 COMP1844/COMP1856) (0.579 COMP1850) (0.576 COMP1859) (0.547 COMP1841) (0.545 COMP1854/COMP1863) (0.534 COMP1867) (0.528 COMP1852/COMP292) (0.523 COMP1843) (0.520 COMP1861) (0.510 COMP1851) (0.498 COMP178/COMP910) (0.492 COMP1839) (0.482 COMP1866) (0.473 COMP927) (0.470 COMP238) (0.466 COMP1855) (0.420 COMP1864) (0.401 COMP1865) (0.374 COMP1857) (0.345 COMP1842)
TNF expression inhibitor	0.959	COMP1838	(0.951 COMP301) (0.948 COMP1849) (0.937 COMP361) (0.896 COMP1862) (0.894 COMP217) (0.886 COMP1846/COMP1848) (0.885 COMP1850) (0.883 COMP1840) (0.869 COMP46) (0.863 COMP1859) (0.860 COMP308) (0.846 COMP1858) (0.836 COMP348) (0.814 COMP1845) (0.809 COMP238) (0.807 COMP1837) (0.784 COMP1346) (0.758 COMP292) (0.755 COMP285) (0.748 COMP1347) (0.713 COMP1847/COMP1853/COMP1860) (0.710 COMP910) (0.703 COMP927) (0.696 COMP1855) (0.678 COMP1852) (0.667 COMP1865) (0.666 COMP1861) (0.657 COMP1843) (0.650 COMP178) (0.647 COMP1844/COMP1856) (0.608 COMP1864) (0.586 COMP1841) (0.567 COMP1866) (0.558 COMP1839) (0.538 COMP1867) (0.397 COMP1854/COMP1863) (0.376 COMP1851) (0.298 COMP1857) (0.219 COMP1842)
